related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
SLE-2026-001,SLPP-APC Political Deadlock and Criminalisation of Opposition Speech,"Project implementation depends on multi-party coordination through the Project Steering Committee (PSC) and collaboration with opposition-led local councils (FCC and WARDC). Deepening SLPP-APC political confrontation and criminalisation of opposition figures could undermine the political consensus required for inter-institutional coordination, potentially disrupting PSC functioning and local council participation in implementation.",0.65,P507588,"PAD states project was 'prepared in close collaboration with all IAs including opposition-led FCC and WARDC' and that 'implementation arrangements provide IAs with incentives to perform.' The PSC is chaired by MWRS with 'high-level representatives from multiple ministries and all implementing agencies' meeting 'at least bi-annually.' However, the PAD also acknowledges 'fragile institutions' and '2023 elections resulted in political uncertainty and ongoing tensions with strong party divisions; threats to social stability.' If opposition-led councils face political pressure or their representatives are criminalised (as occurred with APC Secretary-General Lansana Dumbuya in February 2026), their capacity and willingness to participate in PSC coordination could be compromised."
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"Project involves substantial procurement (US$16.25 million for water supply infrastructure, US$9.20 million for sanitation), financial management through a Dedicated Account, and multi-stakeholder oversight. IMF diagnostics identify systemic procurement vulnerabilities and selective enforcement of anti-corruption rules. The PAD acknowledges 'limited independence of auditor general and Audit Service Sierra Leone from executive branch poses high FM risk' and notes 'GoSL advancing PFM reforms but faces challenges including budget deviations, procedural overrides, inefficient investment management, and unplanned political spending.' These governance weaknesses could enable misallocation of project funds or circumvention of procurement safeguards.",0.7,P507588,"PAD identifies 'Fiduciary (substantial)' risk and states: 'GoSL advancing PFM reforms but faces challenges including budget deviations, procedural overrides, inefficient investment management, and unplanned political spending; limited independence of auditor general and Audit Service Sierra Leone from executive branch poses high FM risk.' The project includes US$40 million in financing with major procurement components. While mitigation includes 'Foreign exchange Dedicated Account to receive grant' and 'World Bank retains right to audit DA,' the underlying governance vulnerabilities identified by the IMF (systemic procurement weaknesses, selective anti-corruption enforcement) remain structural constraints on project fiduciary integrity."
SLE-2026-005,Judicial Independence Under Threat from Executive Interference,"Project implementation includes grievance redress mechanisms (GRM) and dispute resolution processes that depend on judicial independence and rule of law. If courts are used as instruments of political pressure (as evidenced by the February 2026 remand of opposition APC Secretary-General Dumbuya), the credibility and effectiveness of project-level grievance resolution and any legal disputes over land acquisition, resettlement, or contract enforcement could be undermined.",0.6,P507588,"PAD establishes a 'Project-wide GRM established to allow affected stakeholders to submit grievances and seek redress; accessible processes for submitting complaints with clear procedures from investigation to resolution and feedback; provision for appeal if dissatisfied.' The project also involves potential 'involuntary resettlement and land acquisition' with a Resettlement Policy Framework (RPF) and Resettlement Action Plans (RAPs) to be prepared. If judicial independence is compromised, affected communities' ability to seek redress through courts for resettlement disputes or contract violations could be weakened, reducing the effectiveness of grievance mechanisms and potentially creating unresolved community grievances."
SLE-2026-006,Ethno-Regional Political Polarisation and Youth Marginalisation,"Project targets Western Area (Freetown, FCC, WARDC) and aims to benefit 1.7 million people, with approximately 1,400 jobs expected in Phase 1. The PAD acknowledges that 'widespread poverty and unemployment exacerbated by high inflation creating conditions for social unrest' and notes youth are 'economically and socially marginalised.' If project implementation is perceived as benefiting one ethno-regional group over another, or if job creation fails to materialize equitably, it could exacerbate existing ethno-regional polarisation and youth grievances, particularly given the project's concentration in Western Area.",0.65,P507588,"PAD identifies 'Political and Governance (high)' risk and states: 'widespread poverty and unemployment exacerbated by high inflation creating conditions for social unrest.' The project is designed to 'improve living conditions and reduce poverty through WASH access, which helps mitigate conditions conducive to social unrest,' but implementation is concentrated in Western Area (Freetown, FCC, WARDC). The PAD notes that 'Sierra Leone's two-party political system continues to be deeply structured along ethno-regional lines, with the SLPP drawing support from the Mende-dominated south and east and the APC from the Temne-dominated north.' If project benefits are perceived as unevenly distributed along ethno-regional lines, or if promised job creation (1,400 jobs in Phase 1) fails to materialize for marginalized youth, this could reinforce polarisation."
SLE-2026-007,Chronic Food Insecurity and Climate-Driven Agricultural Shocks,"Project includes water resources management and catchment protection activities (Component 2) and infrastructure resilience to climate impacts. However, the PAD acknowledges Sierra Leone ranks 185th on HDI, with over one million severely food insecure and agriculture employing 60 percent of the population. Repeated climate shocks (2022, 2023, 2024) have displaced thousands. If climate-driven agricultural shocks intensify during project implementation, they could displace beneficiary populations, disrupt project activities in affected areas, and undermine the sustainability of WASH infrastructure investments if communities are forced to migrate.",0.6,P507588,"PAD states: 'Climate change has increased the frequency of floods, droughts, and coastal erosion, and repeated climate shocks in 2022, 2023, and 2024 displaced thousands and damaged crops.' The project includes 'catchment protection and rejuvenation activities including awareness raising, protective barriers, and nature-based solutions' and infrastructure 'designed to be resilient to floods and extreme weather.' However, the PAD also notes 'over one million Sierra Leoneans severely food insecure per WFP monitoring data' and 'Agriculture employs over 60 percent of the population but is dominated by subsistence farmers with limited access to improved inputs.' If climate shocks displace agricultural populations during project implementation, beneficiary reach could be disrupted and project sustainability compromised."
SLE-2026-008,USAID Dismantlement and Global Aid Cuts Undermining Health and Civil Society,"Project depends on donor coordination and civil society engagement for implementation oversight and community participation. The PAD notes 'donor coordination platform to be established and maintained' and community engagement through 'Wan Fambul Framework.' USAID dismantlement has already caused USD 1 million loss to a Freetown-based democracy advocacy organisation and reduced health service capacity. Continued aid cuts could weaken civil society's capacity to monitor project implementation, participate in PSC oversight, and support community grievance mechanisms, while health sector weakening could undermine project health outcomes (waterborne disease reduction).",0.55,P507588,"PAD establishes 'donor coordination platform to be established and maintained' and emphasizes 'community engagement through Wan Fambul Framework which has supported GoSL decentralization efforts emphasizing women's empowerment and reconciliation/social cohesion.' The project also includes monitoring of 'broader monitoring of water-borne diseases, child health, school attendance' and aims to improve 'public health security - improved WASH reduces waterborne diseases (diarrhea, cholera) and improves health outcomes.' However, the country risk context notes that 'Sierra Leone's health budget is approximately half-funded by donors' and USAID dismantlement has caused loss of USD 1 million in civic education funding and absence of diagnostic tests in hospitals. If donor coordination weakens and civil society capacity erodes further, project oversight and community participation mechanisms could be compromised."
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","Project financing is US$40 million with major infrastructure investments requiring sustained government counterpart funding for operations and maintenance. The PAD acknowledges 'high public debt, heavy dependence on extractive industries, and limited economic diversification' and notes 'subsistence agriculture and commodity-price exposure make the country prone to external shocks.' If macroeconomic conditions deteriorate (debt distress, currency depreciation, commodity price shocks), government capacity to fund O&M of completed infrastructure could be compromised, threatening project sustainability and beneficiary access to services.",0.65,P507588,"PAD identifies 'Macroeconomic (high)' risk and states: 'Reversals in domestic revenue mobilization or significant expenditure overruns could undermine fiscal consolidation; larger deficits threaten fiscal and debt sustainability; risk of inflation-depreciation spiral; external risks from global commodity prices and imported inflation.' The project includes 'upfront agreement on O&M management models prior to construction' but acknowledges that 'Sierra Leone's economy exhibits structural fragility characterised by high public debt, heavy dependence on extractive industries, and limited economic diversification.' If macroeconomic conditions deteriorate, government's ability to sustain O&M funding for water supply, sanitation, and treatment plants could be undermined, threatening long-term project benefits."
SLE-2026-002,Electoral Institution Credibility and Pre-2028 Reform Impasse,"Project implementation extends through multiple electoral cycles (2028 general elections) and depends on institutional stability and multi-party cooperation. The PAD acknowledges that 'failure to complete electoral reform before the 2028 general elections risks another disputed result that could degenerate into instability.' If electoral credibility continues to erode and 2028 elections are disputed, the resulting political instability could disrupt project implementation, compromise PSC functioning, and undermine the political consensus required for inter-institutional coordination.",0.6,P507588,"PAD notes project is 'prepared in close collaboration with all IAs including opposition-led FCC and WARDC' and that implementation depends on 'Project Steering Committee (PSC) chaired by MWRS with high-level representatives from multiple ministries and all implementing agencies; meets at least bi-annually.' The country risk context warns: 'failure to complete electoral reform before the 2028 general elections risks another disputed result that could degenerate into instability.' If 2028 elections are disputed, the political instability could disrupt PSC coordination and multi-party cooperation required for project implementation."
SLE-2026-001,SLPP-APC Political Deadlock and Criminalisation of Opposition Speech,"Project implementation depends on multi-agency coordination through the National Project Steering Committee (NPSC) chaired by the Ministry of Transport. Deep political polarization and governance dysfunction could undermine the commitment and capacity of government agencies to maintain regular NPSC meetings, transparent decision-making, and fiduciary oversight—all identified as critical mitigation measures for political and governance risks.",0.72,P178683,"PAD identifies 'Political and Governance (Substantial)' risk, noting that 'poor governance may affect implementation commitment in road sector' and 'moderate perturbations in political dispensation could undermine implementation.' Mitigation relies on 'regular NPSC meetings' and 'transparent decision-making procedures.' The three-layered institutional arrangement (NPSC, PCIU, Focal Points) requires sustained inter-agency cooperation across MTA, SLRA, and MAFS. Political deadlock and criminalisation of opposition figures could disrupt the consensus-building and institutional coordination necessary for these governance structures to function effectively."
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"The project's fiduciary framework and procurement processes are vulnerable to the systemic governance and corruption weaknesses identified by the IMF. The PAD acknowledges 'Fiduciary (Substantial)' risk, including 'procurement delays and higher-than-expected bid prices' and 'weak institutional capacity.' The IMF diagnostic findings of 'institutional weaknesses, limited enforcement of the rule of law, and procurement vulnerabilities' directly align with the project's identified fiduciary vulnerabilities, particularly given concerns about selective anti-corruption enforcement and weakened accountability institutions.",0.78,P178683,"PAD identifies 'Fiduciary (Substantial)' risk with specific concerns: 'procurement delays and higher-than-expected bid prices,' 'difficulty retaining qualified procurement and financial management professionals,' and 'weak institutional capacity.' Mitigation includes 'implementation of action plan to strengthen accountability and control framework,' 'adequate procurement and FM training,' and 'pre-qualification requirements for contractors.' However, the PAD notes 'limited experience with World Bank FM procedures' among implementing agencies. The project's reliance on strengthened procurement and financial management capacity directly intersects with the IMF's findings of systemic procurement vulnerabilities and limited rule of law enforcement."
SLE-2026-002,Electoral Institution Credibility and Pre-2028 Reform Impasse,"While not directly electoral in nature, the project's success depends on sustained institutional trust and political stability through 2028 and beyond. The PAD acknowledges that 'moderate perturbations in political dispensation could undermine implementation.' The erosion of institutional credibility flagged by the electoral reform impasse—including loss of trust in governance institutions—could undermine the political will and institutional cooperation required for multi-year infrastructure implementation and the maintenance of transparent decision-making procedures.",0.65,P178683,"PAD states that 'poor governance may affect implementation commitment in road sector' and that project activities are 'not highly sensitive to moderate political perturbations but poor governance may affect implementation.' The project's mitigation strategy relies on 'close supervision,' 'regular NPSC meetings,' and 'transparent decision-making procedures.' However, the broader erosion of institutional credibility and political trust identified in the electoral reform impasse could undermine the political consensus and institutional cooperation necessary to sustain these governance arrangements over the project's multi-year implementation period."
SLE-2026-006,Ethno-Regional Political Polarisation and Youth Marginalisation,"The project's beneficiary selection, stakeholder engagement, and benefit-sharing mechanisms are vulnerable to ethno-regional polarization and elite capture. The PAD identifies 'Social exclusion of vulnerable groups' and 'elite capture in market infrastructure' as environmental and social risks. Ethno-regional polarization could exacerbate tensions over benefit distribution, particularly in the selection of bridge locations and market infrastructure sites, and could undermine the participatory processes and community involvement mechanisms designed to prevent elite capture.",0.7,P178683,"PAD identifies 'Environmental and Social (Substantial)' risk including 'elite capture in market infrastructure' and 'social exclusion of vulnerable groups.' Mitigation includes 'participatory processes for market infrastructure selection,' 'community involvement in planning and management,' and 'strict adherence to beneficiary selection criteria.' However, the PAD also notes 'potential for local conflicts over benefit sharing' as a stakeholder engagement risk. Ethno-regional polarization could weaponize these benefit-sharing disputes, particularly given that project activities span multiple districts (Bo, Moyamba, Tonkolili, Karene) with different ethno-regional compositions, and could undermine the transparent selection criteria and participatory processes designed to prevent elite capture."
SLE-2026-007,Chronic Food Insecurity and Climate-Driven Agricultural Shocks,"The project's agricultural market infrastructure component (Component 3) and rural connectivity objectives depend on stable agricultural production and market functioning. Repeated climate shocks and food insecurity could disrupt the agricultural value chains that the project aims to strengthen through aggregation centers, storage, and processing facilities. Additionally, displacement of vulnerable populations due to climate impacts could affect the targeting and reach of project beneficiaries, particularly in rural areas where over 2 million beneficiaries are expected.",0.68,P178683,"Component 3 aims to develop 'resilient agricultural market infrastructure including aggregation centers, storage, processing facilities, and market upgrades within catchment areas of four bridges' and to upgrade the Agricultural Market Information System. The project targets 'approximately 2 million rural people in Bo, Moyamba, Tonkolili, and Karene districts.' However, the PAD notes that the project includes a 'Contingent Emergency Response Component (CERC)' allowing 'rapid reallocation of uncommitted funds in event of eligible emergency as defined in OP 8.00, including natural disasters and climate change impacts,' suggesting that climate shocks are anticipated as a risk to implementation. The project's reliance on agricultural market functioning and rural connectivity could be disrupted by the chronic food insecurity and repeated climate shocks documented in the country risk profile."
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","The project faces substantial macroeconomic risks that could affect contractor payment, cost overruns, and implementation timelines. The PAD identifies 'Macroeconomic (Substantial)' risk, specifically noting 'concerns about contractor cost overruns and payment delays' in the context of 'record inflation and exchange rate depreciation.' While the project is 100% IDA grant-financed, macroeconomic instability could still disrupt government counterpart contributions, contractor performance, and the fiscal discipline necessary to sustain the institutional reforms and capacity building that underpin project success.",0.73,P178683,"PAD identifies 'Macroeconomic (Substantial)' risk: 'Sierra Leone's post-pandemic recovery disrupted by domestic and external shocks; record inflation and exchange rate depreciation; fiscal accounts deteriorated; risks to debt sustainability; concerns about contractor cost overruns and payment delays.' Mitigation notes that '100% IDA grant financing helps mitigate macroeconomic challenges' but emphasizes that 'key macroeconomic reforms needed; fiscal discipline crucial for stability.' The project's implementation depends on government capacity to maintain institutional coordination, provide counterpart support for capacity building, and ensure timely contractor payments—all vulnerable to macroeconomic instability."
SLE-2026-005,Judicial Independence Under Threat from Executive Interference,"The project's grievance redress mechanism and dispute resolution processes could be compromised by weakened judicial independence and executive interference. The PAD establishes a 'Project-level grievance mechanism' with 'integration with existing local-level judicial recourse systems and community-based/traditional dispute settlement mechanisms.' However, if judicial independence continues to erode, the effectiveness of formal grievance resolution and dispute settlement could be undermined, particularly for disputes involving government agencies or politically connected actors.",0.62,P178683,"PAD establishes a comprehensive grievance mechanism: 'Project-level grievance mechanism established for project-affected persons and workers; integration with existing local-level judicial recourse systems and community-based/traditional dispute settlement mechanisms; World Bank Grievance Redress Service (GRS) available.' The PAD also notes a 'grievance indicator tracked in results framework (target 100% of grievances addressed within project implementation timeline).' However, if judicial independence is compromised, the effectiveness of 'existing local-level judicial recourse systems' could be undermined, potentially limiting the ability of project-affected persons to obtain fair resolution of disputes, particularly those involving government agencies or politically connected beneficiaries."
SLE-2026-008,USAID Dismantlement and Global Aid Cuts Undermining Health and Civil Society,"The project's reliance on civil society participation for stakeholder engagement, grievance monitoring, and community oversight could be weakened by the dismantlement of USAID and reduction in US foreign assistance. The PAD emphasizes 'participatory processes,' 'community involvement,' and engagement with 'women's associations and vulnerable groups.' The loss of US funding for civil society organizations could reduce the capacity of local organizations to support beneficiary mobilization, grievance monitoring, and accountability oversight—functions that are critical to the project's conflict-sensitivity and social inclusion objectives.",0.64,P178683,"PAD identifies 'Stakeholder Engagement (Moderate)' risk and emphasizes mitigation through 'Stakeholder Engagement Plan (SEP) prepared and disclosed; participatory processes for infrastructure selection; focus groups and public meetings with local stakeholders; grievance redress mechanism; beneficiary satisfaction surveys; specific outreach to women's associations and vulnerable groups; market queens and women in leadership prioritized in decision-making.' The project also notes 'Community involvement in asset maintenance planning to build ownership and reduce conflict.' However, the PAD does not explicitly address the capacity of civil society organizations to support these participatory processes. The loss of USAID funding for civil society organizations could reduce the availability of local partners to facilitate community engagement, monitor grievances, and support beneficiary mobilization."
