risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Instability Affecting Project Implementation,The project faces persistent high-level political and governance risks that constrain institutional capacity building for refugee administration. These risks are embedded in Pakistan's fragile governance context and directly impact the ability to implement refugee protection reforms.,high,persistent,Political and Governance High High High,e2ecdf65,P165542,Implementation Status and Results Report,2025-10-24T20:25:17.000Z
Stakeholder Tensions and Coordination Challenges,Escalating stakeholder risks indicate tensions between government entities and development actors involved in refugee administration. These tensions are affecting inter-ministerial coordination and institutional reform implementation.,high,worsening,Stakeholders Substantial High High,8df9f55b,P165542,Implementation Status and Results Report,2025-10-24T20:25:17.000Z
Institutional Capacity Constraints in Fragile Governance Context,"The project identifies that institutional capacity for implementation and sustainability has deteriorated from Substantial to High risk, reflecting challenges in sustaining refugee administration reforms within Pakistan's fragile institutional environment.",high,worsening,Institutional Capacity for Implementation and Sustainability Substantial Substantial High,22002ebe,P165542,Implementation Status and Results Report,2025-10-24T20:25:17.000Z
Sector-Level Policy Instability Affecting Refugee Protection Framework,"High-level sector strategy and policy risks persist, indicating instability in the broader refugee protection policy environment that constrains the project's ability to implement organizational and institutional reforms.",high,persistent,Sector Strategies and Policies High High High,605577fe,P165542,Implementation Status and Results Report,2025-10-24T20:25:17.000Z
Delays in Inter-Ministerial Coordination on Refugee Policy Implementation,"The Organizational and Functional Review presentation to the Inter-ministerial Steering Committee remains pending verification, indicating governance coordination challenges that delay critical refugee protection policy implementation.",medium,persistent,Organizational and Functional Review has been presented to the Inter ministerial Steering Committee. To be verified by the TPVA in Oct 2025,04861f6a,P165542,Implementation Status and Results Report,2025-10-24T20:25:17.000Z
Political and Governance Instability Affecting Project Implementation,The project faces substantial political and governance risks that are impacting implementation timelines and institutional capacity. Delays in administrative approvals and effectiveness suggest governance fragility affecting project operationalization.,high,persistent,"The project, approved by the World Bank's Board in June 2024, became effective in April 2025 after delays in administrative approvals. The project's implementation rating has been downgraded to Moderately Unsatisfactory due to delays in effectiveness, followed by slow progress after effectiveness.",5d8a7737,P176594,Implementation Status and Results Report,2025-10-14T21:25:14.000Z
Macroeconomic Instability Constraining Project Delivery,The project faces high macroeconomic risks that are affecting implementation capacity and resource availability for education service delivery in Punjab.,high,persistent,Macroeconomic [Risk Rating] High [at Approval] High [Last Approved Rating] High [Proposed Rating],77e6ce0c,P176594,Implementation Status and Results Report,2025-10-14T21:25:14.000Z
Institutional Capacity Constraints in Government Implementation,"While institutional capacity for implementation has been upgraded from Low to Substantial, the project experienced significant delays in establishing core implementation structures (Project Director appointment, PSC notification, staff recruitment), indicating underlying governance and institutional fragility.",medium,improving,"The project's implementation rating has been downgraded to Moderately Unsatisfactory due to delays in effectiveness, followed by slow progress after effectiveness. However, steady progress has been made recently, including appointment of a Project Director, notification of a PSC, recruitment of essential staff, and development of a workplan and budget.",1ced6730,P176594,Implementation Status and Results Report,2025-10-14T21:25:14.000Z
Political and Governance Instability Affecting Project Effectiveness,"The project has not yet achieved effectiveness due to pending final approval by the Executive Committee of the National Economic Council, indicating governance-level delays. Political and Governance risk is rated as High at both approval and current status, suggesting underlying political fragility may impede implementation.",high,persistent,The project still has to secure the final approval by the Executive Committee of the National Economic Council before becoming effective.,ce19af07,P507512,Implementation Status and Results Report,2025-10-14T19:00:19.000Z
High Political and Governance Risk Rating Persisting,"The project maintains a High rating for Political and Governance risk category, indicating significant FCV-related concerns that could affect project implementation in Balochistan, a fragile region.",high,persistent,"Political and Governance: High (Rating at Approval: High, Proposed Rating: High)",9d689767,P507512,Implementation Status and Results Report,2025-10-14T19:00:19.000Z
High Other Risk Category Unspecified,"The project carries a High rating in the 'Other' risk category at both approval and current status, which may encompass additional FCV-related concerns not explicitly detailed in the document.",high,persistent,"Other: High (Rating at Approval: High, Proposed Rating: High)",89ed67d3,P507512,Implementation Status and Results Report,2025-10-14T19:00:19.000Z
Political and Governance Instability in Balochistan,"The project operates in Balochistan province, which faces significant political and governance fragility. The risk rating for Political and Governance remains HIGH at both approval and current assessment, indicating persistent structural challenges that could affect project implementation, staff security, and community engagement.",high,persistent,Political and Governance High High,c47ecdf1,P507717,Implementation Status and Results Report,2025-10-09T00:50:15.000Z
Other Unspecified FCV Risk Category,The SORT tool identifies an 'Other' risk category rated as HIGH at approval and proposed to remain HIGH. This suggests additional FCV-related risks beyond standard political/governance categories that are material to project implementation but not explicitly detailed in the document.,high,persistent,Other High High,730166fe,P507717,Implementation Status and Results Report,2025-10-09T00:50:15.000Z
Political and Governance Instability Affecting Project Implementation,"The project faces persistent high-level political and governance risks that are constraining implementation progress. The Systematic Operations Risk-Rating Tool maintains a 'High' rating for Political and Governance throughout the project lifecycle, indicating ongoing fragility in the political environment affecting KWSC operations and project delivery.",high,persistent,"Political and Governance [Risk Category Rating]: High (at Approval 27 Jun 2019), High (Last Approved Rating ISR Seq. 010 - 20 Dec 2024), High (Proposed Rating)",eb05a253,P164704,Implementation Status and Results Report,2025-10-08T20:20:13.000Z
Delayed Reform Implementation Due to Governance Constraints,"Progress on KWSSIP-supported reform activities remains significantly delayed, with multiple reform components being deferred to a follow-on project. This suggests governance capacity constraints or political obstacles are preventing timely implementation of institutional reforms necessary for KWSC's financial and operational performance improvements.",high,persistent,"However, progress on many of the KWSSIP-supported reform activities remains delayed, and some activities will be shifted to the follow-on project of KWSSIP-2.",20057b3f,P164704,Implementation Status and Results Report,2025-10-08T20:20:13.000Z
