risk_id,title,summary,themes,keywords,locations,severity,time_horizon
BOL-001,New Government's Austerity Decree Triggers Nationwide Unrest and Blockades,"President Rodrigo Paz's government, inaugurated in late October 2025 after winning a historic runoff, immediately triggered mass protests when it issued [Supreme Decree 5503](https://jacobin.com/2026/01/bolivia-protest-paz-labor-decree-5503) in December 2025, eliminating long-standing fuel subsidies and introducing wide-ranging austerity measures. [Blockades paralyzed the country between January 4–12, 2026](https://countercurrents.org/2026/02/austerity-and-unrest-in-bolivia/), with mining unions and public school teachers converging on La Paz, forcing the government to partially walk back the decree. Following the partial rollback, [the Paz government introduced three 'anti-blockade' bills aimed at criminalizing protest through roadblocks](https://countercurrents.org/2026/02/austerity-and-unrest-in-bolivia/), a move critics liken to the tactics of military governments. Bolivia declared an [""energy and social emergency""](https://buenosairesherald.com/world/latin-america/bolivia-declares-energy-and-social-emergency-after-widespread-protests) over fuel shortages and rising inflation, with austerity tensions expected to persist throughout 2026.","['political', 'social', 'economy']","['austerity', 'fuel subsidy', 'Decree 5503', 'COB', 'blockades', 'protests', 'Rodrigo Paz']","['La Paz', 'Cochabamba', 'El Alto', 'nationwide']",high,current
BOL-002,Fragile Governance Under New Right-Wing Government Amid Fragmented Congress,"Bolivia's new center-right President Rodrigo Paz faces acute governance challenges: [the new Congress is plural and fragmented, with no solid majorities to guarantee governability or pass unpopular economic reforms](https://www.journalofdemocracy.org/online-exclusive/why-bolivia-voted-for-change-and-continuity/). Paz is politically overshadowed in key constituencies by his vice president, and his government has already reneged on several campaign promises, including protecting the Tariquía National Reserve from oil drilling and maintaining transport fuel subsidies. [The government's first 100 days have passed in a climate of open conflict](https://countercurrents.org/2026/02/austerity-and-unrest-in-bolivia/), with the MAS social movements recalibrating to challenge the new administration despite their electoral collapse, signaling sustained friction between executive ambitions and organized labor.","['governance', 'political']","['Rodrigo Paz', 'MAS', 'COB', 'congress fragmentation', 'governability', 'social movements', 'executive decree']","['La Paz', 'nationwide']",high,current
BOL-003,Severe Fiscal and Balance-of-Payments Crisis Threatening Debt Default,"Bolivia's macroeconomic outlook is deeply precarious: [the IMF's 2025 Article IV Consultation assessed the macro-economic outlook under current policies as unsustainable, with risks of a balance of payments and fiscal crisis rising](https://www.imf.org/en/publications/cr/issues/2025/06/02/bolivia-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-567384). [Annual inflation surged to approximately 25% by August 2025](https://www.economicsobservatory.com/from-crisis-to-stability-what-next-for-bolivias-economy), and [the fiscal deficit reached over 10% of GDP in 2024 with the IMF forecasting 13% of GDP in 2025](https://www.americasquarterly.org/article/bolivia-tough-debt-decisions-await-paz/), financed primarily by money printing. The new government faces [external debt payments of $388 million due in March 2026](https://www.americasquarterly.org/article/bolivia-tough-debt-decisions-await-paz/) with reserves critically depleted, while the parallel exchange rate for the dollar remains far above the official peg, driving de facto dollarization and deepening economic hardship for ordinary Bolivians.","['economy', 'governance']","['debt default', 'IMF', 'foreign exchange reserves', 'inflation', 'fiscal deficit', 'devaluation', 'austerity']",['nationwide'],high,current
BOL-004,Post-Election Evo Morales Fugitive Status and Residual Political Violence Risk,"**Context:** Bolivia's August 2025 general elections were marked by intense pre-electoral violence linked to the intra-MAS split between former President Evo Morales and then-President Luis Arce. [ACLED recorded 42 election-related incidents and eight reported fatalities ahead of the August 17 vote—a 62% increase compared to 2020](https://acleddata.com/report/bolivia-braces-tense-elections-ruling-party-implodes). Morales, constitutionally barred from running and subject to an arrest warrant on statutory rape charges, remained holed up in the Chapare jungle region, [evading authorities while urging supporters to cast null ballots](https://www.pbs.org/newshour/world/bolivia-votes-in-general-election-expected-to-empower-right-wing-party-for-first-time-in-decades). His continued political activism from a fugitive position risks sporadic mobilizations in his strongholds, and [the eastern department of Santa Cruz has seen a political conflict between the state and agribusiness sectors persist beyond the election](https://countercurrents.org/2026/02/austerity-and-unrest-in-bolivia/).","['political', 'security', 'social']","['Evo Morales', 'MAS', 'election violence', 'Chapare', 'arrest warrant', 'political fugitive', 'Cochabamba']","['Cochabamba', 'Chapare', 'Santa Cruz', 'nationwide']",medium,0-3m
BOL-005,Politicized Judiciary and Institutional Fragility Undermining Rule of Law,"Bolivia's judicial system remains deeply politicized and a key vector of institutional fragility. [Bolivia is near the bottom in global rule of law rankings, with partisan interests heavily influencing judicial appointments](https://www.gisreportsonline.com/r/bolivia-political-chaos/). In December 2025, partial judicial elections were held for Bolivia's top courts, but [only 19 of 26 judgeships were on the ballot, with remaining offices postponed after the Constitutional Court's Fourth Chamber issued self-serving injunctions that indefinitely extended its own members' mandates](https://www.idea.int/democracytracker/country/bolivia). [Opposition politicians condemned this as an attempt to retain power and persecute opponents](https://www.idea.int/democracytracker/country/bolivia), while [the release of former interim president Jeanine Áñez—convicted for her role in post-2019 coup-era massacres—without accountability for over 35 deaths signals deep impunity](https://jacobin.com/2026/01/bolivia-protest-paz-labor-decree-5503).","['governance', 'political']","['judiciary', 'rule of law', 'judicial elections', 'Constitutional Court', 'impunity', 'institutional fragility', 'Añez']","['La Paz', 'nationwide']",high,current
BOL-006,Expanding Drug Trafficking Networks and Organized Crime Penetration,"Bolivia's drug trafficking problem has intensified significantly: [security forces discovered 1,501 drug laboratories in 2024, up 74% from 2023](https://insightcrime.org/news/three-crime-challenges-facing-bolivias-new-president/), and [coca cultivation reached 31,000 hectares in 2023, well above the 22,000-hectare legal limit](https://insightcrime.org/news/three-crime-challenges-facing-bolivias-new-president/). [The eastern department of Santa Cruz has become a flashpoint for violence linked to Brazilian gangs including the PCC and Comando Vermelho](https://insightcrime.org/news/three-crime-challenges-facing-bolivias-new-president/), while [organized crime has increasingly penetrated the political system, with rare convictions despite growing investigations](https://ocindex.net/country/bolivia). In a significant shift, [Bolivia restored operational cooperation with the US DEA in February 2026 after a 17-year absence](https://www.aljazeera.com/news/2026/2/25/bolivia-revives-anti-drug-alliance-after-nearly-18-year-break-with-us), though a full cooperation agreement outlining the DEA's operational scope remains pending.","['crime', 'security', 'governance']","['drug trafficking', 'DEA', 'PCC', 'Comando Vermelho', 'cocaine', 'Santa Cruz', 'organized crime', 'coca']","['Santa Cruz', 'Cochabamba', 'Chapare', 'nationwide']",high,current
BOL-007,Accelerating Deforestation and Environmental Conflict in Eastern Lowlands,"[Bolivia ranked third globally for primary tropical forest loss in both 2022 and 2023, with deforestation rates increasing 259% over eight years](https://globalcanopy.org/insights/insight/the-hidden-crisis-of-deforestation-in-bolivia/), and 2024 data suggests this trend is continuing. Nearly three-quarters of recent deforestation has occurred in the eastern department of Santa Cruz, driven by soy expansion and cattle ranching, with [illegal deforestation rarely penalized and fines as low as $0.20 per hectare](https://globalcanopy.org/insights/insight/the-hidden-crisis-of-deforestation-in-bolivia/). The Paz government has signaled continued openness to agribusiness expansion, and [police forcibly facilitated oil company Petrobras's access to the Tariquía National Reserve despite community opposition during the January 2026 protests](https://jacobin.com/2026/01/bolivia-protest-paz-labor-decree-5503), heightening tensions between Indigenous and peasant communities and the state over natural resource governance.","['environment', 'social', 'governance']","['deforestation', 'Santa Cruz', 'soy expansion', 'Tariquía', 'Indigenous rights', 'Petrobras', 'agribusiness', 'forest loss']","['Santa Cruz department', 'Tariquía National Reserve', 'Amazon lowlands']",high,current
BOL-008,Gender-Based Violence and Femicide at Crisis Levels with Impunity,"[Bolivia has the second-highest femicide rate in South America, at 1.3 per 100,000 women as of 2023, with consistently among the highest rates of sexual violence in Latin America](https://www.state.gov/reports/2025-investment-climate-statements/bolivia). [Nearly 60% of ever-partnered women aged 15–49 have experienced physical or sexual violence](https://www.gorstra.com/latin-america-desk/36nik7pceun999z381evkf9u2z2oyt), with Indigenous and rural women at particularly high risk and facing severe barriers to justice. [In 2022, prosecutors registered more than 51,000 reports of domestic violence, including 94 femicides](https://www.hrw.org/world-report/2024/country-chapters/bolivia), yet impunity remains pervasive due to judicial dysfunction, resource shortages, and institutional bias. The Paz government has shelved the universal salary for women—a key campaign promise—without explanation, [removing this social protection measure just weeks into office](https://countercurrents.org/2026/02/austerity-and-unrest-in-bolivia/).","['social', 'governance', 'humanitarian']","['femicide', 'gender-based violence', 'Indigenous women', 'impunity', 'sexual violence', 'GBV', 'rural Bolivia']","['nationwide', 'Santa Cruz department', 'rural areas']",high,current
BOL-009,Press Freedom Under Threat Amid Political Violence and State Patronage,"[Bolivia has seen an alarming rise in violence against journalists over the past five years, particularly those covering protests and land disputes](https://cpj.org/2025/08/journalists-fear-volatile-bolivia-elections-may-escalate-press-attacks/), with 95 attacks on journalists recorded by June 15, 2025, including 51 during blockades. [Journalists now routinely wear helmets at events due to threats from rock-throwing and dynamite use by demonstrators](https://latamjournalismreview.org/articles/ahead-of-bolivias-presidential-election-reporters-work-with-caution-and-body-armor/). Beyond physical violence, [the press faces a structural ""perverse system of rewards and punishment"" through selective allocation of state advertising](https://latamjournalismreview.org/articles/ahead-of-bolivias-presidential-election-reporters-work-with-caution-and-body-armor/), which compromises editorial independence across both the outgoing MAS and incoming Paz administrations. These conditions threaten accountability journalism precisely when policy oversight of austerity reforms is most needed.","['governance', 'political', 'social']","['press freedom', 'journalists', 'media attacks', 'CPJ', 'impunity', 'dynamite', 'state advertising']","['La Paz', 'Cochabamba', 'Quillacollo', 'nationwide']",medium,current
BOL-010,Fuel Price Shock Driving Food Insecurity and Transport Disruption,"[Following Decree 5503, fuel prices doubled overnight, pushing up transport and food costs across Bolivia](https://www.euronews.com/video/2026/01/06/protests-erupt-in-la-paz-over-bolivias-fuel-subsidy-cuts), in a country already experiencing its worst economic crisis in decades. [Bolivia now imports more than half of its gasoline and 86% of its diesel](https://www.state.gov/reports/2025-investment-climate-statements/bolivia), making it highly vulnerable to import disruptions, while the parallel dollar rate—more than 50% above the official rate—drives up import costs across the supply chain. The fuel price shock disproportionately affects indigenous communities, transport workers, and subsistence farmers, who [already expressed severe food insecurity during January 2026 marches](https://jacobin.com/2026/01/bolivia-protest-paz-labor-decree-5503). The partial rollback preserved fuel subsidy elimination while offering only a monthly bonus equivalent to just over $15 as compensation, which analysts assess as inadequate.","['economy', 'humanitarian', 'social']","['fuel prices', 'food security', 'gasolinazo', 'transport disruption', 'inflation', 'import dependency', 'subsistence farmers']","['La Paz', 'El Alto', 'Cochabamba', 'Oruro', 'nationwide']",high,current
BOL-011,Bolivia–US Security Realignment and Geopolitical Friction Risks,"The new Paz government has undertaken a significant foreign policy realignment with the United States, [restoring DEA operational cooperation after 17 years and opening diplomatic channels with Washington](https://www.aljazeera.com/news/2026/2/25/bolivia-revives-anti-drug-alliance-after-nearly-18-year-break-with-us). However, [the US designated Bolivia as having ""failed demonstrably"" to adhere to international counternarcotics agreements for fiscal year 2026](https://www.state.gov/releases/office-of-the-spokesperson/2025/09/presidential-determination-on-major-drug-transit-or-major-illicit-drug-producing-countries-for-fiscal-year-2026), signaling continued conditionality on security cooperation. Meanwhile, [China has poured over $3 billion into Bolivia's critical sectors including lithium and energy](https://www.journalofdemocracy.org/online-exclusive/why-bolivias-election-matters-so-much/), and [Russia has signed direct military and intelligence cooperation agreements](https://www.journalofdemocracy.org/online-exclusive/why-bolivias-election-matters-so-much/) with prior MAS governments, creating a complex geopolitical inheritance. The Paz government's navigation of these competing interests—particularly around lithium investment and DEA scope-of-operations agreements—represents a key medium-term friction point for development partners.","['political', 'security', 'governance']","['DEA', 'US relations', 'China investment', 'lithium', 'counternarcotics', 'geopolitics', 'foreign policy realignment']","['La Paz', 'nationwide']",medium,3-12m
