risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Macroeconomic Crisis Affecting Project Sustainability,"Lebanon's severe macroeconomic crisis (rated 'Substantial' in SORT) is creating structural challenges for project implementation and the sustainability of social services for vulnerable groups, particularly given the project's reliance on local NGO partners operating in a deteriorating economic environment.",high,persistent,Macroeconomic Substantial Substantial Substantial,e67df622,P506127,Implementation Status and Results Report,2025-10-23T11:05:16.000Z
Institutional Capacity Constraints in Fragile Context,"Moderate institutional capacity for implementation and sustainability poses risks to the project's ability to deliver services through local NGO sub-grantees in Lebanon's fragile governance environment, with capacity-building efforts still ongoing.",medium,persistent,Institutional Capacity for Implementation and Sustainability Moderate Moderate Moderate,23252564,P506127,Implementation Status and Results Report,2025-10-23T11:05:16.000Z
Fiduciary Risk in Conflict-Affected Setting,"Substantial fiduciary risk rating reflects challenges in financial management and accountability mechanisms within Lebanon's fragile institutional context, affecting the project's ability to ensure proper fund utilization across 11 sub-projects.",high,persistent,Fiduciary Substantial Substantial Substantial,1871aead,P506127,Implementation Status and Results Report,2025-10-23T11:05:16.000Z
Owner Access Denial Blocking Structural Works,"Rehabilitation of Re_679 was significantly delayed when an owner on the third floor refused to grant access to their apartment, blocking structural works on the second floor and above. Access was eventually obtained through legal channels, but this demonstrates vulnerability to individual owner obstruction in a fragile post-conflict environment.",medium,improving,"The rehabilitation of Re_679 has been delayed due to the refusal of an owner on the third floor to grant access to their apartment, which in turn has blocked structural works on the second floor and above (the building has eight floors in total). Since the last mission, access to the apartment has been obtained through legal channels, and UN-Habitat has been able to remove the furniture and receive the unit.",d43e0ad4,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
Accumulated Utility Bills Creating Access Barriers for Rehabilitated Units,"Units have accumulated electricity and water bills over five years despite being vacant since the blast. Service providers are reluctant to reconnect utilities, requiring high-level negotiations. This creates barriers to occupancy and beneficiary access to rehabilitated housing in a context of economic fragility.",medium,persistent,"In some cases, this required high-level discussions with service providers, as many units have accumulated bills over the past five years, even though they have been vacant since the explosion.",9c481216,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
Tight Implementation Timeline with No Slippage Tolerance in High-Risk Buildings,"Three buildings (Ac_726, Re_679, Re_710) have compressed completion timelines with no room for unforeseen challenges. Re_679 and Re_710 are flagged as high-risk with October completion deadlines. Any disruption—security incidents, labor disputes, or supply chain issues—could prevent completion before project closing on October 31, 2025.",high,persistent,"Progress on the buildings flagged as high-risk is on track, but the timeline for rehabilitation works is tight, with no room for slippages... However, the timeline for completing the works is tight, leaving no room for any unforeseen challenges.",f4ede735,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
Potential Post-Closure Environmental and Social Compliance Gaps,"A Post-Closure Action Plan (PCAP) has been prepared as a contingency for worst-case scenarios where activities may not be completed by the closing date (October 31, 2025). This indicates concern that E&S requirements may not be fully met, particularly for Re_679 and Re_710, creating potential compliance and reputational risks.",medium,unclear,"The mission discussed potential worst-case scenarios in which certain activities may not be completed by the closing date, thereby triggering specific environmental and social (E&S) requirements—particularly for Re_679 and Re_710. The Bank outlined the circumstances under which a PCAP would be required and the key elements it should contain. A draft PCAP has been prepared by the Bank team and was shared with UN-Habitat as a contingency measure.",1dca5ca7,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
Incidents and Accidents During Reconstruction Works,"Two incidents occurred in August 2025 during rehabilitation works. While addressed appropriately, ongoing construction in a post-blast environment with compressed timelines and extended working hours (including weekends and holidays) creates elevated occupational health and safety risks.",medium,unclear,UN-Habitat informed the Bank team that two incidents occurred in August 2025 and were addressed appropriately. The Bank shared the Environmental and Social Incident Reporting Tool (ESIRT) protocol with UN-Habitat to ensure proper reporting.,ff8e4867,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
High Volume of Stakeholder Grievances Related to Reconstruction Activities,"742 stakeholder grievances have been recorded since project start (660 grievances and 182 inquiries), with 122 recorded since May 2025. Most relate to dust, noise, and owner inquiries. This reflects community tensions and dissatisfaction with reconstruction impacts in a post-conflict urban setting.",medium,persistent,"Under Component 1, a total of 742 stakeholder grievances have been recorded and addressed since the beginning of the project (660 grievances and 182 inquiries), out of which 122 were recorded since May 2025. Most relate to owners' inquiries and local residents' complaints about dust and noise.",0856e1c9,P176577,Aide Memoire,2025-10-14T05:20:05.000Z
Political and Governance Instability Affecting Implementation,"Political and governance fragility in Lebanon continues to pose a high risk to project implementation, as indicated by the sustained 'High' rating in the Political and Governance risk category across all assessment periods.",high,persistent,Political and Governance High High High,0b69ff45,P176577,Implementation Status and Results Report,2025-10-13T23:15:06.000Z
