risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Procurement delays affecting emergency project implementation,"Prolonged and cumbersome procurement procedures are significantly delaying project activities and financial execution. The strategic food stock procurement file remained 10 weeks in the procurement cycle, with 3 weeks at the National Public Procurement Commission (CNMP) and 7 weeks in the signature circuit, preventing timely implementation of an emergency food security response project.",high,persistent,"À titre d'exemple, le dossier relatif au stock stratégique est resté 10 semaines dans le cycle de passation de marchés (dont 3 semaines au niveau de la Commission National de Marché Publics (CNMP) et 7 semaines dans le circuit des signatures).",492697d6,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Governance bottleneck in procurement approval processes,The National Public Procurement Commission (CNMP) is creating administrative bottlenecks that are preventing timely execution of an emergency food security project. The mission raised this challenge with the Minister and recommended engaging discussions with CNMP to prioritize PURCSA procurement files as an emergency project.,high,persistent,"Lors du débriefing avec la Ministre du MASS, la mission a soulevé le défi sur la passation des marchés et la nécessité d'engager des discussions avec le CNMP afin que les dossiers de passation de marchés du projet PURCSA, qui est un projet d'urgence, soient traités en priorité.",b5ee9204,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Inefficient water distribution due to non-compliance with planned routes,"Six water tanker trucks deployed to six regions are not following predefined routes, resulting in inefficient use of resources. This requires urgent discussion with regional prefects to clarify routes and ensure optimal resource management and effective water distribution.",medium,new,"lors des discussions au cours de la mission il a été observé que les itinéraires prédéfinis ne sont pas respectés, ce qui entraîne une utilisation inefficace des camions.",8c871450,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Coordination delays within project management unit affecting document transmission,"The Project Management Unit (UGP) coordination is experiencing delays in transmitting environmental and social safeguard documents prepared by the E&S team to the World Bank, causing unnecessary implementation delays. Some instruments were prepared in May-June 2024 but not yet transmitted.",medium,persistent,"De plus la mission a aussi noté du retard au niveau de la Coordination de l'UGP, dans la transmission à la Banque des documents préparés par l'équipe E&S du projet. Certains instruments ont été inclus en mai et juin mais n'ont pas été envoyés à la Banque et cela entraîne des retards inutiles.",74ceca20,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Incomplete complaint management mechanism affecting project safeguards,"The Complaint Management Mechanism (MGP) implementation is significantly delayed and only 53% complete as of September 2024. This is critical as a fully operational MGP, including for sexual exploitation and harassment (SEA/SH) incidents, must be in place before hydraulic infrastructure rehabilitation works can begin.",high,persistent,La mission note que la mise en place du MGP a pris un retard considérable et n'a été fait que partiellement (à 53%).,064781d6,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Delayed environmental and social safeguard screening for infrastructure works,"Environmental and social (ES) screening results and site-specific environmental and social impact assessments (ESIA) for hydraulic infrastructure rehabilitation works, although prepared in May-June 2024, have not been transmitted to the World Bank. This delays validation before finalization of procurement procedures.",high,persistent,"Les résultats du screening environnemental et social (ES) et de l'étude d'impact environnemental et social (EIES) spécifique au site, bien que les documents aient été partagés avec l'UGP en mai/juin 2024, ce dernier n'a pas encore transmis ces documents à la Banque mondiale.",f23a8b42,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Inadequate capacity for sexual exploitation and harassment prevention,"The project lacks adequate specialized capacity for sexual exploitation and harassment (SEA/SH) prevention. The planned recruitment of a gender-based violence specialist was not completed. While the current social specialist is assuming this role, additional capacity is needed, and a SEA/SH action plan requires significant revision before works can begin.",high,persistent,"Lors de la mission de décembre 2023, l'UGP devait recruter un spécialiste des violences basées sur le genre (VBG), ce qui n'a pas été fait... le consultant HEIS indique que des capacités supplémentaires sont nécessaires sur ce sujet.",a870d7c4,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Delayed monitoring and evaluation system implementation,"The Monitoring and Evaluation (M&E) system setup remains incomplete one year before project closure. This is critical for tracking project results and ensuring accountability, but implementation has been significantly delayed.",medium,persistent,"La mise en place du dispositif de Suivi et d'Évaluation (S&E) a été initiée, mais n'est toujours pas finalisé à un an de la date de clôture du projet.",34a767da,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Minimal project financial execution with one year to closure,"Project disbursement rate is only 15.2% as of October 2024, with only one year remaining until project closure (December 31, 2025). This extremely low execution rate, combined with persistent procurement delays, creates significant risk of project failure to achieve results.",high,worsening,"Le niveau de décaissements du projet dans le système Client Connection de la Banque mondiale, à la date d'octobre 2024, est à 15.2%, qui est très bas à un an de la date de clôture du projet.",8cd75d98,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Minimal achievement of project development objectives,"Project results remain critically low: only 50% of emergency food stock target acquired (1,500 of 3,700 tonnes), zero beneficiaries receiving improved water infrastructure, and zero households receiving agricultural inputs or livestock. With one year to closure, achieving targets is at severe risk.",high,persistent,"les résultats pour les indicateurs « Approvisionnement et reconstitution du stock alimentaire d'urgence », « Les ménages affectés bénéficiant d'infrastructures hydrauliques améliorées » et « Les ménages affectés ayant reçu des animaux, et/ou des intrants agricoles et/ou des intrants d'élevage » restent à 0",42bec16c,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
