risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Shifting Frontlines Constraining Service Access,"Conflict dynamics are creating shifting frontlines that constrain access to health facilities and beneficiaries, requiring ongoing adaptation of facility targeting and supply chain approaches.",high,persistent,The project has adapted facility targeting and supply chain approaches in response to access constraints and shifting frontlines.,46c0afa6,P504629,Implementation Status and Results Report,2025-09-24T09:25:14.000Z
High Political and Governance Risk Rating,"Political instability and governance fragility remain at high risk level, affecting project implementation environment and sustainability of health system preservation efforts.",high,persistent,Political and Governance High High High,03edb16d,P504629,Implementation Status and Results Report,2025-09-24T09:25:14.000Z
High Institutional Capacity Risk for Implementation,"Institutional capacity constraints for implementation and sustainability remain at high risk, likely linked to governance fragility and conflict-affected context limiting partner and government capacity.",high,persistent,Institutional Capacity for Implementation and Sustainability High High High,14ab80b1,P504629,Implementation Status and Results Report,2025-09-24T09:25:14.000Z
High Stakeholder Risk,"Stakeholder-related risks remain at high level, potentially reflecting tensions or coordination challenges with government and development actors in fragile context.",high,persistent,Stakeholders High High High,cc65cf79,P504629,Implementation Status and Results Report,2025-09-24T09:25:14.000Z
Political and Governance Instability Affecting Project Implementation,Sudan faces persistent high-level political and governance risks that continue to threaten project implementation capacity and sustainability.,high,persistent,Political and Governance High High High,d4f94245,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Macroeconomic Crisis Impacting Project Viability,"Severe macroeconomic conditions in Sudan remain at high risk level, potentially affecting the project's ability to deliver cash transfers and maintain beneficiary support.",high,persistent,Macroeconomic High High High,bc60c4ee,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Institutional Capacity Constraints in Fragile Context,"High-risk institutional capacity for implementation and sustainability persists, reflecting challenges in executing emergency safety net operations within Sudan's fragile governance environment.",high,persistent,Institutional Capacity for Implementation and Sustainability High High High,8a5c6195,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Fiduciary Risks in Conflict-Affected Environment,"High fiduciary risks remain, likely linked to governance fragility and the challenges of managing cash transfers in a conflict-affected context.",high,persistent,Fiduciary High High High,fef43e22,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Environment and Social Risks Escalating,"Environment and Social risks have worsened from High to Substantial, indicating emerging or intensifying social tensions or displacement pressures affecting project implementation.",high,worsening,Environment and Social High High Substantial,0412c3f1,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Other Unspecified High Risks in FCV Context,"An unspecified 'Other' risk category remains at high level, potentially encompassing conflict dynamics, displacement, or tensions between government and development actors.",high,persistent,Other High High High,66f4c592,P505963,Implementation Status and Results Report,2025-09-19T14:30:54.000Z
Political and Governance Instability Affecting Project Implementation,"Sudan faces high political and governance risks that directly threaten project implementation capacity and sustainability. The systematic risk rating identifies 'Political and Governance' as 'High' at approval, indicating fundamental concerns about the operating environment for development activities.",high,persistent,Risk Category Rating at Approval Approval Package - 28 May 2025 Proposed Rating Political and Governance High High,a78b4b03,P507788,Implementation Status and Results Report,2025-09-09T23:25:16.000Z
Stakeholder Engagement and Social Tensions,"High stakeholder risk rating suggests potential tensions between government, development actors, and communities that could impede project activities, particularly around energy and digital infrastructure deployment in fragile contexts.",high,persistent,Stakeholders High High,cdfda299,P507788,Implementation Status and Results Report,2025-09-09T23:25:16.000Z
Fiduciary Risk in Fragile Operating Environment,"High fiduciary risk rating reflects concerns about financial management, procurement integrity, and accountability in Sudan's fragile governance context, which could compromise fund utilization and project credibility.",high,persistent,Fiduciary High High,8d2140ab,P507788,Implementation Status and Results Report,2025-09-09T23:25:16.000Z
Sector Policy Instability Threatening Project Alignment,"High sector strategies and policies risk rating indicates that energy and digital sector policies in Sudan are unstable or subject to change, potentially misaligning project objectives with government priorities or creating implementation barriers.",high,persistent,Sector Strategies and Policies High High,3bf4449b,P507788,Implementation Status and Results Report,2025-09-09T23:25:16.000Z
Political and Governance Instability Affecting Implementation,"The project faces high political and governance risks in Sudan, which is classified as a fragile and conflict-affected state. This directly impacts the project's ability to implement activities and maintain operational continuity.",high,persistent,Political and Governance [Risk Rating] High,a89c30ae,P181490,Implementation Status and Results Report,2025-06-24T12:00:10.000Z
Institutional Capacity Constraints in Fragile Context,"High institutional capacity risks are rated for implementation and sustainability, reflecting challenges in delivering services through government and local structures in a fragile state context.",high,persistent,Institutional Capacity for Implementation and Sustainability [Risk Rating] High,f1478e00,P181490,Implementation Status and Results Report,2025-06-24T12:00:10.000Z
IDP and Host Community Social Cohesion Tensions,"The project explicitly targets both IDPs and host communities with service delivery and food security interventions. Satisfaction indicators are designed to gauge social cohesion between these groups, indicating underlying tensions that could affect implementation.",medium,unclear,The satisfaction results will be used to gauge social cohesion among IDPs and host communities and improve the delivery of services.,594df9ba,P181490,Implementation Status and Results Report,2025-06-24T12:00:10.000Z
Displacement Pressures and IDP Integration Challenges,"The project targets 140,000 IDPs as beneficiaries across multiple components, indicating significant displacement populations requiring service delivery and food security support in the three target states.",medium,persistent,"Select community members with improved access to basic services - IDP (Number) [Target] 140,000",df78d693,P181490,Implementation Status and Results Report,2025-06-24T12:00:10.000Z
Frontline Worker Salary Arrears and Service Delivery Risks,"The project acknowledges that frontline workers (teachers, health workers, technicians) are 'not receiving their salaries from the government on a regular basis,' creating dependency on project engagement and potential service delivery vulnerabilities.",medium,persistent,"Frontline workers are teachers, health workers, technicians, civil engineers, and others who are not receiving their salaries from the government on a regular basis.",e033912f,P181490,Implementation Status and Results Report,2025-06-24T12:00:10.000Z
Ongoing Conflict Impacting Learning Continuity,"The project explicitly acknowledges that ongoing conflict in Sudan is a factor necessitating learning continuity support, indicating active conflict dynamics affecting the education system and project implementation environment.",high,persistent,"Component 2: Facilitating Learning Continuity aims to mitigate learning loss among Sudanese students because of the COVID-19 pandemic, natural disasters, and ongoing conflict and better support socio-emotional wellness.",823fc2a6,P504621,Aide Memoire,2025-05-12T04:45:02.000Z
Security Management Framework Pending Clearance,"A Security Management Framework is required as a disbursement condition but remains pending World Bank clearance, indicating unresolved security concerns affecting project implementation and fund access.",high,persistent,"The project is advancing to meet the disbursement conditions for Category 1 (school grants) and Category 4, requiring the World Bank clearance of two documents: (a) the Security Management Framework and (b) the Social Assessment and Social Risk Management Framework.",7dd49bce,P504621,Aide Memoire,2025-05-12T04:45:02.000Z
Limited Access to Schools Due to Conflict-Related Factors,"The project identifies limited access as an anticipated challenge in school grant distribution, which in the Sudan context is directly linked to conflict and insecurity affecting school accessibility.",medium,persistent,"Anticipated challenges, such as limited access, price fluctuations, and high costs, will be addressed through flexible strategies and community engagement.",6cb9c327,P504621,Aide Memoire,2025-05-12T04:45:02.000Z
