risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Elections delaying harmonized tax approval and implementation,"Election dynamics are already delaying approval of harmonized tax reforms, which in turn affects planned domestic revenue administration milestones and related system implementation.",medium,new,PBC 1.5 – Unlikely to be achieved; Harmonized tax pending approval by FGS and FMS parliaments as we enter into elections,f3ed4b28,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Breakdown/absence of intergovernmental forum (FMFF) blocking fiscal policy decisions,"Key intergovernmental coordination and decision-making is stalled because the FMFF was not convened in 2025, preventing tabling/advancement of agreed policy items and affecting achievement of intergovernmental fiscal framework actions.",medium,persistent,"Requires tabling at FMFF meeting, however no FMFF organized in 2025.",bbccd364,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Withholding of Jubaland State transfers for two years,"Intergovernmental fiscal transfers to a Federal Member State have been withheld for an extended period, indicating a realized intergovernmental tension that is affecting implementation of the fiscal transfer-related performance condition.",high,persistent,JSS transfer withheld for 2 years.,31fc4b90,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
"Drought shock required emergency activation of CERC, diverting implementation to crisis response","A major drought crisis has already affected implementation by triggering activation of the project’s Contingent Emergency Response (CERC) to deliver drought response activities, indicating ongoing exposure to climate-related shocks that can disrupt or reshape planned investments.",high,persistent,"CERC activated for drought response in September 2022, including formally approved CERC Ops Manual",b95c38ce,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Large-scale drought-induced displacement pressures in target cities,"Significant drought-induced internal displacement is already affecting project context and implementation focus, with a substantial share of beneficiaries being IDPs and explicit targeting of drought-induced IDPs in multiple cities—signaling continued pressure on urban services, social cohesion, and delivery capacity.",high,persistent,"The component reached nearly 300,000 (81% of 371,000 targets of drought induced IDPs in Mogadishu, Baidoa, and Garowe as well as host communities.",afd50d01,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Intergovernmental coordination fragility across federal/state/municipal counterparts,"Implementation is occurring in a fragile governance environment where coordination forums are not consistently inclusive across federal, state, and municipal stakeholders, which can constrain joint decision-making and implementation alignment.",medium,persistent,Not all forums recorded were inclusive of all FGS/FMS/Municipal counterparts.,ac346995,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Insecurity requires security arrangements for field data collection,"Fieldwork implementation is directly shaped by Somalia’s insecurity context, requiring dedicated security arrangements as part of operational logistics for enumerators during nationwide data collection.",medium,persistent,"This activity was implemented by the Somalia National Bureau of Statistics (SNBS) with the support of a consultancy firm that managed logistics operations, including handling payment for the field team, transport, and security.",aa8f6276,P171160,Implementation Status and Results Report,2025-06-24T09:15:49.000Z
"Security constraints delayed completion of remaining infrastructure works, requiring project extension","Insecurity has already prevented completion of some planned infrastructure works within the original timeframe, contributing to a 12-month closing date extension to finish remaining activities.",high,persistent,"While four infrastructure works—two roads and two canals—could not be completed by the original closing date due to security, flooding, and logistical constraints, the project closing date has now been extended by 12 months to May 29, 2026.",371d1f4a,P173315,Implementation Status and Results Report,2025-06-16T12:10:15.000Z
Security-related delays are preventing timely completion of road rehabilitation works,Road rehabilitation under Component 2 is already behind schedule and projected to miss closure timelines due to security-related delays (alongside material availability constraints).,high,persistent,Works will not be able to be completed before project closure due to security and availability of materials related delays.,2e810b71,P173315,Implementation Status and Results Report,2025-06-16T12:10:15.000Z
Incomplete intergovernmental participation affecting coordination across levels of government,"Inter-governmental coordination forums intended to align Federal Government (FGS), Federal Member States (FMS), and municipal actors have not consistently achieved full, simultaneous participation, which can undermine coherent decision-making and implementation coordination in Somalia’s politically fragmented context.",medium,persistent,"“While the majority of forums involved representatives from multiple levels of government, not all included full participation from FGS, FMS, and municipalities simultaneously.”",40468e85,P170922,Implementation Status and Results Report,2025-06-13T14:10:16.000Z
Insecurity and limited access to project areas slowing implementation,"Security conditions and access constraints in project areas are already affecting implementation pace, contributing to slower-than-planned progress on core activities.",high,persistent,"Despite challenges related to security and access to the project areas, the project is advancing steadily in implementation of the core activities across school infrastructure, grants, and teacher development, although in slower pace than planned.",591be487,P172434,Implementation Status and Results Report,2025-06-13T09:05:18.000Z
Limited Federal Member State participation in fisheries coordination (Puntland absent from FMDC meetings),Puntland’s inability to participate in Fisheries Management and Development Council (FMDC) meetings is affecting inclusive federal–state coordination for sector governance and project implementation.,medium,persistent,Puntland has not yet been able to participate to these meetings.,ab1091e0,P178032,Implementation Status and Results Report,2025-06-01T18:02:21.000Z
Implementation in Puntland stalled due to unresolved Federal–State agreement,"Project activities in Puntland cannot proceed because required intergovernmental arrangements between the Puntland State of Somalia and the Federal Government have not been finalized, delaying implementation in that state.",medium,persistent,"However, the implementation of activities in Puntland state is currently on hold, pending the signing of the Subsidiary Agreement between the Puntland State of Somalia and the Federal Government.",077d02f8,P177627,Implementation Status and Results Report,2025-06-01T17:50:57.000Z
"Intergovernmental fiscal transfer formula not applied in the 2024 budget, delaying agreed federalism reforms","The agreed fiscal transfer formula was not fully used in the 2024 appropriation, requiring continued negotiations for 2025 and affecting implementation of intergovernmental fiscal reforms supported by the project.",medium,persistent,PBC 3.3 is missed as 2024 budget did not use the fiscal transfers formula in full. PBC 3.4 in progress: Negotiations are underway to ensure that the 2025 budget uses the formula for intergovernmental transfers allocations for budget support.,ac86b439,P173731,Implementation Status and Results Report,2025-05-31T18:51:19.000Z
Under-execution of federal fiscal transfers to FMS in FY2023,"Fiscal transfers from the Federal Government to Federal Member States were significantly under-executed in FY2023, indicating fragility in intergovernmental arrangements and constraining subnational financing tied to project-supported systems and service delivery.",medium,persistent,"Missed for 2023. The execution rate for the fiscal transfers to FMSs for FY2023 is 74%, ($90,928,689 /$123,130,376.38) which is less than the outturn rate for domestic revenue of 116%, ($329.5/283.3m).",ce8bd2fb,P173731,Implementation Status and Results Report,2025-05-31T18:51:19.000Z
