risk_id,title,summary,themes,keywords,locations,severity,time_horizon
HND-001,Contested Presidential Transition and Deep Political Polarization,"Nasry Asfura of the conservative National Party was inaugurated on January 27, 2026, following a razor-thin election victory marred by fraud allegations, delayed vote counts, and an explosive device attack inside the Legislative Palace that wounded a National Party lawmaker ([Reuters/US News](https://www.usnews.com/news/world/articles/2026-01-27/honduras-asfura-to-take-office-after-razor-thin-election)). The transition was further inflamed by outgoing President Castro ordering an illegal recount, which the army and the electoral body both rejected, while the EU and eight regional governments called for a peaceful handover ([ICG/Crisis Group](https://www.crisisgroup.org/latin-america-caribbean/central-america/honduras)). Asfura enters office lacking broad legitimacy—his party holds only the largest bloc (49 of 128 seats) and will require coalition support to pass major legislation—while the LIBRE party has yet to accept the result, deepening institutional mistrust ([Americas Quarterly](https://www.americasquarterly.org/article/honduras-begins-its-rightward-shift/)). Civil society organizations protested on inauguration day citing electoral irregularities and foreign interference, and a feminist march the following day was met with tear gas by the Armed Forces ([PBI Canada](https://pbicanada.org/2026/01/27/pbi-honduras-observes-mobilization-during-presidential-inauguration-expressing-concerns-about-electoral-process/)).","['political', 'governance', 'social']","['Asfura', 'election fraud', 'post-election violence', 'polarization', 'LIBRE', 'National Party', 'inauguration', 'legitimacy']","['Tegucigalpa', 'nationwide']",high,current
HND-002,Systemic Corruption and Institutional Impunity Under New Administration,"Honduras's democratic institutions remain fragile, with the country classified as a 'highly defective democracy' by the Bertelsmann Transformation Index, and structural impunity, institutional capture, and prioritization of private interests posing serious risks to governance ([WOLA](https://www.wola.org/analysis/honduras-after-the-elections-a-political-transition-with-weak-legitimacy-high-institutional-risks-and-key-challenges-for-u-s-policy/)). President Asfura himself is under investigation for an alleged embezzlement and money-laundering scheme from his time as mayor of Tegucigalpa, which he denies, adding a cloud of credibility to the new administration ([Reuters via Investing.com](https://www.investing.com/news/world-news/trumpbacked-asfura-wins-honduras-presidency-after-disputed-election-4424966)). The judiciary is under-resourced and affected by corruption and intimidation, resulting in high levels of impunity, while the elections authority was weakened by partisanship and institutional decay during the November 2025 vote ([UK Home Office, February 2026](https://www.gov.uk/government/publications/honduras-country-policy-and-information-notes/country-policy-and-information-note-gangs-honduras-february-2026-accessible)). After 40 days in office, the National Autonomous University of Honduras (UNAH) publicly noted a lack of concrete governance signals, particularly the absence of a formally appointed Health Ministry leadership ([ICN Digital, March 2026](https://icndigital.com/a-40-dias-del-gobierno-de-asfura-unah-senala-retrasos-en-salud-y-educacion-09-3-2026/)).","['governance', 'political']","['corruption', 'impunity', 'institutional weakness', 'Asfura', 'judiciary', 'embezzlement', 'elections authority', 'democratic fragility']","['Tegucigalpa', 'nationwide']",high,current
HND-003,Gang Violence and Expanding Organized Crime in Rural Areas,"While urban gang violence declined under the Castro-era state of emergency (homicide rate fell to 26.8 per 100,000 in 2024, the lowest in 20 years), the state of emergency officially ended on January 26, 2026, and organized crime groups have expanded their activities in rural departments ([ACLED](https://acleddata.com/report/violence-has-gone-down-during-xiomara-castros-term-has-security-improved-honduras)). Violence in Colón and Olancho departments increased 27% and 44% respectively during Castro's term, driven by drug trafficking and land disputes, while the displacement of MS-13 members from El Salvador has intensified territorial disputes and strengthened gang operations in border areas and urban slums ([UK Home Office, February 2026](https://www.gov.uk/government/publications/honduras-country-policy-and-information-notes/country-policy-and-information-note-gangs-honduras-february-2026-accessible)). As of August 2025, authorities reported 63 organized criminal groups (beyond MS-13 and Barrio 18) active nationwide, and extortion affected over 300,000 households in 2024—a national victimization rate of 11.6%, up from 9% in 2022 ([InSight Crime, December 2024](https://insightcrime.org/news/extortion-rise-honduras-signals-emergence-new-criminal-players/)). Honduras's police force has actually shrunk from 18,047 officers in 2022 to 17,436 in 2024, leaving the country severely under-resourced relative to the criminal threat ([USIP, December 2024](https://www.usip.org/publications/2024/12/honduras-and-el-salvador-two-crackdowns-crime-different-outcomes)).","['security', 'crime']","['MS-13', 'Barrio 18', 'extortion', 'homicide', 'state of emergency', 'organized crime', 'gang violence', 'rural violence']","['Tegucigalpa', 'San Pedro Sula', 'Colón department', 'Olancho department', 'nationwide']",high,current
HND-004,"Drug Trafficking, Coca Cultivation, and State-Crime Nexus","Honduras is a critical cocaine transit hub, and criminal groups—including the Valle Valle organization and Los Olanchos—have expanded into coca cultivation and cocaine processing in remote departments, raising the prospect of Honduras transitioning from a transit country to a producer ([ACLED](https://acleddata.com/report/violence-has-gone-down-during-xiomara-castros-term-has-security-improved-honduras); [InSight Crime](https://insightcrime.org/honduras-organized-crime-news/honduras/)). Drug trafficking activities are concentrated in Colón, Olancho, Atlántida, Yoro, and Gracias a Dios departments, where criminal groups seize land, build illegal airstrips, and forcibly displace families to secure trafficking routes ([UK Home Office, February 2026](https://www.gov.uk/government/publications/honduras-country-policy-and-information-notes/country-policy-and-information-note-gangs-honduras-february-2026-accessible)). The deep state-crime nexus is well documented—former President Hernández was serving a 45-year U.S. sentence for drug trafficking (later pardoned by Trump in 2025), and in August 2025 the U.S. Attorney General alleged Venezuelan traffickers had bribed individuals to transport cocaine through Honduran airspace ([CRS/Congress.gov](https://www.congress.gov/crs-product/IF13110)). Asfura's National Party, with ties to Hernández, faces intense scrutiny over whether the new administration will be willing or able to break the narco-political cycle ([ICG/Crisis Group](https://www.crisisgroup.org/latin-america-caribbean/central-america/honduras)).","['crime', 'governance', 'security']","['drug trafficking', 'coca cultivation', 'narco-corruption', 'Valle Valle', 'cocaine transit', 'state-crime nexus', 'Colón', 'Olancho']","['Colón department', 'Olancho department', 'Atlántida department', 'Yoro department', 'Gracias a Dios department', 'nationwide']",high,current
HND-005,Remittance Shock and Economic Vulnerability from U.S. TPS Termination and Deportations,"Remittances from Hondurans abroad—approximately 85% based in the United States—exceeded $9.7 billion (26-30% of GDP) in 2024-2025, making Honduras acutely vulnerable to U.S. immigration policy shifts ([CRS/Congress.gov](https://www.congress.gov/crs-product/IF13110)). The Trump administration terminated TPS for approximately 72,000 Honduran beneficiaries in July 2025; after a December 2025 federal court reinstatement was stayed by the Ninth Circuit on February 9, 2026, TPS for Honduras is currently terminated, exposing tens of thousands to deportation risk ([USCIS](https://www.uscis.gov/humanitarian/temporary-protected-status/temporary-protected-status-designated-country-honduras); [DHS, February 2026](https://www.dhs.gov/news/2026/02/10/trump-administration-chalks-legal-win-tps-termination)). The Inter-American Dialogue projects that the number of remittance senders will decline by 3-5% in 2026, with remittance growth at or below 2%, implying a ~1% contraction in GDP and a 1.5% decline in private consumption in Central America ([Inter-American Dialogue, March 2026](https://thedialogue.org/blogs/2026/03/change-and-continuity-in-money-transfers-in-2026)). Mass deportations will also flood Honduras's already saturated labor market, with deportees who lived an average of five years in the U.S. returning to sectors with little domestic demand ([Inter-American Dialogue, December 2025](https://thedialogue.org/blogs/2025/12/economic-incentives-are-needed-for-central-america-in-2026)).","['economy', 'displacement', 'social']","['TPS termination', 'deportations', 'remittances', 'economic shock', 'Honduran diaspora', 'labor market', 'GDP', 'U.S. immigration policy']",['nationwide'],high,0-3m
HND-006,Public Health System Crisis and Collapse of Service Delivery,"Honduras's public health system is described as 'on the verge of collapse,' with thousands of patients languishing on surgery waiting lists and shortages of medicines and supplies becoming acute at the time of Asfura's inauguration ([Americas Quarterly, February 2026](https://www.americasquarterly.org/article/honduras-begins-its-rightward-shift/)). A joint report by the World Bank, Pan American Health Organization, and The Lancet identified deep structural weaknesses in the system that leave it highly vulnerable to health crises ([Reuters, January 2026](https://www.usnews.com/news/world/articles/2026-01-27/honduras-asfura-to-take-office-after-razor-thin-election)). Forty days into the Asfura government, UNAH reported that no formal Health Ministry leadership had been appointed and that the Honduran Social Security Institute (IHSS)—covering roughly a third of the public health system—continues to suffer long waits, medicine shortages, and inadequate care with no structural reforms in sight ([ICN Digital, March 2026](https://icndigital.com/a-40-dias-del-gobierno-de-asfura-unah-senala-retrasos-en-salud-y-educacion-09-3-2026/)). Compounding the crisis, 168 Cuban doctors departed Honduras on March 4, 2026 after Asfura terminated the Cuba medical cooperation agreement on March 2, removing a significant healthcare workforce from underserved communities ([Cayman Compass, March 2026](https://www.caymancompass.com/2026/03/09/us-pressure-mounts-as-jamaica-honduras-end-cuba-medical-deals/)).","['health', 'governance', 'social']","['public health system', 'medicine shortages', 'IHSS', 'surgical backlog', 'Cuban doctors', 'health reform', 'World Bank', 'PAHO']",['nationwide'],high,current
HND-007,Internal Displacement Driven by Gang Violence and Organized Crime,"Honduras enacted a landmark Law for the Prevention, Care, and Protection of Internally Displaced Persons in April 2023, with UNHCR providing technical support for its implementation, but forced displacement driven by gang violence, drug trafficking, land seizures, and gender-based violence remains a persistent crisis ([UNHCR Honduras](https://www.unhcr.org/where-we-work/countries/honduras)). Criminal groups in rural departments such as Colón, Olancho, and along the Caribbean coast seize land, destroy crops, and forcibly displace families to secure trafficking routes and production zones, while women and girls face sexual and gender-based violence associated with criminal structures that also triggers displacement ([UK Home Office, February 2026](https://www.gov.uk/government/publications/honduras-country-policy-and-information-notes/country-policy-and-information-note-gangs-honduras-february-2026-accessible); [UNHCR Multi-Year Strategy 2023–2026](https://www.unhcr.org/sites/default/files/2025-01/Honduras-%20Strategy%202023%20%E2%80%93%202026_0.pdf)). Approximately 1.6 million people in Honduras face IPC phase 3+ food insecurity, with prolonged drought in the Dry Corridor compounding vulnerability and displacement drivers for rural communities ([EU ECHO, November 2025](https://ec.europa.eu/echo/files/funding/hip2026/echo_-am_bud_2026_91000_v1.pdf)). IOM leads the CCCM Sector nationally and the Humanitarian Local Team in El Valle de Sula (north), working within the Humanitarian Needs and Response Plan 2025 framework ([IOM Crisis Response Plan](https://crisisresponse.iom.int/response/honduras-crisis-response-plan-2023-2025)).","['displacement', 'humanitarian', 'security']","['internal displacement', 'IDP', 'gang violence', 'land seizures', 'UNHCR', 'IOM', 'CCCM', 'Dry Corridor', 'food insecurity']","['Colón department', 'Olancho department', 'El Valle de Sula', 'nationwide']",high,current
HND-008,Mixed Migration Flows and Deportee Reception Capacity,"Honduras sits at the intersection of northward emigration and significant transit migration, with over 545,000 people having entered irregularly in 2023 (a 189% increase from 2022), straining reception capacity ([UNHCR Multi-Year Strategy 2023–2026](https://www.unhcr.org/sites/default/files/2025-01/Honduras-%20Strategy%202023%20%E2%80%93%202026_0.pdf)). The new Asfura government has signed agreements allowing the U.S. to transfer third-country asylum seekers to Honduras and has agreed to repatriate Venezuelan nationals via Soto Cano Air Base, substantially increasing the state's migration management burden at a time of limited institutional capacity ([CRS/Congress.gov](https://www.congress.gov/crs-product/IF13110)). With TPS terminated for approximately 72,000 Hondurans in the U.S. and deportations projected to equal or exceed 2025 levels (estimated 100,000 across Central America), Honduras faces a growing wave of returnees who lived an average of five years abroad and will require reintegration support in labor markets that are already saturated ([Inter-American Dialogue, December 2025](https://thedialogue.org/blogs/2025/12/economic-incentives-are-needed-for-central-america-in-2026)). UNAH's 40-day assessment of the Asfura government (March 2026) noted that deportations of Hondurans continue and thousands of compatriots abroad continue to face uncertainty, with no concrete diplomatic outcomes visible from the president's U.S. visits ([ICN Digital, March 2026](https://icndigital.com/a-40-dias-del-gobierno-de-asfura-unah-senala-retrasos-en-salud-y-educacion-09-3-2026/)).","['displacement', 'humanitarian', 'economy']","['deportations', 'TPS', 'mixed migration', 'transit migration', 'returnees', 'reintegration', 'asylum seekers', 'IOM']","['nationwide', 'Soto Cano Air Base']",high,0-3m
HND-009,U.S. Aid Termination and Erosion of Governance and Civil Society Funding,"The Trump administration terminated approximately $167 million in U.S. foreign assistance obligated in FY2024-2025 for Honduras, including most economic and governance aid, and ended support for Honduran organizations working on democracy and human rights issues ([CRS/Congress.gov](https://www.congress.gov/crs-product/IF13110)). This funding withdrawal came as a Honduran congressional investigation targeted former U.S. civil society partners for allegedly 'destabilizing' the government, a process the Trump administration did not comment on, effectively legitimizing efforts to shrink civic space ([CRS/Congress.gov](https://www.congress.gov/crs-product/IF13110)). The collapse of anti-corruption support programs is particularly concerning given that Honduras had yet to establish the internationally backed anti-corruption commission (CICIH) pledged under Castro, leaving structural impunity largely intact for the incoming Asfura government ([WOLA, January 2026](https://www.wola.org/analysis/honduras-after-the-elections-a-political-transition-with-weak-legitimacy-high-institutional-risks-and-key-challenges-for-u-s-policy/)). For the World Bank and other development actors, the geopolitical realignment—including Honduras's renewed ICSID membership signaling and pro-investment stance—creates opportunities for re-engagement, but without governance safeguards, structural asymmetries risk deepening rather than addressing the root drivers of fragility ([WOLA, January 2026](https://www.wola.org/analysis/honduras-after-the-elections-a-political-transition-with-weak-legitimacy-high-institutional-risks-and-key-challenges-for-u-s-policy/)).","['governance', 'political', 'economy']","['U.S. aid cuts', 'anti-corruption', 'CICIH', 'civil society', 'ICSID', 'World Bank', 'development actors', 'civic space']",['nationwide'],high,0-3m
HND-010,Expanding Coca Cultivation and Risk of Honduras Becoming a Cocaine Producer,"Coca crops have appeared across Honduras since at least 2017 and appear to have taken hold, coupled with the emergence of drug laboratories, slowly turning the country into a cocaine producer rather than purely a transit state ([ACLED](https://acleddata.com/report/violence-has-gone-down-during-xiomara-castros-term-has-security-improved-honduras)). These activities are concentrated in remote parts of Colón, Olancho, Atlántida, and Yoro departments, with over 65% of ACLED-recorded coca seizures concentrated in Colón and Olancho alone during the Castro administration ([ACLED](https://acleddata.com/report/violence-has-gone-down-during-xiomara-castros-term-has-security-improved-honduras)). An ICG report from March 2025 confirmed that narco-investors have poured capital into coca cultivation in Central America, including Honduras, hiring experienced Colombian farmers to set up operations, as part of diversification away from traditional production countries ([ICG, March 2025](https://www.crisisgroup.org/rpt/latin-america-caribbean/colombia-ecuador-guatemala-honduras-mexico/108-curbing-violence-latin-america-drug-trafficking-hotspots)). If this trend consolidates, it would represent a qualitative escalation in Honduras's FCV profile—drawing greater cartel presence, more severe land conflict, and deeper corruption of local governance structures in historically remote areas.","['crime', 'security', 'environment']","['coca cultivation', 'cocaine production', 'drug labs', 'narco-investors', 'Colón', 'Olancho', 'land conflict', 'cartel']","['Colón department', 'Olancho department', 'Atlántida department', 'Yoro department']",high,3-12m
