risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Payment delays due to political/administrative tensions between FGS and Federal Member States,"Payment delays occurred in Garowe, Puntland for UNOPS, indicating tensions between federal and state-level authorities affecting project fund transfers and contractor payments.",medium,persistent,"The mission noted there was payment delay in Garowe, Puntland for UNOPS. This issue was resolved during the mission. For future payments, similar issue may arise. The team recommends for the government led by MPWRH to make an agreement with Puntland EAFS for way forward to ensure timely payment.",f8d6bb3b,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Security incidents affecting project implementation in Garowe,"A fatality incident occurred on a project site in Garowe, causing a 3-week work stoppage and requiring corrective and preventive actions, indicating security risks to project staff and workers.",high,persistent,"An incident that resulted in a fatality on site caused a stoppage of work for 3 weeks... promptly reported to the Bank, the fatality incident in Garowe and implemented all the corrective and preventive actions",4774e495,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Insecurity constraining equipment mobilization and contractor operations,"Road transportation of equipment is not possible due to insecurity, forcing contractors to airlifting heavy equipment at significant cost and delay, affecting project timelines.",high,persistent,"Road transportation of equipment is not possible due to insecurity and the Contractor experienced challenges in airlifting heavy equipment from Mogadishu. Two excavators were required for earthworks, but only one was available in March 2022, 7 months after the contract start date.",16b89d03,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Governance fragility affecting inter-governmental coordination and fund transfers,"Weak institutional capacity and coordination between FGS and FMS levels is impacting timely fund disbursement and project implementation, requiring new agreements and monthly check-ins to ensure payments.",medium,persistent,"The team recommends for the government led by MPWRH to make an agreement with Puntland EAFS for way forward to ensure timely payment. It was agreed during the mission that the PCU FM specialist will facilitate monthly check-in with each PIU FM specialist, to ensure timely submission of payments.",72aa67d1,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Limited government institutional presence constraining project oversight,"The project is operating in an environment with extreme FCV circumstances, including limited presence of government institutions and significant physical insecurity, affecting supervision and compliance.",high,persistent,"The implementation of ESCP is proceeding as planned despite the extreme FCV circumstances, including the limited presence of government institutions, significant physical insecurity, and the intensifying socio-economic impacts of climate change.",c2bab5e3,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Tension between government and development actors over data sharing and accountability,Delays in data sharing agreements between IOM and MPWRH on beneficiary information indicate governance tensions affecting project accountability and component closure.,medium,persistent,"IOM will provide clear timeline for data sharing with the MPWRH by using similar process as Baxnaano project by December 19, 2024. This will include agreement to have additional agreement with the MPWRH on data sharing.",cd68cb1f,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Displacement and land tenure insecurity affecting project implementation,Delays in securing land tenure documents required for latrine construction and issues with property access and compensation for displaced persons are affecting Component 4 implementation.,medium,persistent,"Key challenges include delays in de-duplication for MPCA with WFP, delays in securing land tenure documents required for latrine construction, and additional health and nutrition needs related to late 2023 flooding.",a11dec12,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Shelter design and structural safety issues in IDP settlements,Structural challenges with shelters in Baidoa IDP settlement (roofs being blown off) indicate safety risks to displaced populations and require urgent remedial action.,high,worsening,"The Mission was also informed that, following the incidents involving roofs being blown in the Barwaaqo IDP settlement site, IOM had agreed to address the issue with the contractor on the site and ensure that no harm befalls the residents of the site, who are going to inhabit the houses.",a2539ae1,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Conflict-related disruptions to project sites and operations,"Security incidents near project sites, including a terror attack in October 2022 close to Kismayo project site, pose ongoing risks to project staff and operations.",high,persistent,"The recent terror attack, which took place very close to the project site in October 2022, was not aimed at the PIU offices nor the project. Regardless, the PIU must remain vigilant and follow strict mitigation measures outlined in the SMP.",a85c54be,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
Rapid urbanization and informal settlement pressures affecting project design,"Rapid urbanization around project areas (e.g., Hanano road in Baidoa) has created unplanned settlement patterns requiring design changes and additional infrastructure investments not originally planned.",medium,worsening,"The mission also noted the rapid urbanization of the area around Hanano road, which at the time of design in 2019 was considered peri urban. This has created the need for improved road drainage and junction geometry design and provision of streetlighting.",97253d0f,P170922,Aide Memoire,2024-12-09T06:25:07.000Z
