related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
AFG-2026-03,Taliban Gender Apartheid Intensified by New Criminal Regulation,Project's core objective of women's financial inclusion and women-led MSME support is directly threatened by Taliban restrictions on women's economic participation and mobility. The January 2026 Criminal Procedural Regulations and ongoing ban on women entering UN offices severely constrain project implementation capacity and beneficiary access.,0.95,P504220,"PAD identifies 'Restrictions on women's economic activities and mobility pose high risks to project implementation and beneficiary access, particularly for women beneficiaries' and notes 'Policy uncertainty regarding women's ability to continue working.' The project explicitly targets 'women-owned and women-led businesses' as primary beneficiaries. PAD acknowledges 'MFPs becoming more cautious in lending to women; average loan size to women has decreased to half that of male borrowers.' Entry Criteria for Access (ECA) requires 'no restrictions on the ability of women to attain credit from MFPs' to assess whether conditions permit implementation. The project's de-risking product for women-led MSMEs is designed to 'insure loans against policy changes by ITA that may impact their ability to service loans,' indicating explicit recognition of this risk."
AFG-2026-01,Afghanistan-Pakistan Armed Conflict and Cross-Border Escalation,"Project operates in 15 provinces including Nangarhar, Kunar, Paktia, and Badakhshan—areas directly affected by February-April 2026 cross-border clashes, airstrikes, and displacement. Conflict-driven displacement, damage to infrastructure, and security disruptions threaten beneficiary access, staff safety, and implementation continuity.",0.9,P504220,"Project locations include 'Badakhshan, Baghlan, Balkh, Bamyan, Daikundi, Faryab, Herat, Jowsjan, Kabul, Kunduz, Nangarhar, Parwan, Samangan, Sar-e-pol, Takhar' (15 of 34 provinces). The FCV risk summary documents that February-April 2026 clashes affected Nangarhar, Paktika, Khost, Paktia, and Kunar provinces with 'over 115,000 displaced' and 'damage to civilian infrastructure including medical facilities.' PAD acknowledges 'Post-conflict environment with ongoing security concerns' and 'Ensuring safe and unimpeded access to all areas, including beneficiaries, particularly women, poses additional high risks.' Mitigation relies on 'leveraging existing networks of implementing partners with established presence in target provinces' and 'flexibility in implementation arrangements to adapt to security situation,' indicating vulnerability to disruption."
AFG-2026-04,Catastrophic Food Insecurity and Malnutrition Crisis,"Project targets vulnerable populations (microenterprises, returnees, food-insecure populations) whose economic capacity and ability to repay microfinance is severely undermined by the 2025-2026 food insecurity crisis affecting 17.4 million people. Beneficiary targeting and loan viability are compromised when populations face emergency-level food insecurity.",0.85,P504220,"PAD identifies 'Food-insecure populations (15.3 million acutely food-insecure; 6 million on brink of starvation)' as vulnerable groups. Project design assumes demand for microfinance and enterprise development services, but the FCV risk documents that 'an estimated 17.4 million people, more than one-third of the population, are projected to face crisis or worse food insecurity (IPC Phase 3+), including 4.7 million in IPC Phase 4 emergency levels.' PAD notes project supports 'livelihoods and income-generating opportunities which are critical for returnee populations' and targets 'Informal sector workers' and 'Micro and small enterprise owners,' but does not address how beneficiaries in IPC Phase 4 emergency conditions can engage in enterprise development or service loan obligations. The macroeconomic risk mitigation strategy focuses on 'support of enterprises to improve sustainability of economic environment,' but does not address acute food insecurity as a barrier to beneficiary participation."
AFG-2026-05,Mass Returnee Crisis Overwhelming Absorptive Capacity,"Project explicitly targets returnees as beneficiaries, but the scale of returns (2.78 million in 2025 alone, with 150,000+ more in early 2026) overwhelms absorptive capacity in housing, land, water, education, and health services—particularly in eastern and southern regions where project operates. Returnee beneficiaries lack basic services and asset base needed for viable microenterprise participation.",0.8,P504220,"PAD identifies 'Returnees and refugees (1.46 million expected returns from Pakistan and Iran in 2024)' as vulnerable groups and states 'Project design allows nationwide at-scale approach to respond to crises including increased repatriation of Afghan returnees. Project supports livelihoods and income-generating opportunities which are critical for returnee populations.' However, the FCV risk documents that 'nearly 150,000 more Afghans returned from Iran and Pakistan in 2026 alone' and 'over 90 percent of returnees struggling to survive on less than five dollars a day,' with 'Large-scale returns placing extraordinary pressure on housing, land, water, education, and health services, particularly in eastern and southern regions.' Project operates in eastern provinces (Badakhshan, Nangarhar, Takhar, Kunduz) and southern regions (Kandahar not listed but Helmand not listed). The PAD does not address how returnees lacking basic services and asset base can participate in microenterprise development or access credit."
AFG-2026-06,Collapse of Humanitarian Funding Due to U.S. and Donor Aid Cuts,"Project depends on sustained donor commitment and ARTF funding in an environment where Afghanistan is losing approximately USD 859 million in ODA in 2026 compared to 2023 baseline (5% of GNI). Funding cuts directly threaten project sustainability, implementing partner capacity, and the broader economic environment needed for microfinance sector recovery.",0.85,P504220,"PAD acknowledges 'Heavy reliance on external aid with potential reduction in civilian support will strain fiscal sustainability and service delivery' as a macroeconomic risk. The FCV risk documents 'Afghanistan is projected to lose approximately USD 859 million in ODA in 2026 compared to 2023 baseline levels, equivalent to an estimated 5 percent of GNI' and 'The UN has been forced to reprioritize its response from 16.8 million to 12.5 million people assisted.' PAD mitigation strategy focuses on 'movement toward market-based approaches in private sector' and 'support of enterprises to improve sustainability of economic environment,' but does not address how the project can sustain operations or achieve its objectives if donor funding continues to decline. The project itself is ARTF-funded, making it vulnerable to broader donor retrenchment."
AFG-2026-07,Collapsing Healthcare System Driven by Taliban Restrictions and Funding Cuts,"Project targets women entrepreneurs and women-led businesses whose health, mobility, and economic agency are constrained by Taliban restrictions on women's healthcare access and the collapse of the health system. Women beneficiaries' ability to work and service loans is undermined by restricted access to reproductive healthcare and medical services.",0.75,P504220,"PAD identifies 'Women entrepreneurs and women-led businesses' and 'Women-led microenterprises' as primary vulnerable groups. The FCV risk documents that 'the Taliban systematically restricting access to healthcare for women and girls through limits on freedom of movement, the right to work, and a ban on medical education for women' and 'at least 1,700 female health workers had lost jobs and over 153 Family Health Houses had closed.' The PAD notes that 'focus on home-based services and handicrafts for women (80% of women's loans)' is a mitigation strategy, but does not address how women's restricted healthcare access affects their economic participation or loan repayment capacity."
AFG-2026-10,Friction Between Taliban and UN/Development Actors Over Operational Access,"Project implementation depends on operational access and coordination with development partners, but Taliban restrictions on women entering UN offices (in force since September 2025) and resistance to international oversight directly constrain project operations. The shortened UNAMA mandate renewal (June 2026) and geopolitical divisions over Taliban engagement create uncertainty for project coordination and donor alignment.",0.8,P504220,"PAD states 'Project Implementation Unit (PIU) established by AKF-USA' and relies on 'coordination with ARTF donors through Economic Development Strategic Thematic Working Group; collaboration with development partners through Afghanistan Consultation Group; quarterly virtual implementation support missions by World Bank.' However, the FCV risk documents that 'Taliban security forces have barred Afghan women including UN staff from entering UN offices and compounds nationwide; as of late January 2026 the ban remained in force, severely curtailing UN operational capacity' and 'The UN Security Council adopted resolution 2818 on March 16, 2026 extending UNAMA's mandate only until June 17 rather than a full year, with the shortened renewal reflecting deep uncertainty about the mission's ability to operate under Taliban constraints.' PAD acknowledges 'Uncertainty regarding international community's engagement with ITA' as a stakeholder risk and notes 'Taliban spokesperson Zabihullah Mujahid dismissed UNAMA as a 'failure' issuing 'inaccurate reports,' signaling continued resistance to international oversight.' This directly threatens project coordination mechanisms."
AFG-2026-11,Afghanistan-Pakistan Conflict Trade Disruption and Economic Spillover,"Project targets microenterprises and small enterprises whose viability depends on trade and market access. The Torkham border closure (nearly one month) and broader trade disruption from Pakistan-Afghanistan conflict directly undermine enterprise sustainability and loan repayment capacity, particularly in eastern provinces where project operates.",0.85,P504220,"PAD identifies 'Micro and small enterprise owners' as beneficiaries and notes project supports 'Building a Pipeline of Bankable Micro and Small Enterprises' through business development services and credit access. The FCV risk documents that 'The Torkham border crossing, Afghanistan's most important trade gateway, was closed for nearly a month due to ongoing clashes' with 'a member of the Nangarhar Chamber of Commerce estimating losses of USD 90 million to Afghanistan's private sector and thousands of trucks stranded.' Project operates in Nangarhar province. The risk further notes 'The wider Pakistan-Afghanistan conflict has disrupted trade and cross-border travel since hostilities began in October 2025, with border closures and trade suspension further compounding Afghanistan's already precarious economic situation.' PAD acknowledges 'Constrained banking system exacerbates risks in managing funds and maintaining liquidity' but does not address how trade disruption affects enterprise viability or loan repayment."
AFG-2026-08,Compounding Climate and Seismic Shocks Overwhelming Response Capacity,"Project operates in provinces affected by March-April 2026 floods and April 5 earthquake (Badakhshan, Samangan, Kunduz, Baghlan). Climate shocks and seismic events destroy beneficiary assets, disrupt livelihoods, and create competing humanitarian needs that overwhelm response capacity and divert resources from microfinance and enterprise development activities.",0.8,P504220,"PAD identifies project locations as 'Badakhshan, Baghlan, Balkh, Bamyan, Daikundi, Faryab, Herat, Jowsjan, Kabul, Kunduz, Nangarhar, Parwan, Samangan, Sar-e-pol, Takhar.' The FCV risk documents that 'Between March 26 and April 6, 2026, heavy rainfall and flash floods affected all eight regions of Afghanistan' with 'multi-purpose cash assistance identified as a key gap in Samangan, Kunduz, and Baghlan provinces' and 'On April 5, a 5.9-magnitude earthquake struck the Hindu Kush region with epicenter in Badakhshan, killing 14 people in Kabul including a returnee family recently arrived from Iran.' PAD acknowledges 'Afghanistan highly vulnerable to droughts, floods, landslides; women disproportionately affected by climate change' as a structural fragility factor but does not address how recent floods and earthquake affect beneficiary asset base or project implementation in affected provinces."
AFG-2026-02,ISKP Terrorist Activity and Exploitation of Security Vacuum,"Project operates in eastern provinces (Badakhshan, Nangarhar, Takhar, Kunduz) where ISKP is exploiting security gaps created by Taliban-Pakistan conflict to expand operations and move fighters. Terrorist activity in project areas creates direct security threats to beneficiaries, staff, and implementing partners, and diverts government and international security resources.",0.75,P504220,"PAD identifies project locations including 'Badakhshan, Nangarhar, Takhar, Kunduz' and acknowledges 'Post-conflict environment with ongoing security concerns' and 'Ensuring safe and unimpeded access to all areas, including beneficiaries, particularly women, poses additional high risks.' The FCV risk documents that 'analysts warn that the Taliban-Pakistan confrontation has created significant security gaps in eastern Afghanistan that ISKP is exploiting to expand its operational presence, move fighters, and smuggle weapons' and 'ISKP as 'resilient and continues to pose a threat, both internally in Afghanistan and externally,' with frequent attacks and growing propaganda activity.' PAD mitigation relies on 'leveraging existing networks of implementing partners with established presence in target provinces' and 'flexibility in implementation arrangements to adapt to security situation,' but does not specifically address ISKP threat."
AFG-2026-01,Afghanistan-Pakistan Armed Conflict and Cross-Border Escalation,"Project implementation in eastern provinces (Nangarhar, Paktika, Kunar, Khost) is directly vulnerable to cross-border conflict escalation. The PAD identifies project locations in 8 urban centers including Jalalabad and Khost, and 71 districts across 23 provinces. The current conflict has caused 289 civilian casualties, over 115,000 displaced persons, and damage to civilian infrastructure including medical facilities in these exact regions. Project's reliance on safe access for UNOPS, NGO staff, and beneficiaries is explicitly identified as a 'substantial' operational risk in the PAD.",0.95,P178760,"PAD states project operates in '6,450 rural communities across 6 regions, 23 provinces, and 71 districts' with urban centers including 'Jalalabad and Khost.' PAD identifies 'Operational - Access and Implementation (substantial)' risk: 'Risks to safe and unhindered access for implementing agencies and beneficiaries' and notes 'volatile security situation with civilian casualties between August-October 2021; attacks on Shi'ite mosques and Hazara ethnic minority.' PAD acknowledges 'risk of armed conflict near project sites and terrorist attacks on project workers' and states project 'assumes security conditions allow for continued operations but acknowledges this is uncertain.'"
AFG-2026-02,ISKP Terrorist Activity and Exploitation of Security Vacuum,"Project staff and beneficiaries face direct threat from ISKP terrorist activity, particularly in eastern Afghanistan where the project operates. ISKP is actively exploiting security gaps to expand operations and conduct attacks. The PAD explicitly identifies 'terrorist attacks on project workers' as a security risk and requires adherence to UN security protocols and flexibility to suspend activities. Project's reliance on NGO and UNOPS staff presence in conflict-affected areas creates exposure to ISKP targeting.",0.9,P178760,PAD identifies security risk: 'risk of armed conflict near project sites and terrorist attacks on project workers.' Mitigation strategy states: 'Work with experienced NGO partners with conflict-sensitive approaches; leverage CDC and local elder knowledge of local conflict dynamics; adhere to UN security protocols; maintain flexibility to suspend activities in areas where security deteriorates.' PAD notes project operates in areas with 'volatile security situation' and requires 'safe and unhindered access for implementing agencies and beneficiaries.'
AFG-2026-03,Taliban Gender Apartheid Intensified by New Criminal Regulation,"Project's core design depends on women's participation and female staff engagement, which is directly undermined by Taliban gender restrictions. The PAD identifies Component 4 targeting 'women's participation' and Component 3 providing 'Social Grants for Women' to 132,000 vulnerable households. However, Taliban ban on women entering UN offices (in force since September 2025) and new criminal regulations criminalizing women's mobility create severe implementation barriers. PAD explicitly identifies 'restrictions on female staff mobility' and 'restrictions on women's mobility and participation' as high political/governance risks.",0.95,P178760,PAD Component 3 targets 'female-headed households' and Component 4 includes 'capacity building for women's participation' and 'awareness campaigns.' PAD identifies risk: 'High political uncertainty with no international recognition of ITA; risks regarding safe and unhindered access to all geographical areas and beneficiaries including women and minorities; potential restrictions on female staff mobility.' PAD mitigation includes: 'arrange mahram for female staff where needed' and establish Entry Criteria requiring 'women able to participate with minimum 40% women CDC members.' PAD acknowledges 'restrictions on women's mobility and participation' as operational risk requiring 'female social organizers from NGOs' and flexibility in implementation approach.
AFG-2026-04,Catastrophic Food Insecurity and Malnutrition Crisis,"Project's ability to deliver livelihood support and prevent further deterioration is constrained by the scale of the food insecurity crisis. The PAD targets 1 million households (7 million Afghans) with livelihoods support, but current crisis affects 17.4 million people in IPC Phase 3+ with 4.7 million in emergency levels. Component 3 includes 'food/grain banks' but the scale of need vastly exceeds project capacity. Funding cuts to WFP (from 5.6 million to 1 million people served monthly) mean project must operate in context of collapsing complementary humanitarian assistance.",0.85,P178760,"PAD Component 3 includes 'food/grain banks' for 132,000 vulnerable households. PAD identifies 'Macroeconomic (high)' risk: 'Afghan economy in severe crisis with 30% expected contraction; suspension of foreign aid and freezing of US$9 billion in reserves; currency depreciation of 15%; liquidity crisis with limited access to financial services; inflation around 40% for basic goods.' PAD notes project targets 'approximately 1 million households (7 million Afghans)' but fragility context states '24.4 million Afghans in need of humanitarian assistance' and 'Over 2/3 of households unable to cover basic food and non-food needs.'"
