risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Fragility,"Political and governance risks are rated as High at project approval, indicating significant fragility in the operating environment that could affect project implementation and stakeholder engagement.",high,persistent,Political and Governance High High,f9768427,P180906,Implementation Status and Results Report,2025-09-15T17:00:08.000Z
Governance Capacity Constraints in Implementation,"The Project Implementation Team within the Ministry of Fisheries and Maritime Economy is newly established and working toward project implementation in a context of high political and governance risk, which may constrain effective execution and coordination.",high,new,The Project Implementation Team within the Ministry of Fisheries and Maritime Economy is working toward project implementation.,f0d383f0,P180906,Implementation Status and Results Report,2025-09-15T17:00:08.000Z
Political and Governance Risk Remains High,"Political and governance risks are rated as High across all assessment periods (approval, last approved rating, and proposed rating), indicating persistent governance fragility affecting project implementation in Guinea.",high,persistent,Political and Governance High High High,9730121a,P164184,Implementation Status and Results Report,2025-08-01T21:21:00.000Z
Contractor Non-Performance and Potential Insecurity in Mambia Region,"Complete lack of progress on 322 km of road rehabilitation in Mambia with contract termination planned, suggesting possible security concerns or governance breakdown preventing contractor operations in the region.",high,persistent,"In Mambia, no progress has been made on 106 km of roads; contracts will be terminated and new contractors recruited.",d5a79fe6,P164184,Implementation Status and Results Report,2025-08-01T21:21:00.000Z
Institutional Capacity and Partner Coordination Challenges,"Persistent communication challenges between PIU and partners, combined with technical support firm demobilizing staff without replacement plan, indicate institutional fragility affecting project coordination and implementation continuity.",medium,persistent,"PIU collaboration has improved, but partner communication remains a challenge. The technical support firm is demobilizing staff without a replacement plan, which must be clarified to ensure service continuity.",3648c259,P164184,Implementation Status and Results Report,2025-08-01T21:21:00.000Z
Institutional Capacity for Implementation Downgraded,"Institutional capacity rating declined from Substantial at approval to Moderate in current assessment, indicating weakening government and implementing agency capacity to sustain project implementation.",medium,worsening,Institutional Capacity for Implementation and Sustainability Substantial Moderate Moderate,ccff9ea2,P164184,Implementation Status and Results Report,2025-08-01T21:21:00.000Z
Political and Governance Fragility,The project faces a High-rated Political and Governance risk that is affecting implementation. This reflects underlying political instability and governance challenges in Guinea that constrain project execution and institutional reforms.,high,persistent,Political and Governance High High,94b9569f,P179017,Implementation Status and Results Report,2025-07-15T22:25:20.000Z
Institutional Capacity Constraints Linked to Governance Fragility,"Substantial institutional capacity risks are present for implementation and sustainability, likely compounded by governance fragility. This affects the ability of water and sanitation institutions to execute project activities and sustain reforms.",high,persistent,Institutional Capacity for Implementation and Sustainability Substantial Substantial,c3299dd2,P179017,Implementation Status and Results Report,2025-07-15T22:25:20.000Z
Environment and Social Tensions,"High-rated Environment and Social risks are affecting the project, potentially including tensions with affected communities, displacement concerns, or social instability related to water infrastructure development in Greater Conakry.",high,persistent,Environment and Social High High,a94e34b1,P179017,Implementation Status and Results Report,2025-07-15T22:25:20.000Z
Political and Governance Instability Affecting Project Implementation,"The project faces persistent substantial political and governance risks that constrain implementation progress. The document indicates that while key activities are underway, implementation acceleration is needed, suggesting governance-related delays in advancing reforms and institutional capacity building.",high,persistent,"While key activities are underway, project implementation should be accelerated to ensure the sustainability of project achievements.",db7e9b36,P168613,Implementation Status and Results Report,2025-06-27T15:55:41.000Z
Institutional Capacity and Governance Constraints in Mining Sector Reforms,"Multiple critical mining sector regulatory reforms remain incomplete or delayed, including Protected Area Code, Water Code, and mining permits exclusion from classified forests. These delays reflect governance fragility and institutional capacity limitations affecting the project's core objectives.",high,persistent,"Mining permits excluded from classified forests (Yes/No) Comments on achieving targets Classified forests outlined and excluded from licensing possibilities in the mining cadastre A directory of protected areas was produced in 2019, and the revision of the protected areas network began at the end of 2022. However, this data is not currently included in the mining cadastre.",8c01144e,P168613,Implementation Status and Results Report,2025-06-27T15:55:41.000Z
Governance Tensions Between Mining and Environmental Protection Mandates,"Coordination challenges between the Ministry of Mining and environmental authorities are evident in the delayed integration of protected areas data into the mining cadastre. A dialogue with the Ministry of Mining is only scheduled for the second half of 2025, indicating governance friction.",medium,persistent,"With the support of AT OGPRNRF, work to identify overlaps has been underway since November 2024. As part of the protected area review process, a dialogue with the Ministry of Mining is scheduled for second half of 2025.",356a9110,P168613,Implementation Status and Results Report,2025-06-27T15:55:41.000Z
Weak Institutional Capacity for Environmental and Social Monitoring,"The project's environmental and social monitoring capacity remains underdeveloped, with the modernization of the environmental and social assessment database still not achieved as of June 2025. This reflects institutional fragility in governance structures.",medium,persistent,"b. Modernization and generalization of the database of the environmental and social assessment database to all relevant projects (Yes/No) Comments on achieving targets Capacity of AGEE in identifying and mapping all ongoing or planned infrastructure projects (dams, roads, railways, mines, etc.) to be environmentally and socially monitored June 2025: The TA for AGEE started with implementation support.",faa98c5f,P168613,Implementation Status and Results Report,2025-06-27T15:55:41.000Z
Political and Governance Instability Affecting Project Implementation,"The project operates in a context of high political and governance risk, which is rated as 'High' across all assessment periods. This persistent high rating indicates ongoing political instability and governance fragility that could undermine project implementation and beneficiary access to social protection services.",high,persistent,Political and Governance High High High,207dbaf1,P168777,Implementation Status and Results Report,2025-06-13T18:40:27.000Z
Elevated Fiduciary Risk Emerging During Implementation,"Fiduciary risk has escalated from 'Substantial' to 'High' in the most recent assessment, suggesting emerging concerns related to financial management, procurement, or governance controls that may be linked to the fragile political context and could compromise project fund utilization.",high,worsening,Fiduciary Substantial Substantial High,114a4056,P168777,Implementation Status and Results Report,2025-06-13T18:40:27.000Z
Infrastructure Destruction from Fuel Depot Explosion,"December 2023 fuel depot explosion in Conakry destroyed schools and administrative buildings, necessitating emergency response and CERC activation to rehabilitate critical infrastructure.",high,persistent,"The Contingent Emergency Response Component (CERC) of the project in the amount of US$50 million was activated on June 15, 2024 to rehabilitate schools and administrative buildings that were destroyed during the December 2023 explosion of the fuel depot in Conakry",fc280a37,P168777,Implementation Status and Results Report,2025-05-31T06:56:41.000Z
Shock-Related Financing Gap and Project Replenishment Needs,CERC activation to address the fuel depot explosion has created a financing gap requiring additional financing to sustain project implementation and emergency response capacity.,high,new,The World Bank and ANIES have also started preparing an additional financing to replenish the financing gap following the CERC activation.,c8d18dee,P168777,Implementation Status and Results Report,2025-05-31T06:56:41.000Z
High Political and Governance Risk Rating,Project faces persistent high-level political and governance risks that could affect implementation stability and government commitment to social protection objectives.,high,persistent,Political and Governance [Risk Rating]: High [at Last Approved Rating ISR Seq. 07 - 24 Jun 2024],60678d6a,P168777,Implementation Status and Results Report,2025-05-31T06:56:41.000Z
Political and Governance Instability Affecting Project Implementation,"Political and governance risks remain substantial, creating uncertainty for project implementation acceleration and institutional reform efforts in Guinea's mining and environmental sectors.",high,persistent,Political and Governance [Risk Rating] Substantial,d2f9cdd8,P168613,Implementation Status and Results Report,2025-05-31T06:56:02.000Z
