country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SDN-2026-01,Active Multi-Front War: SAF-RSF Conflict Escalates in Kordofan and Darfur,"The realized project risk of shifting frontlines directly reflects the multi-front escalation documented in this country risk. The project's need to continuously adapt facility targeting and supply chain approaches is a direct operational consequence of the active fighting across Kordofan, Darfur, and other regions, which creates unpredictable access constraints as territorial control changes.",0.95,P504629,46c0afa6,Implementation Status and Results Report
SDN-2026-06,Deliberate Obstruction of Humanitarian Access,"The project's implementation challenge of constrained access to health facilities and beneficiaries is directly connected to the systematic obstruction of humanitarian access by both warring parties. The need for ongoing adaptation of facility targeting reflects the reality that warring parties are deliberately blocking aid movement and restricting access to conflict-affected populations, forcing the project to continuously recalibrate its operational approach.",0.92,P504629,46c0afa6,Implementation Status and Results Report
SDN-2026-07,Collapsed Health System and Renewed Disease Outbreak Risk,"The shifting frontlines constraining service access directly exacerbate the collapse of Sudan's health system. The project's difficulty in maintaining consistent facility targeting and supply chains is both a symptom of and contributor to the 37% non-functionality of health facilities, as conflict-driven access constraints prevent reliable service delivery and supply replenishment to remaining operational facilities.",0.88,P504629,46c0afa6,Implementation Status and Results Report
SDN-2026-02,De Facto State Fragmentation and RSF Parallel Government,"The realized high political and governance risk directly reflects Sudan's de facto state fragmentation. The RSF's parallel 'Government of Peace and Unity' and SAF control of competing state institutions create a fragmented governance environment that undermines project implementation capacity. Health system preservation efforts require functional governance structures and institutional continuity, both compromised by competing parallel administrations and the legitimacy vacuum noted in the country risk.",0.85,P504629,03edb16d,Implementation Status and Results Report
SDN-2026-06,Deliberate Obstruction of Humanitarian Access,"The high governance risk rating is substantively connected to systematic obstruction of humanitarian operations by warring parties. Health system preservation projects depend on stable access to facilities, supply chains, and operational continuity. Both SAF and RSF obstruction of aid movement and attacks on humanitarian workers directly impair the governance environment required for health project sustainability and implementation.",0.8,P504629,03edb16d,Implementation Status and Results Report
SDN-2026-12,"Arbitrary Detention, Political Repression, and Civil Society Suppression","The high governance risk reflects the broader political repression and civil society suppression documented in this country risk. Both warring parties' prioritization of military consolidation over inclusive governance, combined with arbitrary detention and suppression of civilian democratic forces, creates an institutional environment hostile to transparent, accountable health system management and project governance frameworks.",0.78,P504629,03edb16d,Implementation Status and Results Report
SDN-2026-09,Stalled Peace Diplomacy and Fragmented Mediation Architecture,"The persistent high governance risk reflects the absence of functional peace mechanisms and diplomatic resolution. Without progress toward political settlement, governance fragmentation deepens, creating uncertainty about institutional authority, resource allocation, and policy continuity essential for health system preservation projects.",0.72,P504629,03edb16d,Implementation Status and Results Report
SDN-2026-02,De Facto State Fragmentation and RSF Parallel Government,"The project's high institutional capacity risk is directly connected to Sudan's political fragmentation and governance vacuum. With the RSF operating a parallel 'Government of Peace and Unity' in Darfur and the SAF-aligned government in Khartoum, institutional authority is fractured across competing administrations. This fragmentation undermines coherent government capacity to support project implementation, coordinate with partners, and ensure sustainability of development initiatives across conflict-affected regions.",0.85,P504629,14ab80b1,Implementation Status and Results Report
SDN-2026-06,Deliberate Obstruction of Humanitarian Access,"The project's institutional capacity constraints are compounded by systematic obstruction of access and operations by warring parties. Both SAF and RSF deliberately restrict movement, attack aid workers, and impede coordination mechanisms. These access restrictions directly limit the government and partner organizations' ability to implement projects, conduct monitoring, and maintain operational continuity in conflict-affected areas.",0.8,P504629,14ab80b1,Implementation Status and Results Report
SDN-2026-12,"Arbitrary Detention, Political Repression, and Civil Society Suppression","The contraction of Sudan's civilian political space and suppression of civil society by both warring parties directly weakens institutional capacity for project implementation. With political activists detained, civil society marginalized, and democratic forces excluded from governance, the institutional ecosystem available to support development projects is severely degraded. This limits partner engagement, local coordination capacity, and the institutional foundation necessary for sustainable implementation.",0.78,P504629,14ab80b1,Implementation Status and Results Report
