country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
DJ-001,Constitutional Revision Enabling Indefinite Presidential Rule,"The constitutional revision removing presidential age limits (October 2025) represents a fundamental governance deterioration that directly undermines institutional checks and democratic norms. This institutional weakening creates an environment of political uncertainty and reduced rule of law predictability, which directly impacts project implementation capacity and government counterpart reliability.",0.92,P178033,27c93d5e,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The absence of independent civil society and media freedom constrains transparency, accountability, and stakeholder engagement mechanisms essential for project implementation. Restricted information flows and suppressed civil society participation limit project monitoring, community feedback, and institutional oversight—core governance functions required for effective project execution.",0.88,P178033,27c93d5e,Implementation Status and Results Report
DJ-010,International Community Tolerance of Democratic Backsliding,"International tolerance of democratic backsliding creates a permissive environment for governance deterioration without external accountability pressure. This absence of external governance standards reinforces institutional fragility and reduces incentives for maintaining implementation standards, directly correlating with the escalation from Moderate to Substantial political and governance risk.",0.85,P178033,27c93d5e,Implementation Status and Results Report
DJ-008,Presidential Succession Uncertainty and Health Concerns,"Succession uncertainty and health concerns create unpredictability in political leadership and institutional continuity. This uncertainty directly affects government counterpart engagement, policy consistency, and institutional capacity for project implementation, particularly for initiatives requiring sustained political commitment across potential leadership transitions.",0.8,P178033,27c93d5e,Implementation Status and Results Report
DJ-003,Ethnic Tensions and Political Exclusion,"Structural ethnic imbalances and political exclusion create underlying social fragmentation that weakens institutional cohesion and governance legitimacy. This fragmentation can undermine inter-agency coordination, community participation, and institutional buy-in necessary for effective project implementation across diverse constituencies.",0.75,P178033,27c93d5e,Implementation Status and Results Report
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"Direct substantive connection. The realized project risk—service delivery gaps for refugee health indicators (12% immunization vs. 80% target)—is a concrete manifestation of DJ-009's core concern: Djibouti's capacity to deliver services to 32,000 displaced persons amid resource constraints. The data gaps and low refugee-specific performance reflect the institutional fragility and resource limitations flagged in the country risk, where 85% of refugees reside in villages with limited infrastructure and public service capacity.",0.95,P178033,86b519a3,Implementation Status and Results Report
DJ-002,Severe Youth Unemployment and Economic Inequality,"Indirect but meaningful connection. Systemic resource constraints and institutional fragility underlying DJ-002 (endemic corruption, limited economic capacity, poverty) create the fiscal and administrative environment in which refugee service delivery gaps emerge. Weak institutional capacity to manage competing demands on limited health and social services reflects the broader economic inequality and governance dysfunction flagged in this risk.",0.65,P178033,86b519a3,Implementation Status and Results Report
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"The collapse in vitamin A supplementation among refugee children directly reflects the resource constraints and strain on public health services identified in DJ-009. With Djibouti hosting 32,000 displaced persons amid recurrent droughts and limited resources, the deteriorating health service utilization (vitamin A coverage declining from 10% to 5%) demonstrates the practical manifestation of insufficient capacity to maintain basic preventive health interventions for refugee populations.",0.92,P178033,f760eaaa,Implementation Status and Results Report
DJ-002,Severe Youth Unemployment and Economic Inequality,"The worsening refugee health service delivery may be partially attributable to the broader economic constraints and resource scarcity driven by DJ-002. Endemic corruption and limited economic opportunities constrain government revenue and health sector budgets, reducing the state's ability to sustain health programs for vulnerable populations including refugees.",0.68,P178033,f760eaaa,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The delayed adoption of the Digital Code, particularly Book Two on telecommunications regulation, reflects broader governance fragility and institutional dysfunction. In an environment where independent civil society has collapsed and media freedom is severely restricted, the legislative process lacks the transparency, stakeholder engagement, and accountability mechanisms needed to advance critical regulatory frameworks. The absence of independent oversight and civil society pressure reduces incentives for timely legislative action on technical governance matters.",0.65,P174461,19d62754,Aide Memoire
DJ-010,International Community Tolerance of Democratic Backsliding,The persistent non-adoption of the Digital Code suggests weak institutional accountability and limited consequences for legislative delays. This reflects the broader pattern identified in DJ-010 where the international community's tolerance of democratic backsliding and governance weaknesses creates a permissive environment where the government faces minimal external pressure to advance regulatory modernization or institutional reforms needed for development projects.,0.6,P174461,19d62754,Aide Memoire
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The ARMD's inability to adopt the Digital Code Book Two reflects broader governance fragility rooted in Djibouti's restricted political environment. The absence of independent civil society and media freedom constrains institutional accountability mechanisms that would normally pressure regulatory bodies to operationalize essential legal frameworks. Without independent oversight, regulatory authorities lack external pressure to complete critical governance tools, enabling institutional paralysis.",0.72,P174461,577c97aa,Aide Memoire
DJ-010,International Community Tolerance of Democratic Backsliding,"The persistent non-adoption of the Digital Code Book Two may reflect the permissive governance environment created by limited external pressure for institutional reform. The international community's tolerance of democratic backsliding extends to weak enforcement of regulatory standards, allowing critical telecommunications governance tools to remain unadopted without significant consequences for the regulatory authority.",0.68,P174461,577c97aa,Aide Memoire
DJ-001,Constitutional Revision Enabling Indefinite Presidential Rule,"The governance fragility affecting ARMD's regulatory capacity reflects the broader institutional weakening accompanying Djibouti's political consolidation. Constitutional manipulation and concentration of executive power correlate with weakened institutional autonomy across government bodies, including regulatory authorities that lack the independence or resources to complete essential governance frameworks like the Digital Code Book Two.",0.65,P174461,577c97aa,Aide Memoire
DJ-004,Collapse of Independent Civil Society and Media Freedom,"Weak institutional capacity in project management units reflects broader governance fragility. The absence of independent oversight mechanisms and civil society scrutiny—documented in DJ-004—creates an environment where institutional accountability and transparency are compromised, directly enabling slow procurement processes and implementation delays without external pressure for correction.",0.72,P174461,f3d10cc1,Aide Memoire
DJ-002,Severe Youth Unemployment and Economic Inequality,"Institutional capacity constraints in project management may be partially attributable to limited human capital and technical expertise. High youth unemployment (75%) and endemic corruption documented in DJ-002 suggest a constrained talent pool for specialized project management roles, contributing to slow procurement and weak implementation capacity.",0.65,P174461,f3d10cc1,Aide Memoire
DJ-010,International Community Tolerance of Democratic Backsliding,"The persistent institutional capacity gaps in project implementation reflect a permissive governance environment where weak institutional performance faces limited external accountability. DJ-010 documents how international tolerance of democratic backsliding creates space for governance weaknesses to persist without corrective pressure, directly enabling the institutional fragility manifested in project delays.",0.68,P174461,f3d10cc1,Aide Memoire
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The absence of a functional Grievance Redress Mechanism (GRM) and delays in environmental and social safeguards reporting reflect broader institutional weaknesses in accountability mechanisms. In a context where independent civil society has collapsed and media freedom is severely restricted, project-affected communities lack alternative channels to voice concerns or hold implementers accountable. This mirrors the country-level pattern of constrained civic space and limited institutional responsiveness to citizen grievances.",0.72,P174461,4baf80c4,Aide Memoire
DJ-002,Severe Youth Unemployment and Economic Inequality,"Delays in environmental and social safeguards—particularly the absence of a functional GRM—create risk that project-related grievances (land access, livelihood impacts, resource allocation) will not be adequately addressed. In a context of severe youth unemployment and economic inequality, unresolved project grievances could exacerbate social tensions and resentment, particularly if vulnerable populations perceive unfair benefit distribution or inadequate compensation.",0.68,P174461,4baf80c4,Aide Memoire
DJ-003,Ethnic Tensions and Political Exclusion,"The lack of a functional GRM raises risk that ethnic minorities (particularly Afar communities) may be excluded from project benefit-sharing or grievance processes, or that their concerns will not be adequately heard. Given Djibouti's structural ethnic imbalances and political exclusion dynamics, weak safeguards implementation could amplify existing ethnic grievances if project impacts are perceived as disproportionately affecting marginalized groups.",0.65,P174461,4baf80c4,Aide Memoire
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"The project's inability to track refugee enrollment and completion data directly reflects the resource constraints and institutional capacity limitations flagged in DJ-009. Djibouti's hosting of 32,000 displaced persons with limited resources creates systemic challenges in data collection, monitoring, and service delivery infrastructure. The zero reported enrollment data for refugees suggests that weak institutional capacity to manage refugee populations—a core concern in DJ-009—is translating into implementation gaps in development projects targeting this vulnerable group.",0.85,P175483,f485730d,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The absence of refugee enrollment and completion tracking data may reflect broader institutional fragility and weak accountability mechanisms associated with DJ-004. The collapse of independent civil society and restricted information environment limits external oversight and monitoring capacity. This institutional weakness extends to project-level data collection systems, where absence of independent verification mechanisms and civil society monitoring contributes to implementation gaps.",0.65,P175483,f485730d,Implementation Status and Results Report
DJ-003,Ethnic Tensions and Political Exclusion,"The project's inability to track enrollment and completion for persons with disabilities reflects broader institutional fragility in inclusive data systems and service delivery to marginalized groups. This mirrors the structural exclusion dynamics evident in Djibouti's ethnic marginalization of the Afar minority, suggesting systemic weaknesses in institutional capacity to serve vulnerable populations equitably.",0.65,P175483,a8ae38a2,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The absence of disability enrollment data and pending data collection suggests weak institutional accountability mechanisms and monitoring capacity. This aligns with Djibouti's broader governance environment characterized by limited transparency, weak civil society oversight, and institutional constraints on independent monitoring and reporting.",0.6,P175483,a8ae38a2,Implementation Status and Results Report
DJ-002,Severe Youth Unemployment and Economic Inequality,"Persons with disabilities face compounded barriers to TVET enrollment and completion in a context of extreme youth unemployment (75%) and high inequality. The project's tracking gaps may reflect both supply-side institutional weaknesses and demand-side barriers (poverty, discrimination) that intersect with Djibouti's broader economic exclusion dynamics.",0.55,P175483,a8ae38a2,Implementation Status and Results Report
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"The failure to track refugee employment outcomes reflects the institutional capacity constraints and resource limitations that characterize Djibouti's refugee hosting environment. With 32,000 displaced persons and 85% residing in refugee villages, the country's fragile public services and infrastructure—already strained by recurrent droughts—struggle to implement robust monitoring systems for vulnerable populations. This data collection gap is symptomatic of the broader resource constraints that limit effective refugee integration programming.",0.75,P175483,a5f0ad34,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The absence of employment outcome data for refugees may reflect the broader institutional fragility and weak accountability mechanisms characteristic of Djibouti's governance environment. With independent civil society virtually collapsed and limited external oversight, there are fewer mechanisms to demand transparency and data collection from implementing agencies. This governance weakness extends to development project implementation, where monitoring and accountability systems are compromised.",0.65,P175483,a5f0ad34,Implementation Status and Results Report
DJ-004,Collapse of Independent Civil Society and Media Freedom,"The stalled online gig work component may reflect broader institutional fragility in Djibouti's civil society ecosystem. With independent civil society virtually collapsed and severe restrictions on freedom of association, the implementing partners coordinating this digital skills initiative likely face constraints in mobilizing community engagement, building trust with beneficiaries (particularly refugees and marginalized groups), and operating transparently—all critical for online gig work training delivery.",0.65,P175483,b2f11b01,Implementation Status and Results Report
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"The online gig work component explicitly targets refugees (per the indicator disaggregation). The component's failure to achieve results may be connected to the resource constraints and institutional strain documented in DJ-009. Refugee populations face barriers to digital access, connectivity, and formal employment pathways; implementing partners may lack capacity to deliver specialized training in resource-constrained refugee villages where 85% of displaced persons reside.",0.7,P175483,b2f11b01,Implementation Status and Results Report
