country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SLE-2026-10,"Illicit Mining, Resource Governance, and Cross-Border Smuggling","Revenue sharing tensions between Chiefdoms and District Councils reflect broader institutional fragility in resource governance. The FCV risk documents state-embedded actors and local chiefs exploiting authority to enable unlicensed mining and smuggling, while corrupt practices in resource licensing fuel land conflicts. These same governance gaps—weak institutional coordination, patronage networks, and contested authority over resource revenues—directly undermine the project's local revenue mobilization and accountability activities. Chiefdom-District Council tensions over revenue distribution are symptomatic of the same institutional weakness that enables illicit resource extraction.",0.72,P172492,a2f9ba89,Aide Memoire
SLE-2026-08,Institutional Fragility: Removal of Auditor-General and Anti-Corruption Oversight Erosion,"The removal of the Auditor-General and erosion of independent oversight reflects systemic institutional fragility characterized by weak accountability mechanisms and political patronage. The realized project risk—revenue sharing tensions blocking local accountability activities—is a direct manifestation of this same institutional weakness. Both risks involve contested authority, lack of transparent financial management, and the absence of credible oversight mechanisms. The project's difficulty in establishing revenue accountability at the local level mirrors the national-level pattern of dismantling independent financial oversight institutions.",0.68,P172492,a2f9ba89,Aide Memoire
SLE-2026-03,Stalled Electoral Reforms and SLPP-APC Political Standoff,"The broader political standoff between SLPP and APC, characterized by gridlock on governance reforms and inability to reach consensus on institutional arrangements, creates an environment where local-level governance coordination is similarly fractured. Revenue sharing tensions between Chiefdoms and District Councils reflect the same pattern of institutional actors unable to negotiate shared governance frameworks. Both risks stem from political polarization that prevents consensus-building on institutional arrangements and resource distribution mechanisms.",0.65,P172492,a2f9ba89,Aide Memoire
SLE-2026-08,Institutional Fragility: Removal of Auditor-General and Anti-Corruption Oversight Erosion,"The removal of the Auditor-General and erosion of independent financial oversight directly undermines the institutional capacity required for effective local revenue mobilization. Weak anti-corruption mechanisms and compromised accountability systems create an environment where taxpayer non-compliance and low enforcement capacity at local government level are likely to persist, as there is reduced institutional credibility and oversight to ensure transparent revenue collection and management.",0.85,P172492,0371a75b,Aide Memoire
SLE-2026-04,National Security and Intelligence Act 2026: Civil Liberties and Governance Risks,"The National Security and Intelligence Act 2026 institutionalizes parallel governance structures and reduces parliamentary oversight of executive functions. This fragmentation of institutional authority and accountability mechanisms directly constrains the coherent implementation of local revenue systems, as local government officials operate within a governance environment characterized by unclear lines of authority, reduced transparency, and weakened institutional coordination—all factors contributing to low enforcement capacity.",0.75,P172492,0371a75b,Aide Memoire
SLE-2026-12,Context: Legacies of 2023 Coup Attempt and Ongoing Political Polarization,"The deep political polarization and legitimacy deficit (roughly half the electorate considers the government illegitimate) undermines public trust in state institutions, including local government revenue systems. This structural fragility reduces taxpayer compliance and weakens the social contract necessary for effective revenue mobilization, as citizens lack confidence in the legitimacy and accountability of local authorities collecting taxes.",0.8,P172492,0371a75b,Aide Memoire
SLE-2026-03,Stalled Electoral Reforms and SLPP-APC Political Standoff,The SLPP-APC political gridlock and failure to implement agreed governance reforms reflects broader institutional dysfunction that extends to local government capacity. The inability of political parties to cooperate on fundamental governance issues signals weak institutional coordination mechanisms that directly impair the implementation of coherent local revenue policies and enforcement frameworks.,0.7,P172492,0371a75b,Aide Memoire
SLE-2026-08,Institutional Fragility: Removal of Auditor-General and Anti-Corruption Oversight Erosion,"The project's identified trust deficits and transparency concerns at the local level directly reflect the broader institutional fragility documented in the removal of the Auditor-General and erosion of anti-corruption oversight. Both dynamics point to weakened accountability mechanisms and public financial management systems. The removal of independent oversight at the national level creates a permissive environment for opacity in local revenue systems, undermining the transparency and trust-building that the project seeks to establish in remote communities.",0.85,P172492,b4968d83,Aide Memoire
SLE-2026-11,Shrinking Civic Space and Pressure on Media Freedom,"The project's focus on strengthening transparency and trust at the local level operates within a context of shrinking civic space and constrained media freedom. The National Security and Intelligence Act 2026 and related legislation restrict Freedom of Information requests and could chill public discourse on governance issues. This institutional environment directly constrains the ability of local communities to access information, hold authorities accountable, and participate in transparent governance processes that the project aims to support.",0.78,P172492,b4968d83,Aide Memoire
SLE-2026-02,Political Repression and Suppression of Opposition Dissent,"The conviction of opposition figures under the Public Order Act and the pattern of selective enforcement against dissenting voices creates a chilling effect on local-level civic engagement and transparency advocacy. Communities may be reluctant to voice concerns about local revenue management or governance failures if political speech is subject to prosecution, directly undermining the trust-building and transparency objectives the project seeks to achieve in remote and underserved areas.",0.72,P172492,b4968d83,Aide Memoire
SLE-2026-02,Political Repression and Suppression of Opposition Dissent,"The implementing partner withdrawal may reflect a broader pattern of civic space contraction and selective pressure on organizations perceived as aligned with opposition interests or independent civil society. The conviction of opposition figures under the Public Order Act and documented chilling effects on free expression could discourage NGOs and implementing partners from operating in politically sensitive sectors like education, particularly if education programming is perceived as benefiting opposition-leaning communities or as a platform for dissent.",0.35,P167897,51d7eaec,Implementation Status and Results Report
