country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The disruption of a project activity by parliamentary policy hearings reflects the broader pattern of weak institutional coordination and governance dysfunction in Sierra Leone. Where executive power is concentrated and public institutions are instrumentalized for political purposes, legislative and executive processes can operate in ways that crowd out or override development program schedules without adequate coordination mechanisms. The postponement is consistent with an environment where institutional processes are unpredictable and not well-coordinated with development partners.",0.35,P172492,75bc75c0,Aide Memoire
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The tension between Chiefdom authorities and District Councils over revenue sharing reflects a broader pattern of weak institutional delineation and patronage-driven governance in Sierra Leone. When central executive power is concentrated and public institutions are used as vehicles for patronage, sub-national governance arrangements—including the clarification of fiscal roles between traditional and elected local authorities—are likely to remain contested and under-resourced. The failure to operationalize clear MOUs under the Local Government Act is consistent with an environment where institutional mandates are subordinated to political and patronage interests rather than rule-based governance.",0.62,P172492,537061ef,Aide Memoire
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"Revenue sharing disputes between Chiefdoms and District Councils are partly an accountability problem: without transparent fiscal arrangements and independent oversight, local revenue flows are susceptible to capture and misuse. The broader erosion of anti-corruption accountability and the weakening of civil society's watchdog role reduce the external pressure needed to resolve these intra-governmental disputes and enforce compliance with revenue-sharing agreements.",0.5,P172492,537061ef,Aide Memoire
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The systemic governance weaknesses observed at the local level — including patronage dynamics, misuse of revenues, and lack of transparency — are consistent with the broader pattern of public institutions being used as vehicles for patronage described in SLE-002. When executive-level norms of weak accountability and institutional capture permeate downward, local councils become similarly susceptible to revenue misuse and opacity, directly undermining the project's accountability objectives.",0.72,P172492,14d05fa9,Aide Memoire
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project's citizen audit workshop findings — fake receipts, opaque revenue management, and lack of transparency particularly in remote communities — reflect the same accountability deficit described in SLE-003. The erosion of anti-corruption norms at the national level (confidential asset declarations, co-opted civil society) creates an enabling environment for similar misconduct at the local level, making it harder for communities and oversight actors to hold local councils accountable.",0.78,P172492,14d05fa9,Aide Memoire
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,The persistent Substantial political and governance risk rating directly reflects the same institutional fragility captured in SLE-002. Executive control over state institutions through patronage appointments and the deployment of public institutions for political ends undermines the local government accountability and service delivery reforms that this project targets. Weak checks and balances create a structural impediment to decentralization and transparent governance at the local level.,0.88,P172492,29b03084,Implementation Status and Results Report
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The erosion of anti-corruption accountability and the co-optation of civil society through state contracts are directly relevant to a project focused on local government accountability reforms. When civil society actors are incentivized to remain silent on corruption and the Anti-Corruption Commission lacks transparency, the oversight mechanisms that such a project relies upon are weakened, contributing to the sustained governance risk rating.",0.82,P172492,29b03084,Implementation Status and Results Report
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"Deep ethnic and political divisions, particularly those exposed by the 2023 elections, complicate local government reform implementation by politicizing resource allocation and service delivery along partisan and ethnic lines. This dynamic contributes to the governance fragility that the project's Substantial risk rating reflects, as local institutions become arenas for political contestation rather than neutral service delivery.",0.65,P172492,29b03084,Implementation Status and Results Report
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The persistent weakness in local government institutional capacity is directly compounded by the broader pattern of executive dominance and patronage-driven public institutions. When central government uses appointments and resources as patronage instruments, local governments are structurally deprived of the autonomous capacity and incentives needed to implement genuine decentralization and accountability reforms. The project's inability to strengthen local institutional capacity reflects the same systemic dynamic that SLE-002 describes.",0.78,P172492,c6f6f7a3,Implementation Status and Results Report
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"Decentralization and accountability reforms depend on functional civil society engagement and anti-corruption oversight at the local level. The erosion of civic space and the co-optation of civil society organizations through state contracts—as described in SLE-003—directly undermines the demand-side accountability mechanisms that local governance reforms require, contributing to the sustained institutional fragility observed in the project.",0.65,P172492,c6f6f7a3,Implementation Status and Results Report
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The deployment of public institutions for patronage and the concentration of executive power create structural resistance to PFM transparency reforms. Systems like PFM-SMART and eGP directly threaten patronage networks by making procurement and financial flows visible, providing a plausible political economy explanation for the 'change management challenges' cited in the implementation delays.",0.72,P172492,99939a34,Implementation Status and Results Report
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,The broader erosion of anti-corruption accountability mechanisms in Sierra Leone — including confidential asset declarations and co-opted civil society — reflects the same institutional fragility that is impeding deployment of procurement transparency tools. The project's accountability objectives face a systemic environment where transparency reforms encounter weak demand and political resistance.,0.68,P172492,99939a34,Implementation Status and Results Report
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The non-functionality of the Western Urban District Council's DDCC is consistent with a broader pattern of weak subnational governance institutions in Sierra Leone, where public bodies are susceptible to patronage dynamics and executive influence. The persistent delay in convening an inaugural accountability meeting in a key urban district reflects the same institutional fragility that characterizes centralized power structures undermining local democratic participation.",0.55,P172492,e03a2662,Implementation Status and Results Report
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The DDCC's failure to hold its inaugural meeting directly limits citizen participation and local accountability mechanisms. This aligns with the broader erosion of civic space and accountability structures in Sierra Leone, where forums for public scrutiny and civil society engagement are weakened. A non-functional local coordination body reduces the channels through which communities can hold local authorities accountable, mirroring the national-level suppression of accountability mechanisms.",0.6,P172492,e03a2662,Implementation Status and Results Report
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The persistent 'Substantial' political and governance risk rating directly reflects the operating environment shaped by executive concentration of power, patronage-driven public institutions, and weakened democratic checks and balances. These structural governance deficiencies create an implementation environment where project oversight, fiduciary integrity, and institutional counterpart capacity are chronically compromised.",0.88,P177947,632fd532,Implementation Status and Results Report
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The sustained governance fragility rating is consistent with a context where anti-corruption accountability mechanisms are weak and civil society oversight is constrained. These conditions reduce the effectiveness of project-level accountability safeguards and increase fiduciary risk, contributing to the persistent 'Substantial' governance risk classification.",0.78,P177947,632fd532,Implementation Status and Results Report
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The unresolved ethnic and political fault lines exposed by the 2023 elections and requiring a 2024 unity agreement contribute to an unstable political environment that sustains elevated governance risk ratings. Political polarization can disrupt government counterpart engagement, delay decision-making, and create uncertainty in the institutional operating environment for project implementation.",0.65,P177947,632fd532,Implementation Status and Results Report
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"Patronage-driven governance and weak institutional independence undermine the credibility and effectiveness of financial sector regulators such as the Bank of Sierra Leone. When public institutions serve as vehicles for political patronage, regulatory capacity and reform implementation—precisely what the BSL Strategic Vision (2024-2028) depends on—are compromised, directly feeding macroeconomic and financial sector instability.",0.62,P177947,7d841f19,Implementation Status and Results Report
