related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
SS-001,Collapse of R-ARCSS Peace Agreement and Return to Full-Scale War,"Project implementation depends on sustained access to 12 counties across 4 states and functional coordination with government institutions. Collapse of the peace agreement and return to full-scale war could render project areas inaccessible, disrupt government counterpart engagement, and force suspension of activities across multiple implementation zones.",0.95,P177093,"PAD states project will 'develop strategy for implementation in insecure areas with objective criteria for classifying insecurity levels' and that 'activities will be suspended if IOM cannot access areas.' The project explicitly acknowledges 'difficulty accessing project sites' due to 'volatile security context' and includes 'option to replace counties if security deteriorates.' The implementing agency (MoFP) and coordination structures (NSC, NTWG, SCTs, CCTs) depend on functional government institutions that could be destabilized by peace agreement collapse."
SS-002,Escalating Military Offensive and Atrocity Risks in Jonglei and Upper Nile States,"Project targets 6 counties in Jonglei and Upper Nile states (Maban, Baliet, Renk, Fashoda in Upper Nile; Pibor, Fangak, Twic East in Jonglei) that are directly affected by the ongoing SSPDF offensive and atrocity risks. Military operations, aerial bombardments, and mass atrocities in these specific locations could directly disrupt project implementation, displace beneficiaries, and make sites inaccessible.",0.98,P177093,"The PAD explicitly lists project locations as 'Maban (Upper Nile), Baliet (Upper Nile), Renk (Upper Nile), Fashoda (Upper Nile)...Pibor (Jonglei), Fangak (Jonglei), Twic East (Jonglei)' and notes the project targets 'conflict-affected and flood-prone vulnerable counties.' The PAD acknowledges 'high levels of violence and insecurity' and 'inter-communal violence' as security risks. WFP suspended activities in Baliet County specifically in early February 2026 (per country risk SS-007), demonstrating current access constraints in a project implementation area."
SS-003,Mass Internal Displacement Surge Driven by Renewed Conflict,"Project targets 920,000 beneficiaries including IDPs, refugees, and host communities. Renewed displacement surge could rapidly alter beneficiary populations, undermine targeting accuracy, overwhelm project capacity to serve displaced populations, and create tensions between newly displaced persons and existing beneficiary communities over resource allocation.",0.92,P177093,"PAD states project beneficiaries include 'over 920,000 people across 12 vulnerable counties...including IDPs, refugees, and host communities.' The project acknowledges 'risks related to forced migration and displacement' and 'tensions between refugees and hosts' as environmental and social risks. PAD notes 'potential for forced displacement if violence increases' as a stakeholder risk. The project's targeting mechanism relies on 'geographic targeting guided by vulnerability framework' and 'inclusive and transparent planning process,' which could be disrupted by rapid displacement surges that alter ground conditions."
SS-004,"Politicized Repression of Civil Space, Opposition, and Judiciary","Project coordination and implementation depend on functional civil society engagement, transparent governance processes, and independent monitoring. Escalating repression of civil space, journalists, and civil society actors could undermine the project's participatory planning approach, compromise the independence of third-party monitoring, and create risks for community representatives and project staff engaged in transparent governance activities.",0.85,P177093,PAD emphasizes 'transparent and inclusive planning process' and 'participatory planning' as core mitigation strategies. The project establishes 'Third-Party Monitoring Agent (TPMA) for quarterly monitoring' and relies on 'beneficiary feedback and grievance redress mechanism' with 'survivor-centered protocols.' PAD notes project design includes 'conflict analysts on project team' and 'iterative conflict assessments.' Repression of civil space could compromise the independence of these monitoring functions and create safety risks for community members participating in transparent planning processes.
SS-006,Widespread Intercommunal Violence Across Multiple States,"Project operates across 12 counties in 4 states (Upper Nile, Western Bahr-el-Ghazal, Unity, Jonglei, Ruweng) where intercommunal violence is documented. Infrastructure investments, resource allocation decisions, and community institution strengthening could inadvertently exacerbate existing intercommunal tensions or become targets of violence if perceived as benefiting one community over another.",0.88,P177093,"PAD identifies 'tensions between communities over project implementation' and 'potential for elite capture' as environmental and social risks. The project acknowledges 'driving existing tensions and conflicts' as a potential adverse impact. Mitigation includes 'inclusive and transparent planning process,' 'public goods focus to promote equity,' and 'inclusive community institutions.' However, PAD notes 'entrenched political division at national level' and 'persistence of elevated violence and conflict dynamics' as stakeholder risks. The project's reliance on 'participatory prioritization processes' and 'subproject budgets allocated by formula' could become contested if intercommunal violence escalates."
SS-007,Humanitarian Access Crisis: Attacks on Aid Workers and Obstruction by Belligerents,"Project implementation depends on IOM's ability to access project sites and conduct activities. Escalating attacks on humanitarian operations, movement restrictions by belligerents, and suspension of humanitarian activities in specific counties directly threaten project implementation capacity and staff safety.",0.96,P177093,PAD explicitly states 'difficulty accessing project sites' as a security risk and notes 'suspension of activities if IOM cannot access areas.' The project includes 'option to replace counties if security deteriorates.' WFP suspended activities in Baliet County (a project implementation area) in early February 2026 after repeated attacks on humanitarian convoys (per country risk SS-007). PAD acknowledges 'Access restrictions limiting supervision' as a fiduciary risk. The project's reliance on IOM as implementing partner for 'Components 1 and 2 activities' means that humanitarian access constraints directly translate to project implementation constraints.
SS-008,"Acute Food Insecurity and Famine Risk, Exacerbated by USAID Funding Collapse","Project targets 920,000 beneficiaries in food-insecure areas and includes cash-for-work modalities. Escalating food insecurity and famine risk could increase pressure on project resources, create competition for project employment opportunities, and undermine project beneficiaries' ability to participate in community planning and construction activities due to acute survival needs.",0.78,P177093,"PAD notes project beneficiaries are in 'vulnerable counties' and acknowledges 'limited access to concessional financing' and 'high inflation, currency devaluation, and exchange rate volatility' as macroeconomic risks. The project includes 'cash-for-work modalities' as an implementation approach, which assumes beneficiaries have capacity to participate in project activities. Acute food insecurity could reduce participation rates and effectiveness of community-based implementation. PAD also notes 'dependency on humanitarian assistance' as a fragility context factor."
SS-009,Oil-Dependent Economy Under Dual Threat of Conflict and Pipeline Vulnerability,"Project financing and government counterpart capacity depend on macroeconomic stability. Renewed conflict threatening oilfields and pipeline infrastructure could trigger fiscal collapse, making government unable to provide counterpart funding, maintain institutional capacity, or sustain intergovernmental fiscal transfers that the project supports.",0.82,P177093,"PAD identifies 'high inflation, currency devaluation, and exchange rate volatility affecting project budget allocations' as a high macroeconomic risk. Mitigation includes 'contracts with local contractors denominated in US dollars' and 'limited local currency payments,' indicating vulnerability to currency collapse. PAD notes 'budget process weaknesses' and 'debt transparency issues' as institutional risks. The project includes 'support for intergovernmental fiscal transfers' as a Component 2 activity, which assumes government fiscal capacity. Renewed conflict threatening oilfields could undermine this assumption."
SS-010,"UNMISS Operational Degradation: Budget Cuts, Aircraft Grounding, and Host Government Friction","Project implementation relies on integration with UN security provisions (UNDSS) and coordination with UNMISS. Operational degradation of UNMISS, reduced peacekeeping presence, and deteriorating government-UNMISS relations could undermine security support for project activities and reduce civilian protection capacity in project areas.",0.8,P177093,PAD states project will include 'integration with UN security provisions (UNDSS)' and notes 'weekly security meetings' and 'site-specific emergency response protocols.' The project's security risk mitigation depends on functional UN security coordination. PAD acknowledges 'volatile security context' and 'high levels of violence and insecurity' requiring external security support. UNMISS budget cuts reducing uniformed personnel by 25% and closure of field offices (per country risk SS-010) could directly reduce security support available to project implementation.
SS-011,Cross-Border Spillover Risk from Sudan Conflict and Regional Destabilization,"Project targets refugee-hosting counties (Maban and Pariang) and areas receiving returnees from Sudan. Escalation of Sudan conflict and increased refugee/returnee influxes could overwhelm project capacity, create tensions between refugees and hosts, and disrupt implementation in border-adjacent counties.",0.87,P177093,"PAD explicitly states project 'specifically targets refugee-hosting areas' with 'US$20 million from IDA19 Window for Host Communities and Refugees (WHR) allocated to support refugees and host communities.' Project targets 'Maban County (Upper Nile State) and Jamjang/Pariang (Ruweng Administrative Area)' as refugee-hosting counties. PAD acknowledges 'tensions between refugees and host communities' as an environmental and social risk and notes 'challenging socioeconomic environment' affecting refugee protection. The project includes 'equitable benefit allocation to both refugees and host communities,' but rapid influxes from Sudan could strain this balance."
