risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political/governance disruption delaying project activities,"Policy hearings during the mission period caused the postponement of a planned climate finance event, indicating that political/parliamentary processes are directly disrupting scheduled project implementation activities.",low,unclear,"Due to policy hearings that took place during the mission, the climate finance event was postponed. A future date is to be agreed upon in consultation with the Ministry of Finance.",75bc75c0,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Intra-governmental tensions between Chiefdoms and District Councils impeding local revenue governance,Longstanding tensions between Chiefdom authorities and District Councils over revenue sharing are identified as a persistent barrier to effective local fiscal governance and implementation of revenue mobilization activities under the project.,medium,persistent,"However, some participants pointed to longstanding tensions between Chiefdoms and District Councils around the issue of revenue sharing, which continues to remain a barrier. Participants emphasized the need to strengthen MOUs between Chiefdoms and Local Councils, clarifying functions under the Local Government Act.",537061ef,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Governance fragility at local level undermining transparency and accountability in service delivery,"The citizen audit workshop surfaced systemic governance weaknesses at the local level, including risks of misuse of revenues, fake receipts, and lack of transparency — particularly in remote or underserved communities — which are directly affecting the accountability objectives of the project.",medium,persistent,"The workshop reached a consensus on the need to strengthen systems, build trust, and improve transparency at the local level around local revenues and how they are used— especially in remote or underserved communities... There are opportunities to support Local Councils (LCs) to introduce uniform receipt books and digital revenue logs (even simple Excel-based systems) to prevent misuse and fake receipts.",14d05fa9,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Persistent Political and Governance Fragility in Sierra Leone,"The Political and Governance risk has been rated Substantial since project approval and remains unchanged, indicating an enduring governance fragility context that continues to affect the operating environment for local government accountability and service delivery reforms.",high,persistent,Risk Category Rating at Approval Approval Package - 09 Mar 2022 Last Approved Rating ISR Seq. 07 - 05 Jun 2025 Proposed Rating Political and Governance Substantial Substantial Substantial,29b03084,P172492,Implementation Status and Results Report,2025-10-29T14:40:16.000Z
Weak Institutional Capacity of Local Governments Undermining Governance Reforms,"Institutional capacity for implementation and sustainability has remained rated Substantial throughout the project lifecycle, reflecting persistent fragility in local government systems that constrains the delivery of accountability and decentralization reforms central to the project's FCV-relevant governance objectives.",high,persistent,Institutional Capacity for Implementation and Sustainability Substantial Substantial Substantial,c6f6f7a3,P172492,Implementation Status and Results Report,2025-10-29T14:40:16.000Z
Delayed Rollout of Accountability Systems Due to Governance and Implementation Fragility,"Key PFM and procurement transparency systems (PFM-SMART and eGP) remain undeployed, with delays attributed to procurement and change management challenges in a fragile governance environment, directly impeding the project's accountability and anti-corruption objectives.",medium,persistent,"delay in procurement and change in roll out approached has affected the timeline. However, the contracts with AFROSAI-E to customize A-SEAT and the contract to supply the hardawre infrastructure have both been signed, and the system is expected to go live by December 2025.",99939a34,P172492,Implementation Status and Results Report,2025-10-29T14:40:16.000Z
Non-Functional Local Accountability Body in Western Urban District,"The Western Urban District Council's District Development Coordinating Committee (DDCC) has not yet held its inaugural meeting, indicating localized governance dysfunction that limits citizen participation and accountability mechanisms in a key urban district.",medium,persistent,"Western Urban District, the outstanding district is planning for its inaugural DDCC meeting which was initially planned for 29th April, 2025 but has been shifted to most likely sometime in May 2025.",e03a2662,P172492,Implementation Status and Results Report,2025-10-29T14:40:16.000Z
Persistent Political and Governance Fragility,"Political and governance risk has been rated Substantial consistently since project approval through the current ISR, indicating an ongoing governance fragility context that continues to affect the operating environment for project implementation in Sierra Leone.",medium,persistent,Political and Governance Substantial Substantial Substantial,632fd532,P177947,Implementation Status and Results Report,2025-10-27T22:25:24.000Z
Macroeconomic Instability Linked to Fragility Context,"Macroeconomic risk was rated High at approval and remains Substantial, reflecting underlying economic fragility that the project explicitly identifies as a foundational concern for financial inclusion outcomes. The ISR flags macroeconomic and financial sector stability as a 'key foundation' requiring active reform attention.",medium,improving,"Stability: Macroeconomic and financial sector stability continues to be a key foundation for financial inclusion and growth. BSL's Strategic Vision (2024-2028) is expected to deliver key reforms related to (i) deposit protection framework and fund, (ii) enhanced capacity to monitor and address financial stability risks.",7d841f19,P177947,Implementation Status and Results Report,2025-10-27T22:25:24.000Z
Withdrawal of Implementing Partner Disrupting Project Component,"An implementing partner under the 'Enhancing Access to Education and Supporting Foundational Learning for All' component has withdrawn, causing delays to activities targeting out-of-school children and requiring a project restructuring to revise implementation arrangements.",medium,new,Activities related to this indicator are delayed due to the withdrawal of an implementing partner under the component. A restructuring of the project is being processed to revise the implementation arrangements under this component.,27ba4c98,P167897,Implementation Status and Results Report,2025-10-10T02:55:08.000Z
Persistent Political and Governance Risk to Education System Management,"Political and governance risk remains rated at Moderate, having been downgraded from Substantial at approval but still flagged as a sustained systemic risk affecting the operating environment for project implementation in Sierra Leone.",medium,improving,Political and Governance Substantial [at Approval] Moderate [Last Approved Rating] Moderate [Proposed Rating],9f88b563,P167897,Implementation Status and Results Report,2025-10-10T02:55:08.000Z
School-Related Gender-Based Violence Affecting Learning Conditions,"School-related gender-based violence (SRGBV) is an active concern affecting the project's implementation environment, requiring dedicated school-based interventions and training of stakeholders on GBV prevention and awareness.",medium,persistent,Efforts to address school-related gender-based violence advanced with several school-based interventions implemented.,d593dc21,P167897,Implementation Status and Results Report,2025-10-10T02:55:08.000Z
Persistent High Political and Governance Risk,"Political and governance risk has been rated High both at approval and in the current ISR period, indicating an enduring fragility context that continues to frame implementation conditions for the operation.",high,persistent,Risk Category Rating at Approval Approval Package - 13 Dec 2024 Proposed Rating Political and Governance High High,e3b1cf6d,P503960,Implementation Status and Results Report,2025-09-01T16:55:29.000Z
Persistent Political and Governance Fragility,"The Political and Governance risk has been rated Substantial since project approval in July 2022 and remains Substantial in the current ISR, indicating a persistent governance fragility context that continues to affect the operating environment for project implementation in Sierra Leone.",high,persistent,Political and Governance Substantial Substantial Substantial,5ed7b555,P177077,Implementation Status and Results Report,2025-08-24T14:05:14.000Z
Land Contestation at Newton Solar Park Site,"A land ownership dispute emerged at the Newton solar park construction site after contractor began clearing, with approximately 7 people claiming ownership of a parcel on the edge of the project land. This has halted civil works in the affected area and required ministerial-level intervention involving the Ministry of Energy, Ministry of Lands, and Ministry of Agriculture, indicating governance fragility around land rights and potential for community-level conflict affecting project delivery.",medium,new,"About 7 people claim the ownership of a small parcel of land on one edge of the project land. This issue emerged around February 14, 2025 after the contractor began clearing the ground. Before this date, despite extensive stakeholder consultations, there was no issue reported. During project preparation the Government submitted land conveyance documentation to the Bank. While the disputed land is small in acreage and is limited to one edge of the project, if the issue persists the project will have to decide whether to pay compensation to the PAPs or redesign the solar park to avoid the claimed land.",08a06396,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Governance Fragility in Fuel Supply and Diversion for Rural Electricity Generation,"The government reported that fuel for diesel/HFO-based generators in rural towns is frequently unavailable or subject to pilfering and diversion, indicating a governance and security environment where public resources are being misappropriated, undermining energy service delivery in fragile peripheral areas.",medium,persistent,"The government pointed out that the operating costs of the diesel/HFO-based generators in these towns are very high, and most times the fuel is not available or is pilfered/diverted.",70da72b8,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Physical Security Threats to Solar Infrastructure in Remote and Less-Secured Areas,"The mission flagged risks of theft and intentional damage to solar installations at public facilities, particularly in remote or less-secured areas, reflecting an underlying security environment that threatens project assets and sustainability of energy access investments.",medium,persistent,"Physical security protection, especially in remote or less-secured areas, is required to protect the devices from theft or intentional damage.",a5d332fc,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Delayed Resolution of Land Dispute Blocking Civil Works Commencement,"The unresolved land contestation at Newton has required escalation to ministerial level and is a precondition for commencement of civil works, with the PIU instructed not to start works until land-related payments and contestations are fully resolved. This governance fragility around land administration is directly impeding project implementation timelines.",medium,persistent,"The PIU shall ensure that civil works start only once the contractor handed over sites are free from any contestations and land-related payments are completed accordingly... the land designated for the construction site is still in contestation with claims by Households (HHs) for some portion inside the designated area, grievances are logged. The issue is currently in Ministerial level discussions by Ministry of Energy, Ministry of Lands and Ministry of Agriculture and Food Security.",e2d31a31,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Persistent Political and Governance Risk,"The Political and Governance risk category has remained rated Substantial across approval and the most recent ISR, indicating an enduring governance fragility context that continues to affect project implementation in Sierra Leone.",high,persistent,Political and Governance ... Substantial Substantial Substantial,158e8952,P171059,Implementation Status and Results Report,2025-07-30T12:35:20.000Z
Extreme Weather and Climate Impacts Causing Construction Delays,"Unprecedented extreme weather patterns have caused access issues and delays at bridge construction sites (Lots 1 and 4), contributing to contractor claims for financial losses and slowing project completion.",medium,persistent,Delays in the execution of contracts (Lots 1 and Lots 4) mainly due to access issues and unprecedented extreme weather patterns.,ea43e716,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Public Health Emergency (Mpox) Affecting Project Communities,"Mpox has been declared a public health emergency in Sierra Leone, prompting the PIU to conduct community awareness campaigns near active construction sites, indicating an ongoing health-related fragility risk affecting project implementation.",medium,new,"The mission noted that the Project Implementation Unit (PIU) has effectively conducted a door-to-door community awareness campaign concerning Mpox, which has been declared a public health emergency in Sierra Leone.",cae75df8,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Governance Fragility: Unresolved Misappropriation of Project Advances,"A grant advance of $141,000 to Sierra Akker remains unrecovered, with the Government exploring freezing of the company's bank account through the Bank of Sierra Leone's collateral register, indicating governance fragility affecting fiduciary integrity of the project.",medium,persistent,"The GoSL, through MoF, requested a report on the matter. This was done. The next step was to share the bank details of the Company so that they could explore freezing of his account, using information in the collateral register maintained at the Bank of Sierra Leone.",76a50936,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Government Counterpart Funding Delays Threatening Project Continuity,"Delays in the Government of Sierra Leone processing required counterpart funds ($3.896 million) are creating financing gaps and risking timely payment of contractors, reflecting governance fragility in budget execution.",medium,persistent,"The mission was informed on progress made in the processing of the required $3.896 million counterpart funds to enable full payment of contractors' bills as they fall due. The PIU should send confirmation of receipt of the counterpart fund in the project account on or before June 15, 2025.",c1c67695,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Community Tensions Over Unresolved Compensation Payments,"Five pending compensation payments totaling $31,661 for project-affected individuals at Lots 2 and 3 have generated unresolved grievances, with five complaints pending in the GRM, creating community tension that could affect project implementation.",medium,persistent,"The mission confirmed that there are five emerging compensation payments in Lots 2& 3 for affected individuals, amounting to $31,661... The project reported six complaints during the mission, where one is resolved and five pending. These complaints are related to the outstanding compensation payment.",87e79151,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Poor Road Access to Bridge Sites Undermining Connectivity and Utilization,"Roads leading to bridge sites, particularly the 100+ km stretch to Manowa, are in poor condition and risk rendering completed infrastructure underutilized, with no secured donor financing for some corridors, reflecting fragile infrastructure governance.",medium,persistent,"Access roads leading to several bridges are currently in poor condition. For example, the stretch from the mining area to the Manowa bridge spans over 100 kilometres and urgently requires government attention to prevent further deterioration which will subsequently result in under-utilization of the bridge.",011bb893,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Occupational Safety Incident Indicating Fragile Site Safety Governance,"A lost-time injury occurred at Lot 4 (Manowa) on February 7, 2025, signaling weaknesses in contractor safety management and oversight, with a corrective action plan still pending.",low,new,"An occupational health and safety incident occurred in Lot-4 on the 7th February, 2025. A lost time injury has been reported, and the worker involved has received medical attention. It is recommended that the client requests the contractor to develop a corrective action plan to identify the root cause of the incident and implement measures to prevent similar occurrences in the future.",53d2b17b,P153437,Aide Memoire,2025-07-03T12:40:02.000Z
Elevated Political and Governance Risk Affecting Implementation,"The Political and Governance risk rating has been upgraded from Substantial (at approval) to High and maintained at High in the current ISR, indicating that deteriorating political and governance conditions are actively affecting project implementation in Sierra Leone.",high,worsening,Risk Category Rating at Approval Approval Package - 25 Jun 2021 Last Approved Rating ISR Seq. 07 - 17 Feb 2025 Proposed Rating Political and Governance Substantial High High,9827713e,P168608,Implementation Status and Results Report,2025-06-26T14:45:29.000Z
Weak Government Ownership and MDA Engagement Undermining Project Sustainability,"Limited participation by Ministries, Departments and Agencies (MDAs) despite project alignment with their mandates reflects governance fragility and weak institutional buy-in, which is hampering implementation progress and long-term sustainability.",medium,persistent,"Despite the project's alignment with MDA mandates—such as planning, risk management, and infrastructure development—MDA participation remains limited. To safeguard project relevance and long-term sustainability, the Government is urged to enhance MDA involvement across all stages.",9642c2cb,P168608,Implementation Status and Results Report,2025-06-26T14:45:29.000Z
