risk_id,title,summary,themes,keywords,severity,time_horizon
DJ-001,Constitutional Revision Enabling Indefinite Presidential Rule,"In October 2025, Djibouti removed the presidential age limit through constitutional revision, enabling President Ismail Omar Guelleh—in power since 1999—to seek a sixth term in April 2026. Opposition figures describe this as deepening political stagnation, and human rights groups warn of a trajectory toward lifetime presidency amid a tightly controlled political environment.","['governance', 'political']","['constitutional amendment', 'presidential term limits', 'Guelleh', 'political stagnation', 'democratic backsliding']",high,current
DJ-002,Severe Youth Unemployment and Economic Inequality,"Youth unemployment in Djibouti exceeds 75%, compounded by high rates of inequality, poverty, and endemic corruption. Rising debt and limited economic opportunities create significant domestic pressure, particularly among a young population with few prospects.","['economy', 'social']","['youth unemployment', 'poverty', 'inequality', 'economic stagnation', 'debt']",high,current
DJ-003,Ethnic Tensions and Political Exclusion,"Ethnic tensions are a primary driver of Djibouti's politics, with the Issa Somali ethnic group (approximately 60% of population) dominating governance while the Afar minority (approximately 35%) remains politically marginalized. This structural imbalance fuels grievances and limits inclusive political participation.","['political', 'social']","['ethnic tensions', 'Issa Somali', 'Afar minority', 'political exclusion', 'marginalization']",high,current
DJ-004,Collapse of Independent Civil Society and Media Freedom,"Djibouti has virtually no independent civil society remaining, with only marginal voices present on social media. Freedom House classifies the country as Not Free, citing severe restrictions on political competition and media freedom, with journalists and activists regularly harassed or arrested for criticizing the government.","['governance', 'political']","['civil society', 'media freedom', 'press restrictions', 'harassment', 'arrests']",high,current
DJ-005,FRUD-armé Insurgent Activity and Terrorism Threat,"The splinter group FRUD-armé launched a raid on an army post in October 2023, killing seven soldiers and injuring four. Classified as a terrorist group by the National Assembly, FRUD-armé represents an ongoing domestic security threat amid Djibouti's proximity to al-Shabaab and other terrorist organizations in Somalia.","['security', 'crime']","['FRUD-armé', 'insurgency', 'terrorism', 'military attacks', 'counterterrorism']",high,current
DJ-006,Escalating Djibouti-Somaliland Diplomatic Crisis,"Tension between Djibouti and Somaliland has reached a critical juncture, marked by Djibouti's assertive military alignment with Mogadishu and the unprecedented recall of ambassadors from each other's capitals. Evidence suggests Djibouti is coordinating with regional intelligence to provide logistical corridors for anti-Somaliland militias as a potential ""wag the dog"" strategy.","['political', 'security']","['Somaliland', 'diplomatic crisis', 'ambassador recall', 'military alignment', 'regional conflict']",high,current
DJ-007,Foreign Military Saturation and Proxy Theatre Dynamics,"Eight foreign powers maintain compressed military presence in Djibouti, creating a hyper-congested strategic garrison environment. The country has effectively auctioned its sovereignty to seven major powers, transforming from a strategic asset into a congested proxy theatre where foreign military saturation invites inevitable friction and deconfliction challenges.","['security', 'political']","['foreign military presence', 'proxy theatre', 'sovereignty', 'geopolitical competition', 'deconfliction']",high,current
DJ-008,Presidential Succession Uncertainty and Health Concerns,"Despite Guelleh's clear path to the 2026 presidency, Djibouti faces considerable succession uncertainty. Guelleh has faced recurring health concerns that have fueled speculation he may step down prior to the April 2026 elections, creating unpredictability in the political transition.","['political', 'governance']","['succession', 'presidential health', 'political uncertainty', 'leadership transition']",medium,0-3m
DJ-009,Refugee and Asylum-Seeker Hosting Amid Resource Constraints,"Djibouti hosts approximately 32,000 displaced persons (23,000 refugees and 8,000 asylum-seekers), primarily from Somalia, Ethiopia, and Yemen, with 85% residing in refugee villages. Despite recurrent droughts and limited resources, the country maintains an open-door policy, creating potential strain on already fragile public services and infrastructure.","['displacement', 'humanitarian']","['refugees', 'asylum-seekers', 'displacement', 'humanitarian', 'resource constraints']",medium,current
DJ-010,International Community Tolerance of Democratic Backsliding,"The international community has provided limited external pressure for political reform, viewing Djibouti's government stability as a source of regional predictability. This has reinforced the current leadership's ability to pursue democratic backsliding without significant external consequences, creating a permissive environment for constitutional manipulation.","['governance', 'political']","['international relations', 'democratic backsliding', 'external pressure', 'regional stability']",medium,current
DJ-011,Potential Strain on Development Partner Relations,Djibouti's alignment with Egypt and support for Somalia—moves perceived as undermining regional multipolarity—risk straining relations with development partners prioritizing democratic governance and regional stability. This could affect international support and cooperation on development initiatives.,"['political', 'governance']","['development partners', 'regional alignment', 'multipolarity', 'international relations']",medium,3-12m
