risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political resistance to social protection program implementation,"Parliamentary inaction on draft NSIPA Act revision is delaying social safety net expansion, affecting government's ability to protect vulnerable populations and potentially creating social tensions amid economic reforms.",medium,persistent,"In parallel, a draft revision to the NSIPA Act of 2023 was prepared and submitted to Parliament, but no further action has been taken since.",a1f25a44,P501661,Implementation Status and Results Report,2025-10-25T21:15:15.000Z
Slow cash transfer rollout limiting relief to vulnerable populations,"Significant shortfall in shock-responsive cash transfer beneficiaries (8.1 million vs. 15 million target) risks social discontent among economically vulnerable households during period of macroeconomic adjustment, potentially creating grievances against government reforms.",medium,persistent,"While some improvements were made in recent months, the rollout of the shock-responsive cash transfer program has been slow, limiting its effectiveness in delivering near-term support to the poorest and most economically vulnerable households. To date, about 8.1 million households with verified biometric national identification numbers have received at least one of the three planned N25,000 payment tranches through direct digital transfers—well below the government's target of 15 million households within 12 months of the program's launch in October 2023.",e00576e9,P501661,Implementation Status and Results Report,2025-10-25T21:15:15.000Z
High political and governance risk rating affecting reform sustainability,"Political and Governance risk remains rated High, indicating fragility in the political environment that could undermine government commitment to sustaining critical economic reforms, particularly subsidy removal and fiscal consolidation.",high,unclear,Political and Governance High High,d31beb82,P501661,Implementation Status and Results Report,2025-10-25T21:15:15.000Z
Political and Governance Instability Affecting Power Sector Reform Implementation,"The project faces persistent high political and governance risks that constrain implementation of critical power sector reforms, particularly around tariff adjustments and financial sustainability measures that require government coordination and political will.",high,persistent,Political and Governance [Risk Rating] High [at Approval] High [Last Approved Rating ISR Seq. 08] High [Proposed Rating],8a3fd4cc,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Governance Fragility Impacting Sector Policy Coordination,"Multiple delayed actions across fiduciary, environmental, and social systems indicate governance capacity constraints and coordination failures among key ministries and agencies (FMoP, NERC, BPE, NBET, TCN), affecting implementation of critical program actions.",high,persistent,"Assessment of NERC's regulatory capacity, from organizational structure and HR perspective and design of a capacity building program [Status] Delayed... Support to strengthening of the capacity of NBET for competitive procurement of generation [Status] In Progress... Preparation of guidelines and manual for mainstreaming stakeholder engagement process and integrating environmental, health and safety issues into the implementation of the Program [Status] Delayed",da4c36d2,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Stakeholder Tensions and Public Awareness Challenges Related to Tariff Adjustments,"Public awareness about power sector reforms remains critically low (14% overall, 4% among women), indicating potential stakeholder resistance and social tensions around tariff adjustment measures that are central to the program's financial sustainability objectives.",high,persistent,Public awareness about ongoing power sector reforms and performance increases [Baseline] 13.00 [Actual Current] 14.00 [Closing Period Target] 40.00... Public awareness about ongoing power sector reforms and performance among women increases [Baseline] 10.00 [Actual Current] 4.00 [Closing Period Target] 30.00,d872384e,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Governance Capacity Constraints in Regulatory Implementation,"Critical regulatory actions remain incomplete or delayed, including NERC's approval of updated Fit and Proper regulations and the Least Cost Power Development Plan, indicating governance fragility in sector regulatory institutions essential for program success.",high,persistent,NERC approves the Least Cost Power Development Plan (Yes/No) [Baseline] No [Actual Previous] No [Actual Current] No [Closing Period] Yes Dec/2026... NERC approves updated Fit and Proper regulation (Yes/No) [Baseline] No [Actual Previous] No [Actual Current] No [Closing Period] Yes Dec/2023,b0f6e670,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Institutional Fragility in Power Sector Governance Structures,"The unbundling of TCN into separate Transmission Service Provider and Independent System Operator functions remains incomplete, with NISO only recently established, indicating institutional governance challenges that could affect sector stability and reform implementation.",medium,persistent,TCN performs the roles of Transmission provider and System/Market operator NERC and TCN are at final stages of unbundling of TCN to Transmission Service Provider (TSP) and Independent System Operator (ISO). NISO is established.,454ccfec,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Governance Tensions Between Government and Development Partners on Program Execution,"The 2024 PSRP Financing Plan approved by government did not fully meet disbursement-linked requirements, indicating potential tensions between government fiscal priorities and program requirements for tariff shortfall funding.",medium,persistent,"The 2024 PSRP Financing Plan was approved and shared with the Bank on December 16, 2024. However, the approved FP did not fully meet DLR#G2.5.",ba57bfca,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
Weak Institutional Capacity for Enforcement of Payment Discipline,"DISCOs' payment discipline remains below required thresholds (76.6% vs. 81% target), indicating governance challenges in enforcing financial obligations and potential tensions between distribution companies and sector regulators.",medium,persistent,"The IVA confirmed that 76.6% of DISCOs' aggregate Q4, 2021 and Q1-Q3, 2022 Minimum Remittance Obligation(MRO) is paid to NBET and to TCN by January 1, 2023, which is below the threshold of 81%.",66101d66,P164001,Implementation Status and Results Report,2025-09-25T22:00:15.000Z
