related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
SDN-2026-01,Active Multi-Front War: SAF-RSF Conflict Escalates in Kordofan and Darfur,"Project operations in Kordofan and Darfur—priority implementation areas—face direct disruption from active multi-front warfare, drone strikes on health facilities, and escalating violence. The PAD explicitly identifies health facilities in conflict areas as previously attacked and looted, with ongoing security risks from armed groups, violence, extortion, and theft. Kordofan and Darfur are both listed as project priority locations and are identified in the FCV risk as epicentres of hostilities with drone strikes on hospitals.",0.95,P504629,"PAD states: 'Multiple health facilities previously attacked and looted, leading to deaths of patients and health workers. Ongoing security risks from armed groups, violence, extortion, theft, looting, vandalism of project materials.' Project locations include 'Darfur (Central, West, East), Greater Kordofan' as priority areas. PAD notes '75% of health facilities in conflict-affected areas are non-functional.' Security mitigation acknowledges 'Risk of escalation to safer states' and requires 'Customized Security Management Framework (SMF) with implementation arrangements' and 'PIM to outline procedures for determining need to cease work in particular areas.'"
SDN-2026-03,Mass Displacement Crisis: Largest in the World,"Project targeting and beneficiary identification are vulnerable to disruption from the world's largest displacement crisis. The PAD identifies 11.16 million internally displaced persons as of November 2024 and explicitly targets IDPs as primary beneficiaries. However, the PAD acknowledges that 'security challenges and population mobility may compromise beneficiary identification' and notes 'Frequent population movements fleeing conflict areas' as a technical design risk. The project's reliance on fixed PHC facilities and mobile teams assumes stable or predictable IDP populations, which the displacement crisis undermines.",0.9,P504629,"PAD states: 'Security challenges and population mobility may compromise beneficiary identification' and 'Frequent population movements fleeing conflict areas' under technical design risks. Project explicitly targets '11.16 million people displaced' and aims to serve '9 million people including women of reproductive age, children under five, internally displaced persons (IDPs), and host communities.' PAD notes 'Concerns about IDP mobility to project areas for benefits' and identifies 'Social tensions between IDPs and host communities over project benefits and targeting criteria.' Mitigation relies on 'community consultations to understand exclusion risks and social tensions' but acknowledges the volatile operating environment."
SDN-2026-04,Famine Confirmed and Spreading in Darfur and Kordofan,"Project implementation in famine-affected areas (El Fasher in North Darfur and Kadugli in South Kordofan) faces severe operational constraints. Famine conditions undermine health system functionality, staff retention, and beneficiary access to services. The PAD identifies Darfur and Kordofan as priority project locations, but the confirmed famine and projected spread to 20 additional areas across these regions will strain project resources, compromise staff safety and retention, and reduce the effectiveness of nutrition and health interventions due to acute food insecurity.",0.85,P504629,"Project locations include 'Darfur (Central, West, East), Greater Kordofan' as priority areas. PAD acknowledges 'Extreme poverty increased from 15.2% (2014) to 56.7% (2024)' and '24.8 million need aid.' Component 1.2 includes 'SAM management' (Severe Acute Malnutrition), indicating project awareness of malnutrition crisis. However, PAD does not explicitly address famine-specific operational constraints. The project's nutrition component (SAM management, vaccination campaigns) will face severe resource constraints and reduced effectiveness in famine conditions where food insecurity is the primary driver of malnutrition."
SDN-2026-05,"Systematic Attacks on Civilians, Sexual Violence, and Impunity","Project staff, implementing partners, and beneficiaries face heightened risks of sexual violence, extrajudicial killings, and unlawful detention. The PAD identifies 'high risk of SEA/SH in FCV context with displaced populations, weak governance, and humanitarian crisis' and notes that 'Project involves health services, community engagement, and cash transfers which can create SEA/SH risks.' The project's engagement with vulnerable populations (IDPs, women, children) and community health workers creates exposure to perpetrators of systematic violence and sexual abuse.",0.92,P504629,"PAD explicitly identifies 'sexual exploitation and abuse (high)' as a risk: 'High risk of SEA/SH in FCV context with displaced populations, weak governance, and humanitarian crisis. Project involves health services, community engagement, and cash transfers which can create SEA/SH risks.' Mitigation includes 'SEA/SH Action Plan. Sensitization and training of staff and partners. Reporting mechanisms and investigation procedures. Codes of conduct. Community awareness. Integration into GRM. PMU staff with GBV expertise.' Project targets vulnerable groups including 'Women of reproductive age - 2.64 million, 105,000 currently pregnant' and 'Girls and adolescents,' increasing exposure to perpetrators of documented sexual violence."
SDN-2026-06,Deliberate Obstruction of Humanitarian Access,"Project supply chains, staff movement, and service delivery are vulnerable to deliberate obstruction by warring parties. The PAD identifies 'insecurity affects delivery of inputs (medications, supplies, fuel)' and notes that 'Project supervision challenging due to insecurity.' Both SAF and RSF have documented patterns of obstructing humanitarian access, attacking humanitarian workers, and restricting movement. The project's reliance on UN humanitarian corridors and partner networks for supply movement and staff deployment creates dependency on access that warring parties can unilaterally restrict.",0.93,P504629,"PAD identifies fiduciary risk: 'Country environment volatility and conflict impede access to beneficiaries. Insecurity affects delivery of inputs (medications, supplies, fuel) and raises fund safeguard risks. Project supervision challenging due to insecurity.' Mitigation includes 'High-level UN coordination and UNOCHA humanitarian corridor facilitation' and 'Source goods/services internationally to limit local shortage effects.' Project design acknowledges access constraints through 'Three-tiered service delivery model (Fully Accessible, Partially Accessible, Severely Restricted Access areas) adapts to changing security/accessibility.' However, this model assumes some level of humanitarian access that current FCV risk indicates is being deliberately obstructed."
SDN-2026-02,De Facto State Fragmentation and RSF Parallel Government,"Project governance and coordination arrangements are vulnerable to de facto state fragmentation. The PAD identifies 'Federal institutions non-functional due to conflict' and notes 'reliance on state/locality-level institutions which may have limited capacity' and 'Coordination challenges with federal-level security apparatus.' The RSF's proclamation of a parallel 'Government of Peace and Unity' in Darfur and parts of Kordofan—both project priority areas—creates dual governance structures that complicate project coordination, beneficiary access, and institutional sustainability. The legitimacy vacuum undermines the project's ability to work with recognized authorities.",0.88,P504629,"PAD identifies political risk (high): 'Federal institutions non-functional due to conflict; reliance on state/locality-level institutions which may have limited capacity. Coordination challenges with federal-level security apparatus.' Mitigation states: 'Work with state and locality-level institutions and local authorities. Coordinate with other UN agencies and international/local partners. Technical-level coordination with Humanitarian Aid Commission at state level.' Project locations include Darfur and Kordofan where RSF controls territory and has established parallel administration. PAD notes project 'Avoids channeling funds through federal/state/local authorities or parastatal entities' and 'Works through UN agencies and NGO partners,' but this does not resolve the underlying governance fragmentation affecting local institutional capacity and coordination."
SDN-2026-07,Collapsed Health System and Renewed Disease Outbreak Risk,"Project sustainability and effectiveness are threatened by the collapsed health system and renewed disease outbreak risk. The PAD acknowledges '75% of health facilities in conflict-affected areas are non-functional' and that the project aims to 'restore access to a basic package of health and nutrition services and preserve the main elements of essential public health functions.' However, the underlying drivers of disease transmission (overcrowded displacement sites, disrupted WASH services, collapsed immunization) remain unaddressed by the project scope. The risk of renewed cholera and waterborne disease outbreaks will overwhelm project capacity and undermine service delivery outcomes.",0.8,P504629,"PAD states project objective: 'To restore access to a basic package of health and nutrition services and preserve the main elements of essential public health functions.' Fragility context notes: '75% of health facilities non-functional in conflict areas, 2/3 of population lacks health access, $900M financial losses to health sector.' Component 2 includes 'IDSR/EWARS training and operations; Emergency Operations Centers (EOCs) rehabilitation and operations' for disease surveillance and response. However, PAD does not address how project will manage renewed disease outbreaks given the underlying drivers (displacement, WASH collapse, immunization gaps) remain largely outside project scope. Project's disease surveillance component may identify outbreaks but lacks resources to contain them at scale."
SDN-2026-10,Severe Humanitarian Funding Gap Threatening Aid Operations,"Project sustainability is critically vulnerable to the severe humanitarian funding gap. The PAD acknowledges 'Sustainability heavily dependent on long-term external financing' and proposes mitigation through 'Explore multi-donor trust fund options for medium-term financing.' However, the broader humanitarian response plan for Sudan received only 5.5% of required funds as of early February 2026, and WFP has been forced to reduce food rations to survival minimums. The project's $82 million financing, while substantial, operates within a context of catastrophic underfunding of the broader humanitarian response, creating risk that project activities will be crowded out by emergency response priorities or that beneficiaries will lack complementary services (food, water, shelter) necessary for health interventions to be effective.",0.82,P504629,"PAD identifies macroeconomic risk (substantial): 'Economic contraction (20% in 2023, 15% in 2024), hyperinflation (211% in October 2024), currency depreciation, disrupted supply chains, frozen donor aid, reduced government funding for health facilities.' Institutional risk notes: 'Sustainability heavily dependent on long-term external financing.' Mitigation includes 'Project provides external financing for basic health services' and 'Explore multi-donor trust fund options for medium-term financing.' However, PAD does not address the broader humanitarian funding gap (Sudan's 2026 HRP required $2.9B but received only 5.5% as of Feb 2026) or how project will maintain operations if broader humanitarian funding collapses further."
SDN-2026-11,Cross-Border Conflict Spillover to Neighbouring States,"Project implementation may be disrupted by cross-border conflict spillover and the internationalisation of the conflict. The PAD identifies project locations across all 18 states of Sudan, including border areas (Blue Nile, Kassala, Port Sudan). The FCV risk notes cross-border recruitment, weapons transit, and displacement flows across Sudan's borders with Chad, Egypt, South Sudan, Ethiopia, Uganda, and Libya. While the project is designed for a single-country context, cross-border dynamics could affect staff safety, supply chains, and the stability of project areas, particularly in border states.",0.7,P504629,"Project locations include 'Blue Nile, Gedarif, Sennar, Northern State, River Nile, Kassala, Port Sudan' which are border or near-border areas. PAD notes 'Coordination with Health and WASH Clusters' and 'Alignment with Sudan SANAD and Somoud projects' but does not explicitly address cross-border spillover risks. Security mitigation acknowledges 'Risk of escalation to safer states' but does not detail how project will manage cross-border dynamics. Project design assumes Sudan-specific implementation, but cross-border conflict spillover could destabilize project areas and disrupt supply chains or staff deployment."
SDN-2026-12,"Arbitrary Detention, Political Repression, and Civil Society Suppression","Project staff, implementing partners, and community health workers face risks of arbitrary detention, torture, and political repression. The PAD identifies 'high risk' for stakeholder engagement and notes 'Sudan's long history of conflict affects engagement with authorities and communities.' The FCV risk documents that both SAF and RSF are detaining civilians, including political activists and women accused of collaboration, without due process. Community health workers and project staff engaged in community mobilization and health service delivery could be targeted as suspected collaborators with opposing forces, particularly in areas controlled by RSF or SAF.",0.75,P504629,"PAD identifies stakeholder engagement risk (high): 'Sudan's long history of conflict affects engagement with authorities and communities. May impede implementation and access.' Project includes '1,200+ community health workers' and '25 mobile teams' for community engagement and service delivery. Mitigation emphasizes 'Emphasis on sensitization and consultation with communities' and 'Local authority awareness and engagement at technical level.' However, PAD does not explicitly address risks of arbitrary detention or political repression targeting project staff or community health workers. The project's reliance on community engagement and local implementation partners creates exposure to political repression documented in FCV risk."
