risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Security-Related Disruptions to Pharmaceutical Supply Chain,"Security forces interference, roadblocks, attempted looting, and threats to vendors are causing delays in pharmaceutical supply delivery and distribution across project areas.",high,persistent,"Security-related disruptions were a major concern, including interference by security forces, roadblocks, attempted looting, and threats to vendors, all of which posed risks to personnel and delayed operations.",52cec011,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Healthcare Facility Closures Due to Ongoing Conflict,"At least 20 HSTP-supported health facilities remain closed due to ongoing security challenges, with recent aerial bombardment in New Fangak causing facility closures and population displacement.",high,persistent,"The conflict impact tracker report indicated that about 37 healthcare facilities supported by HSTP, including the recent aerial bombardment in New Fangak in Jonglei State, faced population displacement and resulted in the closure of New Fangak Hospital and Pakan PHCC on May 15, 2025. However, at least 20 facilities remain closed due to ongoing security challenges.",03f80981,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Unresolved Supply Deliveries in Insecure Areas,"Pending pharmaceutical deliveries for Cycle 3 in Nasir, Ulang, and Kajo-Keji counties remain unresolved due to ongoing insecurity, creating risk of supply expiry and wastage.",high,persistent,"Pending deliveries for Cycle 3 in Nasir, Ulang, and Kajo-Keji counties remain unresolved due to ongoing insecurity in those areas, highlighting the need for stronger coordination, data systems, and risk mitigation strategies.",70e42ba8,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Movement Restrictions Impeding E&S Monitoring,Security and access limitations are preventing regular Environmental and Social monitoring and reporting activities across project implementation areas.,high,persistent,Movement restrictions: security and access limitations impeded regular E&S monitoring and reporting.,56eb1fb4,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Staff Safety and Service Delivery Disruption in Conflict-Affected States,Current conflict and instability in Upper Nile State and Western Equatoria State are affecting staff safety and disrupting delivery of healthcare and other essential services.,high,persistent,"The current conflict and instability in UNS and WES are affecting staff safety and disrupting the delivery of services, including healthcare and other essential services.",81468fcd,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Attrition of Boma Health Workers Due to Governance Instability,"Attrition among Boma Health Workers is exacerbated by frequent staff changes within County Health Departments, indicating governance fragility at local level.",medium,persistent,Attrition among Boma Health Workers (BHWs) is exacerbated by frequent staff changes within County Health Departments (CHDs).,df3335f9,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Weak BHI Governance and Oversight at Local Levels,Weak governance of the Boma Health Initiative at boma level by Boma Health Committees due to lack of incentivization reflects governance fragility affecting program operations.,medium,persistent,"Weak BHI governance, insufficient support, and inadequate oversight from national to local levels affect BHI operations. For instance, the governance of BHI at the boma level by the Boma Health Committees (BHCs) is weak due to lack of incentivization.",c5e01fe1,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Delayed Incentive Payments Affecting Health Worker Motivation,"Delays in providing incentives to Boma Health Workers and healthcare workers are demotivating factors affecting their commitment and service delivery, with potential for staff attrition.",medium,persistent,"The delay in providing incentives to BHWs is a demotivating factor in their commitment. Delayed incentive payments, low routine immunization (RI) coverage, and poor uptake of the malaria vaccine—driven by social norms and maternal hesitancy—have contributed to multiple vaccine-preventable disease outbreaks.",1f158c24,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Government Budget Execution Constraints Affecting Project Implementation,"The percentage of Ministry of Health budget executed remains constrained at 31% against a 50% Year 1 target, indicating government financing fragility affecting project sustainability.",medium,persistent,The PDO indicator on 'Percentage of MoH budget executed' is lagging.,54739eca,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Financing Disruptions Affecting HSTP Health Facilities,"There is lack of information on the effect of financing disruptions specifically on HSTP health facilities, indicating potential government capacity or commitment issues.",medium,unclear,There is a lack of information on the effect of the financing disruptions specifically on HSTP health facilities.,e5212544,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
Overdue Government Co-Financing Commitment,"The Government of South Sudan's direct co-financing commitment of US$4 million to HSTP was due in October 2024 and remains overdue, indicating government financing fragility.",medium,persistent,"The Government of the Republic of South Sudan direct co-financing commitment to HSTP of US$4 million was due in October 2024, and is now overdue.",c00cf1c1,P181385,Aide Memoire,2025-08-22T14:05:03.000Z
