country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SSO-001,Collapse of R-ARCSS Peace Agreement and Return to Full-Scale War,The realized project implementation risk directly reflects the governance instability created by the deteriorating peace agreement. President Kiir's unilateral amendments to R-ARCSS and cabinet reshuffles without consulting signatories have eroded institutional coherence and predictability—the same dynamics undermining the government's capacity to execute project activities with continuity. A return to full-scale war would render project implementation impossible.,0.92,P178654,81dbcb85,Implementation Status and Results Report
SSO-003,"Political Repression, Detention of Opposition Figures, and Shrinking Civic Space","Political repression and the consolidation of power through the NSS Act have created an environment of institutional uncertainty and reduced institutional legitimacy. This constrains the government's ability to maintain stable, predictable governance structures necessary for project implementation, particularly where multi-stakeholder coordination or civil society engagement is required.",0.85,P178654,81dbcb85,Implementation Status and Results Report
SSO-009,Acute Economic Fragility and Oil Revenue Dependency,"South Sudan's acute economic fragility—with 92 percent poverty, hyperinflation, and near-total oil revenue dependency—directly constrains the government's fiscal capacity to co-finance, sustain, or operationalize project activities. Government troops are reportedly largely unpaid, indicating broader institutional capacity collapse that affects project implementation across all sectors.",0.88,P178654,81dbcb85,Implementation Status and Results Report
SSO-012,Government-UNMISS Friction and Constrained Peacekeeping Capacity,Government-UNMISS friction and the government's demands to restrict UN operations reflect broader governance instability and institutional fragility. The deterioration in state-international actor relations signals weakened institutional capacity and governance coherence that directly affects the government's ability to coordinate with development partners and maintain project implementation frameworks.,0.8,P178654,81dbcb85,Implementation Status and Results Report
SSO-009,Acute Economic Fragility and Oil Revenue Dependency,"The realized project macroeconomic risk escalation directly reflects South Sudan's acute economic fragility. The country's near-total oil dependency (>90% of government revenues), combined with hyperinflation (~143% in FY2024/25), pipeline vulnerability to Sudan conflict spillover, and contingency on uncertain security improvements, creates the macroeconomic instability threatening project sustainability. The February 2024 pipeline rupture precedent and renewed conflict risks in early 2026 demonstrate how external shocks can rapidly destabilize the fiscal environment on which project implementation depends.",0.95,P178654,fde6522a,Implementation Status and Results Report
SSO-001,Collapse of R-ARCSS Peace Agreement and Return to Full-Scale War,"The escalation of macroeconomic risk from Substantial to High is temporally and causally linked to the January 2026 return to full-scale conflict and collapse of the R-ARCSS peace agreement. Armed conflict directly disrupts government revenue collection, diverts fiscal resources to military operations, undermines investor confidence, and constrains the institutional capacity required for project implementation. The government's reported inability to pay troops due to reduced fiscal revenues further signals the severity of macroeconomic deterioration.",0.9,P178654,fde6522a,Implementation Status and Results Report
SSO-011,Sudan Conflict Spillover: Cross-Border Instability and Refugee Influx,"Sudan's ongoing conflict poses a direct macroeconomic threat to South Sudan through pipeline vulnerability and oil export disruption. RSF attacks on Sudanese oil infrastructure in 2025 threatened to shut South Sudan's export capacity entirely, and Sudan's SAF threatened to close the pipeline in May 2025. The influx of 800,000+ returnees since April 2023 also strains fiscal resources and service delivery capacity, compounding macroeconomic fragility and project sustainability risks.",0.85,P178654,fde6522a,Implementation Status and Results Report
SSO-001,Collapse of R-ARCSS Peace Agreement and Return to Full-Scale War,"The deterioration of institutional capacity for project implementation is directly linked to the collapse of the peace agreement framework. Government ministries' ability to execute project activities depends on stable governance structures and predictable institutional functioning. The unilateral amendments to R-ARCSS and cabinet reshuffles without consultation have destabilized the institutional environment, creating uncertainty about which government entities retain authority and legitimacy to implement development projects.",0.85,P178654,4f33556e,Implementation Status and Results Report
SSO-003,"Political Repression, Detention of Opposition Figures, and Shrinking Civic Space","Political repression and the shrinking civic space directly undermine institutional capacity. The NSS Act's use for arbitrary arrests and harassment of civil society actors, journalists, and political opponents creates a climate of fear that constrains institutional functioning. Government ministries operating under such conditions face reduced ability to recruit qualified staff, coordinate with civil society partners, and maintain transparent institutional processes necessary for effective project implementation.",0.8,P178654,4f33556e,Implementation Status and Results Report
SSO-006,Humanitarian Access Crisis and Attacks on Aid Operations,"The humanitarian access crisis directly impacts institutional capacity by disrupting government ministry operations in conflict-affected areas. Forced staff relocations, attacks on operations, and government-ordered civilian evacuations from Jonglei counties constrain the ability of government institutions to maintain presence, coordinate activities, and implement projects in affected regions. The blocking of aid and government-imposed movement restrictions fragment institutional reach.",0.82,P178654,4f33556e,Implementation Status and Results Report
