country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type,title
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"The project's high-rated political and governance risk directly connects to Ethiopia's systematic assault on press freedom and civil society. The government's crackdown on independent media, detention of journalists, and shrinking civic space constrains the institutional environment necessary for transparent project implementation, stakeholder engagement, and accountability mechanisms that depend on functional civil society oversight.",0.85,P506061,484a9d3e,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"The project's persistent political and governance instability risk is directly linked to the broader electoral legitimacy crisis. Opposition exclusion, insecurity preventing voting in multiple regions, and government crackdowns on independent institutions undermine the political stability and institutional credibility required for effective project implementation and sustained government commitment to development objectives.",0.82,P506061,484a9d3e,Implementation Status and Results Report,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The deepening political crisis in Tigray, marked by TPLF deregistration and escalating tensions between armed factions, directly impacts governance capacity and institutional fragility. This regional political breakdown constrains the government's ability to maintain coherent implementation structures and coordinate across regions, particularly if the project has geographic scope in or dependent on Tigray's institutional capacity.",0.78,P506061,484a9d3e,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The ongoing Fano insurgency and government counterinsurgency operations in Amhara directly undermine political and governance stability in a major region. The closure of 4,000+ schools, displacement of populations, and fragmented government authority in rural areas severely constrain implementation capacity for any project requiring institutional coordination, service delivery, or community engagement in Amhara.",0.8,P506061,484a9d3e,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The project's need for security risk assessments and security management plans in conflict-prone areas directly reflects the ongoing armed conflict in Amhara region. With Fano militias maintaining territorial control and popular support across rural areas, and over 4,000 schools remaining closed, project implementation in Amhara would face direct exposure to active insurgency operations and counterinsurgency activities.",0.85,P506061,b6fdd389,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"The project's recognition of security risks in implementation areas aligns with persistent violence in Oromia despite peace agreements. Continued attacks against civilians, intercommunal violence, and displacement of over 288,000 people since July 2025 create direct implementation challenges for project activities in the region, necessitating the security assessments and management plans referenced.",0.82,P506061,b6fdd389,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The project's focus on social conflict prevention and community consultations reflects the humanitarian crisis created by 3.3-4.7 million internally displaced persons. Implementation in areas with high IDP concentrations requires careful security and social conflict management to navigate tensions between host communities and displaced populations, as well as precarious conditions in camps.",0.78,P506061,b6fdd389,Implementation Status and Results Report,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,"The project's security management planning for conflict-prone areas is directly relevant to northern regions where the 2022 Pretoria Agreement remains fragile. Ongoing displacement, sexual violence by Eritrean troops, and tensions between rival political factions create volatile implementation environments requiring the security risk assessments and management plans the project acknowledges.",0.8,P506061,b6fdd389,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,The project's implementation gap in measuring service delivery outcomes for refugee and displaced populations directly relates to Ethiopia's displacement crisis affecting 3.3-4.7 million people. The lack of data on outcomes in refugee host communities undermines the project's ability to effectively support these vulnerable populations during a period of acute humanitarian need and shrinking funding environments.,0.85,P179040,831e596e,Implementation Status and Results Report,
ETH_2026_009,Cross-border spillover effects from Sudan conflict and regional instability,"The project's challenges in serving refugee populations are directly relevant to Ethiopia's hosting of over 163,000 Sudan refugees and 50,000+ new arrivals in 2025. The absence of service delivery data for refugee host communities suggests implementation difficulties in managing integration of this influx, which strains already fragile institutional capacities.",0.8,P179040,831e596e,Implementation Status and Results Report,
