related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
BOL-001,New Government's Austerity Decree Triggers Nationwide Unrest and Blockades,"Project implementation is vulnerable to disruption from nationwide blockades and strikes. The PAD explicitly identifies 'agitated and conflictive social and political context with recurrent strikes and mobilizations' as a political and governance risk. Blockades (as occurred January 4-12, 2026) could prevent contractor access to project sites, delay material delivery, and disrupt labor availability for the three road construction interventions.",0.85,P180770,"PAD identifies 'Political and Governance (moderate)' risk: 'agitated and conflictive social and political context with recurrent strikes and mobilizations.' PAD also notes 'Recent increase in community and civil actions involving road network that can delay implementation.' The three project locations (Chimore-Ivirgarzama, Guanay Bridge, Molino-Monteagudo) span multiple departments and depend on continuous access and labor availability."
BOL-002,Fragile Governance Under New Right-Wing Government Amid Fragmented Congress,"Project depends on sustained political commitment and institutional coordination across ABC, MOPSV, and MPD. The PAD identifies 'Potential changes in political commitment' as a political and governance risk. Fragmented governance and open conflict between the executive and organized labor could undermine the 'strong political ownership and continued commitment during project life' that the PAD identifies as essential mitigation.",0.75,P180770,PAD lists 'Political and Governance (moderate)' risk with mitigation requiring 'Strong political ownership and continued commitment during project life; improved cross-institutional coordination; maintenance of designed implementation arrangements.' PAD also notes 'Institutional Capacity (moderate)' risk due to 'ABC's limited capacity to manage complex projects' and 'weak coordination between ABC units and with stakeholders.' The project requires coordination between ABC HQ (La Paz) and regional offices across three departments.
BOL-003,Severe Fiscal and Balance-of-Payments Crisis Threatening Debt Default,"Project implementation is vulnerable to macroeconomic collapse affecting government counterpart funding, contractor liquidity, and labor availability. The PAD identifies 'Macroeconomic (substantial)' risk including 'large fiscal deficits, constrained domestic and international financing, pressure on international reserves, potential inflation increases, and imported goods price increases.' With 25% inflation and fiscal deficit exceeding 10% of GDP, government's ability to provide timely payments to contractors and meet land acquisition/compensation obligations (US$8.8 million) is at risk.",0.9,P180770,"PAD identifies 'Macroeconomic (substantial)' risk: 'Challenging short- to medium-term macroeconomic outlook due to potential El Niño impacts, large fiscal deficits, constrained domestic and international financing, pressure on international reserves, potential inflation increases, and imported goods price increases.' Mitigation includes 'financing for land acquisition and compensation included as eligible project financing' and 'close monitoring of macroeconomic conditions.' PAD also notes 'Fiduciary (substantial)' risk including 'dependency on MEFP for timely payment processing' and 'delays in contracting financial audits.'"
BOL-006,Expanding Drug Trafficking Networks and Organized Crime Penetration,"The Chimore-Ivirgarzama road section in Cochabamba Department is located in a region historically associated with coca cultivation and drug trafficking. The PAD identifies 'Environmental and Social (substantial)' risks including 'labor influx' and 'community tensions.' Organized crime penetration of local governance and labor systems could compromise contractor vetting, create security risks for project staff, and enable informal taxation or interference with project operations.",0.7,P180770,"PAD identifies project location in Chimore-Ivirgarzama (Cochabamba Department) and notes 'Environmental and Social (substantial)' risks including 'labor influx' and 'community tensions.' PAD requires 'Labor Management Plan' and 'timely payments and adequate working conditions' to mitigate risks of worker debts fueling tensions. The Cochabamba region, particularly the Chapare area near Chimore, is documented in country risk as a major coca cultivation zone vulnerable to drug trafficking networks."
BOL-007,Accelerating Deforestation and Environmental Conflict in Eastern Lowlands,"The Molino-Monteagudo road section in Chuquisaca Department and broader project activities risk exacerbating environmental conflicts and deforestation pressures. The PAD identifies 'Environmental and Social (substantial)' risks including 'vegetation loss,' 'erosion acceleration,' and 'borrow pit and water pond management.' Road upgrading and bypass construction could facilitate further land conversion and agribusiness expansion, creating tensions with Indigenous and peasant communities already mobilized against environmental degradation.",0.65,P180770,"PAD identifies 'Environmental and Social (substantial)' risks: 'vegetation loss; environmental liabilities; borrow pit and water pond management.' Mitigation includes 'vegetation preservation' and 'water harvesting pond and borrow pit management.' PAD requires 'Detailed social assessments for each infrastructure investment' and 'consultation with local communities and vulnerable groups.' The project's road upgrading and bypass construction (particularly Molino-Monteagudo) could facilitate access to previously remote areas, increasing deforestation pressure in a region already experiencing 259% acceleration in deforestation rates."
BOL-008,Gender-Based Violence and Femicide at Crisis Levels with Impunity,"Project is vulnerable to elevated SEA/SH risks during construction phase due to labor influx in remote areas with high baseline GBV prevalence. The PAD identifies 'substantial SEA/SH risk due to labor influx, poverty, sexism culture, high statutory rape incidence, and high feminicide rates.' With 1.3 femicides per 100,000 women and 60% of women experiencing physical/sexual violence, the project's three construction sites in rural/remote areas risk becoming flashpoints for exploitation of vulnerable women and girls.",0.85,P180770,"PAD explicitly identifies 'substantial SEA/SH risk due to labor influx, poverty, sexism culture, high statutory rape incidence, and high feminicide rates' under Environmental and Social (substantial) risk. Mitigation includes 'gender-based violence prevention and response programs; grievance redress mechanism with designated channels for GBV/SEA/SH complaints; linkage with SLIMs and DNAs; training of community promoters.' PAD notes beneficiaries include '83,000 women' and identifies 'Women (particularly in rural areas facing time poverty and mobility constraints)' as vulnerable group. Project locations are remote rural areas where enforcement capacity is weakest."
BOL-010,Fuel Price Shock Driving Food Insecurity and Transport Disruption,"Project implementation depends on reliable fuel supply and transport logistics for construction materials and labor. The PAD identifies 'Macroeconomic (substantial)' risk including 'imported goods price increases.' Fuel price doubling (from Decree 5503) increases contractor costs, reduces labor availability as workers prioritize subsistence, and disrupts supply chains for imported construction materials. Bolivia imports 86% of diesel, making projects highly vulnerable to fuel price volatility and supply disruptions.",0.8,P180770,"PAD identifies 'Macroeconomic (substantial)' risk: 'potential inflation increases, and imported goods price increases.' Project requires construction of bridges, culverts, and road rehabilitation across three geographically dispersed locations dependent on fuel-intensive transport. PAD notes 'Fiduciary (substantial)' risk including 'delays in procurement and financial reporting' and dependency on timely payment processing. Fuel price shocks directly impact contractor ability to deliver materials and labor, particularly in remote areas like Guanay Bridge (La Paz Department) and Molino-Monteagudo (Chuquisaca Department)."
BOL-005,Politicized Judiciary and Institutional Fragility Undermining Rule of Law,"Project's grievance redress mechanism and dispute resolution processes are vulnerable to politicized judicial interference. The PAD establishes a project-level GRM with online registry and multiple complaint channels, but effectiveness depends on impartial judicial enforcement. Politicized courts could undermine contractor dispute resolution, resettlement appeals, and labor grievances, particularly if disputes involve politically connected actors or land disputes in contested areas.",0.7,P180770,"PAD establishes 'Project-level grievance mechanism to be established by ABC within 30 days after effectiveness; online GRM system for registry and follow-up of complaints' with 'multiple channels including email, mayor's office, contractor mailboxes, in-person complaints, and World Bank GRS referrals.' However, PAD does not address judicial enforcement of GRM decisions or dispute resolution in context of politicized courts. Project involves 'Land Acquisition, Restrictions on Land Use and Involuntary Resettlement' (ESS 5 triggered) with 'Resettlement Plans to be prepared for each intervention' and 'US$8.8 million' in land/resettlement expenditures, all vulnerable to judicial challenge in politicized system."
BOL-004,Post-Election Evo Morales Fugitive Status and Residual Political Violence Risk,"Project locations in Cochabamba Department (Chimore-Ivirgarzama) are in Morales' political stronghold (Chapare region). Sporadic mobilizations by Morales supporters could disrupt project activities, particularly if austerity measures trigger renewed protests. The PAD identifies 'agitated and conflictive social and political context with recurrent strikes and mobilizations' and notes 'Recent increase in community and civil actions involving road network that can delay implementation.'",0.6,P180770,"PAD identifies project location in 'Chimore-Ivirgarzama (Cochabamba Department)' and notes 'Political and Governance (moderate)' risk: 'agitated and conflictive social and political context with recurrent strikes and mobilizations.' PAD also notes 'Recent increase in community and civil actions involving road network that can delay implementation.' The Chimore-Ivirgarzama area is in the Chapare region of Cochabamba, historically Morales' political base and site of coca cultivation-related mobilizations."
BOL-001,New Government's Austerity Decree Triggers Nationwide Unrest and Blockades,"Project implementation could be disrupted by nationwide blockades and transport paralysis. The PAD identifies that the project operates in 'remote areas with difficult access' across 9 departments and 256 municipalities. Fuel price shocks and blockades directly threaten logistics for infrastructure construction, equipment delivery, and staff mobility to dispersed subproject sites.",0.85,P178861,"PAD states: 'Large number of infrastructure investments in small communities located in remote areas across the country with difficult access' and 'security of infrastructure investments in dispersed locations' is a concern. Component 2 involves construction of water harvesting, reservoirs, and irrigation systems requiring regular transport access. The project depends on 'technical supervision and engineering support' which requires staff mobility to remote sites."
