risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Risk Escalation,"Political and Governance risk rating has increased from Moderate at approval to Substantial at the last review, indicating worsening governance fragility or political instability affecting project implementation.",high,worsening,Political and Governance Moderate [at Approval Package - 26 May 2022] ... Substantial [Last Approved Rating ISR Seq. 06 - 19 Apr 2025] ... Substantial [Proposed Rating],4a799037,P178033,Implementation Status and Results Report,2025-10-22T21:20:14.000Z
Coordination and Planning Difficulties Affecting Service Delivery,"Continued difficulties with coordination, planning and outreach are impacting immunization service delivery and data quality, suggesting governance or institutional coordination challenges affecting project implementation.",medium,persistent,"Poor quality of immunization registered filling. Continued difficulties with coordination, planning and outreach.",6d1f5ef9,P178033,Implementation Status and Results Report,2025-10-22T21:20:14.000Z
Refugee Data Collection and Service Delivery Gaps,"Disaggregated data for refugee populations is not available or incomplete across multiple health indicators, indicating potential access barriers or governance challenges in serving refugee populations as a priority project target group.",medium,persistent,Disaggregated data is still not available and will be provided in the next ISR [for refugees receiving immunization services],0d2db5e2,P178033,Implementation Status and Results Report,2025-10-22T21:20:14.000Z
Delayed adoption of Digital Code hampering project implementation,"The non-adoption of the Digital Code (Code du Numérique), particularly Book Two covering telecommunications regulation, is causing delays in multiple project activities across both DFN and EARDIP. This legislative gap is blocking the operationalization of key regulatory frameworks needed for project success.",high,persistent,"Le Code du Numérique n'est toujours pas adopté. Cette situation entraîne le retard de plusieurs activités qui en dépendent... La mission réitère sa recommandation au Gouvernement de prendre les mesures nécessaires afin d'adopter rapidement le Code du Numérique ou le cas échéant, son livre deuxième portant le cadre légal et règlementaire du secteur des télécommunications",c8c2b2b2,P174461,Aide Memoire,2025-10-06T15:05:03.000Z
Governance fragility affecting regulatory capacity,The ARMD (regulatory authority) lacks its primary operational tool—the Digital Code Book Two—which is essential for regulating the telecommunications sector. This creates a governance gap that undermines the authority's ability to function effectively and implement project activities.,high,persistent,"le livre deuxième du code du numérique portant le secteur des télécommunications, qui constitue son principal outil de travail pour réguler le secteur, n'a pas encore été adopté",b16e9d35,P174461,Aide Memoire,2025-10-06T15:05:03.000Z
Institutional capacity constraints in project management units,"Both projects face implementation delays linked to weak institutional capacity. The DFN Component 2 is rated Modérément Insatisfaisante (Moderately Unsatisfactory) due to activity implementation delays, and EARDIP procurement execution remains slow despite project effectiveness.",medium,persistent,"La performance de la composante 2 est maintenue à Modérément Insatisfaisante (MU) en raison des retards dans la mise en œuvre des activités... pour le projet d'Intégration Numérique Régionale en Afrique de l'Est, il est toujours noté que le démarrage de la passation des marchés reste lent",c9613808,P174461,Aide Memoire,2025-10-06T15:05:03.000Z
Delays in environmental and social safeguards implementation for EARDIP,"EARDIP faces significant delays in environmental and social (E&S) reporting and grievance mechanisms. Required quarterly E&S reports for Q1 and Q2 2024 were not submitted by their deadlines (October 2024 and January 2025), and the Grievance Redress Mechanism (GRM) has not been operationalized, creating governance and accountability gaps.",medium,worsening,"Le premier rapport de suivi E&S (et la manière de traiter les incidents EAS/HS), conformément à l'EARDIP, n'a pas été soumis. Il devait être présenté en octobre 2024... Le deuxième rapport devait être présenté en janvier 2025... la Banque exige les deux rapports pour la fin du mois de mars au plus tard",7b00fc2e,P174461,Aide Memoire,2025-10-06T15:05:03.000Z
Weak grievance mechanisms and stakeholder engagement in both projects,"Both DFN and EARDIP have inadequate grievance redress mechanisms (GRM). For EARDIP, it is unclear how EARDIP-specific grievances will be identified and addressed. For DFN, the GRM is not operationalized, with complaint channels not displayed on websites, work sites, or communicated to stakeholders during public consultations.",medium,persistent,"Bien que l'équipe déclare disposer d'un MGP pour le projet national, il convient de clarifier la manière dont les griefs liés à l'EARDIP seront abordés et identifiés... La mission recommande aussi de rendre le MGP plus opérationnelles en affichant les canaux de réceptions des plaintes dans le site web du Ministère, les locaux de l'UGP, les sites de travaux",85f1adf3,P174461,Aide Memoire,2025-10-06T15:05:03.000Z
Refugee enrollment and completion tracking gaps,"The project targets refugees as a key vulnerable group but has zero reported enrollment and completion data for refugees across multiple indicators, with comments indicating data is 'currently not available.' This represents a significant implementation gap for a core FCV-vulnerable population.",high,persistent,Increased enrollment in selected TVET areas - Refugees (Number) 220.00 0 0 800.00... Share of trainees completing TVET programs increased - Refugees (Percentage) Comments on achieving targets This data is currently not available but will be gathered before the next ISR.,25f557a9,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z
Persons with disabilities exclusion from training programs,"Despite targeting persons with disabilities as a vulnerable group, zero individuals with disabilities have been enrolled or completed training programs across multiple indicators, suggesting systemic barriers to inclusion of this FCV-vulnerable population.",high,persistent,Increased enrollment in selected TVET areas - Persons with disabilities (Number) 47.00 0 0 160.00... Share of trainees completing TVET programs increased - Persons with disabilities (Percentage) Comments on achieving targets This data is currently not available but will be gathered before the next ISR.,6ab38f65,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z
Refugee participation in work-based learning and apprenticeships stalled,"Zero refugees have been engaged in apprenticeships, internships, OJT and work-based learning despite a target of 180, indicating potential displacement or refugee population access barriers to employment integration activities.",medium,persistent,"Number and share of students engaged in Apprenticeships, Internships, OJT and WBL - Refugees (Number) 0.00 0.00 0.00 180.00",306803cc,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z
Labor mobility agreements not advancing amid regional tensions,"Zero bilateral labor agreements have been signed despite a target of 6, and zero short-term migrant workers have been deployed despite a target of 250. This suggests potential governance or regional political barriers to labor mobility initiatives.",medium,persistent,IRI # 4: Number of Bilateral Labor Agreements signed (Number)... 0.00 Sep/2021 0 09-Jan-2025 0 12-Aug-2025 6.00 Sep/2027... IRI # 5: Annual number of short-term migrant workers from Djibouti... 0.00 Sep/2021 0 09-Jan-2025 0 12-Aug-2025 250.00 Sep/2026,89777823,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z
Online gig work initiative abandoned due to coordination constraints,"The online gig work indicator targeting 500 individuals is being deleted during restructuring due to 'significant delays' and 'technical constraints and coordination with implementing partners,' suggesting governance or institutional coordination failures affecting vulnerable populations.",medium,worsening,"IRI # 3: Number of individuals engaged in Online Gig Work... During the upcoming restructuring, this indicator will be deleted due to significant delays in the implementation of the corresponding activity. As of the mid-term review, no concrete action had yet been taken, partly due to technical constraints and coordination with implementing partners.",bf87e79a,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z
Refugee and Asylum Seeker Data Collection Challenges,"The project is collecting data on refugees and asylum seekers through the Population and Housing Census (RGPH-3) and the fifth household budget survey (EDAM5-IS), which included a boosted sample of migrant and refugee households. This suggests underlying displacement pressures and refugee populations that may create implementation complexities and data collection risks in a fragile context.",medium,persistent,"Provisional results of thematic analyses including...Refugees and asylum seekers (Volume 14)...were released between April and July 2025. Between January and February 2025, INSTAD conducted the fifth household budget survey (Enquete Djiboutienne Aupres des Menages pour les Indicateurs Sociaux, EDAM5-IS), which included a boosted sample of migrant and refugee households.",bb264b38,P171777,Implementation Status and Results Report,2025-08-07T17:45:23.000Z
Political and Governance Risk Persistence,"The Political and Governance risk rating has remained at 'Substantial' across all review periods (Approval, Last Approved, and Current), indicating persistent governance fragility that could affect project implementation, particularly for institutional capacity building and coordination with government entities.",high,persistent,"Political and Governance: Substantial (Rating at Approval: Substantial, Last Approved Rating ISR Seq. 09 - 04 Feb 2025: Substantial, Proposed Rating: Substantial)",f8088c15,P171777,Implementation Status and Results Report,2025-08-07T17:45:23.000Z
Institutional Capacity and Staffing Constraints Affecting Macroeconomic Planning,"Progress on macroeconomic modeling and debt strategy development has been slowed by staffing constraints, limiting the government's ability to implement key fiscal planning tools. This institutional weakness affects coordination between development actors and government capacity to absorb technical assistance.",medium,persistent,"However, progress has been slowed by staffing constraints. To sustain momentum, a follow-up World Bank mission is planned before December 2025 to support the formulation of a Medium-Term Debt Strategy, key to embedding fiscal planning within a more structured macroeconomic framework.",a5a3ce88,P171777,Implementation Status and Results Report,2025-08-07T17:45:23.000Z
Refugee and Asylum Seeker Data Collection Challenges,The project is collecting data on refugees and asylum seekers through the Population and Housing Census (RGPH-3) and the fifth household budget survey (EDAM5-IS) with a boosted sample of migrant and refugee households. This suggests underlying displacement pressures and refugee populations that may create implementation complexities and data access challenges in a fragile context.,medium,persistent,"Provisional results of thematic analyses including...Refugees and asylum seekers (Volume 14)...were released between April and July 2025. Between January and February 2025, INSTAD conducted the fifth household budget survey (Enquete Djiboutienne Aupres des Menages pour les Indicateurs Sociaux, EDAM5-IS), which included a boosted sample of migrant and refugee households.",20150d33,P171777,Implementation Status and Results Report,2025-08-07T17:45:16.000Z
Staffing Constraints Affecting Macroeconomic Planning Capacity,"Progress on developing the Medium-Term Debt Strategy (MTDS) has been slowed by staffing constraints, limiting the government's capacity to embed fiscal planning within macroeconomic frameworks. This institutional capacity gap may reflect broader governance fragility affecting project implementation.",medium,persistent,"However, progress has been slowed by staffing constraints. To sustain momentum, a follow-up World Bank mission is planned before December 2025 to support the formulation of a Medium-Term Debt Strategy, key to embedding fiscal planning within a more structured macroeconomic framework.",c6b3a700,P171777,Implementation Status and Results Report,2025-08-07T17:45:16.000Z
