risk_id,title,summary,themes,keywords,locations,severity,time_horizon
PAK-001,Pakistan-Afghanistan Armed Conflict and Cross-Border Escalation,"Pakistan declared 'open war' with Afghanistan in late February 2026 after striking Taliban military facilities in Kabul, Kandahar, and Paktia province on February 27, marking the first time Islamabad directly targeted the Taliban rather than TTP militants it alleges are backed by them (CFR Global Conflict Tracker, April 2026). Afghan forces launched a cross-border offensive on Pakistan on February 26, prompting coordinated Pakistani air and ground strikes; on March 16, Pakistan struck what Afghan officials said was a drug rehabilitation center in Kabul, killing more than 400 people (Britannica, April 2026). A temporary Eid ceasefire brokered by Qatar, Saudi Arabia, and Turkey took hold on March 18-23, but no formal agreement was reached; China-mediated talks in Urumqi also failed to end hostilities (CFR Global Conflict Tracker, April 2026). As of early April 2026, Pakistan says a new round of peace talks with Afghanistan is underway in China, but the situation risks further escalation - per Crisis Group (March 2026).","['security', 'political']","['Pakistan-Afghanistan conflict', 'airstrikes', 'Taliban', 'TTP', 'ceasefire', 'Durand Line', 'open war', 'cross-border']","['Kabul', 'Kandahar', 'Paktia province', 'Khyber Pakhtunkhwa', 'Pakistan-Afghanistan border']",high,current
PAK-002,TTP Insurgency and Record Terrorism Levels,"Pakistan ranked first on the Global Terrorism Index 2026, reflecting a sharp deterioration in its internal security environment, with 1,139 deaths and 1,045 incidents recorded in 2025 - the highest fatality level in over a decade, with the TTP responsible for over half of all deaths (PICSS, March 2026). Militant violence in Pakistan surged to 146 attacks in March 2026 alone, a 76 percent increase over February, with attacks concentrated in Khyber Pakhtunkhwa and the former FATA districts (PICSS Monthly Outlook, March 2026). TTP tactics have evolved to include quadcopter drone use, targeted killings, IEDs, and increasing kidnappings; the TTP was involved in over 1,000 violent incidents across Pakistan in 2025 (ACLED, February 2026). A UN Security Council report warned that TTP activities have grown in scale and cooperation with al-Qaeda-aligned groups, with potential for an 'extra-regional threat' - per The Diplomat (February 2026).",['security'],"['TTP', 'terrorism', 'Global Terrorism Index', 'militancy', 'FATA', 'Khyber Pakhtunkhwa', 'IED', 'drone attack']","['Khyber Pakhtunkhwa', 'former FATA districts', 'Bajaur', 'Bannu', 'nationwide']",high,current
PAK-003,Escalating Baloch Separatist Insurgency Threatening Investment and CPEC,"The Baloch Liberation Army (BLA) launched a series of 12 or more coordinated attacks across Balochistan on January 31, 2026 - Operation Herof 2.0 - targeting military installations, banks, prisons, and police stations, resulting in approximately 200 deaths including civilians and security forces (IDSA, February 2026; Al Jazeera, February 2026). On April 12, BLA separatist insurgents ambushed a Pakistan Coast Guard patrol boat near the Pakistan-Iran border in the Arabian Sea, killing three personnel and signalling a new maritime phase of operations (CFR Global Conflict Tracker, April 2026). Balochistan recorded at least 254 attacks and 1,026 casualties in 2025, a 26 percent increase on 2024; the province also hosts the $46 billion CPEC and proposed US mineral investments, with Barrick Gold CEO reviewing Reko Diq project investments due to security concerns following the January attacks (Small Wars Journal, April 2026; Al Jazeera, February 2026). Analysts note that decades of political marginalisation, enforced disappearances, and resource extraction grievances have driven the insurgency beyond what military force alone can contain - per Al Jazeera (February 2026).","['security', 'governance', 'economy']","['BLA', 'Balochistan insurgency', 'CPEC', 'Operation Herof', 'separatism', 'maritime attack', 'mineral investment', 'Quetta']","['Balochistan', 'Quetta', 'Mastung', 'Noshki', 'Gwadar', 'Arabian Sea']",high,current
PAK-004,Sectarian Unrest and Shia-Targeted Violence,"A suicide bomb attack on a Shia mosque in Islamabad on February 6, 2026 killed at least 31 people and wounded 169, described as the deadliest such attack in over a decade; the Islamic State in Pakistan claimed responsibility and stated it viewed Pakistani Shias as legitimate targets (CFR/Reuters/Dawn, February 2026). On March 1, 2026, deadly protests erupted in Gilgit-Baltistan following the killing of Iran's Supreme Leader Khamenei in a US-Israeli strike, leaving approximately 12-20 people dead and 80 injured in Gilgit and Skardu; a three-day curfew was imposed and a high-level inquiry committee was formed (PICSS, March 2026; yournews.com, March 2026). Protesters attacked UN offices including UNDP and UNMOGIP field stations in Gilgit-Baltistan, while separate clashes at the US Consulate in Karachi left 10 dead, requiring immediate security lockdowns and suspension of US Embassy services (yournews.com, March 2026). The Islamabad mosque bombing followed prior incidents of ISKP and TTP cooperation and raises risks of further sectarian targeting of Shia communities and foreign missions.","['security', 'social']","['Shia mosque bombing', 'ISKP', 'sectarian violence', 'Gilgit-Baltistan protests', 'Islamabad', 'UN offices attacked', 'curfew']","['Islamabad', 'Gilgit-Baltistan', 'Gilgit', 'Skardu', 'Karachi']",high,current
PAK-005,"Political Repression, PTI Crackdown, and Civil Liberties Deterioration","Pakistan entered 2026 with Imran Khan still jailed and PTI leaders and opposition activists facing ongoing mass arrests; analysts from The Express Tribune assess Pakistan's 'hybrid system' - civilian governance with military dominance - is growing more entrenched and formalised in 2026. PTI's KP chapter warned of a 'major movement' for Khan's release in March 2026 citing concerns over his deteriorating health and denial of medical access; human rights lawyers received 17-year prison sentences for tweeting criticism of state actions in Balochistan (Peoples Dispatch, February 2026). Pakistan's human rights record, including political repression and enforced disappearances, was scrutinised at a UNHRC side event (61st session), with speakers raising concerns about civilian trials before military courts, GSP+ conditionality, and Baloch enforced disappearances (Asianet Newsable, March 2026). Allegations of transnational repression including raids on dissident journalists' homes in the UK and US compound democratic backsliding concerns - per The Diplomat (January 2026).","['governance', 'political']","['Imran Khan', 'PTI', 'political prisoners', 'hybrid governance', 'military dominance', 'human rights', 'enforced disappearances', 'press freedom']","['nationwide', 'Islamabad', 'Khyber Pakhtunkhwa']",high,current
PAK-006,Mass Forced Deportation of Afghan Refugees with Acute Humanitarian Consequences,"More than 146,000 Afghans were deported from Pakistan in 2026 as of mid-April, following over one million forced returns in 2025; the pace accelerated after the Torkham border crossing reopened on March 31 following its closure due to Pakistan-Afghanistan hostilities (Refugees International, via Ariana News, April 2026). Suspension of Proof of Registration (PoR) card renewals has rendered over 1.3 million Afghans undocumented, exposing nearly two million to removal risk; rights groups warn the deportations may violate the principle of non-refoulement (Refugees International, April 2026). Per UNHCR (March 2026) and Doctors Without Borders (January 2026), deportation fear is preventing Afghan refugees from accessing medical care, leading to trauma-induced miscarriages, untreated illnesses, and preventable deaths. UNHCR issued a Preliminary Summary and Inter-Agency Refugee Response Plan for March-May 2026 noting that escalating hostilities between Pakistan and Afghanistan are compounding instability and displacement across the sub-region (UNHCR Pakistan, March 2026).","['displacement', 'humanitarian']","['Afghan refugees', 'deportation', 'Torkham', 'non-refoulement', 'PoR cards', 'UNHCR', 'MSF', 'forced returns']","['nationwide', 'Khyber Pakhtunkhwa', 'Balochistan', 'Torkham border', 'Landi Kotal']",high,current
PAK-007,Internal Displacement from Military Operations and Border Conflict,"Tens of thousands of civilians fled northwest Pakistan's Tirah Valley over fears linked to anticipated military operations against TTP strongholds, with New York Times (February 2026) reporting thousands displaced for a military push Pakistan initially denied ordering. Pak-Afghan border conflict in March 2026 forced thousands more to shelter in a British-era railway tunnel, with reports from Khyber Pakhtunkhwa border communities describing mass displacement driven by cross-border shelling (VoicePK, March 2026; TNN, March 2026). UN rights chief noted 56 Afghan civilians killed since Pakistan's conflict escalated as of early March 2026, while broader conflict dynamics across the Pakistan-Afghanistan border, combined with ongoing TTP operations, are generating overlapping displacement flows with limited humanitarian access (Arab News, March 2026). EUAA documented ongoing security crises in Khyber district throughout January-March 2026 encompassing military operations, TTP attacks, and cross-border fighting (EUAA COI Query, March 2026).","['displacement', 'security', 'humanitarian']","['internal displacement', 'Tirah Valley', 'border shelling', 'military operations', 'civilian casualties', 'KP border communities']","['Khyber Pakhtunkhwa', 'Tirah Valley', 'Khyber district', 'Pakistan-Afghanistan border']",high,current
PAK-008,Fragile Economic Stabilisation Under IMF Programme with Structural Vulnerabilities,"Pakistan's IMF Extended Fund Facility (EFF) programme implementation remained broadly aligned with commitments through end-February 2026, with the IMF MD praising reform progress at the IMF-World Bank Spring Meetings on April 16, 2026; however, the third review discussions are ongoing and Pakistan is seeking IMF flexibility to manage regional tensions and petroleum price pressures (IMF, March 2026; Express Tribune, April 2026; Pakistan Today, April 2026). Deep structural vulnerabilities persist: total public debt approaches $286 billion with a debt-to-GDP ratio near 70 percent, the FBR has repeatedly missed revenue collection targets, and the tax-to-GDP ratio remains below 10 percent, far below regional peers (The Friday Times, March 2026). FDI dropped to $808 million in the first half of fiscal year 2026, down from $1.425 billion in the same period a year earlier, with security analysts attributing part of the decline to Balochistan violence deterring investors (Al Jazeera, February 2026). IMF-required energy sector tariff reforms and fiscal consolidation carry social backlash risks, threatening household welfare amid widespread poverty - per The Friday Times (March 2026).","['economy', 'governance']","['IMF', 'EFF programme', 'fiscal reform', 'tax revenue', 'public debt', 'FDI decline', 'energy sector', 'macroeconomic stability']",['nationwide'],medium,current
PAK-009,Civil-Military Hybrid Governance and Institutional Fragility,"Pakistan's governance structure continues to function as an acknowledged civil-military hybrid in which civilian institutions remain subordinate to military direction; World Bank governance indicators place Pakistan in the lowest global quartile on political stability and rule of law for much of the past decade (World Bank, cited in academic journal, 2026). PTI's exit from negotiations with the government in late 2025 deepened the political deadlock, leaving governance, economic recovery, and security challenges unresolved and further entrenching polarisation (The Geopolitics, February 2026). Transparency International's 2026 Corruption Perceptions Index shows Pakistan continuing to rank poorly, deterring foreign investment and eroding public trust; most prime ministers have historically not completed a full term, reflecting chronic elite capture (eathealthy365.com, 2026). The World Bank-IMF Spring Meetings engagement in April 2026 reflects Pakistan's continued reliance on external financial architecture to compensate for weak domestic institutional reform capacity (Pakistan Today, April 2026).","['governance', 'political']","['civil-military hybrid', 'political deadlock', 'PTI negotiations', 'corruption', 'institutional fragility', 'World Bank governance', 'elite capture']","['nationwide', 'Islamabad']",high,current
PAK-010,India-Pakistan Tensions: Indus Waters Dispute and Kashmir,"Pakistan-India tensions resurfaced in March 2026 through disputes over water and Kashmir, with Islamabad accusing New Delhi at the UN of 'weaponising water' by suspending the Indus Waters Treaty, a move dating back to April 2025 following the India-Pakistan conflict in May 2025; President Zardari called for its restoration, warning of threats to food security and livelihoods (PICSS, March 2026). Crisis Group (April 2026) notes that India and Pakistan remain on high alert after military clashes in May 2025 that claimed dozens of lives, and that a resolution of the Kashmir dispute remains out of sight. Pakistan's defense minister accused the Afghan Taliban of being a 'proxy for India', conflating the two bilateral fault lines and complicating diplomatic space for multilateral engagement (ASIS Online/CSIS, March 2026). The suspension of the Indus Waters Treaty poses direct risks to food and agricultural livelihoods in Pakistan, where water stress is already acute, with IMF's RSF specifically noting water resource management as a macro-critical vulnerability (IMF RSF, December 2025).","['political', 'environment', 'economy']","['India-Pakistan', 'Indus Waters Treaty', 'Kashmir', 'water security', 'bilateral tensions', 'Line of Control', 'nuclear risk']","['nationwide', 'Indus basin', 'Line of Control', 'Islamabad']",high,current
PAK-011,Sensitivity Between Development Actors and State Following UN Office Attacks and Deportation Policies,"On March 1, 2026, Shia protesters in Gilgit-Baltistan stormed and vandalized a UNMOGIP field station and burned the UNDP office in Skardu following the killing of Iran's Supreme Leader; the US Embassy and consulates suspended visa and citizen services citing security concerns (yournews.com, March 2026). Pakistan's mass deportation of Afghan refugees - including those with UNHCR-issued PoR cards - has placed Pakistan in direct friction with UNHCR and humanitarian organisations; MSF, Refugees International, and FIDH have publicly called on Pakistan to halt forced returns, citing violations of non-refoulement obligations under treaties Pakistan has ratified (Refugees International, April 2026; MSF, January 2026). Pakistan's engagement with the World Bank and IMF remains strong at the technical and reform-programme level, with Finance Minister Aurangzeb meeting World Bank officials at the April 2026 Spring Meetings and receiving IMF recognition of reform progress; however, protracted conflict and FDI declines risk undermining the reform narrative (Pakistan Today, April 2026; Express Tribune, April 2026). Rights scrutiny at UNHRC and GSP+ conditionality debates signal growing international concern about civilian repression that could complicate development partnership frameworks.","['humanitarian', 'governance', 'political']","['UNDP office attack', 'UNHCR friction', 'deportation policy', 'UN security', 'World Bank engagement', 'IMF reform', 'GSP+ conditionality', 'humanitarian access']","['Gilgit-Baltistan', 'Skardu', 'Islamabad', 'Karachi', 'nationwide']",medium,current
PAK-012,"Context: Youth Unemployment, Social Fragility, and Radicalisation Risk","**Context** Pakistan's population exceeds 240 million with over 60 percent under age 30, yet the economy fails to generate sufficient quality employment, fuelling widespread unemployment and social frustration that feeds militant recruitment and political unrest (eathealthy365.com, 2026). The World Bank reports Pakistan's governance indicators have remained in the lowest global quartile for much of the past decade; 44.7 percent of the population lives below the poverty line and 88 percent earn less than a living wage, per The Express Tribune analyst commentary (January 2026). PICSS notes that cooperation between militant groups including BLA and TTP is deepening, with radicalisation networks exploiting women for attacks, as evidenced by the arrest of a female would-be suicide bomber in Khuzdar in March 2026 (PICSS, March 2026). These structural drivers of radicalisation and social discontent represent long-term fragility risks that undermine the sustainability of security-focused counterterrorism approaches.","['social', 'security', 'economy']","['youth unemployment', 'poverty', 'radicalisation', 'social fragility', 'demographic pressure', 'militant recruitment', 'BLA-TTP cooperation']","['nationwide', 'Khyber Pakhtunkhwa', 'Balochistan']",medium,3-12m
