country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
HND-001,Contested Presidential Transition and Deep Political Polarization,"The Congressional ratification delay reflects the deep political polarization and institutional mistrust documented in the contested 2026 presidential transition. With the National Party holding only 49 of 128 seats and requiring coalition support to pass major legislation, while the LIBRE party has yet to accept the election result, the legislative process is fragmented and gridlocked. This polarization directly impedes the ability of Congress to ratify development finance operations, as legislative cooperation on governance-related measures has become a casualty of the legitimacy crisis surrounding Asfura's inauguration.",0.78,P179909,c60db210,Implementation Status and Results Report
HND-002,Systemic Corruption and Institutional Impunity Under New Administration,"The Congressional ratification bottleneck reflects broader institutional fragility and governance dysfunction. The report notes that 40 days into the Asfura government, formal leadership appointments remain incomplete and governance signals are absent. This pattern of institutional decay and weak administrative capacity extends to the legislative process itself, where Congress may lack the institutional coherence or political will to process and ratify development finance operations amid competing pressures and institutional capture.",0.65,P179909,c60db210,Implementation Status and Results Report
HND-009,U.S. Aid Termination and Erosion of Governance and Civil Society Funding,"The termination of $167 million in U.S. governance and economic aid, combined with the withdrawal of support for democracy and human rights organizations, has eroded institutional capacity and political space for governance-related initiatives. Congressional ratification of a DPF operation—which typically requires legislative engagement on governance reforms—may face resistance or delays as the political environment becomes more constrained and as Congress itself becomes a site of geopolitical tension rather than institutional cooperation on development priorities.",0.62,P179909,c60db210,Implementation Status and Results Report
HND-001,Contested Presidential Transition and Deep Political Polarization,"The elevation of stakeholder risk to Substantial is plausibly connected to the deep political polarization and institutional mistrust following the contested January 2026 presidential election. The razor-thin victory, fraud allegations, and LIBRE party's refusal to accept results have created a polarized political environment where project stakeholders—including government counterparts, civil society, and opposition-aligned constituencies—may have divergent interests or reduced confidence in government commitment to project objectives. This polarization directly affects stakeholder cohesion and political support for development initiatives.",0.78,P179909,d740538b,Implementation Status and Results Report
HND-002,Systemic Corruption and Institutional Impunity Under New Administration,"The Substantial stakeholder risk elevation reflects concerns about institutional credibility and governance capacity under the new Asfura administration. The president's own embezzlement investigation, the judiciary's weakness and corruption, and the absence of formal Health Ministry leadership 40 days into office signal institutional dysfunction that undermines stakeholder confidence in government's ability to execute projects effectively. Stakeholders may be reassessing their engagement given signals of weak institutional capacity and potential governance capture.",0.75,P179909,d740538b,Implementation Status and Results Report
HND-009,U.S. Aid Termination and Erosion of Governance and Civil Society Funding,"The termination of $167 million in U.S. governance and civil society aid, combined with congressional investigations targeting former U.S. civil society partners, has created a chilling effect on civic space and stakeholder engagement. This funding collapse and the delegitimization of governance-focused organizations directly constrains the pool of capable, independent stakeholders available for project collaboration and may increase political sensitivities around any development work perceived as governance-related.",0.72,P179909,d740538b,Implementation Status and Results Report
HND-012,Geopolitical Realignment and Sovereignty Tensions Under Asfura,"The sharp geopolitical realignment toward the U.S., including ICSID re-accession signaling and termination of the Cuba medical mission under apparent U.S. pressure, has created domestic political tensions and sovereignty concerns. Civil society and opposition parties view this as external interference, which may translate into stakeholder skepticism toward World Bank projects perceived as aligned with the new pro-investment, pro-U.S. policy orientation. This geopolitical tension directly affects stakeholder political positioning and willingness to engage.",0.7,P179909,d740538b,Implementation Status and Results Report
HND-001,Contested Presidential Transition and Deep Political Polarization,"The razor-thin election victory, fraud allegations, and lack of broad legitimacy for the Asfura government directly undermine the political consensus needed for sustained infrastructure project implementation. Road corridor rehabilitation requires multi-year commitment and cross-party cooperation; deep polarization and institutional mistrust between the National Party (49/128 seats) and LIBRE opposition create uncertainty over budget allocation, maintenance commitments, and project continuity across electoral cycles.",0.85,P507958,95fd5bc2,Implementation Status and Results Report
HND-002,Systemic Corruption and Institutional Impunity Under New Administration,"Structural impunity, institutional capture, and weak judiciary directly threaten project fiduciary controls and procurement integrity. The absence of formal Health Ministry leadership 40 days into the Asfura government signals broader institutional dysfunction and capacity gaps that extend to infrastructure agencies. Corruption and weak institutional oversight create high risk of fund misuse, contractor fraud, and poor project quality in road rehabilitation activities.",0.88,P507958,95fd5bc2,Implementation Status and Results Report
HND-003,Gang Violence and Expanding Organized Crime in Rural Areas,"Road corridor rehabilitation projects operate in rural departments (Colón, Olancho, Yoro) where gang violence and organized crime have expanded significantly. Criminal groups control territory, extort businesses, and displace populations in these exact areas. This creates direct implementation risks: contractor safety threats, supply chain disruption, inability to access project sites, and extortion of project resources. The 27-44% increase in violence in target departments during 2022-2024 is a material implementation constraint.",0.9,P507958,95fd5bc2,Implementation Status and Results Report
