risk_id,title,summary,themes,keywords,locations,severity,time_horizon
SOM-2026-01,Al-Shabaab Resurgence: Territorial Gains and Threat to Mogadishu,"Since launching its Shabelle Offensive in late February 2025, al-Shabaab has reversed significant government territorial gains, recapturing areas in Middle Shabelle, Lower Shabelle, and Hiraan that had not been under militant control since 2019 ([War on the Rocks](https://warontherocks.com/2025/06/flailing-state-the-resurgence-of-al-shabaab-in-somalia/)). The group has been maneuvering to encircle Mogadishu, underscored by a March 2025 assassination attempt on President Hassan Sheikh Mohamud via a remote-detonated IED inside the capital ([The Soufan Center](https://thesoufancenter.org/intelbrief-2025-july-24/)). As recently as March 1–3, 2026, Somali NISA reported eliminating a top al-Shabaab commander in Lower Shabelle behind multiple major attacks, while AFRICOM conducted coordinated airstrikes against al-Shabaab on February 15 and 17, 2026 ([People Daily](https://peopledaily.digital/news/somalia-neutralises-top-al-shabaab-leader-linked-to-2025-mogadishu-attacks); [AFRICOM](https://www.africom.mil/pressrelease/35972/us-forces-conclude-operation-targeting-isis-somalia)). The group's tactical shift toward large-scale territorial operations, combined with its parallel governance structures and tax collection in retaken areas, indicates a strategic intent to weaken and isolate the Federal Government of Somalia.","['security', 'governance']","['al-Shabaab', 'insurgency', 'Shabelle offensive', 'territorial gains', 'IED', 'Mogadishu', 'counterterrorism', 'NISA']","['Hiraan', 'Middle Shabelle', 'Lower Shabelle', 'Mogadishu', 'south-central Somalia']",high,current
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"Somalia's political landscape is severely fractured ahead of national elections due by May 2026, with President Hassan Sheikh Mohamud pursuing a 'one person, one vote' electoral model that faces fierce resistance from Puntland, Jubaland, and opposition coalitions ([International Crisis Group](https://www.crisisgroup.org/africa/somalia/b208-electoral-showdown-somalia-averting-another-round-turmoil)). High-level dialogue between the federal government and opposition blocs—including the Somali Council for the Future—collapsed in February 2026, leaving both sides in political maneuvering with no agreement reached ([Kormeeraha Magazine](https://www.kormeeraha.com/2026/02/25/somalias-political-crisis-deepens-inside-the-collapsed-talks-over-the-2026-vote/)). Scuffles on January 28, 2026 halted a parliamentary session on proposed constitutional changes, exposing deep resistance to reform even within parliament, while discussions among government supporters about a unilateral term extension have been reported ([International Crisis Group](https://www.crisisgroup.org/africa/somalia); [Al Jazeera](https://www.aljazeera.com/opinions/2025/12/19/somalias-2026-election-risks-a-legitimacy-crisis)). President Mohamud's constitutional reform attempts are widely viewed as a bid to centralize executive power and extend his tenure beyond his May 2026 mandate, deepening mistrust between federal and state authorities at a time when a united front against al-Shabaab is urgently needed ([Africa Center for Strategic Studies](https://africacenter.org/spotlight/en-elections-2026/somalia/)).","['political', 'governance']","['elections', 'electoral model', 'one-person-one-vote', 'constitutional reform', 'Puntland', 'Jubaland', 'term extension', 'political deadlock']","['Mogadishu', 'Puntland', 'Jubaland', 'nationwide']",high,current
SOM-2026-03,AUSSOM Funding Crisis Threatening Peace Mission Viability,"The African Union Support and Stabilization Mission in Somalia (AUSSOM) faces an existential funding crisis: it is set to receive only around half of its required budget for 2025, has accumulated substantial arrears from previous years, and as of early 2026, no funding had been pledged for 2026 ([IPI Global Observatory](https://theglobalobservatory.org/2026/01/with-aussoms-funding-challenges-here-to-stay-what-are-the-options-for-the-missions-future-in-somalia/)). The US administration's August 2025 cancellation of its roughly 25% contribution to the UN Support Office in Somalia (UNSOS) has further degraded AUSSOM's logistical backbone, cutting aviation support, force sustainment, and COE management ([IPI Global Observatory](https://theglobalobservatory.org/2026/01/with-aussoms-funding-challenges-here-to-stay-what-are-the-options-for-the-missions-future-in-somalia/)). Troop-contributing countries have gone extended periods without receiving stipends, threatening morale, operational readiness, and mission cohesion ([Amani Africa](https://amaniafrica-et.org/briefing-on-the-situation-in-somalia-and-the-operations-of-aussom/)). The EU's expected early-2026 funding announcement may partially alleviate immediate pressures, but without a sustainable financing mechanism, AUSSOM risks collapse at a moment when al-Shabaab is making territorial gains ([DIIS](https://www.diis.dk/en/research/the-african-union-stabilization-mission)).","['security', 'governance', 'humanitarian']","['AUSSOM', 'peacekeeping', 'funding gap', 'UNSOS', 'troop stipends', 'donor fatigue', 'mission viability', 'AU']","['nationwide', 'Mogadishu']",high,current
SOM-2026-04,"Severe Drought, Food Insecurity, and Humanitarian Catastrophe","Somalia is experiencing what authorities describe as the worst drought in at least 40 years: northern regions have endured a fourth consecutive failed rainy season with rainfall 60% below average, and the Deyr season cereal harvest in southern Somalia is 83% lower than the long-term average ([OCHA/WFP](https://www.wfp.org/news/somalias-humanitarian-crisis-worsening-65-million-people-facing-high-levels-hunger-federal)). As of the IPC February 2026 analysis, 6.5 million people—approximately 1 in 3 Somalis—face high levels of hunger, including 2 million in Emergency (IPC Phase 4) conditions, with food security and malnutrition rates projected to deteriorate rapidly through the end of March 2026 ([EU ECHO](https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-announces-eu63-million-somalia-respond-worsening-humanitarian-crisis-2026-02-26_en)). An estimated 1.85 million children under five face acute malnutrition in 2026, including nearly 430,000 with severe wasting ([UNICEF](https://www.unicef.org/appeals/somalia)). Somali authorities declared a drought crisis in November 2025, and the EU responded on February 26, 2026 with €63 million in emergency humanitarian funding, but both the UN and Somali government have warned that global aid cuts are compelling humanitarian partners to scale back or suspend critical lifesaving programmes ([EU ECHO](https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-announces-eu63-million-somalia-respond-worsening-humanitarian-crisis-2026-02-26_en)).","['humanitarian', 'environment', 'health']","['drought', 'food insecurity', 'IPC Phase 4', 'malnutrition', 'La Niña', 'humanitarian funding cuts', 'OCHA', 'WFP']","['Galgaduud', 'Mudug', 'Puntland', 'southern Somalia', 'nationwide']",high,current
SOM-2026-05,Mass Internal Displacement Driven by Conflict and Climate Shocks,"Somalia hosts nearly 4 million internally displaced persons (IDPs), with climate-related shocks having overtaken conflict as the leading cause of new displacement according to IOM, though both remain acute drivers ([IOM Somalia](https://crisisresponse.iom.int/response/somalia-crisis-response-plan-2025-2026)). As of late 2025, authorities estimate that more than 4.6 million people—nearly one in four Somalis—have been affected by the current drought, with close to half a million having abandoned their homes since September 2025 in search of water and food ([OCHA](https://www.unocha.org/somalia)). Forced evictions of IDPs compound displacement vulnerability: between January and August 2025, over 141,900 IDPs were evicted from temporary shelters, with 81% of evictions occurring in Banadir region ([OCHA Monthly Update, August 2025](https://www.unocha.org/publications/report/somalia/somalia-monthly-humanitarian-update-august-2025)). Women and children constitute more than 80% of Somalia's internally displaced population, and conflict-related sexual and gender-based violence against displaced women and girls remains a serious protection concern ([EU ECHO](https://civil-protection-humanitarian-aid.ec.europa.eu/where/africa/somalia_en)).","['displacement', 'humanitarian', 'security']","['IDP', 'displacement', 'drought displacement', 'forced evictions', 'Banadir', 'IOM DTM', 'SGBV', 'protection']","['Banadir', 'Galgaduud', 'Hiraan', 'nationwide']",high,current
SOM-2026-06,Islamic State-Somalia's Growing Global Remit and Puntland Threat,"Islamic State-Somalia (IS-S), operating from strongholds in Puntland's Cal Miskaad and Al-Madow mountain ranges, has evolved from a localized group into a key node in IS's global network, with U.S. AFRICOM's General Langley confirming in 2025 that IS is directing global operations from Somalia ([CTC West Point](https://ctc.westpoint.edu/somalia-at-a-crossroads-resurgent-insurgents-fragmented-politics-and-the-uncertain-future-of-aussom/)). The group has grown to an estimated 1,000–1,600 fighters, with roughly 60% being foreign fighters recruited from across North Africa, the Gulf, and East Africa ([CTC West Point](https://ctc.westpoint.edu/the-escalation-of-u-s-airstrikes-in-somalia-and-the-role-of-perceived-threats-to-the-u-s-homeland/)). AFRICOM conducted coordinated airstrikes targeting IS-S on February 16, 2026, even as Puntland's Operation Hilaac continues ground operations with limited federal or AU support ([AFRICOM](https://www.africom.mil/pressrelease/35972/us-forces-conclude-operation-targeting-isis-somalia)). Somalia's January 2026 cancellation of all UAE security agreements—including in Puntland—threatens to disrupt Emirati logistical and financial support that had been paying salaries for at least 3,400 soldiers and backing the Puntland Maritime Police Force's counterterrorism campaign ([Critical Threats](https://www.criticalthreats.org/analysis/somalia-cancels-uae-agreements-sudan-pakistan-arms-deal-potential-inter-congolese-dialogue-africa-file-january-15-2026)).","['security', 'crime']","['Islamic State', 'IS-Somalia', 'Puntland', 'foreign fighters', 'AFRICOM', 'Operation Hilaac', 'Cal Miskaad', 'global terrorism']","['Puntland', 'Bari region', 'Cal Miskaad Mountains', 'Golis Mountains']",high,current
SOM-2026-07,Somalia-UAE Diplomatic Rupture and Security Cooperation Vacuum,"On January 12, 2026, Somalia's Council of Ministers annulled all bilateral agreements with the UAE—spanning port operations at Berbera, Bosaso, and Kismayo, as well as defense and security cooperation—citing UAE conduct described as undermining Somalia's sovereignty, national unity, and political independence ([Al Jazeera](https://www.aljazeera.com/news/2026/1/12/somalia-cancels-all-agreements-with-uae-over-alleged-sovereignty-violations)). The rupture was triggered by the UAE's perceived facilitation of Israel's December 2025 recognition of Somaliland and the transit of a Yemeni separatist leader through Somali airspace, but reflects deeper frustrations about the UAE's parallel security and commercial ties with Puntland and Jubaland that bypass Mogadishu ([Al Jazeera](https://www.aljazeera.com/news/2026/1/13/last-straw-somalia-cuts-uae-ties-after-yemen-separatists-illegal-entry)). Puntland, Jubaland, and Somaliland promptly rejected the federal decision within hours, exposing the limits of Mogadishu's authority and deepening center-periphery tensions ([Africanews](https://www.africanews.com/2026/01/14/somalia-cancels-uae-agreements-over-sovereignty-concerns/)). Somalia has sought to fill the security partnership gap by signing military cooperation MOUs with Qatar (January 2026) and Saudi Arabia (February 2026), but these are unlikely to immediately replace the Emirati training, salary support, and airpower that had underpinned key Somali security forces ([Al Jazeera](https://www.aljazeera.com/news/2026/2/10/somalia-saudi-arabia-sign-agreement-on-military-cooperation)).","['political', 'security', 'governance']","['UAE', 'diplomatic rupture', 'sovereignty', 'Somaliland', 'port agreements', 'Saudi Arabia', 'Qatar', 'Gulf states']","['Mogadishu', 'Berbera', 'Bosaso', 'Kismayo', 'Puntland', 'Jubaland']",high,current
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"Political discord between Mogadishu and federal member states—particularly Puntland (which suspended cooperation with the federal government in 2023) and Jubaland—has critically undermined the coordination required to mount an effective counterinsurgency ([International Crisis Group](https://www.crisisgroup.org/cmt/africa/somalia-united-states/retooling-trump-administrations-somalia-policy)). President Mohamud's constitutional reform agenda, new political party formation by presidential decree, and electoral maneuvering are widely perceived as centralizing power, spinning Somalia toward further fragmentation at a moment when al-Shabaab requires a united political and military response ([Africa Center for Strategic Studies](https://africacenter.org/publication/asb45en-somalia-risk-jihadist-state/)). Clan-based intercommunal violence in regions such as Luuq district in Gedo and Hiraan has continued to kill and displace civilians, further eroding state legitimacy in peripheral areas ([Human Rights Watch](https://www.hrw.org/world-report/2026/country-chapters/somalia)). The provisional constitution's unresolved power-sharing provisions—still unfinished more than a decade after the 2012 framework—continue to generate heated disputes particularly as the 2026 election approaches, and donor forbearance of the status quo is being strongly tested ([Africa Center for Strategic Studies](https://africacenter.org/publication/asb45en-somalia-risk-jihadist-state/)).","['governance', 'political', 'security']","['federalism', 'Puntland', 'Jubaland', 'federal member states', 'clan conflict', 'power-sharing', 'constitutional crisis', 'intercommunal violence']","['Mogadishu', 'Puntland', 'Jubaland', 'Gedo region', 'Hiraan', 'nationwide']",high,current
SOM-2026-09,Media Freedom Suppression and Crackdown on Journalists,"Somalia's authorities have intensified suppression of independent reporting, particularly on security and political issues: in March 2025, the minister of information announced a ban on reporting on security threats, and following the presidential convoy bombing, police detained at least 22 journalists and shut down a media outlet ([Human Rights Watch](https://www.hrw.org/world-report/2026/country-chapters/somalia)). In January–February 2026, NISA officers and Presidential Guard personnel blocked journalists from covering parliamentary sessions debating controversial constitutional amendments on at least three separate occasions, and an armed NISA officer physically blocked Radio Risaala's premises while making death threats ([Somali Journalists Syndicate](https://sjsyndicate.org/2026/02/08/journalists-covering-somalias-parliament-blocked-amid-controversial-constitutional-changes/)). The National Union of Somali Journalists (NUSOJ) documented at least 41 clearly documented press freedom violations in the first half of 2025 alone—the highest mid-year figure in three years—with violations committed by both state and non-state actors ([African Journalism Education Network](https://ajenafrica.com/press-freedom-under-pressure-in-somalia-investigative-journalism-report-paints-a-picture-of-violence-and-corruption/)). Outdated penal code provisions continue to be weaponized to prosecute journalists on charges of 'insulting public officials' and 'subversive propaganda,' with some cases tried before military courts that fail basic fair trial standards ([NUSOJ](https://nusoj.org/2025/05/21/new-report-exposes-escalating-legal-repression-of-journalism-and-free-expression-in-somalia/)).","['governance', 'political', 'social']","['press freedom', 'journalists', 'NISA', 'censorship', 'media suppression', 'NUSOJ', 'SJS', 'constitutional amendments']","['Mogadishu', 'nationwide']",high,current
SOM-2026-10,Health System Collapse Amid Disease Outbreaks and Malnutrition Surge,"Somalia's already fragile health system is projected to lose at least 35% of functioning facilities by mid-2026 due to funding cuts and conflict disruption, with severe gaps in facility-based care particularly affecting displaced communities, malnourished children, and pregnant women ([UNICEF](https://www.unicef.org/appeals/somalia)). By November 2025, the country had recorded 3,375 diphtheria cases and 139 deaths, 11,599 measles cases, 11,952 malaria cases, and 8,846 cases of AWD/cholera, reflecting widespread outbreaks driven by poor WASH conditions, drought-driven displacement, and low vaccination coverage ([OCHA HNRP 2026](https://www.unocha.org/publications/report/somalia/somaliahumanitarian-needs-and-response-plan-2026)). In Puntland, approximately 79 supplementary feeding sites have closed and 182 health facilities face staff and supply shortages due to funding shortfalls, while across central Somalia conflict has suspended operations at health facilities in areas retaken by al-Shabaab ([OCHA Monthly Update, August 2025](https://www.unocha.org/publications/report/somalia/somalia-monthly-humanitarian-update-august-2025)). Ethiopia's declaration of Marburg Virus Disease creates additional cross-border health risk for Somalia ([OCHA HNRP 2026](https://www.unocha.org/publications/report/somalia/somaliahumanitarian-needs-and-response-plan-2026)).","['health', 'humanitarian']","['health system', 'cholera', 'measles', 'diphtheria', 'malnutrition', 'health facility closures', 'WASH', 'Marburg']","['Puntland', 'central Somalia', 'Mogadishu', 'nationwide']",high,current
