risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Instability Affecting Implementation,The project faces a High-rated Political and Governance risk that could impede program effectiveness and implementation capacity. This risk is already embedded in the project design at approval and remains a persistent constraint on implementation.,high,persistent,Risk Category Rating at Approval Approval Package - 28 Jul 2025 Proposed Rating Political and Governance High High,484a9d3e,P506061,Implementation Status and Results Report,2025-10-29T13:25:08.000Z
Social Conflict and Security Risks in Implementation Areas,"The program acknowledges the need for security risk assessments and security management plans in conflict-prone areas, indicating that social conflict and security dynamics are recognized as implementation challenges affecting project sites.",high,persistent,"Prevention and management of social conflict: including social conflict/security risk assessment in ESHS screenings, conducting community consultations, conducting secuirty risk assessment and preparation of SMP for conflict-prone areas",b6fdd389,P506061,Implementation Status and Results Report,2025-10-29T13:25:08.000Z
Refugee and Displaced Population Integration Challenges,"While the project has successfully registered 120,765 refugees and extended outreach to displaced populations, the document notes 'No data is available yet' for measuring service delivery outcomes in refugee host communities, indicating potential implementation gaps in serving these vulnerable FCV-affected populations.",medium,persistent,"Outreach has also extended to schools, displaced populations, refugees, and vulnerable groups such as people with disabilities, through partnership with Deborah Foundation... Number of whom are individuals living in refugee host communities (Number) Comments on achieving targets No data is available yet.",831e596e,P179040,Implementation Status and Results Report,2025-10-29T10:05:06.000Z
Limited Service Delivery in Refugee-Hosting Areas,"The project has achieved 31.7 million authentications overall, but zero authentications have been recorded in areas hosting refugees as of September 2025, suggesting service delivery integration is not yet functional in refugee-affected regions.",medium,persistent,Number of which are in areas hosting refugees (Number) Comments on achieving targets No data is available yet... Number of successful digital ID authentications by Fayda ID holders to access public and private sector services (Number)... 0 30-Sep-2025,3249a743,P179040,Implementation Status and Results Report,2025-10-29T10:05:06.000Z
Governance Institution Establishment Delay,"The establishment of the formal ID institution required by Digital Identification System Proclamation 1284/2023 has not yet been completed, with the target date of December 2025 approaching. This institutional gap may affect governance legitimacy and implementation authority in a fragile context.",medium,persistent,ID institution is established (Yes/No) Comments on achieving targets The regulation establishing an Institution to implement the powers and responsibilities of the Digital Identification System stipulated in the Proclamation 1284/2023 is adopted... no 30-Sep-2025... Yes Dec/2025,bf848554,P179040,Implementation Status and Results Report,2025-10-29T10:05:06.000Z
Disruption in Implementation in Conflict-Affected Areas,"Project implementation is experiencing disruptions in conflict-affected areas, affecting program delivery and beneficiary access to services.",high,persistent,disruption in implementation in conflict-affected areas,fd4dc8ec,P172479,Aide Memoire,2025-10-16T06:25:02.000Z
Account Opening Delays in Tigray Region Due to Coordination Challenges,"Delays in finalizing account opening in 23 woredas in Tigray region attributed to limited coordination, accountability and collaboration among implementing entities, affecting beneficiary access to electronic payments.",medium,persistent,"delays in finalizing account opening in the 23 woredas in Tigray region and other e-payment expansion woredas. These delays were attributed to submission of incomplete Know Your Customer (KYC) data; limited coordination, accountability and collaboration among implementing entities.",6afc1c78,P172479,Aide Memoire,2025-10-16T06:25:02.000Z
Unexploded Ordnance Risk in Hotspot Woredas,"Unexploded Ordnance (UXO) risks identified in hotspot woredas in Tigray and Amhara regions, requiring specialized awareness training and incident response protocols for public works implementation.",high,persistent,training on Unexploded Ordnance risk awareness and ESIRT reporting was delivered to hotspot woredas in Tigray and Amhara,5cc56113,P172479,Aide Memoire,2025-10-16T06:25:02.000Z
Exclusion of PSNP Transitory Caseload from Humanitarian Response Planning,"PSNP transitory caseload exclusion from the Humanitarian Response Plan creates vulnerability gaps during lean season (July-December), limiting partner coordination and targeting of PSNP beneficiaries requiring temporary assistance.",medium,persistent,"The exclusion of PSNP transitory caseload from the Humanitarian Response Plan (HRP). While this approach may be justified during the January–June period each year as beneficiaries receive PSNP cash transfer, it becomes difficult for PSNP beneficiaries requiring temporary assistance to cope if they are excluded during lean season, from July to December.",9631b948,P172479,Aide Memoire,2025-10-16T06:25:02.000Z
Political and Governance Risk - High Rating Sustained,"Political and governance risks remain rated as High, indicating ongoing fragility in the operating environment that could affect project implementation and government commitment to the safety net program.",high,persistent,Political and Governance High High,bda023ee,P172479,Implementation Status and Results Report,2025-10-15T20:35:10.000Z
