country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type,title
PAK-004,Military-Civilian Hybrid Governance and Suppression of Political Opposition,"The project's institutional capacity building for refugee administration directly confronts Pakistan's civil-military hybrid governance model, where political opposition suppression and institutional subordination to military interests constrain autonomous civilian institutional development. The imprisonment of political leaders, military trials of opposition workers, and transnational repression create an environment where refugee protection institutions cannot operate independently from political manipulation.",0.85,P165542,e2ecdf65,Implementation Status and Results Report,
PAK-010,Federal-Provincial Political Fracture and KP Governance Crisis,"Refugee administration requires coordinated federal-provincial governance, but the deepening rift between PTI-led KP and PML-N-led federal government—including accusations of economic strangulation and political retribution—directly undermines institutional capacity building. The center-periphery conflict hampers security coordination and development programming precisely where refugee protection mechanisms must function.",0.82,P165542,e2ecdf65,Implementation Status and Results Report,
PAK-011,Systemic Corruption and Institutional Fragility Undermining Governance,"The project's core objective of institutional capacity building for refugee administration operates within a governance context characterized by systemic corruption, patronage-based personnel systems, and institutional restructuring for short-term political gains. These structural weaknesses directly constrain the establishment of merit-based, rule-of-law compliant refugee protection institutions.",0.88,P165542,e2ecdf65,Implementation Status and Results Report,
PAK-005,Forced Displacement of Afghan Refugees and Non-Refoulement Violations,"The project's refugee protection mandate faces direct institutional pressure from mass deportation policies (146,000 Afghans deported in 2026 alone) and documented non-refoulement violations. Governance instability enables policy reversals and suspension of protection mechanisms (e.g., PoR renewals), making institutional capacity building for refugee administration vulnerable to political override.",0.9,P165542,e2ecdf65,Implementation Status and Results Report,
PAK-006,Tirah Valley Mass Displacement Amid Counterterrorism Operations,The Tirah displacement crisis exemplifies how governance fragmentation—specifically federal-provincial conflict over responsibility for displacement operations—undermines institutional coordination for humanitarian response and protection. This directly impacts the project's ability to build coherent refugee and IDP administration systems when governance actors operate at cross-purposes.,0.79,P165542,e2ecdf65,Implementation Status and Results Report,
PAK-005,Forced Displacement of Afghan Refugees and Non-Refoulement Violations,"The realized project risk of stakeholder tensions and coordination challenges in refugee administration directly reflects the institutional fragility evident in Pakistan's accelerating deportation of Afghan refugees. The suspension of PoR renewals, mass returns exceeding 146,000 in 2026 alone, and documented humanitarian failures (MSF reports of inadequate shelter, food, water, and health services) indicate systemic coordination breakdowns between government entities responsible for refugee protection. These tensions likely impede inter-ministerial alignment on refugee policy implementation and institutional reform—precisely the coordination challenges flagged in the project risk.",0.85,P165542,8df9f55b,Implementation Status and Results Report,
PAK-010,Federal-Provincial Political Fracture and KP Governance Crisis,"The stakeholder tensions and coordination challenges in refugee administration are consistent with the documented federal-provincial governance fracture between the PML-N-led federal government and PTI-led KP provincial government. The Tirah displacement crisis exposed sharp political divisions over responsibility and authorization, with both levels trading accusations. Refugee administration involves both federal (Ministry of States and Frontier Regions) and provincial authorities; the political deadlock and mutual recrimination documented in PAK-010 would directly undermine the inter-ministerial coordination required for effective refugee policy implementation.",0.78,P165542,8df9f55b,Implementation Status and Results Report,
PAK-004,Military-Civilian Hybrid Governance and Suppression of Political Opposition,"The civil-military hybrid governance structure and political suppression documented in PAK-004 creates institutional fragility that extends to refugee administration. The imprisonment of opposition figures, military trials of political workers, and suppression of dissent undermine institutional autonomy and merit-based decision-making in civilian agencies. This governance dysfunction would impede transparent inter-ministerial coordination on refugee policy, as institutions operate within a constrained political environment where loyalty to the ruling coalition may override technical or humanitarian considerations.",0.72,P165542,8df9f55b,Implementation Status and Results Report,
PAK-006,Tirah Valley Mass Displacement Amid Counterterrorism Operations,"The Tirah displacement crisis (80-95% of valley population displaced in January 2026) directly demonstrates the coordination failures between government entities managing displacement and humanitarian response. The documented political fracture over who authorized the displacement, inadequate provision of food and medical care, and ongoing registration challenges as of March 2026 exemplify the stakeholder tensions and inter-ministerial coordination breakdown now affecting refugee administration more broadly. The same institutional fragility that produced the Tirah crisis likely extends to refugee-focused programs.",0.8,P165542,8df9f55b,Implementation Status and Results Report,
PAK-004,Military-Civilian Hybrid Governance and Suppression of Political Opposition,"The project's deteriorating institutional capacity for refugee administration reforms is directly connected to Pakistan's fragile civil-military hybrid governance system. The political deadlock between the PTI and PML-N government, combined with military dominance and suppression of opposition, creates an unstable institutional environment that undermines sustained policy implementation. Refugee administration reforms require consistent political commitment and inter-agency coordination—both compromised by the current governance fracture.",0.85,P165542,22002ebe,Implementation Status and Results Report,
