risk_id,title,summary,themes,keywords,locations,severity,time_horizon
ZWE-001,Constitutional Crisis: Presidential Term-Extension Bid Threatens Democratic Order,"On February 10, 2026, Zimbabwe's cabinet backed Constitutional Amendment Bill No. 3 proposing to extend President Mnangagwa's term by two years to 2030, eliminate direct presidential elections in favour of parliamentary selection, and extend MPs' terms from five to seven years, which critics have labelled a 'constitutional coup' (ICG CrisisWatch, February 2026). The Parliamentary Speaker gazetted the bill on February 16, 2026, opening a 90-day public consultation before a parliamentary vote widely expected to endorse it, while the government and its allies insist a public referendum is not required despite constitutional experts and church leaders asserting otherwise (ICG CrisisWatch, February 2026). Five opposition parties in Matabeleland formed a united front against the measure in January 2026, and the AU has been petitioned to intervene (Zimbabwe Situation / The Zimbabwean, March 2026). The move has also fuelled an intra-ZANU-PF power struggle, with Vice-President Chiwenga publicly opposing key aspects of the amendments, raising risks of elite-level instability (ISS Africa, 2026).","['governance', 'political']","['constitutional amendment', 'term extension', 'Mnangagwa', 'ED2030', 'referendum', 'ZANU-PF', 'democratic backsliding']","['nationwide', 'Harare', 'Bulawayo', 'Matabeleland']",high,current
ZWE-002,State-Sponsored Violence and Intimidation Targeting Opposition to Constitutional Changes,"In the weeks surrounding the gazetting of Constitutional Amendment No. 3, Human Rights Watch documented a systematic campaign of violence and intimidation against civil society and opposition figures opposing the term-extension bill (HRW, March 10, 2026). Incidents included a suspected arson attack on SAPES Trust offices in Harare on October 27-28, 2025, hours before a civil society dialogue on the constitutional crisis, and police shutting down a parallel event in Bulawayo (HRW World Report 2026). In February 2026, civil society leader Lovemore Madhuku was allegedly beaten by men who arrived in vehicles later followed by Zimbabwe Republic Police cars, and the Constitutional Defenders Forum was ordered by police to cancel its launch meeting citing the Maintenance of Peace and Order Act (HRW, March 10, 2026). A pattern of arbitrary arrests, prolonged detention, and political prosecutions of journalists, activists, and opposition members is documented by Zimbabwe's own Human Rights Commission for 2025 (Zimbabwe NewsDay / ZHRC, January 2026).","['political', 'security', 'governance']","['political violence', 'intimidation', 'civil society', 'MOPA', 'repression', 'ZANU-PF', 'impunity']","['nationwide', 'Harare', 'Bulawayo']",high,current
ZWE-003,Intra-ZANU-PF Power Struggle and Elite-Level Political Instability,"President Mnangagwa's effort to extend his tenure has exposed a deep factional rift within ZANU-PF, with Vice-President Constantino Chiwenga — who would constitutionally succeed Mnangagwa in 2028 — openly opposing the ED2030 plan at the ZANU-PF Politburo in September 2025 (ISS Africa, 2026). Reports indicate that Mnangagwa has removed Chiwenga loyalists from key security and party positions in apparent anticipation of a leadership battle, and that patronage transfers (including vehicles to Central Committee members) have been used to consolidate support ahead of the constitutional vote (ISS Africa, 2026). In early March 2026, war veteran and former ZANU-PF member Blessed Geza was expelled after publicly calling on Mnangagwa to resign and is now subject to a police manhunt for undermining presidential authority (Al Jazeera, April 2025; Zimbabwe Situation, March 2026). These elite divisions increase the risk of political miscalculation, coercive state action, and instability ahead of a potential 2028 election cycle.","['political', 'governance']","['ZANU-PF factionalism', 'Chiwenga', 'Mnangagwa', 'succession', 'war veterans', 'patronage', 'elite conflict']","['nationwide', 'Harare']",high,0-3m
ZWE-004,Systematic Shrinking of Civic and Media Space Through Legal and Extralegal Coercion,"Zimbabwe's government has continued a sustained crackdown on independent media, civil society, and political opposition through politically motivated arrests, prosecutions, and extrajudicial intimidation (HRW World Report 2026, February 2026). In 2025, senior journalists including Blessed Mhlanga (Heart and Soul TV, February 2025) and Faith Zaba (Zimbabwe Independent editor, July 2025) were arrested on charges of undermining the president's authority; the Zimbabwe Human Rights Commission confirmed in its 2025 report that 'arbitrary arrests, prolonged detention of activists and journalists, political intolerance and restrictions on peaceful demonstrations continue to create a climate of fear' (Zimbabwe NewsDay, January 2026). The Private Voluntary Organisations (PVO) Act and amendments to the Broadcasting Services Act (May 2025) have expanded state powers to deregister CSOs and extend presidential control over broadcast regulation, further constraining independent voices (HRW World Report 2026; Freedom House Freedom on the Net 2025). The Zimbabwe Human Rights Commission and UN special rapporteurs have both called for reform, with limited government response.","['governance', 'political', 'social']","['media freedom', 'PVO Act', 'civil society', 'press freedom', 'arbitrary arrest', 'Broadcasting Services Act', 'civic space']","['nationwide', 'Harare']",high,current
ZWE-005,"Organized Crime, Machete Gang Violence, and Gold Sector Illicit Networks","Violent machete gangs (maShurugwi) continue to operate in Zimbabwe's gold-mining areas, engaging in armed conflict over mine access, extortion, and forced labour; they are often linked to politically connected gold cartels and have a documented history of rape, kidnapping, and murder (ACCORD, March 2025; ENACT Organized Crime Index). The ENACT Organized Crime Index notes that 'machete gangs in Zimbabwe are often linked to influential politicians involved in gold cartels,' with the illegal extraction and smuggling of gold, lithium, and diamonds involving 'state-embedded actors' who bribe officials and facilitate illicit flows to Dubai and other transit hubs. The US State Department's 2025 Trafficking in Persons Report further documents violent gangs allegedly bribing police to operate artisanal mines using forced labour, and the US Treasury in 2024 sanctioned President Mnangagwa and ten other officials for involvement in gold and diamond smuggling networks (Global Press Journal, October 2025). Weak rule of law, underpaid police susceptible to bribery, and the absence of legal standing for artisanal mining cooperatives perpetuate the cycle of violence and criminality.","['crime', 'security', 'governance']","['machete gangs', 'maShurugwi', 'gold smuggling', 'artisanal mining', 'organized crime', 'state-embedded corruption', 'forced labour']","['Midlands province', 'Kwekwe', 'Shurugwi', 'Bindura', 'nationwide']",high,current
ZWE-006,Persistent Food Insecurity and Vulnerability Among Rural and Urban Households,"Although the 2024/2025 agricultural season benefited from improved rainfall following the 2024 El Nino drought, WFP notes that 'many households entered 2026 with limited capacity to fully recover from previous shocks,' and food insecurity remains a serious concern for vulnerable rural and urban populations (WFP Zimbabwe, March 2026). According to the 2025 Global Hunger Index, Zimbabwe's situation is classified as 'serious,' with nearly half the population living in extreme poverty and macroeconomic instability continuing to erode household purchasing power, particularly in urban areas (WFP Zimbabwe, 2026). The World Bank's December 2025 Zimbabwe Economic Update warns that 'poverty remains sensitive to weather shocks and inflation, with rural households particularly exposed due to dependence on rain-fed agriculture, slow off-farm jobs, and inadequate social protection' (World Bank, December 2025). Rising mid-2026 US dollar inflation and the disruption of USAID food security programmes — including the termination of a food security initiative targeting over 74,000 people — risk reversing recent gains (CBM, 2025).","['humanitarian', 'economy', 'environment']","['food insecurity', 'drought', 'El Nino', 'rural poverty', 'WFP', 'nutrition', 'climate shocks']","['nationwide', 'Manicaland', 'Masvingo', 'Midlands']",high,current
ZWE-007,"Fragile Macroeconomic Stabilization: Debt Distress, Fiscal Gaps, and Currency Risks","Zimbabwe's economy is projected to rebound to approximately 6 percent GDP growth in 2025, driven by improved agricultural output and high gold prices, but medium-term growth is expected to slow to around 3.5 percent as confidence in macroeconomic stabilization remains low and fiscal financing needs crowd out private investment (IMF Country Report No. 25/282, 2025; World Bank Overview, 2025). The IMF projects 'sizeable and persistent fiscal financing gaps' of approximately 1.25 percent of GDP in 2025 and 2026, with no access to external financing and a risk of renewed domestic arrears accumulation and monetary financing, which 'fuels expectations of a return to [inflationary] monetary financing' (IMF, 2025). Zimbabwe remains in debt distress with total debt of approximately US$23.6 billion and outstanding external arrears constraining access to affordable financing and crowding out priority social spending (World Bank, December 2025). The withdrawal of USAID support in January 2025 — a provider of approximately one-fifth of Zimbabwe's total aid — adds further downside risk to an already fragile fiscal position (Center for Global Development, 2025).","['economy', 'governance']","['debt distress', 'fiscal deficit', 'ZiG currency', 'macroeconomic stabilization', 'inflation', 'arrears', 'IMF', 'World Bank']",['nationwide'],high,current
ZWE-008,"Collapse of US Development Assistance: Health, Humanitarian, and Governance Programme Gaps","The Trump administration's cancellation of USAID programmes in early 2025 terminated approximately US$388 million in active projects in Zimbabwe, including over US$110 million in HIV/AIDS programmes, US$58 million in TB prevention, US$25.7 million for malaria, US$16.5 million for maternal and child health across five provinces, and US$19.8 million in agricultural resilience programmes (NewZWire, March 2025). UNAIDS documented that human resources disruptions are directly affecting HIV treatment services, medicine distribution, and patient monitoring in Zimbabwe, with public health facilities relying on Global Fund support in only 21 of 64 districts (UNAIDS, March 2025). The cuts also terminated US$18.9 million for citizen participation in governance, US$12 million for youth governance campaigns, and US$5 million for justice sector independence, compounding the shrinking civic space (NewZWire, March 2025). The abrupt funding freeze has damaged community-level trust built over decades, with the African Studies Centre Leiden warning that 'the sudden withdrawal of support risks reversing hard-won gains and undermining future development efforts' (ASCL, 2025).","['humanitarian', 'health', 'governance']","['USAID cuts', 'HIV/AIDS', 'health funding', 'malaria', 'civil society funding', 'development gap', 'PEPFAR']","['nationwide', 'Manicaland', 'Masvingo']",high,current
ZWE-009,Refugee and Displacement Dynamics: Tongogara Settlement Under Funding Strain,"By end-2024, Zimbabwe hosted over 20,000 refugees and asylum-seekers, primarily from the Democratic Republic of Congo, Mozambique, and Burundi, concentrated at Tongogara Refugee Settlement in Manicaland Province (UNHCR Zimbabwe, 2025). The 2024 Joint Assessment Mission (JAM) found that over 87 percent of households at Tongogara fall into 'extremely and highly vulnerable' food consumption categories, and the settlement is prone to flooding and human-wildlife conflict due to its proximity to the Save Conservancy (UNHCR Annual Results Report 2024, June 2025). UNHCR closed its Regional Bureau for Southern Africa effective October 1, 2025, as part of a cost-saving realignment prompted by a sharp decline in humanitarian funding, with Zimbabwe's UNHCR coverage now managed from a multi-country office in Zambia (UNHCR, September 2025). Restrictions on refugees' right to work and freedom of movement limit self-reliance, with only 232 valid work permits issued, and USAID funding cuts have further eroded the broader humanitarian support ecosystem on which refugees depend (UNHCR Annual Results Report 2024).","['displacement', 'humanitarian']","['Tongogara', 'refugees', 'UNHCR', 'food vulnerability', 'displacement', 'funding gap', 'Manicaland']","['Tongogara Refugee Settlement', 'Manicaland province', 'Harare']",medium,current
ZWE-010,"Chinese Mining Operations: Environmental Harm, Labour Abuses, and Community Grievances","Chinese-owned companies control an estimated 90 percent of Zimbabwe's mining industry, generating US$2.79 billion in annual mineral extraction in 2023, but their operations are associated with widespread environmental damage, labour violations, and community disenfranchisement documented by the Centre for Natural Resource Governance (Africa Defense Forum, November 2025). Public anger has risen sharply, with accusations of murder, rape, forced evictions, and water source contamination, often with limited legal consequences; a 2024 viral video showed Chinese nationals at Makanga mine in Bindura suspending two local employees from construction equipment (Africa Defense Forum, April 2025). ENACT's Organized Crime Index notes that the 'Chinese diaspora has been implicated in forced labour, mineral smuggling and fraudulent financial schemes,' while CNRG research 'consistently reveals that many foreign mining operations circumvent regulation, lack transparency and bribe officials to weaken their oversight role' (Africa Defense Forum, November 2025). The governance deficit around Chinese mining investment creates social grievances that intersect with broader anti-government sentiment and risks undermining community acceptance of development programmes.","['crime', 'environment', 'social']","['Chinese mining', 'labour abuse', 'environmental damage', 'community grievances', 'lithium', 'gold', 'CNRG']","['Bindura', 'Redcliff', 'Bikita', 'Goromonzi', 'nationwide']",medium,current
