risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Risk Remains High,"Political and governance risks are rated as 'High' across all approval packages, indicating persistent fragility in the operating environment that could affect project implementation and government capacity to sustain social protection systems.",high,persistent,Political and Governance High High High,65166f52,P171346,Implementation Status and Results Report,2025-10-31T15:25:11.000Z
Institutional Capacity Constraints for Implementation and Sustainability,"Institutional capacity for implementation and sustainability is rated 'High' risk, reflecting concerns about the government's ability to maintain and operationalize the newly transitioned social protection systems independently after UN-led implementation ends.",high,persistent,Institutional Capacity for Implementation and Sustainability Substantial High High,36bcaae8,P171346,Implementation Status and Results Report,2025-10-31T15:25:11.000Z
Transition from UN-Led to Government Implementation in Fragile Context,"The project has completed transition from UN-led to direct government implementation, transferring functions to newly established government systems. This transition in a high-risk political and governance environment poses risks to continuity and effectiveness of cash transfer delivery.",high,new,"The transition from United Nations-led to direct government implementation is now complete, with most functions transferred to newly established government systems and delivery platforms.",6cf63fd7,P171346,Implementation Status and Results Report,2025-10-31T15:25:11.000Z
Political and Governance Fragility Constraining Implementation,"Political and governance risks remain persistently high, affecting project implementation capacity and decision-making processes in Somalia's fragile institutional environment.",high,persistent,Political and Governance High High High,781a5c0f,P173315,Implementation Status and Results Report,2025-10-26T04:55:13.000Z
Governance Constraints on Women's Representation in Project Committees,"Local administrative leaders' nomination of committee members limits project influence over inclusive representation, reflecting governance fragility and weak institutional capacity to enforce gender inclusion standards.",medium,persistent,"As for the committee members, they were primarily nominated by local administrative leaders, and the PIU had no influence over their selection.",e77caf49,P173315,Implementation Status and Results Report,2025-10-26T04:55:13.000Z
Stakeholder Engagement Risks Remain High,"Stakeholder-related risks are rated high and persistent, indicating ongoing tensions or coordination challenges between government, development actors, and local communities affecting project implementation.",high,persistent,Stakeholders High High High,f902d2c3,P173315,Implementation Status and Results Report,2025-10-26T04:55:13.000Z
Environmental and Social Safeguards Under Pressure in Fragile Context,"High environmental and social risks persist throughout implementation, likely exacerbated by governance fragility and conflict-affected context, requiring sustained attention to standards maintenance.",high,persistent,Environment and Social High High High,a69ef364,P173315,Implementation Status and Results Report,2025-10-26T04:55:13.000Z
Incomplete Civil Works Due to Implementation Constraints,"Four remaining civil works (two roads and two canals) remain incomplete despite project extension, suggesting implementation challenges potentially linked to insecurity, governance capacity, or access constraints in conflict-affected areas.",medium,persistent,implementation efforts are now focused on completing four remaining civil works—two roads and two canals—while sustaining environmental and social standards,aa083a7e,P173315,Implementation Status and Results Report,2025-10-26T04:55:13.000Z
Political and Governance Fragility Affecting Implementation,"Political and governance risks remain high and are affecting project implementation, as evidenced by the sustained 'High' rating in the Political and Governance risk category and delays in legislative processes for prior actions.",high,persistent,Political and Governance High High,cb4f19cd,P501988,Implementation Status and Results Report,2025-10-12T14:40:12.000Z
Delayed Parliamentary Enactment of Critical Legislation,"Implementation delays occurred in the enactment of two bills submitted to Parliament (Financial Institutions Law and Takaful Law) that were prior actions for the DPF, indicating governance fragility affecting project execution.",high,persistent,"The two bills submitted to Parliament, and representing prior actions in DPF1, were enacted, albeit with some delay—the Financial Institutions Law and Takaful Law.",3513d5f2,P501988,Implementation Status and Results Report,2025-10-12T14:40:12.000Z
Coordination Challenges Between Federal Government and Federal Member States,"While dialogue is ongoing, the need for high-level dialogue between FGS and Federal Member States on fisheries implementation suggests underlying governance tensions that could affect project outcomes in the fisheries sector.",medium,persistent,"The high-level dialogue between FGS and Federal Member States (FMS) on fisheries is continuing with regular meetings of the Fisheries Management and Development Council, especially in 2024.",dc0bd52c,P501988,Implementation Status and Results Report,2025-10-12T14:40:12.000Z
Political and Governance Instability Constraining Implementation,"Political and governance risks remain rated as 'High' throughout the project lifecycle, indicating persistent fragility in the operating environment that affects project implementation across multiple government ministries and agencies.",high,persistent,Political and Governance High High High,e2bf14ab,P168115,Implementation Status and Results Report,2025-10-06T15:10:37.000Z
Institutional Capacity Constraints in Fragile Government Structures,"The project requires progress across multiple ministries, departments, and agencies (MDAs) in a context of institutional fragility. Institutional capacity for implementation remains rated 'Substantial' risk, reflecting ongoing challenges in coordinating reform across fragmented government structures.",high,persistent,"This is a reform area requiring progress across multiple ministries, departments, and agencies (MDAs) in several areas.",588be816,P168115,Implementation Status and Results Report,2025-10-06T15:10:37.000Z
Fiduciary Risk in Fragile Governance Context,"Fiduciary risk is rated 'High' at both approval and current reporting, indicating persistent concerns about financial management and accountability in a politically unstable environment where government capacity is limited.",high,persistent,Fiduciary High High High,7b2222ca,P168115,Implementation Status and Results Report,2025-10-06T15:10:37.000Z
