country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SLE-2026-006,Ethno-Regional Political Polarisation and Youth Marginalisation,"Revenue sharing tensions between Chiefdoms and District Councils reflect deeper ethno-regional political fragmentation. Chiefdoms are traditionally organized along ethnic lines and serve as power bases for regional political actors, while District Councils represent competing administrative and political jurisdictions. These institutional conflicts over resource allocation are manifestations of the broader SLPP-APC polarization structured along Mende (south/east) and Temne (north) lines, where control of local revenue streams carries political significance for patronage networks and regional power consolidation.",0.72,P172492,a2f9ba89,Aide Memoire
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"Revenue sharing disputes between Chiefdoms and District Councils directly reflect the systemic governance and procurement vulnerabilities identified in the IMF Governance and Corruption Diagnostic. Unresolved institutional conflicts over resource allocation indicate weak rule of law enforcement, limited fiscal transparency, and vulnerability to patronage-driven misallocation—precisely the institutional weaknesses the IMF flagged as undermining public trust and resource efficiency.",0.68,P172492,a2f9ba89,Aide Memoire
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","Revenue sharing tensions between local government tiers reflect structural governance deficits in fiscal federalism and institutional coordination. These tensions impede effective local revenue mobilization—a critical component of fiscal sustainability given Sierra Leone's macro-economic fragility, high debt burden, and dependence on external financing. Unresolved local revenue conflicts reduce the state's capacity to generate domestic resources and strengthen fiscal resilience.",0.65,P172492,a2f9ba89,Aide Memoire
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"The project's implementation constraints around taxpayer non-compliance and low enforcement capacity at local government level directly reflect the systemic governance vulnerabilities identified in the IMF Governance and Corruption Diagnostic. The diagnostic found institutional weaknesses, limited enforcement of the rule of law, and procurement vulnerabilities across Sierra Leone's fiscal governance. Local revenue mobilization failures are a manifestation of these same institutional capacity and enforcement deficits that undermine public resource allocation efficiency and citizen trust.",0.85,P172492,0371a75b,Aide Memoire
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","The project's focus on local revenue mobilization is directly relevant to Sierra Leone's structural economic fragility and the need for fiscal reforms. The country's high public debt and limited economic diversification create pressure for improved domestic resource mobilization. However, the project's implementation challenges—resource limitations and low enforcement capacity—reflect the broader structural weaknesses and governance gaps that constrain the country's ability to execute fiscal reforms and achieve sustainable growth.",0.78,P172492,0371a75b,Aide Memoire
SLE-2026-011,Contested Parliamentary Passport Deal Signals Procurement Governance Risks,"The project's governance fragility in local revenue systems connects to the broader pattern of procurement and contract management vulnerabilities highlighted by the Parliamentary Public Accounts Committee and IMF diagnostic. Weak enforcement capacity and compliance mechanisms at local government level are symptomatic of the same institutional governance gaps that enabled the unlawful passport contract extension, suggesting systemic deficiencies in public financial management and accountability.",0.72,P172492,0371a75b,Aide Memoire
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"The project's identified trust deficits and transparency concerns at the local level directly reflect the systemic governance vulnerabilities documented in the IMF Governance and Corruption Diagnostic. The diagnostic found institutional weaknesses, limited enforcement of rule of law, and procurement vulnerabilities that have undermined public trust and resource allocation efficiency. The project's focus on strengthening local revenue transparency systems addresses a manifestation of these broader institutional fragility patterns, particularly in remote communities where oversight capacity is weakest.",0.85,P172492,b4968d83,Aide Memoire
SLE-2026-011,Contested Parliamentary Passport Deal Signals Procurement Governance Risks,The project's emphasis on improving transparency around local revenue use connects to the broader pattern of procurement governance failures and contract management weaknesses evidenced by the Netpage passport deal controversy. Both reflect systemic vulnerabilities in public resource accountability that erode citizen trust in state institutions. The project's local-level focus addresses the foundational trust and transparency gaps that enable such governance failures to persist.,0.72,P172492,b4968d83,Aide Memoire
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps",The project's focus on local revenue systems and transparency connects to Sierra Leone's broader structural economic fragility and governance gaps. Weak local revenue administration and trust deficits in how revenues are used reflect the limited institutional capacity and governance weaknesses that constrain inclusive growth and economic reform. Strengthening local revenue transparency is foundational to addressing the structural governance deficits that undermine macroeconomic stability.,0.68,P172492,b4968d83,Aide Memoire
SLE-2026-008,USAID Dismantlement and Global Aid Cuts Undermining Health and Civil Society,"The implementing partner withdrawal disrupting education support for out-of-school children may be directly connected to the sharp reduction in US foreign assistance since January 2025. The USAID dismantlement has already caused documented funding losses for civil society organizations in Sierra Leone. If the withdrawn implementing partner was US-funded or dependent on US aid flows, the aid cuts could explain the withdrawal and resulting project disruption. This creates a direct causal link between global aid retrenchment and reduced access to education for vulnerable populations.",0.72,P167897,51d7eaec,Implementation Status and Results Report
SLE-2026-007,Chronic Food Insecurity and Climate-Driven Agricultural Shocks,"The disruption to out-of-school children support and back-to-school incentives occurs in a context of severe food insecurity affecting over one million Sierra Leoneans. School feeding and incentive programmes are critical safety nets for vulnerable populations in food-insecure contexts. The implementing partner withdrawal directly undermines the project's ability to support OOSC during a period of heightened economic vulnerability, potentially pushing more children out of school and deepening humanitarian exposure.",0.68,P167897,51d7eaec,Implementation Status and Results Report
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","The implementing partner withdrawal and resulting project restructuring may reflect broader macro-economic fragility and resource constraints. Sierra Leone's high public debt, limited fiscal space, and austerity-oriented budget policies (noted in the supplementary 2025 budget criticism) could have constrained the implementing partner's operational capacity or funding availability, leading to withdrawal. This reflects how structural economic vulnerabilities cascade into reduced service delivery for vulnerable populations.",0.65,P167897,51d7eaec,Implementation Status and Results Report
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"The school construction delays reflect broader governance and institutional weaknesses identified in the IMF Governance and Corruption Diagnostic. Contractor non-compliance, poor schedule adherence, and coordination failures in project implementation are consistent with systemic vulnerabilities in public procurement oversight, rule of law enforcement, and institutional accountability that the IMF flagged as undermining resource allocation efficiency.",0.72,P167897,b30e4eb3,Implementation Status and Results Report
SLE-2026-011,Contested Parliamentary Passport Deal Signals Procurement Governance Risks,The contractor non-compliance and site relocation issues in school construction align with documented procurement governance weaknesses. The Parliamentary Public Accounts Committee's February 2026 condemnation of unlawful contract extension and the IMF's identification of procurement vulnerabilities suggest a systemic pattern of weak contract management and enforcement that extends to education infrastructure projects.,0.68,P167897,b30e4eb3,Implementation Status and Results Report
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","Construction delays may reflect broader structural governance and resource allocation challenges within Sierra Leone's fragile macro-economic context. Limited institutional capacity, infrastructure deficits, and weak enforcement mechanisms identified in the World Bank's economic assessments could contribute to project implementation failures in the education sector.",0.55,P167897,b30e4eb3,Implementation Status and Results Report
SLE-2026-001,SLPP-APC Political Deadlock and Criminalisation of Opposition Speech,"The deep political confrontation between ruling SLPP and opposition APC, including the criminalisation of opposition speech (APC Secretary-General's incitement charges) and suspension of the party, directly undermines the political consensus and institutional stability required for sustained policy reform implementation. Project success depends on cross-party buy-in and government commitment that is compromised by this polarisation.",0.85,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-002,Electoral Institution Credibility and Pre-2028 Reform Impasse,"The stalled Constitutional Amendment Bill and contested appointment of the ECSL Chief Electoral Commissioner have eroded institutional trust and signalled governance dysfunction. This institutional fragility directly affects government capacity and credibility to implement policy reforms, as electoral legitimacy concerns undermine the political authority needed to sustain reform commitments.",0.8,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"The IMF's identification of systemic vulnerabilities in fiscal governance, public procurement, and rule of law enforcement directly maps to the project's High Political and Governance risk rating. Selective anti-corruption enforcement and institutional weaknesses undermine the governance foundations required for effective policy implementation and resource allocation.",0.88,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-005,Judicial Independence Under Threat from Executive Interference,Executive interference in the judiciary—including the suspension of Supreme Court Judge Halloway and the politically-charged remand of opposition figures—signals erosion of the rule of law and institutional checks. This undermines the legal and institutional framework necessary for policy reform implementation and creates uncertainty about enforcement of reform commitments.,0.82,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-006,Ethno-Regional Political Polarisation and Youth Marginalisation,Deep ethno-regional polarisation and patrimonial political practices reduce the political space for consensus-based policy reform. Youth marginalisation and previous violent protests over cost-of-living pressures create a volatile political environment that constrains government's ability to sustain unpopular but necessary reforms.,0.75,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-011,Contested Parliamentary Passport Deal Signals Procurement Governance Risks,The unlawful extension of the Netpage passport deal and Parliamentary condemnation exemplify the procurement governance weaknesses that directly undermine project implementation. Weak contract management and rule of law enforcement create risks for effective execution of project-supported policy reforms and resource allocation.,0.78,P503960,50848d3d,Implementation Status and Results Report
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,The pending Audit Service Sierra Leone Regulation is directly relevant to the IMF's identified governance and rule-of-law vulnerabilities. The removal of the respected Auditor-General in late 2024 under disputed proceedings weakened accountability institutions. Delays in presidential assent to the Audit Service regulation could further delay institutional strengthening in a context where selective anti-corruption enforcement and politicised oversight have already eroded public trust.,0.85,P503960,d2be3d29,Implementation Status and Results Report
SLE-2026-005,Judicial Independence Under Threat from Executive Interference,"The pending legislative reforms, particularly those requiring presidential assent in a context of perceived executive interference in judicial processes, face implementation risk if political will shifts. The pattern of executive pressure on independent institutions (exemplified by the Supreme Court Judge suspension and opposition politician remand) suggests presidential assent to governance-strengthening bills may be withheld or delayed if they constrain executive discretion.",0.75,P503960,d2be3d29,Implementation Status and Results Report
SLE-2026-002,Electoral Institution Credibility and Pre-2028 Reform Impasse,The broader legislative reform impasse reflects the same governance deadlock affecting electoral reform. The Constitutional Amendment Bill 2025 remains stalled in Parliament while the contested ECSL Commissioner appointment proceeded. Delays in presidential assent to other governance bills signal a pattern of institutional reform stalling that directly parallels the pre-2028 electoral reform crisis and erodes confidence in the government's commitment to institutional strengthening.,0.7,P503960,d2be3d29,Implementation Status and Results Report
SLE-2026-001,SLPP-APC Political Deadlock and Criminalisation of Opposition Speech,"In a context of deep SLPP-APC political confrontation and criminalisation of opposition speech, legislative reforms pending presidential assent face politicisation risk. The government may delay or condition assent on bills perceived as constraining executive power or benefiting opposition constituencies, using legislative process as a political tool consistent with the broader pattern of institutional weaponisation.",0.65,P503960,d2be3d29,Implementation Status and Results Report
