risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political tensions delaying inter-governmental fiscal policy adoption,"Delays in adopting a policy brief on functional and revenue assignment agreements between FGS and FMS due to political tensions, affecting inter-governmental fiscal coordination and PBC 3.5 achievement.",medium,persistent,Challenges include delays in adopting a policy brief on agreements for functional and revenue assignment (PBC 3.5) due to political tensions,db09efb7,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Puntland non-compliance with project participation criteria,"Puntland has not submitted required information on civil service wage bill and has not signed functional assignment agreements, creating implementation gaps and potential exclusion from performance-based financing.",medium,persistent,"Puntland is yet to provide information on its complete civil service wage bill. After the monitoring agent analyzes the information, an agreement will be reached on the scope of the EEP and the next steps",b1911eea,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Teacher transition challenges affecting education service delivery,"Low absorption of RCRF-financed teachers into the National Teacher Initiative (NTI) due to communication failures, fraudulent documentation, and qualification discrepancies, with only 89 teachers selected in 2024 out of 1,623 RCRF-financed teachers.",high,worsening,"Of about 1,623 RCRF-financed teachers, only 89 teachers were successfully selected and contracted as NTI teachers during the 2024 selection round... Survey results highlighted key challenges faced by teachers, including lack of understanding of SMS content, limited awareness of the NTI application process, and missed notifications. Specifically, 321 teachers did not apply due to unclear messaging",bc622ec4,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance and coordination gaps in FMS health and education service delivery,"FMS Ministries of Interior not adequately coordinating with Health, Education, and Environment ministries to support eligible districts during service implementation, creating coordination failures in service delivery.",medium,persistent,"FMS Ministries of Interior to coordinate with Health, Education, and Environment ministries to support eligible districts during service implementation",8f306317,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Sustainability concerns freezing Female Health Worker recruitment,"FGS Minister of Finance imposed a freeze on recruitment of new Female Health Workers due to sustainability concerns, halting planned expansion of the Marwo Caafimaad Program and threatening service delivery targets.",high,new,"As of March 7, FGS Minister of Finance put a freeze on the recruitment of new FHWs due to sustainability concerns",f6326ccb,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Medical supply disruptions affecting health service delivery in multiple states,"Medical supply delays in Puntland and Hirshabelle states are affecting Female Health Worker operations and service delivery, requiring new supply agreements and stock management interventions.",medium,persistent,Medical supply delays in Puntland State of Somalia (PSS) and HSS are being addressed through new supply agreements and stock management,e7b04dda,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance and administrative capacity gaps in FMS compliance with project criteria,"Galmudug, Hirshabelle, and Southwest states do not meet minimum appropriations criteria for health ministries, indicating governance and budgetary planning weaknesses affecting project eligibility.",medium,persistent,"Galmudug State of Somalia (GSS), Hirshabelle State of Somalia (HSS), and Southwest State of Somalia (SWSS) do not adhere to the criterion of minimum appropriations for their ministries of health, intended to enable capability for management in these ministries",a30d99ff,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance incident and security concerns affecting project operations,"A Kismayo incident reported in April 2024 related to project operations, with ongoing corrective action plan implementation and security training requirements for project staff and contractors.",medium,improving,"Progress has been made in implementing the Corrective Action Plan following the Kismayo incident reported in April 2024, with continued awareness activities on project operations, community engagement, GM, and GBV protocols",2200fa2a,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Grievance resolution and community tensions in teacher transition,"Protests in Benadir Regional Administration related to RCRF teachers' transition to the FGS National Teacher Initiative, indicating community tensions and grievance management challenges.",medium,improving,"Grievance management is on track, with 65 out of 67 cases closed, including the resolution of protests in BRA related to RCRF teachers' transition to the FGS National Teacher Initiative",816b1e1c,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Weak inter-governmental coordination on fiscal transfers execution,"FGS fiscal transfers execution rate to FMS/BRA has fallen below domestic revenue outturn rates in FY2023 and FY2024 (69.9% vs 107%), indicating governance and coordination failures in inter-governmental fiscal management.",medium,worsening,"The execution rate for the fiscal transfers to FMSs/BRA for FY2024 is 69.9% ($83,282,527 / $119,073,861), which is less than the outturn rate for domestic revenue of 107% ($369,353,791 / $346,183,627). The FGS has not met this indicator in FY2023 and FY2024",d5e9a94d,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
