risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Political and Governance Instability Constraining Implementation Capacity,"Political and governance fragility in South Sudan is creating substantial constraints on project implementation, with the risk category rated as 'High' and persisting across multiple reporting periods. This affects the government's ability to execute project activities and maintain institutional continuity.",high,persistent,"Political and Governance [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",81dbcb85,P178654,Implementation Status and Results Report,2025-10-31T06:55:36.000Z
Macroeconomic Instability Affecting Project Sustainability,"Macroeconomic risks have escalated from 'Substantial' at project approval to 'High' in current ratings, indicating worsening economic conditions that threaten project implementation and sustainability in South Sudan's fragile context.",high,worsening,"Macroeconomic [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",fde6522a,P178654,Implementation Status and Results Report,2025-10-31T06:55:36.000Z
Institutional Capacity Constraints Amid Governance Fragility,"Institutional capacity for implementation and sustainability has deteriorated from 'Substantial' at approval to 'High' risk, reflecting challenges in government ministries' ability to execute project activities in a fragile governance environment.",high,worsening,"Institutional Capacity for Implementation and Sustainability [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",4f33556e,P178654,Implementation Status and Results Report,2025-10-31T06:55:36.000Z
Refugee and Host Community Integration Amid Displacement Pressures,"The project's expansion to include refugee and host community education (Component 3) reflects underlying displacement pressures in South Sudan. The development objective was modified to explicitly address refugee access to education, indicating this is an emerging FCV-related implementation challenge.",high,new,"Current Development Objective (Approved as part of Additional Financing package Seq. 1 on 11-Sep-2024): The Project's Development Objective is to increase skills development opportunities in teaching and digital agriculture, improve access to education for refugee and host community children and strengthen capacity for management of the education system.",8f8b749e,P178654,Implementation Status and Results Report,2025-10-31T06:55:36.000Z
Delayed Implementation in Refugee-Hosting Areas Due to Operational Challenges,"Component 3 activities targeting 200 schools in refugee-hosting areas remain in preparatory phases with no actual rehabilitation or re-operationalization commenced as of September 2025. This delay reflects implementation challenges in operating within fragile, displacement-affected contexts.",medium,persistent,"MoGEI has completed the identification of the 200 schools that will benefit from this project activity, with contracting for rehabilitation works anticipated to commence within the next six months.",c9c82cb0,P178654,Implementation Status and Results Report,2025-10-31T06:55:36.000Z
Political and Governance Instability Constraining Implementation Capacity,"Political and governance fragility in South Sudan is creating substantial constraints on project implementation, with the risk category rated as 'High' and persistent across reporting periods. This affects the government's ability to execute project activities and maintain institutional continuity.",high,persistent,"Political and Governance [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",9622f96d,P178654,Implementation Status and Results Report,2025-10-31T06:55:07.000Z
Macroeconomic Instability Affecting Project Sustainability,"Macroeconomic fragility in South Sudan has escalated from 'Substantial' at project approval to 'High' risk rating, creating persistent challenges for project implementation and the sustainability of government commitments to education sector investments.",high,worsening,"Macroeconomic [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",a730d6c0,P178654,Implementation Status and Results Report,2025-10-31T06:55:07.000Z
Institutional Capacity Constraints Linked to Governance Fragility,"Institutional capacity for implementation and sustainability has deteriorated from 'Substantial' at approval to 'High' risk, reflecting governance-related constraints on the government's ability to execute project activities, manage finances, and sustain reforms in the education sector.",high,worsening,"Institutional Capacity for Implementation and Sustainability [Risk Category Rating]: Substantial [at Approval], High [Last Approved Rating ISR Seq. 04], High [Proposed Rating]",746954c2,P178654,Implementation Status and Results Report,2025-10-31T06:55:07.000Z
Refugee and Host Community Inclusion Dependent on Fragile Operating Environment,"The project's expanded focus on refugee and host community education (Component 3, added in Additional Financing September 2024) is being implemented in a fragile context where displacement pressures and refugee hosting dynamics create implementation risks. The development objective was modified to include 'improve access to education for refugee and host community children,' indicating recognition of FCV-related pressures.",high,new,"Current Development Objective (Approved as part of Additional Financing package Seq. 1 on 11-Sep-2024): The Project's Development Objective is to increase skills development opportunities in teaching and digital agriculture, improve access to education for refugee and host community children and strengthen capacity for management of the education system.",cced364f,P178654,Implementation Status and Results Report,2025-10-31T06:55:07.000Z
Political and Governance Instability Constraining Implementation,"Political and governance fragility in South Sudan continues to pose a high risk to project implementation, affecting the ability to deliver services and strengthen government capacity across all components.",high,persistent,Political and Governance High High High,941cab3b,P176900,Implementation Status and Results Report,2025-10-24T10:15:15.000Z
Macroeconomic Instability Affecting Project Viability,"Macroeconomic risks remain high and persistent, potentially undermining the sustainability of women's entrepreneurial activities and livelihood services supported by the project.",high,persistent,Macroeconomic High High High,9350dbe1,P176900,Implementation Status and Results Report,2025-10-24T10:15:15.000Z
Sector Strategies and Policies Instability,High-risk sector strategies and policies environment continues to affect the project's ability to implement women's empowerment and GBV services in a stable policy framework.,high,persistent,Sector Strategies and Policies High High High,977242c9,P176900,Implementation Status and Results Report,2025-10-24T10:15:15.000Z
Institutional Capacity Fragility for Implementation,"Institutional capacity for implementation and sustainability remains high-risk, reflecting the fragility of government institutions (MGCSW) to effectively deliver and sustain women's empowerment and GBV services.",high,persistent,Institutional Capacity for Implementation and Sustainability High High High,ea04c23a,P176900,Implementation Status and Results Report,2025-10-24T10:15:15.000Z
High Political and Governance Risk Rating,"The project operates in South Sudan under a High political and governance risk rating, which directly affects implementation capacity and stakeholder engagement in a fragile state context.",high,persistent,Political and Governance High High,fab937b7,P500553,Implementation Status and Results Report,2025-09-11T14:55:21.000Z
High Institutional Capacity Risk in Fragile Context,"Institutional capacity for implementation and sustainability is rated High risk, indicating significant challenges in executing project activities through government and local institutions in a fragile state.",high,persistent,Institutional Capacity for Implementation and Sustainability High High,75c19649,P500553,Implementation Status and Results Report,2025-09-11T14:55:21.000Z
High Environment and Social Risk,"The project faces High environment and social risks, which in South Sudan's FCV context may include tensions over resource access, displacement pressures, and community conflicts related to rangeland and water management.",high,persistent,Environment and Social High High,38120885,P500553,Implementation Status and Results Report,2025-09-11T14:55:21.000Z
Overall High Risk Rating in Fragile State,"The project maintains an overall High risk rating, reflecting the cumulative FCV-related challenges of implementing a livestock sector project in South Sudan's fragile and conflict-affected environment.",high,persistent,Overall Risk Rating High,e0532c7e,P500553,Implementation Status and Results Report,2025-09-11T14:55:21.000Z
Security constraints affecting hydromet site assessments and infrastructure development,"Security risk assessments are required for hydromet stations before construction can proceed. The contract for a dedicated Security Risk Management Firm was not yet signed as of the mission (expected July 30, 2025), potentially delaying site assessments and the January 2026 start of hydromet station construction.",medium,persistent,"Hydrological, environmental, and social (E&S) screening including security risk assessments of selected hydromet sites is in progress... The contract signing with Security Risk Management Firm is expected to be on July 30, 2025.",72c96733,P500441,Aide Memoire,2025-09-05T12:55:03.000Z
