risk_id,title,summary,themes,keywords,locations,severity,time_horizon
SDN-2026-01,Active Multi-Front War: SAF-RSF Conflict Escalates in Kordofan and Darfur,"The war between the Sudanese Armed Forces (SAF) and the Rapid Support Forces (RSF) entered its fourth year with no sign of resolution, with fighting escalating across multiple fronts. As of early March 2026, an alarming escalation of violence was reported in the Kordofan region, including a drone strike on Dilling General Hospital killing at least four patients, and continued drone attacks on El Obeid over five consecutive days (UN News, 5 March 2026). The Security Council Report (February 2026) noted that Kordofan has emerged as a key epicentre of hostilities, while fighting persists in North Darfur and Sennar states. ACLED (9 March 2026) confirmed the RSF continues to move into North Darfur, and a 25 January clash in Blue Nile state opened a new front, placing Blue Nile at the centre of the conflict.","['security', 'humanitarian']","['SAF', 'RSF', 'armed conflict', 'Kordofan', 'North Darfur', 'drone strikes', 'hospital attacks', 'Blue Nile']","['Kordofan region', 'North Darfur', 'South Kordofan', 'North Kordofan', 'El Obeid', 'Dilling', 'Blue Nile state', 'Sennar state']",high,current
SDN-2026-02,De Facto State Fragmentation and RSF Parallel Government,"The RSF's proclamation of a parallel 'Government of Peace and Unity' (Tasis State) in August 2025, based in Darfur and allied with the SPLM-N, has deepened Sudan's political fragmentation. The ICG warned that without a diplomatic breakthrough, Sudan risks shifting from all-out war to a protracted stalemate and de facto partition (ICG, September 2025). The SAF-aligned government returned national institutions to Khartoum in January 2026 (Security Council Report, February 2026), while the RSF consolidates control over most of Darfur and parts of Kordofan. The UN and Arab League recognise SAF chief al-Burhan as head of state, but the African Union does not, deepening the legitimacy vacuum and complicating future governance frameworks.","['governance', 'political']","['parallel government', 'Tasis State', 'RSF', 'partition', 'political fragmentation', 'legitimacy', 'Port Sudan', 'de facto control']","['Darfur region', 'Khartoum', 'Port Sudan', 'South Darfur', 'Kordofan', 'nationwide']",high,current
SDN-2026-03,Mass Displacement Crisis: Largest in the World,"Sudan hosts the world's largest displacement crisis, with approximately 14 million people forcibly displaced since April 2023. Per UNHCR (October 2025), this includes 7.3 million internally displaced persons and 4.2 million refugees and asylum seekers in neighbouring countries including Egypt, Chad, South Sudan, Ethiopia, Uganda, Libya, and the Central African Republic. UNHCR's 2026 Sudan Regional Refugee Response Plan, launched in February 2026, sought $1.6 billion to support 5.9 million people across seven neighbouring countries, and projected an additional 470,000 new refugees expected in 2026 (UNHCR, February 2026). Around 2.6 million displaced Sudanese have returned to areas such as Khartoum, Sennar, and Al Jazirah, often driven by hardship rather than safety, finding destroyed infrastructure and absent services (UNHCR, 2025).","['displacement', 'humanitarian']","['IDP', 'refugees', 'UNHCR', 'displacement', 'return', 'regional spillover', 'Chad', 'Egypt', 'South Sudan']","['nationwide', 'Darfur region', 'Kordofan region', 'Khartoum', 'Chad', 'Egypt', 'South Sudan', 'Ethiopia', 'Uganda']",high,current
SDN-2026-04,Famine Confirmed and Spreading in Darfur and Kordofan,"Famine (IPC Phase 5) has been confirmed in El Fasher (North Darfur) and Kadugli (South Kordofan), with IPC projecting 20 additional areas at risk of famine across Greater Darfur and Greater Kordofan through 2026 (FAO/WFP/UNICEF, November 2025). An IPC alert issued 5 February 2026 found that famine thresholds for acute malnutrition had been surpassed in the additional North Darfur localities of Um Baru (53% of children under five acutely malnourished) and Kernoi (approximately one-third) (IPC/Al Jazeera, February 2026). WFP estimates 24.6 million people suffer from acute hunger and 2 million face famine or risk of famine, and urgently requires $700 million to continue Sudan operations from January to June 2026 (WFP, 2026). The humanitarian response plan for Sudan in 2026, requiring $2.9 billion, had received only 5.5% of necessary funds as of early February 2026 (Action Against Hunger, February 2026).","['humanitarian', 'security', 'economy']","['famine', 'IPC Phase 5', 'malnutrition', 'food insecurity', 'WFP', 'Darfur', 'Kordofan', 'starvation', 'funding gap']","['El Fasher', 'Kadugli', 'North Darfur', 'South Kordofan', 'Um Baru', 'Kernoi', 'Greater Darfur', 'Greater Kordofan']",high,current
SDN-2026-05,"Systematic Attacks on Civilians, Sexual Violence, and Impunity","Both the SAF and RSF continue to commit war crimes, including mass killings, sexual violence, and unlawful detention. Following the RSF seizure of El Fasher in October 2025, there were immediate reports of extrajudicial killings and serious violations against fleeing civilians, with the UN Fact-Finding Mission (FFM) identifying hallmarks of genocide (HRW World Report 2026, February 2026). The UN has documented at least 330 cases of conflict-related sexual violence, with the actual number believed to be far higher due to access restrictions and stigma (HRW, 2026). The UN Security Council in late February 2026 condemned all forms of violations against civilians and expressed alarm over repeated drone attacks on civilians and humanitarian workers, including strikes on WFP operations since early February 2026 (Al Jazeera, February 2026). Impunity remains a key driver of violence, with both parties refusing to cooperate with the UN FFM and AU Joint Fact-Finding Mission.","['security', 'social', 'governance']","['war crimes', 'sexual violence', 'civilian attacks', 'impunity', 'RSF', 'SAF', 'El Fasher', 'UN FFM', 'genocide', 'drone strikes']","['El Fasher', 'North Darfur', 'Kordofan region', 'Omdurman', 'Gezira state', 'nationwide']",high,current
SDN-2026-06,Deliberate Obstruction of Humanitarian Access,"Both warring parties continue to wilfully obstruct aid movement, attack humanitarian workers and local volunteers, and restrict access to conflict-affected populations, in violation of international humanitarian law (HRW, February 2026). The UN Security Council in February 2026 condemned repeated drone attacks targeting WFP operations and stressed that starvation must not be used as a weapon of war (Al Jazeera, 25 February 2026). The UN Security Council's 1591 Sudan Sanctions Panel of Experts, whose mandate expired in March 2026, had not yet been constituted due to disagreements among Council members, limiting accountability mechanisms (Security Council Report, September 2025). As of February 2026, UN OCHA confirmed that humanitarian access is becoming increasingly restrained, particularly in Kordofan and Darfur (UN News, 5 March 2026).","['humanitarian', 'governance', 'security']","['aid obstruction', 'humanitarian access', 'WFP attacks', 'RSF', 'SAF', 'OCHA', 'sanctions panel', 'starvation weaponized', 'IHL violations']","['Darfur region', 'Kordofan region', 'El Fasher', 'South Kordofan', 'nationwide']",high,current
SDN-2026-07,Collapsed Health System and Renewed Disease Outbreak Risk,"Sudan's health system has been driven to the brink of collapse, with 37% of health facilities remaining non-functional as of January 2026, over 20 million people requiring health assistance, and WHO verifying 201 attacks on healthcare facilities since April 2023, resulting in 1,858 deaths (WHO, 9 January 2026). Sudan declared the end of its major cholera outbreak on 3 March 2026, with 124,418 infected and 3,573 deaths since July 2024 (WHO EMRO, 8 March 2026), though the underlying drivers of disease transmission remain fully intact. Ongoing outbreaks of dengue, malaria, and measles continue to spread, fuelled by overcrowded displacement sites, disrupted WASH services, and collapsed immunization (WHO, January 2026). The risk of renewed cholera and other waterborne disease outbreaks is high given persistent displacement, damaged water infrastructure, and upcoming rainy season.","['health', 'humanitarian']","['health system collapse', 'cholera', 'malaria', 'dengue', 'measles', 'WHO', 'health facility attacks', 'WASH', 'disease outbreaks']","['nationwide', 'North Darfur', 'South Kordofan', 'Darfur region', 'Kassala state']",high,0-3m
SDN-2026-08,Regional Proxy Dynamics and External Military Involvement,"The Sudan conflict has become increasingly shaped by external actors, with the UAE widely reported as extensively supplying weapons and logistics to the RSF, and Egypt providing logistical and technical support to the SAF, including reportedly conducting targeted airstrikes against the RSF (Amani Africa, February 2026). The AU Peace and Security Council has strongly condemned external actor involvement but made no progress in over two years in identifying and sanctioning those responsible (Amani Africa, February 2026). Saudi Arabia and the UAE are reportedly locked in an intensifying proxy competition, with Riyadh backing the SAF and Abu Dhabi the RSF, making the Quad framework effectively non-functional as a diplomatic convenor (Washington Institute, 2026). Turkish firms have also reportedly sold weapons to both sides in violation of US and EU sanctions (FDD, February 2026).","['political', 'security']","['UAE', 'Egypt', 'Saudi Arabia', 'proxy conflict', 'external intervention', 'weapons supply', 'RSF', 'SAF', 'regional destabilization', 'AU']","['nationwide', 'Darfur region', 'Kordofan region', 'Libya border']",high,current
SDN-2026-09,Stalled Peace Diplomacy and Fragmented Mediation Architecture,"Multiple parallel peace initiatives — the US-led Quad (Egypt, Saudi Arabia, UAE, US), the AU Quintet (AU, UN, EU, Arab League), and bilateral Egyptian efforts — have failed to produce a ceasefire as of March 2026, with their overlapping mandates generating coordination challenges rather than unified pressure. The AU Quintet was welcomed at the last AUPSC meeting as a coordination mechanism, but Saudi-UAE rivalry has rendered the Quad largely ineffective (Washington Institute, 2026). A Quad-proposed peace plan in early 2026 — including humanitarian truce, ceasefire, and a political process toward civilian-led government — was rejected by the SAF citing UAE involvement (Amani Africa, February 2026). The UN Panel of Experts supporting the 1591 Sudan Sanctions Committee had not been constituted as of early March 2026 due to Council member disagreements, undermining accountability and early-warning functions (Security Council Report, September 2025).","['political', 'governance']","['peace talks', 'ceasefire', 'Quad', 'AU Quintet', 'mediation', 'diplomacy', 'sanctions', 'UN Security Council', 'civilian transition']",['nationwide'],high,current
SDN-2026-10,Severe Humanitarian Funding Gap Threatening Aid Operations,"Sudan's 2026 humanitarian response plan requires $2.9 billion but had received only 5.5% of required funds as of early February 2026, and barely 40% of required funding was secured in 2025 (Action Against Hunger, February 2026). WFP has been forced to reduce food rations to survival minimums and urgently requires $700 million for January to June 2026 operations (WFP, 2026). UNHCR's 2026 Sudan Regional Refugee Response Plan launched a $1.6 billion appeal for 5.9 million people across seven neighbouring countries, warning that funding per refugee per month had dropped from $11 in 2022 to $4 in 2025, forcing closure of two of three registration centres in Egypt (UNHCR, February 2026). The UNFPA was forced to withdraw from more than half of the 93 health facilities it supported due to funding cuts, and three-quarters of all safe spaces for women and girls in South Sudan hosting Sudanese refugees have closed (UNHCR, February 2026).","['humanitarian', 'economy']","['funding gap', 'WFP', 'UNHCR', 'humanitarian response plan', 'USAID cuts', 'donor fatigue', 'underfunding', 'aid operations', 'refugee response']","['nationwide', 'Chad', 'Egypt', 'South Sudan', 'Uganda']",high,current
