risk_id,title,summary,themes,keywords,locations,severity,time_horizon
SLE-2026-001,SLPP-APC Political Deadlock and Criminalisation of Opposition Speech,"Sierra Leone's ruling SLPP and opposition APC remain in deep political confrontation rooted in the disputed 2023 general elections. In February 2026, the APC Secretary-General Lansana Dumbuya was charged with incitement and remanded to Pademba Road Prison after accusing President Bio of stealing the 2023 elections at a party rally, before being released on bail on February 17 (Pan African Visions, 13 Feb 2026; Sierra Leone Telegraph, 15 Feb 2026). The PPRC separately suspended the APC for one day on February 11 over unpaid fines related to the same rally, a move critics called politically motivated (Sierra Leone Monitor, 12 Feb 2026). As of March 11, 2026, the Chief Minister convened a Tripartite Committee meeting to address ongoing political disagreements, signalling that dialogue remains stalled (AYV News, 11 Mar 2026).","['political', 'governance']","['APC', 'SLPP', 'opposition', 'political repression', 'Dumbuya', 'PPRC', 'Tripartite Committee', 'political speech']","['Freetown', 'nationwide']",high,current
SLE-2026-002,Electoral Institution Credibility and Pre-2028 Reform Impasse,"Sierra Leone faces a high-stakes pre-electoral governance risk as the Constitutional Amendment Bill 2025 remains before Parliament and its implementation timeline is uncertain. The government's controversial appointment of Edmond Sylvester Alpha as ECSL Chief Electoral Commissioner - opposed by civil society and the APC as procedurally unlawful and politically partisan - has further eroded institutional trust (Sierra Leone Telegraph, Feb 2026; ILRAJ, Feb 2026). The ISS has warned that failure to complete electoral reform before the 2028 general elections risks another disputed result that could degenerate into instability (ISS Africa, Dec 2025). The government's postponement of a mid-term census to December 2026 has compounded APC suspicions of electoral manipulation (ISS Africa, Dec 2025).","['governance', 'political']","['electoral reform', 'ECSL', 'constitutional amendment', '2028 elections', 'institutional credibility', 'census', 'SLPP', 'APC']","['nationwide', 'Freetown']",high,3-12m
SLE-2026-003,Sierra Leone-Guinea Border Dispute and Military Detention Incident,"In a significant escalation of a two-decade border dispute, Guinean forces detained 16 Sierra Leonean soldiers and police officers on February 22-23, 2026, near Kalieyereh in Falaba District, seizing their weapons and ammunition (AP via ABC News, Feb 2026; Xinhua, Feb 2026). Sierra Leone asserts its personnel were constructing a border post within recognised sovereign territory; Guinea claims they crossed 1.4km into Guinean territory. All personnel were released following diplomatic intervention by Sierra Leone's Foreign Minister Timothy Kabba in Conakry on February 27, and the two countries agreed to establish a commission to examine the issue (CrisisWatch via ICG, Feb 2026). The incident marks the first flare-up of this dispute since mid-2025 and there have been at least three border crossing incidents since autumn 2025 (Pravda Guinea, Feb 2026).","['security', 'political']","['Guinea', 'border dispute', 'Falaba', 'Kalieyereh', 'military detention', 'Yenga', 'territorial dispute', 'cross-border']","['Falaba District', 'Kalieyereh', 'northern Sierra Leone']",medium,0-3m
SLE-2026-004,Governance and Corruption Vulnerabilities Flagged by IMF Diagnostic,"An inter-departmental IMF Governance and Corruption Diagnostic (GCD) published in late 2025 and January 2026 found systemic vulnerabilities across Sierra Leone's fiscal governance, financial sector oversight, public procurement, and rule of law (IMF Technical Assistance Report 2025/106; IMF High-Level Summary 2026/003). The diagnostic identified institutional weaknesses, limited enforcement of the rule of law, and procurement vulnerabilities as factors that have undermined public trust and resource allocation efficiency (IMF, Jan 2026). Concerns have been raised by multiple observers that anti-corruption enforcement is being selectively applied against opposition-aligned actors rather than ruling party figures, further politicising oversight institutions (Transparency International / Transparency Knowledge Hub, 2023). The removal of the respected Auditor-General in late 2024 under disputed tribunal proceedings has weakened a key accountability anchor (Freedom House, 2025).","['governance', 'economy']","['corruption', 'IMF', 'governance diagnostic', 'procurement', 'rule of law', 'auditor-general', 'accountability', 'public finance']",['nationwide'],high,current
SLE-2026-005,Judicial Independence Under Threat from Executive Interference,"Sierra Leone's judiciary faces credibility risks from a pattern of perceived executive interference. In 2024, President Bio suspended Supreme Court Judge Allan Halloway following Halloway's public complaints about Chief Justice Kamanda undermining judicial independence - no reason was given for the suspension, which followed a recommendation from the Judicial and Legal Services Commission chaired by the Chief Justice himself (International IDEA, Global State of Democracy). Critics including the Sierra Leone Lawyers Society alleged the process violated constitutional requirements (International IDEA). The February 2026 remand of opposition APC Secretary-General Dumbuya on charges of insulting the President - with bail initially denied - has deepened concerns about courts being used as instruments of political pressure (Sierra Leone Telegraph op-ed, 15 Feb 2026).","['governance', 'political']","['judiciary', 'judicial independence', 'Supreme Court', 'Chief Justice', 'rule of law', 'political interference', 'bail', 'Dumbuya']","['Freetown', 'nationwide']",medium,current
SLE-2026-006,Ethno-Regional Political Polarisation and Youth Marginalisation,"Sierra Leone's two-party political system continues to be deeply structured along ethno-regional lines, with the SLPP drawing support from the Mende-dominated south and east and the APC from the Temne-dominated north, reinforcing social polarisation (International IDEA, Global State of Democracy 2025). Patrimonialism practiced by both parties has deepened exclusion, particularly among youth who are economically and socially marginalised and have previously led violent protests over cost-of-living pressures (International IDEA). The Fambul Tok executive director warned in March 2026 that selfish political advisers and entrenched self-interest on both sides are worsening tensions, describing peace as the country's most valuable asset (AYV News, 11 Mar 2026). Intra-APC tensions surrounding internal party elections in early March 2026 carry additional risk of localized political violence (Pan African Visions, Mar 2026).","['political', 'social']","['ethno-regional', 'polarisation', 'youth', 'APC', 'SLPP', 'patronage', 'social exclusion', 'political violence']","['nationwide', 'northern Sierra Leone', 'southern Sierra Leone']",medium,current
SLE-2026-007,Chronic Food Insecurity and Climate-Driven Agricultural Shocks,"Sierra Leone ranks 185th out of 193 countries on the 2025 Human Development Index, and food insecurity has been exacerbated by global inflation, the economic effects of the Ukraine crisis, and COVID-19 aftereffects, with over one million Sierra Leoneans severely food insecure per WFP monitoring data (WFP Sierra Leone country page, 2025). Climate change has increased the frequency of floods, droughts, and coastal erosion, and repeated climate shocks in 2022, 2023, and 2024 displaced thousands and damaged crops (WFP, 2025). Agriculture employs over 60 percent of the population but is dominated by subsistence farmers with limited access to improved inputs, and declining soil fertility and erratic weather further reduce yields (WFP, 2025). The WFP 2026-2030 Country Strategic Plan acknowledges that economic instability, land degradation, and extreme weather continue to hinder food access (WFP, 2026).","['humanitarian', 'environment', 'economy']","['food insecurity', 'climate shocks', 'floods', 'agriculture', 'WFP', 'malnutrition', 'poverty', 'smallholder farmers']","['nationwide', 'rural Sierra Leone']",high,current
SLE-2026-008,USAID Dismantlement and Global Aid Cuts Undermining Health and Civil Society,"The dismantlement of USAID and the sharp reduction in US foreign assistance since January 2025 has directly impacted Sierra Leone's civil society and health service delivery. A Freetown-based democracy advocacy organisation lost USD 1 million in US funding for its civic education and female political participation programme, with its director warning the loss created a vacuum in governance that Russia or China could fill (CBS News, Feb 2025). Field reports from March 2026 describe children in Sierra Leone arriving at hospitals with untreated severe malaria due to the absence of diagnostic tests previously funded by USAID (GBH, 9 Mar 2026). Sierra Leone's health budget is approximately half-funded by donors, making it acutely exposed to the US aid withdrawal (The Dial, Apr 2025). The OECD notes that reduced US pledges to IDA-21 and the African Development Fund compound the resource gap for Sierra Leone (OECD, 2025).","['humanitarian', 'health', 'governance']","['USAID', 'aid cuts', 'health funding', 'malaria', 'civil society', 'democracy support', 'donor dependency', 'IDA']","['nationwide', 'Freetown']",high,current
SLE-2026-009,Stalled Electoral Reform Dialogue Between ECSL and Civil Society Monitors,"Tensions between the Electoral Commission for Sierra Leone (ECSL) and the National Elections Watch (NEW) civil society observer group deepened in early February 2026 following lingering controversy over the conduct of the 2023 General Elections, with NEW accusing the Commission of deliberate exclusion (Sierra Leone Telegraph, 8 Feb 2026). The contested appointment of Edmond Sylvester Alpha as ECSL Chairman in late February 2026 - while the Constitutional Amendment Bill 2025 proposing reformed ECSL appointment procedures was still pending in Parliament - has compounded civil society concerns about the legitimacy and independence of the electoral management body (ILRAJ, Feb 2026; Sierra Leone Telegraph, Feb 2026). Civil society groups and the Lawyers' Society have called for the suspension of the appointment pending constitutional reform, raising the prospect of sustained contestation over electoral governance ahead of 2028 (Sierra Leone Telegraph, Feb 2026).","['governance', 'political']","['ECSL', 'National Elections Watch', 'electoral management', 'civil society', 'ECSL appointment', 'Constitutional Amendment', '2028', 'accountability']","['Freetown', 'nationwide']",medium,0-3m
SLE-2026-010,"Macro-Economic Fragility, Debt Vulnerability and Structural Reform Gaps","Sierra Leone's economy exhibits structural fragility characterised by high public debt, heavy dependence on extractive industries, and limited economic diversification, with infrastructural deficits and low human capital hampering inclusive growth (Democracy in Africa, Feb 2026). The IMF's Extended Credit Facility arrangement has anchored some fiscal reforms and projects falling inflation and modest growth, but subsistence agriculture and commodity-price exposure make the country prone to external shocks (Democracy in Africa, Feb 2026). The World Bank's November 2025 economic update noted that private sector reform is key to sustained growth and employment, signalling continued structural weaknesses (World Bank, Nov 2025). The supplementary 2025 budget was criticised as austerity-oriented for citizens while preserving favourable terms for political insiders (Cocorioko, Nov 2025).","['economy', 'governance']","['public debt', 'IMF', 'Extended Credit Facility', 'fiscal consolidation', 'extractive industries', 'economic diversification', 'poverty', 'inflation']",['nationwide'],medium,3-12m
SLE-2026-011,Contested Parliamentary Passport Deal Signals Procurement Governance Risks,"Sierra Leone's Parliamentary Public Accounts Committee condemned in February 2026 the unlawful extension of the Netpage passport deal, highlighting persistent vulnerabilities in public procurement and contract management (Sierra Leone Telegraph, 24 Feb 2026). This episode is consistent with broader IMF findings of procurement weaknesses and limited enforcement of the rule of law identified in the 2025-2026 Governance and Corruption Diagnostic (IMF, Dec 2025 / Jan 2026). Such procurement failures reduce the efficiency of public resource allocation and erode citizen trust in state institutions at a time of heightened political polarisation (IMF GCD, Jan 2026).","['governance', 'crime']","['procurement', 'Netpage', 'passport deal', 'Public Accounts Committee', 'corruption', 'public financial management', 'contract', 'accountability']","['Freetown', 'nationwide']",medium,current
SLE-2026-012,Context: November 2023 Coup Attempt Legacy and Ongoing Treason Proceedings,"**Context (beyond 3-month window):** The November 2023 alleged coup attempt, for which former President Ernest Bai Koroma was charged with treason, cast a long shadow over Sierra Leone's political landscape entering 2026. Koroma was released under an ECOWAS-brokered agreement to seek medical treatment in Nigeria (Freedom House, 2025). The episode, combined with the subsequently disputed 2023 election results, established a baseline of political fragility and institutional distrust that continues to animate SLPP-APC tensions and fuel concerns about democratic backsliding (International IDEA, 2025). The unresolved nature of accountability for the coup attempt, alongside ongoing treason proceedings, sustains a charged political environment that reduces the space for constructive dialogue (Freedom House, 2025).","['political', 'security', 'governance']","['coup attempt', 'Koroma', 'treason', '2023 elections', 'ECOWAS', 'political fragility', 'democratic backsliding', 'APC']","['nationwide', 'Freetown']",medium,3-12m
