risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Persistent High Political and Governance Risk in Afghanistan,"Afghanistan's political and governance environment remains rated as 'High' risk, which continues to affect project implementation stability and sustainability.",high,persistent,Political and Governance High High High,643f258d,P178280,Implementation Status and Results Report,2025-09-26T22:35:06.000Z
Persistent High Macroeconomic Risk Affecting Project Viability,"Macroeconomic conditions in Afghanistan remain rated as 'High' risk, creating ongoing challenges for project implementation and beneficiary participation.",high,persistent,Macroeconomic High High High,9c8af2b6,P178280,Implementation Status and Results Report,2025-09-26T22:35:06.000Z
Political and Governance Instability Affecting Project Implementation,"The project operates under a High political and governance risk rating, which has remained consistently high since project approval. This reflects the fragile political environment in Afghanistan that continues to constrain implementation capacity and project delivery.",high,persistent,Political and Governance High High High,fc574236,P178758,Implementation Status and Results Report,2025-09-15T15:40:06.000Z
Displacement and Host Community Service Delivery Gaps,"The project includes a specific indicator for displaced people and host communities, but data collection has not yet begun, indicating implementation challenges in reaching and serving displaced populations affected by conflict and instability.",medium,unclear,Displaced people and people in host communities provided with services and livelihoods (Number)... Data not captured yet.,3cce0f6c,P178758,Implementation Status and Results Report,2025-09-15T15:40:06.000Z
Grievance Resolution Delays in Conflict-Affected Areas,"While grievance resolution is occurring, the 71% resolution rate within prescribed timelines indicates implementation challenges in managing beneficiary complaints across 28 provinces, some of which may be conflict-affected. This suggests potential tensions between project implementation and community expectations.",medium,persistent,"between 1 October to 31 December 2024, 422 grievances were submitted under WB EERA CBE program from 28 provinces, achieving a resolution rate of 71%",159f8e16,P178758,Implementation Status and Results Report,2025-09-15T15:40:06.000Z
Macroeconomic Instability Constraining Project Delivery,"The project maintains a High macroeconomic risk rating that has persisted since approval, reflecting broader economic fragility in Afghanistan that may affect implementation capacity, local procurement, and sustainability of project activities.",high,persistent,Macroeconomic High High High,2dfa846b,P178758,Implementation Status and Results Report,2025-09-15T15:40:06.000Z
Political and Governance Instability Affecting Implementation,"Political and governance risks are rated as High, indicating significant fragility in the operating environment that could undermine project implementation capacity and sustainability.",high,persistent,Risk Category: Political and Governance... Rating at Approval: High... Last Approved Rating ISR Seq. 01: High,bd6f1fab,P504220,Implementation Status and Results Report,2025-06-24T12:11:22.000Z
Institutional Capacity Constraints in Fragile Context,"Institutional capacity for implementation is rated as High risk, suggesting the implementing agencies (Aga-Khan Foundation Afghanistan and Afghan Credit Guarantee Foundation) face significant challenges in executing project activities in a fragile governance environment.",high,persistent,Risk Category: Institutional Capacity for Implementation and Sustainability... Last Approved Rating ISR Seq. 01: High,cb7603b7,P504220,Implementation Status and Results Report,2025-06-24T12:11:22.000Z
Early-Stage Implementation in High-Risk Political Environment,"The project was only recently declared effective (April 9, 2024) and implementation arrangements are still being instituted, creating vulnerability to political instability and governance fragility in Afghanistan.",high,new,"The project was approved on March 27, 2024, and was declared effective on April 9, 2024. Implementation arrangements are being instituted (including meeting the requirements of the Ministry of Economy).",0b9acbc7,P504220,Implementation Status and Results Report,2025-06-24T12:11:22.000Z
Political and Governance Instability Affecting Project Implementation,"The project operates in Afghanistan under conditions of persistent political and governance fragility, which remains rated as 'High' throughout the project lifecycle. This creates ongoing uncertainty for project continuity and implementation effectiveness.",high,persistent,Risk Category Rating at Approval Approval Package - 29 Apr 2022 Last Approved Rating ISR Seq. 09 - 07 Apr 2025 Proposed Rating Political and Governance High High High,f053baa5,P178760,Implementation Status and Results Report,2025-06-23T16:30:16.000Z
