related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
HND-001,Contested Presidential Transition and Deep Political Polarization,"Project implementation depends on sustained political commitment and budget allocation through a government that lacks broad legitimacy and faces institutional mistrust. The razor-thin electoral victory, delayed vote counts, and rejection of results by the LIBRE party create uncertainty about continuity of project prioritization and funding across administrations.",0.85,P507958,"PAD identifies 'Political and Governance (Substantial)' risk, noting 'possible delays in Congressional approval; implications of potential government priority changes following November 2025 presidential election; political uncertainty affecting institutional stability; challenge of securing project inclusion in official budget allocations affecting funding availability and execution delays.' Mitigation relies on 'multi-sectoral support,' 'communication plan with key stakeholders for continuity regardless of administration changes,' and 'ensure project inclusion in official budget allocations'—all contingent on political will in a polarized environment."
HND-002,Systemic Corruption and Institutional Impunity Under New Administration,"Project relies on SIT institutional capacity and fiduciary controls in an environment of structural impunity and institutional capture. The PAD identifies SIT's lack of prior WB experience, limited FM capacity, and weak governance structures. Corruption risks are heightened by the absence of a functioning anti-corruption commission and the new administration's credibility deficit.",0.8,P507958,"PAD identifies 'Fiduciary (Financial Management and Procurement) (Substantial)' risk: 'SIT lacks prior experience managing WB-funded projects and implementing PBCs. Risk of non-compliance with WB policies, implementation delays, slow disbursements, accounting errors, and financial reporting issues. Risk that GoH does not allocate sufficient budget to PBC, disrupting implementation and weakening contractor credibility.' Mitigation depends on establishing 'clear roles and responsibilities' and 'strengthen FM governance structure'—difficult in a context of systemic impunity and institutional capture."
HND-003,Gang Violence and Expanding Organized Crime in Rural Areas,"The project corridor crosses Atlántida and Colón departments where organized crime has expanded significantly (27% and 44% violence increases respectively). The PAD explicitly identifies the Bajo Aguán region as affected by 'organized crime, drug trafficking, and weak state presence.' Labor influx of 4,000+ workers into remote areas with limited state supervision creates vulnerability to gang recruitment, extortion, and violence disruption of construction activities.",0.9,P507958,"PAD states: 'The CA-13 corridor crosses the Bajo Aguán region which has been affected by violent land disputes since early 2000s... Region experiences social tensions, organized crime, drug trafficking, and weak state presence.' Environmental and Social risk assessment notes 'violence and insecurity including land conflicts, social unrest, organized crime, drug trafficking' as Substantial risks. Security section identifies 'Estimated 4,000+ workers creating labor influx risks in remote areas with limited supervision capacity' and 'Organized crime, drug trafficking, and illicit economies present in project area.' Mitigation includes Security Management Plan and Code of Conduct, but implementation in high-crime environment remains challenging."
HND-004,"Drug Trafficking, Coca Cultivation, and State-Crime Nexus","Colón and Olancho departments (project area includes Colón) are identified as primary drug trafficking and coca cultivation zones. The deep state-crime nexus and questions about the new administration's willingness to break the narco-political cycle create risks that project infrastructure (improved road access, bridges) could be co-opted for trafficking logistics or that project staff/contractors could face coercion or violence from criminal groups.",0.75,P507958,"PAD identifies project location in Colón Department, which country risk assessment identifies as a primary drug trafficking and coca cultivation zone. PAD notes 'Drug trafficking activities are concentrated in Colón, Olancho, Atlántida, Yoro, and Gracias a Dios departments, where criminal groups seize land, build illegal airstrips, and forcibly displace families to secure trafficking routes.' Project's improved road infrastructure and bridge reconstruction could inadvertently enhance trafficking logistics. Security Management Plan is identified as mitigation, but PAD does not detail specific protocols for managing state-crime nexus interference."
HND-005,Remittance Shock and Economic Vulnerability from U.S. TPS Termination and Deportations,"Project beneficiaries in Atlántida and Colón (615,000 people, 53.4% women) are highly dependent on remittances (26-30% of GDP nationally). Projected 3-5% decline in remittance senders and ~1% GDP contraction will reduce household purchasing power, labor availability for project-related employment, and local government tax revenues needed for project co-financing and maintenance contributions. Mass deportations will flood labor markets, potentially reducing demand for project-generated employment.",0.7,P507958,"PAD identifies 'Macroeconomic (Moderate)' risk: 'Honduras GDP growth decelerating (4% in 2022 to 2.8% expected in 2025); constrained short-term prospects from lower expected growth in main trading partners and continuation of deceleration in remittance inflows.' While PAD does not explicitly quantify remittance shock impact, the project's economic benefits depend on sustained household incomes and local economic activity. Mitigation is noted as 'not explicitly detailed in document; project design emphasizes economic benefits and resilience to support development despite macroeconomic constraints'—indicating limited contingency planning for remittance collapse."
HND-006,Public Health System Crisis and Collapse of Service Delivery,"Project involves 4,000+ workers in remote areas with limited health infrastructure. The collapse of Honduras's public health system, departure of 168 Cuban doctors, and lack of formal Health Ministry leadership create risks for occupational health and safety (OHS) management, emergency response capacity, and worker health during construction. Project area in Atlántida and Colón has limited health service access.",0.65,P507958,"PAD identifies 'Community health and safety risks' as part of Environmental and Social (Substantial) risk assessment. Security section notes 'Road passes near sensitive social infrastructure (schools)' and identifies 'Community health and safety risk mitigation' as required. However, PAD does not explicitly address the systemic health system collapse or its implications for OHS management during construction. Mitigation relies on 'Occupational Health and Safety (OHS) measures' and 'Coordination with local service providers,' but the PAD does not detail contingencies for non-functional health systems."
HND-007,Internal Displacement Driven by Gang Violence and Organized Crime,"Project area (Bajo Aguán, Atlántida, Colón) is a primary zone of forced displacement driven by gang violence, drug trafficking, and land seizures. The PAD estimates 50-100 households will be affected by project-induced resettlement, but this occurs in a context where criminal groups are already forcibly displacing families. Project implementation could exacerbate displacement if not carefully managed, and displaced populations may lack access to grievance mechanisms or resettlement support due to insecurity.",0.85,P507958,"PAD states: 'Criminal groups in rural departments such as Colón, Olancho, and along the Caribbean coast seize land, destroy crops, and forcibly displace families to secure trafficking routes and production zones.' Project identifies 'Involuntary resettlement expected. Approximately 1,000 households/properties located along road corridor; estimated 50-100 could be affected primarily through partial impacts on assets or land due to land acquisition or temporary resettlement for construction/maintenance activities.' PAD notes 'Potential involuntary resettlement (estimated 50-100 households affected)' and 'Potential resettlement needs with SIT's limited experience managing such processes' as Substantial risks. Mitigation includes RPF and RAPs, but implementation in high-displacement context with weak state presence remains challenging."
HND-008,Mixed Migration Flows and Deportee Reception Capacity,"Project area is a transit zone for mixed migration flows and will receive deportees from the U.S. (projected 100,000+ across Central America in 2026). Deportees with limited local employment prospects may be recruited into criminal networks or create social tensions in project communities. Project employment opportunities may be insufficient to absorb deportee labor, and project staff/contractors may face pressure from criminal groups seeking to control labor recruitment.",0.7,P507958,"PAD identifies project location in Atlántida and Colón, which are transit and destination zones for migration. Country risk assessment notes 'Honduras sits at the intersection of northward emigration and significant transit migration, with over 545,000 people having entered irregularly in 2023' and 'Honduras faces a growing wave of returnees who lived an average of five years abroad and will require reintegration support in labor markets that are already saturated.' PAD does not explicitly address deportee integration or labor market absorption risks, though it notes project will generate employment. Mitigation does not include specific protocols for managing deportee labor or criminal group interference in recruitment."
HND-009,U.S. Aid Termination and Erosion of Governance and Civil Society Funding,"Project depends on World Bank technical assistance, procurement support, and fiduciary oversight. Termination of ~$167 million in U.S. governance and civil society aid, combined with shrinking civic space and targeting of civil society organizations, reduces independent oversight capacity and creates risks that project governance safeguards (stakeholder engagement, grievance mechanisms, transparency) will be weakened or co-opted by state actors.",0.7,P507958,"PAD identifies 'Stakeholder (Substantial)' risk and notes 'Substantial risk due to road alignment through regions with history of social unrest where past infrastructure projects have been controversial. Risk of protests and sabotage (arson).' Mitigation relies on 'Stakeholder Engagement Plan (SEP)' with 'identification and mapping of key actors; information and consultation mechanism; grievance management mechanism' and 'Organize community consultations during planning and implementation involving local leaders and civil society.' However, PAD does not address the erosion of civil society funding or the targeting of civil society organizations by the new government, which could undermine independent monitoring and grievance mechanisms."
HND-010,Expanding Coca Cultivation and Risk of Honduras Becoming a Cocaine Producer,"Colón Department (project area) is identified as a primary zone for coca cultivation and cocaine processing. Expansion of coca cultivation and drug laboratories in the project corridor could create direct security threats to project staff/contractors, increase land conflict intensity, and create incentives for criminal groups to interfere with or co-opt project infrastructure for trafficking purposes.",0.75,P507958,"Country risk assessment identifies 'Coca crops have appeared across Honduras since at least 2017 and appear to have taken hold, coupled with the emergence of drug laboratories' with 'over 65% of ACLED-recorded coca seizures concentrated in Colón and Olancho alone.' Project area includes Colón Department. PAD identifies 'organized crime, drug trafficking, and weak state presence' in the Bajo Aguán region but does not explicitly address coca cultivation or cocaine processing risks. Security Management Plan is identified as mitigation, but PAD does not detail specific protocols for managing interference from drug production operations."
