related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Project implementation relies on federal–member state coordination for a “national social protection system”; ongoing FGS–FMS political disputes could disrupt governance arrangements, harmonization efforts, and consistent delivery across regions.",The Federal Government of Somalia (FGS) and the Federal Member States (FMS) continue to disagree on core constitutional provisions and on the distribution of resources.,0.82,P507443
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,The PAD flags contested governance and weak territorial control as constraints on service delivery; fragmentation could therefore disrupt rollout of government-led delivery structures and systems-building activities.,"Somalia’s fragility is rooted in a complex interplay of protracted conflict, political contestation, and recurrent climatic shocks. Since the collapse of the state in 1991, persistent insecurity, weak territorial control, and contested governance arrangements have hindered state-building and service delivery.",0.76,P507443
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Insecurity and conflict are explicitly cited as limiting service delivery and constraining delivery capacity, which could disrupt field operations (cash transfer delivery, economic inclusion activities, supervision/verification, and the large-scale household survey).","Delivery capacity is constrained by insecurity, population mobility, and limited infrastructure, especially in contested and climate-vulnerable areas.",0.86,P507443
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Conflict and insecurity are explicitly cited as limiting access for World Bank implementation support and creating risks for frontline agencies and beneficiaries, potentially disrupting delivery and supervision arrangements.","Other risks in Somalia include conflict and insecurity risks, which continue to be substantial across the country and high in certain parts of the country. The security situation limits access to project locations for World Bank implementation support and poses risks for frontline implementation agencies, both government and UN agencies, and beneficiaries.",0.8,P507443
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","The project explicitly targets urban districts with high in-migration driven by displacement; population mobility is also cited as a delivery constraint—creating susceptibility to targeting challenges, beneficiary tracking issues, and uneven reach.","Prioritization will be given to districts with high immigration, driven partly by displacement due to droughts and floods, and increasing urban poverty and climate vulnerability.",0.84,P507443
SOM-002,Humanitarian response funding shortfalls threaten interruption of lifesaving assistance,Implementation is institutionally tied to WFP via a required output agreement that includes “field implementation assistance where needed”; any interruption or constraint affecting WFP’s ability to provide such support would disrupt delivery and supervision modalities described in the PAD/legal covenants.,"the Recipient shall: (a) hire the services of the WFP to provide technical assistance, and field implementation assistance where needed, under Project",0.79,P507443
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts",The PAD states that climate and security-related shocks erode resilience amid food insecurity; this creates susceptibility to outcome disruption (resilience/consumption gains) if shocks intensify beyond program coverage and delivery capacity.,Frequent and severe climate and security-related shocks erode resilience in the context of deep poverty and food insecurity.,0.7,P507443
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,Implementation relies on collaboration across the federal system; the PAD notes complex FGS–FMS–Somaliland relationships and indicates these dynamics can restrict access to sites for delivery and monitoring.,"The complex relationship between the FGS, FMS, and Somaliland; a volatile security situation, and the ongoing anti-terror campaign can restrict access to project sites for cash delivery and/or monitoring of implementation.",0.73,P507443
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"Political/governance dynamics may constrain operational access and monitoring (including in areas involving Somaliland/FMS interfaces), as the PAD highlights restricted access to project sites driven by political/governance and insecurity factors.","The complex relationship between the FGS, FMS, and Somaliland; a volatile security situation, and the ongoing anti-terror campaign can restrict access to project sites for cash delivery and/or monitoring of implementation.",0.62,P507443
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"High political/governance risk could disrupt CERP activation decisions and inclusive steering/coordination arrangements across federal and state levels, potentially delaying or constraining emergency response implementation.","Political and Governance (High risk). These risks are inherently high due to the legacy of state fragmentation and civil war, the incomplete constitutional review process (especially on allocation of powers between federal and state governments), and continued insurgency.",0.78,P509224
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Because the project’s strategic oversight explicitly includes FMS counterparts “depending on the nature of the crisis,” federal–state confrontation could disrupt agreed oversight, coordination, and partner engagement decisions during activations.","The Steering Committee will be chaired by the Director General of the Ministry of Finance and provide strategic oversight and governance of the project. It will include representatives of key federal MDAs, as well as FMS and/or Benadir Regional Administration counterparts depending on the nature of the crisis.",0.62,P509224
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Insecurity and violence may directly disrupt access to target locations and pose safety risks to staff/stakeholders, complicating implementation and monitoring of emergency response activities.","Security risk is rated High. Districts across Somalia experience challenges due to violence and security incidents, which impact access to locations and the safety of staff and project stakeholders, complicating project implementation and monitoring.",0.83,P509224
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Large and rising displacement creates a targeting and delivery challenge for an emergency response instrument intended to include displaced persons, particularly where social registry coverage is incomplete and third-party identification/registration is required.","The past eight years show a trend of climate-related displacement on a steep rise, affecting significantly more people than conflict. In 2023, 653,000 Somalis were displaced by conflict and insecurity. Yet three times as many people – 2.3 million – were displaced by climate shocks, primarily flooding (1.7 million) and drought (531,000).",0.76,P509224
SOM-002,Humanitarian response funding shortfalls threaten interruption of lifesaving assistance,"Project outcomes may be disrupted by broader humanitarian financing declines and constrained government fiscal space, as the PAD notes expected ODA decline and sharp reductions in cash assistance (a key response modality the project plans to scale).","Official development assistance (ODA) for Somalia is expected to decline, in line with global trends. Cash assistance to vulnerable households – the predominant response modality to emergencies in Somalia – is among the most impacted sectors. In 2023, humanitarian partners reported a total of US$592 million in cash transfers to affected population, which sharply dropped to US$262 million in 2024.",0.72,P509224
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Fragmentation/political divisions and weak institutional capacity may undermine cross-institutional coordination and execution capacity for emergency preparedness/response (including staffing constraints), affecting timely delivery of cash and emergency goods/services.","Public sector institutions in Somalia remain underdeveloped—a legacy of state fragmentation and conflict, as well because of political divisions, minimal revenue mobilization, and inchoate policy consensus and coordination. A shortage of managerial and professional staff to implement emergency preparedness and response also contributes to inherently high risk.",0.74,P509224
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The PAD indicates the project will operate in fragile, hard-to-reach districts emerging from stabilization, requiring frequent travel by personnel where security and territorial control are dynamic—raising risks of access constraints, disrupted field activities, and threats to staff/contractors/assets.",The risk level was assessed at concept as high due to the dynamic security environment and the project’s focus on expanding state presence into hard-to-reach areas. Most security risks stem from the need for project personnel and staff to regularly travel to fragile districts emerging from stabilization efforts where state and UN-sanctioned security and control are dynamic.,0.83,P508408
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Security risks are material enough that key disbursements are conditioned on adopting a Security Management Plan, indicating potential disruption to field operations and spending if security deteriorates.","“Under Categories (1) and (2) unless and until, the Recipient has (i) prepared and adopted a Security Management Plan (SMP), in form and substance satisfactory to the Association”",0.7,P508408
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The project’s governance/coordination model depends on inter-agency and federal collaboration (FGS–FMS–district). Fragmentation and mistrust could disrupt decision-making, coordination, and approvals needed for implementation.","“promote inter- agencies and federal collaboration, coordination, and cooperation for Project activities.”",0.65,P508408
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"The PAD flags that upcoming 2026 elections and existing political disputes between the Federal Government and Federal Member States could disrupt project governance, coordination, and implementation arrangements that rely on federal–state–district collaboration.","The risk level was assessed as high at concept due to ongoing political disputes between FGS and FMS about core state powers and functions, upcoming elections in 2026, as well as intra- and inter-state tensions and community-level conflict.",0.78,P508408
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","The project explicitly targets internally displaced persons (IDPs) for participation and influence via “voice vouchers,” making inclusion/outreach activities and beneficiary engagement susceptible to displacement-related mobility and settlement changes.","Component 3 will also finance collective action “voice vouchers” for selected marginalized and disempowered groups such as women, youth, and internally displaced persons to increase their influence in their communities and at district-level decision-making forums.",0.6,P508408
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"Activities in Somaliland are explicitly contingent on execution of a subsidiary agreement and multiple institutional/E&S prerequisites, creating susceptibility to delays or interruptions if the enabling political/administrative conditions are not met.",“Under Category (4) unless and until Somaliland has: (a) executed the Somaliland Subsidiary Agreement setting forth implementation arrangements for Somaliland’s Respective Activities under the Project”,0.55,P508408
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"The project depends on operational cooperation across FGS, FMS, and districts (including MoUs with districts). The PAD explicitly identifies FGS–FMS disputes and inter-state tensions as major obstacles to achieving the PDO, which could interfere with implementation across jurisdictions.",The main obstacles to achieving the PDO are: • Political and Governance (Substantial). The risk level was assessed as high at concept due to ongoing political disputes between FGS and FMS about core state powers and functions...,0.72,P508408
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The PAD notes that weak fiscal capacity to handle natural shocks could affect the ability of government levels and districts to co-finance activities and provide security, which could disrupt implementation in shock-affected contexts (including drought-related shocks).","The risk level was assessed at concept as high given the weak fiscal capacity of the FGS, FMS, and districts to mitigate economic and natural shocks, co-finance project activities, provide security, and stimulate economic activity, which could impact project implementation and PDO achievement.",0.6,P508408
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The project’s governance and decision-making arrangements rely on sustained FGS–FMS cooperation (steering committee and approvals). The PAD flags ongoing political contestation between federal and member state levels, which could disrupt coordination and slow implementation decisions (e.g., workplan/budget approvals).","“However, the FGS and FMS still face political contestation on core constitutional matters and resource distribution…”

and

“the Director-General Technical Working Group (DG-TWG) to serve as the Project steering committee… comprised among others, of the directors-general of fisheries of the FMS and Benadir Regional Administration (BRA)… [to] review and approve the Annual Work Plans and Budgets and Project Reports.”",0.74,P178032
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Implementation and supervision of site-based investments may be disrupted because some targeted locations are explicitly described as inaccessible due to security concerns, requiring remote/third-party monitoring approaches that can slow execution and reduce hands-on oversight.","“Specific supervision is planned for the investment in coastal location, which could include third-party monitoring and/or use of the Geo-Enabling initiative for Monitoring and Supervision (GEMS) given the inaccessibility of some of the selected locations, in particular due to security concerns.”",0.85,P178032
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","The PAD identifies displacement (IDPs) as a significant vulnerability driver (including for GBV/SEA/SH survivors) and notes that displaced youth have interest in the sector. This suggests beneficiary risks and potential challenges for safe, inclusive engagement and reach in project-supported fisheries value chains.","“GBV including Sexual Exploitation and Abuse and Sexual Harassment (SEA/SH) remains a challenge and is driven by pervasive insecurity, increased vulnerability and displacement. Studies suggest that about three-quarters of GBV/SEAH survivors are internally displaced persons; some of these survivors work in the fisheries sector.”

and

“the participation of the youth… in the sector is limited, although there is interest especially for internally displaced youth.”",0.71,P178032
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The project targets coastal communities the PAD describes as chronically food insecure and exposed to repeated drought/climate shocks. Such conditions could affect beneficiary capacity to participate, sustain investments, and realize intended livelihood and resilience outcomes.","“Throughout 2022 and for five consecutive seasons, low rainfall has exacerbated severe drought conditions in terms of severity, duration, and scale.”

and

“Small urban and rural coastal communities are particularly prone to high levels of food insecurity due as they often face crises or emergencies throughout the year…”",0.67,P178032
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,High political/governance risk could lead to political interference in activities and weaken intergovernmental coordination needed for implementation and investment prioritization.,"“The political and governance risk is High… The FGS’s ability to effectively lead, coordinate and provide guidance is yet to be established, risking limited participation of the FMS in the project… Political pressure may interfere with some activities.”",0.74,P178032
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,Implementation depends on Federal Member States (FMS) participation and on-the-ground delivery; unclear/contested federal–state roles could reduce FMS engagement and disrupt delivery in targeted communities.,"“Division of roles and responsibilities between the FGS and FMS is not yet fully anchored in the policy, legal and regulatory frameworks… risking limited participation of the FMS in the project.”",0.73,P178032
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Ongoing conflict/terrorism makes operating conditions volatile; site selection, consultations, and implementation in Mogadishu and FMS capitals require careful security management and may face delays or disruptions.","“Due to ongoing conflict and terrorism, security risks are widespread in Somalia. Security issues need to be carefully assessed and managed in selected locations for interventions as well as in Mogadishu and in FMS capitals.”",0.78,P178032
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The Somalia phase is explicitly framed as operating in an FCV context with a “challenging investment environment,” and relies on private sector–delivered distributed renewables as the main delivery channel—making implementation and outcomes vulnerable to insecurity that deters firms and constrains operations.","Somalia exemplifies a complex context of an FCV-affected countries, where private sector–based DRE electrification is the only way to rapidly expand electricity access and the challenging investment environment calls for innovative approaches.",0.7,P181341
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Fiduciary supervision and monitoring of decentralized activities (notably under Component 2 across multiple load centers) is identified as challenging due to insecurity, increasing vulnerability to implementation disruption and weakened oversight.","“The main fiduciary risks associated with the project include challenges with supervision of construction works and potential for diversion of project resources due to prevalent insecurity, inadequate capacity of the implementing agency, and challenges of monitoring decentralized project activities especially under Component 2.”",0.7,P181341
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery",The PAD highlights displacement-affected communities as a priority target group and notes that achieving inclusion requires “better targeting” supported by data/digital tools; high displacement could complicate beneficiary identification/targeting and undermine intended inclusion outcomes.,"Further progress in accelerating energy access cannot be achieved without significantly increasing electricity and clean-cooking access rates among the remote, poorest, and most vulnerable population segments, including displacement-affected communities, as well as female-headed households (FHHs). This requires creative, context-sensitive solutions, as well as better targeting, supported by increased availability of data and digital tools.",0.65,P181341
