risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Revenue Sharing Tensions Between Chiefdoms and District Councils,Longstanding tensions between Chiefdoms and District Councils over revenue sharing are creating barriers to effective implementation of local revenue mobilization and accountability activities under the project.,medium,persistent,"However, some participants pointed to longstanding tensions between Chiefdoms and District Councils around the issue of revenue sharing, which continues to remain a barrier.",a2f9ba89,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Governance Fragility in Local Revenue Systems and Compliance,"Implementation of local revenue mobilization strategies is constrained by resource limitations, taxpayer non-compliance, and low enforcement capacity at the local government level, reflecting underlying governance fragility.",medium,persistent,"The mission identified several constraints impeding effective implementation: resource limitations, taxpayer non-compliance, and low enforcement capacity among other factors.",0371a75b,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Trust Deficits and Transparency Concerns at Local Level,"Workshop participants identified a need to strengthen systems, build trust, and improve transparency at the local level around local revenues and how they are used, particularly in remote or underserved communities, indicating governance fragility affecting project implementation.",medium,persistent,"The workshop reached a consensus on the need to strengthen systems, build trust, and improve transparency at the local level around local revenues and how they are used— especially in remote or underserved communities.",b4968d83,P172492,Aide Memoire,2025-10-30T05:30:03.000Z
Implementing Partner Withdrawal Disrupting Component Implementation,"A key implementing partner has withdrawn from the component responsible for out-of-school children (OOSC) support, causing delays in back-to-school incentives and learning support activities. This disruption requires project restructuring and may affect vulnerable populations' access to education.",medium,worsening,Activities related to this indicator are delayed due to the withdrawal of an implementing partner under the component. A restructuring of the project is being processed to revise the implementation arrangements under this component.,51d7eaec,P167897,Implementation Status and Results Report,2025-10-10T02:55:08.000Z
School Construction Delays Due to Contractor Non-Compliance and Site Relocation,"Significant delays in school classroom and WASH facilities construction are attributed to challenging terrains, contractor failure to adhere to schedules, and site relocations. These delays affect learning environment improvements and may indicate governance or coordination challenges in project implementation.",medium,persistent,"The remaining school classrooms and WASH facilities construction has experienced significant delays towards their completion. The government is urged to undertake actions to ensure adherence to agreed construction schedules by the contractors. Construction of the remaining classrooms has been delayed due to challenging terrains, lack of contractor commitment to schedule, and the relocation of some sites.",b30e4eb3,P167897,Implementation Status and Results Report,2025-10-10T02:55:08.000Z
High Political and Governance Risk Rating,"The project maintains a High risk rating in the Political and Governance category, indicating underlying fragility in the political environment that could affect implementation of policy reforms and government commitment to the program.",high,persistent,Political and Governance High High,50848d3d,P503960,Implementation Status and Results Report,2025-09-01T16:55:29.000Z
Legislative Reforms Pending Presidential Assent,"Key legislative reforms critical to program objectives remain pending presidential assent, creating potential implementation delays if political will shifts or governance processes stall. These include State-Owned Enterprise Bill, National Country Planning Bill, Electricity and Water Regulatory Commission Bill, Child Rights Bill, Gender Equality and Women's Empowerment Regulation, and Audit Service Sierra Leone Regulation.",medium,unclear,"Parliamentary approval of key legislative reforms, now pending presidential assent, including the State-Owned Enterprise Bill, the National Country Planning Bill, the Electricity and Water Regulatory Commission Bill, the Child Rights Bill, the Gender Equality and Women's Empowerment Regulation, and the Audit Service Sierra Leone Regulation.",d2be3d29,P503960,Implementation Status and Results Report,2025-09-01T16:55:29.000Z
Land Contestation at Newton Solar Park Site,"Seven people claim ownership of a small parcel of land within the Newton solar park project site. The land dispute emerged after contractor mobilization in February 2025, despite prior government land conveyance documentation and stakeholder consultations. This threatens project implementation timeline and may require compensation payments or site redesign.",high,new,"Land issue at Newton- About 7 people claim the ownership of a small parcel of land on one edge of the project land. This issue emerged around February 14, 2025 after the contractor began clearing the ground. Before this date, despite extensive stakeholder consultations, there was no issue reported.",3709ec83,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Contested Land Claims at Newton Site Requiring Ministerial Intervention,"Land acquisition disputes at Newton have escalated to ministerial level discussions involving Ministry of Energy, Ministry of Lands, and Ministry of Agriculture. Multiple households have logged grievances over land portions within the designated construction area, requiring government intervention to resolve before civil works can proceed.",high,worsening,"The issue is currently in Ministerial level discussions by Ministry of Energy, Ministry of Lands and Ministry of Agriculture and Food Security. The outcome of these sessions is expected to bring a lasting solution for the outstanding land related issue in the Newton site.",06e6d23c,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
Potential Project Affected Persons (PAPs) Compensation Liability,"If land claims at Newton are validated, the project faces financial and implementation risks from compensating PAPs or redesigning the solar park to avoid claimed land. The mission advised the contractor to prepare an alternate design contingency.",medium,new,"While the disputed land is small in acreage and is limited to one edge of the project, if the issue persists the project will have to decide whether to pay compensation to the PAPs or redesign the solar park to avoid the claimed land.",2f73a661,P171059,Aide Memoire,2025-08-22T11:00:03.000Z
