related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
NGA-2026-01,ISWAP-Boko Haram Insurgency Escalation in Northeast: Multi-Front Coordinated Attacks,"Project implementation in Northeast states (Borno, Adamawa, Yobe) faces direct disruption from escalating ISWAP/Boko Haram attacks. The PAD explicitly notes that 'persistent insecurity in multiple areas disrupts movement of health commodities and staff' and 'delays emergency response in high-risk areas.' Coordinated multi-front attacks documented in March 2026 will severely constrain the project's ability to deploy surveillance teams, laboratory networks, and emergency response personnel across BAY states where the project operates nationwide.",0.95,P508003,PAD states: 'HeSP Nigeria will operate nationwide including areas experiencing persistent insecurity; security challenges noted in multiple states affecting movement of health commodities and staff.' Political and Governance risk section identifies 'Persistent insecurity in multiple areas disrupts movement of health commodities and staff; delays emergency response in high-risk areas.' Component 2 (Detection) and Component 3 (Response) require deployment of FELTP-trained personnel and emergency response teams to affected areas.
NGA-2026-02,"Northwest Banditry, Mass Kidnapping, and Jihadist Convergence","Project operations in Northwest states (Sokoto, Kebbi, Zamfara) are vulnerable to kidnapping and mass casualty attacks by bandit and jihadist groups. The PAD acknowledges the project operates in 'areas experiencing persistent insecurity' and notes that security challenges disrupt 'movement of health commodities and staff.' The documented February 2026 kidnappings of 176 people and attacks killing over 100 in Zamfara/Kebbi directly threaten the safety of health surveillance officers, laboratory technicians, and emergency response teams that the project will deploy to these states.",0.92,P508003,PAD identifies 'Persistent insecurity in multiple areas disrupts movement of health commodities and staff; delays emergency response in high-risk areas; complicates state coordination.' Project includes 'deployment of security personnel to accompany health officers during disease outbreaks in security-prone areas.' Component 2 requires establishment of collaborative surveillance and laboratory networks across all states including Northwest; Component 3 requires emergency response capacity in all states.
NGA-2026-04,Farmer-Herder Intercommunal Violence in Middle Belt and North-Central Nigeria,"Project implementation in Middle Belt and North-Central states (Benue, Plateau, and others) faces disruption from escalating farmer-herder violence. The PAD notes security challenges affect 'movement of health commodities and staff' and 'delays emergency response in high-risk areas.' The documented February 2026 violence killing 38 people and ongoing IDP arrivals in Benue/Plateau states will constrain the project's ability to deploy surveillance teams and maintain health service delivery continuity in these regions. Component 1's One Health coordination with livestock farmers may be complicated by active intercommunal tensions.",0.88,P508003,PAD states project operates 'nationwide including areas experiencing persistent insecurity' and acknowledges 'security challenges noted in multiple states affecting movement of health commodities and staff.' Political and Governance risk identifies 'delays emergency response in high-risk areas; complicates state coordination.' Component 1 includes 'One Health coordination' involving livestock farmers; Component 3 requires 'health service delivery continuity' across all states.
NGA-2026-05,Protracted Internal Displacement and Failing IDP Return Policy in Northeast,"The project's targeting and beneficiary reach in Northeast states is vulnerable to displacement dynamics. The PAD notes the project serves 'Total population of Nigeria (223 million people) in all 36 states' but does not explicitly account for the 2.3 million IDPs in BAY states or the ongoing weekly new displacement flows documented through early 2026. The Borno State government's policy of closing IDP camps by 2026 may disrupt the project's ability to reach displaced populations through health facilities and surveillance systems. Returnees facing renewed attack risk may have limited engagement with health services, undermining surveillance and response effectiveness.",0.75,P508003,PAD identifies beneficiaries as 'Total population of Nigeria (223 million people) in all 36 states and FCT' but does not explicitly address IDP populations or displacement-affected targeting. Project operates in 'areas experiencing persistent insecurity' where displacement is ongoing. Component 2 (Detection) relies on 'multisectoral surveillance systems' and 'collaborative surveillance' which may be compromised if IDP populations are excluded from health facility networks or if returnees avoid engagement with government health services due to insecurity.
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"The project's implementation may be undermined by the acute humanitarian crisis and its effects on health system functionality. The PAD identifies 'Macroeconomic (high)' risk including 'persistent inflation (33% in 2024), exchange rate volatility, fiscal pressures; health sector reliance on imported pharmaceutical supplies and ICT equipment.' With 35 million Nigerians facing acute food insecurity and 3 million children under five at risk of severe acute malnutrition, health facilities will face overwhelming demand and resource constraints. Malnutrition-driven disease burden may overwhelm the surveillance and response systems the project aims to strengthen, while staff morale and retention may suffer amid the broader humanitarian crisis.",0.82,P508003,"PAD identifies Macroeconomic risk as 'high' with 'persistent inflation (33% in 2024), exchange rate volatility, fiscal pressures; health sector reliance on imported pharmaceutical supplies and ICT equipment; limited access to US dollars could disrupt procurement and erode purchasing power.' Project components require sustained health system functionality and staff deployment; humanitarian crisis will strain these capacities. Component 3 (Response) assumes health system capacity to deliver services; acute malnutrition crisis will degrade this capacity."
NGA-2026-07,Cross-Border Jihadist Spillover: Nigeria-Niger-Benin Tri-Border Area Deterioration,"The project's regional coordination mechanisms and cross-border health security collaboration are vulnerable to deteriorating tri-border security. The PAD notes the project includes 'Regional Coordination Committee (RCC) convened by WAHO and CEMAC' and serves 'estimated 627 million people of AFW region.' However, Niger's withdrawal from the MNJTF in March 2025 has 'compromised intelligence sharing and disrupted joint military operations,' and the February 2026 Lakurawa attack in Kebbi State demonstrates active jihadist presence in Nigeria's border areas. The project's reliance on 'regional coordination mechanisms' to maintain collaboration may be hindered by cross-border insecurity and reduced regional cooperation.",0.8,P508003,PAD identifies project includes 'Regional Coordination Committee (RCC) convened by WAHO and CEMAC' and 'regional coordination mechanisms important for maintaining collaboration despite security constraints.' Project serves 'Western and Central Africa region (regional coordination)' with 'estimated 627 million people of AFW region.' Technical Design risk notes 'Complex multisectoral and intersectoral collaboration required' and mitigation includes 'regional coordination mechanisms.' Cross-border deterioration will undermine these mechanisms.
NGA-2026-08,Security Force Conduct: Civilian Casualties in Airstrikes and Accountability Gaps,"The project's deployment of security personnel to accompany health officers creates risk of civilian harm and accountability gaps. The PAD explicitly states: 'project includes deployment of security personnel to accompany health officers during disease outbreaks in security-prone areas with potential risks of use of force.' Given documented patterns of civilian casualties in Nigerian military operations without transparent accountability, and the overstretched military operating in two-thirds of states, the project's security arrangements may inadvertently expose health workers and communities to harm. The PAD notes 'no project funds for firearms' and security personnel 'must adhere to Good Practice Note guidelines,' but these mitigations may be insufficient given the documented accountability gaps in Nigerian security force conduct.",0.78,P508003,PAD states: 'project includes deployment of security personnel to accompany health officers during disease outbreaks in security-prone areas with potential risks of use of force; no project funds for firearms; security personnel must follow Good Practice Note guidelines.' Environmental and Social risk identifies 'potential use of force by security personnel' as a concern. Mitigation includes 'close coordination with development partners and regional platforms' but does not address accountability mechanisms for security force conduct.
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","The project's governance arrangements and stakeholder engagement may be compromised by political centralization and restrictions on civil space. The PAD identifies 'Political and Governance (substantial)' risk including 'Federal-State dynamics and variability in state commitment and capacity; potential political interference in resource allocation; delays in decision-making.' The documented suspension of elected officials in Rivers State, arrests of military officers, and use of the Cybercrimes Act against journalists suggest an environment where political interference in development programs is plausible. The project's reliance on 'State Steering Committees (SSC) at state level' and 'transparent decision-making processes' may be undermined if state-level governance becomes more centralized or if civil society participation is further restricted.",0.76,P508003,PAD identifies Political and Governance risk as 'substantial' with 'Federal-State dynamics and variability in state commitment and capacity; potential political interference in resource allocation; delays in decision-making.' Mitigation includes 'Clearly defined governance and decision-making arrangements in PIM; transparent procurement and reporting.' Project governance structure includes 'State Steering Committees (SSC) at state level' and 'Stakeholder engagement through SEP; civil society organization platform (Partnership for Amplified Voice).' Political centralization and civil space restrictions will undermine these mechanisms.
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The project's implementation depends on sustained health worker engagement and institutional functionality, both vulnerable to economic hardship and labor unrest. The PAD identifies 'Macroeconomic (high)' risk and notes the project operates in a context of 'persistent inflation (33% in 2024)' and 'limited access to US dollars.' The documented 29-day nationwide doctors' strike in November 2025 and broader labor unrest reflect deep worker frustration. The project's deployment of FELTP-trained personnel, laboratory technicians, and emergency response teams assumes stable employment and institutional commitment. Economic hardship and labor strikes will disrupt these deployments, delay training programs, and undermine the 'sustained investments in health security' that the PAD identifies as necessary.",0.81,P508003,"PAD identifies Macroeconomic risk as 'high' with 'persistent inflation (33% in 2024), exchange rate volatility, fiscal pressures.' Technical Design risk notes 'ambitious vision requiring significant coordination and political will; need for sustained investments in health security with One Health focus.' Project components require sustained deployment of trained personnel (FELTP, ISAVET) and institutional functionality. Labor strikes and economic hardship will disrupt these requirements."
NGA-2026-11,Climate-Induced Displacement and Flood Shocks Compounding Humanitarian Vulnerability,"The project's infrastructure and operations are vulnerable to climate shocks and flood-induced displacement. The PAD notes the project will support construction and infrastructure development (implied by Environmental and Social risk identification of 'Community health and safety concerns during construction' and 'increased energy and water demand'). The documented 2025 flooding affecting 34 of 36 states, displacing 896,000 people and destroying 226,000 homes, demonstrates the scale of climate vulnerability. The PAD identifies 'Climate vulnerability and exposure to climate shocks' as a fragility factor. Health facilities and surveillance infrastructure in flood-prone areas (the PAD notes 'UNHCR reports that over 3.5 million IDPs remain displaced nationally, with 46 percent of IDP sites in flood-prone, overcrowded areas') will face disruption. The project's reliance on 'increased energy and water demand' will be challenged by climate shocks.",0.77,P508003,"PAD identifies fragility context includes 'Climate vulnerability and exposure to climate shocks.' Environmental and Social risk identifies 'increased energy and water demand' as a concern. Project operates in 'all 36 states and FCT' including flood-prone areas. The PAD notes UNHCR data showing '46 percent of IDP sites in flood-prone, overcrowded areas.' Project infrastructure development (implied by construction-related safeguards) will be vulnerable to flooding. Component 2 (Detection) and Component 3 (Response) require functional health facilities and surveillance infrastructure vulnerable to climate shocks."
