country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
DJI-2026-01,Constitutional Manipulation and Managed Presidential Election Entrench Authoritarian Governance,"The escalation of Political and Governance risk in project implementation directly reflects the broader entrenchment of authoritarian governance structures. The constitutional amendments removing presidential age limits (October-November 2025) and the tightly controlled April 2026 election occurred during the period when the project's governance risk rating worsened from Moderate (May 2022) to Substantial (April 2025). This consolidation of executive power and elimination of democratic competition creates an institutional environment increasingly hostile to transparent, accountable project implementation and independent oversight mechanisms.",0.85,P178033,4a799037,Implementation Status and Results Report
DJI-2026-02,Succession Uncertainty and Intra-Elite Fragility Within Ruling Coalition,"The project's governance risk escalation is plausibly connected to documented intra-elite strain within the ruling coalition, including the September 2025 resignation of senior advisor Alexis Mohamed and politically motivated arrests of senior figures. These signs of internal fragmentation and succession uncertainty create unpredictability in government decision-making, policy continuity, and institutional capacity—all critical for sustained project implementation. The risk of elite fragmentation directly undermines the stable governance environment required for effective project delivery.",0.78,P178033,4a799037,Implementation Status and Results Report
DJI-2026-03,Severe Media Repression and Elimination of Civil Society Space,"The elimination of independent media and civil society space (ranked 168th in press freedom, with arrests of journalists and activists in late 2025) directly constrains the accountability mechanisms essential for project governance. The project's escalating governance risk reflects an institutional environment where independent monitoring, public scrutiny, and civil society participation in project oversight are structurally impossible. This absence of countervailing accountability creates conditions for governance failures to go undetected and uncorrected.",0.82,P178033,4a799037,Implementation Status and Results Report
DJI-2026-11,Government-Development Actor Alignment on Reform Delivery Faces Governance Accountability Risks,"This country risk explicitly identifies governance accountability risks in the World Bank's newly approved PforR program (March 2026), noting that the absence of independent civil society and freedom of information constraints create structural risks to participatory implementation and social accountability. The project's escalating governance risk rating directly reflects these documented accountability gaps. The opaque government operating environment and limited transparency on investment deals create conditions where reform milestones may be formally met without substantive institutional change or genuine governance improvement.",0.88,P178033,4a799037,Implementation Status and Results Report
DJI-2026-11,Government-Development Actor Alignment on Reform Delivery Faces Governance Accountability Risks,"The realized project risk of coordination and planning difficulties affecting immunization service delivery reflects the broader governance accountability challenges identified in DJI-2026-11. The absence of independent civil society oversight, opaque government operations, and limited transparency mechanisms create structural constraints on participatory implementation and institutional coordination. Poor data quality and coordination failures in health service delivery are consistent with the governance fragmentation and weak institutional accountability noted as persistent barriers to development actor alignment in a highly controlled political environment.",0.72,P178033,6d1f5ef9,Implementation Status and Results Report
DJI-2026-03,Severe Media Repression and Elimination of Civil Society Space,"The coordination and planning difficulties in immunization service delivery may be partially attributable to the severe restrictions on civil society space and media freedom documented in DJI-2026-03. The elimination of independent oversight mechanisms and civic engagement channels constrains the ability of communities and civil society organizations to participate in health program planning, provide feedback on service gaps, and hold implementing agencies accountable. This institutional isolation can directly impair coordination between health authorities and communities, contributing to poor outreach and data quality.",0.65,P178033,6d1f5ef9,Implementation Status and Results Report
DJI-2026-07,Refugee Population Faces Chronic Vulnerability Amid Resource Constraints,"The project's inability to collect disaggregated refugee health data reflects the broader governance and capacity constraints documented in DJI-2026-07. Djibouti hosts 33,360 refugees (3% of population) with 85% concentrated in remote villages, and the country faces chronic resource constraints, implementation gaps in refugee service delivery, and recurrent humanitarian gaps from funding cuts. The data collection failure suggests systemic weaknesses in refugee-focused service infrastructure that align with documented barriers to implementing the progressive 2017 Refugee Law and delivering consistent health services to displaced populations.",0.82,P178033,0d2db5e2,Implementation Status and Results Report
DJI-2026-10,Climate-Driven Water Scarcity and Recurrent Drought Threaten Rural Livelihoods and Displacement,"Refugee populations in Djibouti are concentrated in rural villages (Ali Addeh, Holl-Holl, Markazi) that are particularly vulnerable to climate shocks and water scarcity. The project's data gaps on refugee health services may reflect the compounding pressures of drought-driven displacement and resource constraints in rural areas documented in DJI-2026-10, where fragmented institutional responsibilities and limited capacity for rural service systems are persistent governance gaps.",0.68,P178033,0d2db5e2,Implementation Status and Results Report
DJI-2026-11,Government-Development Actor Alignment on Reform Delivery Faces Governance Accountability Risks,"The refugee data collection gap reflects the broader governance accountability risks identified in DJI-2026-11. The absence of independent civil society oversight, limited transparency, and opaque government operations constrain participatory implementation and social accountability. The project's inability to generate disaggregated refugee health data suggests implementation challenges consistent with the structural governance constraints that limit independent monitoring and transparent reporting in a highly controlled political environment.",0.71,P178033,0d2db5e2,Implementation Status and Results Report
DJI-2026-03,Severe Media Repression and Elimination of Civil Society Space,"The delayed adoption of the Digital Code, particularly telecommunications regulation (Book Two), is substantively connected to the systematic elimination of civil society space and media repression. Telecommunications regulation directly governs internet access, content filtering, and digital communications infrastructure—the same mechanisms documented as being used by authorities to jam exile media, block websites, and deliberately slow internet to restrict social media. The non-adoption of a formal Digital Code may reflect deliberate institutional avoidance of codifying regulatory frameworks that could create transparency or accountability mechanisms around digital surveillance and content control, allowing authorities to maintain discretionary control over telecommunications without legal constraints.",0.72,P174461,c8c2b2b2,Aide Memoire
