related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The project's countrywide coverage and grid extension into rural areas within 2.5km of grid in Amhara region face direct disruption from ongoing Fano insurgency. The PAD acknowledges conflict-affected areas and includes security risk assessments, but Amhara's persistent armed conflict with over 4,000 schools closed and 4 million children out of school indicates severe access and operational constraints that could prevent implementation of the 1.1 million new electricity connections target.",0.85,P506061,"PAD states 'Countrywide coverage, 230 towns, Rural areas within 2.5km of grid' and identifies 'CONFLICT-AFFECTED AREAS: yes - Ethiopia is classified as fragile state with recent Tigray conflict mentioned and ongoing security challenges.' The project includes 'flexibility in designs to alternate sites when inaccessible due to security' but does not specify how extensive Amhara region coverage is or contingency capacity if major regions become inaccessible."
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"The project's national coverage includes Oromia region, where ongoing violence has displaced over 288,000 people since July 2025 and killed civilians in multiple incidents. The PAD's grid extension and connection targets across rural areas in Oromia are vulnerable to disruption from continued OLA attacks and intercommunal violence. Displacement of populations undermines beneficiary targeting and reach of the 5.5 million people benefit projection.",0.8,P506061,PAD specifies 'Countrywide coverage' and 'Rural areas within 2.5km of grid' without regional exclusions. The project targets '5.5 million people through 1.1 million new electricity connections' but does not account for displacement dynamics. PAD acknowledges 'flexibility in designs to alternate sites when inaccessible due to security' but provides no evidence of displacement-specific targeting adjustments or contingency planning for displaced populations.
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The project's countrywide coverage includes Tigray, where federal authority is shrinking and tensions between TPLF and Tigray Defense Forces have escalated. The PAD acknowledges the Tigray conflict but does not specify current implementation status or contingency capacity in Tigray. Renewed armed conflict in Tigray could severely disrupt grid extension, connection activities, and utility operations in the region, affecting the beneficiary target.",0.75,P506061,"PAD states 'recent Tigray conflict mentioned' and includes 'Countrywide coverage' but provides no Tigray-specific implementation plan or risk mitigation beyond generic 'flexibility in designs to alternate sites when inaccessible due to security.' The implementing agency (EEU) operates nationally, but the PAD does not address how political fragmentation and shrinking federal authority in Tigray will affect utility operations and project implementation."
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The project targets 5.5 million beneficiaries through 1.1 million new connections, but 4.7 million people are currently displaced across Ethiopia. The PAD does not address how displacement affects beneficiary identification, targeting accuracy, or connection sustainability. IDPs in camps or informal settlements may not be reached by grid extension (limited to 2.5km of grid) or may face barriers to connection registration and payment, undermining project outcomes.",0.78,P506061,"PAD identifies 'Female-headed households, Youth, Indigenous/historically underserved communities, Rural poor households' as vulnerable groups but does not mention IDPs or displaced populations despite acknowledging 'CONFLICT-AFFECTED AREAS: yes.' The project design focuses on 'Rural areas within 2.5km of grid' which may exclude IDP camps. PAD states 'no specific mention of displacement or refugee populations in the document,' indicating a gap in displacement-sensitive design."
ETH_2026_001,Escalating tensions between Ethiopia and Eritrea over sea access and regional alliances,"Escalating Ethiopia-Eritrea tensions and proxy clashes could disrupt the implementing agency's operations, particularly if military mobilization affects government capacity or diverts resources from civilian energy sector priorities. The PAD's reliance on Ministry of Water and Energy and EEU for implementation assumes stable governance and resource allocation, which could be compromised by regional military escalation.",0.65,P506061,"PAD identifies 'political (high): Risk of conflict and its implications on program implementation and supervision' as a key risk. The implementing agencies are 'Ministry of Water and Energy (MoWE) and Ethiopian Electric Utility (EEU)' which operate under government authority. If Ethiopia-Eritrea tensions escalate to military operations, government capacity and budget allocation to civilian energy projects could be severely constrained, though the PAD does not specifically address this scenario."
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,The project's implementation depends on government budget allocation and EEU operational capacity. The humanitarian funding crisis and shrinking donor support create macroeconomic pressure that could reduce government resources available for energy sector investment and utility operations. The PAD identifies 'macroeconomic (substantial)' risk but does not address how humanitarian funding shortfalls and competing priorities for limited government resources affect project financing sustainability.,0.7,P506061,"PAD identifies 'macroeconomic (substantial): Impact of recent forex reform on projects, maintaining market-reflective exchange rate, prudent monetary and fiscal reforms' and notes 'macroeconomic instability with debt default in 2023.' However, the PAD does not address how the humanitarian funding crisis (21 million people in need) and government budget constraints affect energy sector financing. The project relies on government co-financing and EEU revenue, both vulnerable to macroeconomic deterioration."
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"The project's grievance redress mechanism and community engagement depend on functional civil society and media freedom. The systematic crackdown on journalists and civil society organizations could undermine the project's ability to conduct transparent monitoring, receive community feedback, and address grievances. The PAD's reliance on 'existing program grievance mechanism and World Bank Grievance Redress Service' may be compromised if civil society space continues to shrink.",0.68,P506061,"PAD includes 'GRM: yes - existing program grievance mechanism and World Bank Grievance Redress Service available' and mentions 'social conflict prevention and management measures.' However, the PAD does not address how media crackdowns and civil society restrictions affect the functionality of grievance mechanisms or community participation in project monitoring. The project's transparency and accountability depend on civil society engagement, which is under systematic pressure."
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,The June 2026 elections could trigger political instability and government distraction from development priorities. The PAD's implementation timeline and government commitment to the energy sector could be affected if elections spark broader political crisis or if government resources are diverted to election-related security operations. The project's reliance on stable governance and EEU institutional capacity is vulnerable to post-election political turbulence.,0.62,P506061,"PAD identifies 'political (high): Risk of conflict and its implications on program implementation and supervision' and notes the project is implemented by government agencies (MoWE, EEU) whose capacity and focus could be diverted by political events. The PAD includes 'design pre, during, and post-conflict measures' but does not specifically address election-related political risks or contingency planning for post-election instability."
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The AIM4Learning project's implementation in Ethiopia's Amhara region is directly vulnerable to ongoing Fano insurgency and counterinsurgency operations. The PAD explicitly identifies Ethiopia as a Phase 1 implementation location covering 'all regions,' and notes that approximately 70% of school-aged children in the AFE region have been affected by persistent conflicts over the last 10 years. With over 4,000 schools closed in Amhara and 4 million children out of school due to the conflict, the project's core objective of expanding school networks and improving learning outcomes faces severe disruption.",0.95,P501017,"PAD states: 'Phase 1: Ethiopia (all regions)' and 'approximately 70% of school-aged children in AFE affected by persistent conflicts over last 10 years.' The project includes 'Pillar 1: Transforming Learning Spaces: Expand school networks, develop climate-resilient infrastructure' and targets '72 million children with better education.' However, the current FCV risk notes 'over 4 million children are out of school' and '4,000 schools remain closed' in Amhara due to active conflict."
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"The project's implementation in Ethiopia's Oromia region is vulnerable to persistent violence and displacement despite partial peace agreements. The PAD identifies Ethiopia (all regions) as a Phase 1 location and acknowledges the project operates in 'conflict-affected areas' with 'multiple countries face fragility, conflict and violence challenges.' With 3.2 million children out of school in Oromia and over 288,000 people displaced since July 2025, the project's ability to reach beneficiaries and maintain school operations is severely compromised.",0.93,P501017,"PAD states project covers 'Phase 1: Ethiopia (all regions)' and explicitly notes 'CONFLICT-AFFECTED AREAS: yes - multiple countries face fragility, conflict and violence challenges; Ethiopia has ongoing conflict in northern regions.' The project targets vulnerable populations including 'internally displaced children' and aims to 'Increase equitable access and improve learning outcomes in basic education.' However, current violence in Oromia has displaced 288,000 people and removed 3.2 million children from school."
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The project's implementation in Tigray faces severe disruption from escalating political crisis and armed faction tensions. The PAD identifies Ethiopia (all regions) as Phase 1 implementation location and acknowledges 'fragility and conflict situations' as a risk factor. With federal authority shrinking in Mekelle and other key cities, and tensions between TPLF and Tigray Defense Forces escalating, the project's coordination mechanisms through 'Ministries of Education in participating countries' and 'High-level steering committees' may become non-functional or compromised.",0.9,P501017,"PAD identifies 'political and governance (substantial)' risk with 'fragility and conflict situations' and notes implementation requires 'Ministries of Education in participating countries' and 'High-level steering committees, project management units, multisectoral coordination structures.' The PAD also states project covers 'Phase 1: Ethiopia (all regions)' and acknowledges 'lack of coordination across ministries and levels of government' as a risk. Current FCV risk indicates federal authority is 'quickly shrinking' in Tigray with armed faction tensions escalating."
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The project's targeting and beneficiary reach is vulnerable to mass internal displacement affecting 4.7 million people in Ethiopia. While the PAD explicitly includes support for 'internally displaced children' and 'mobile/flexible learning approaches for displaced populations,' the scale of displacement (3.3 million IDPs) and deteriorating humanitarian conditions threaten the project's ability to deliver services. The PAD notes the project targets 'marginalized and vulnerable populations' but displacement dynamics may outpace the project's adaptive capacity.",0.88,P501017,"PAD states project targets 'marginalized and vulnerable populations with focus on female students from poorest households' and includes 'internally displaced children' among vulnerable groups. It also notes 'program includes support for refugee education integration, mobile/flexible learning approaches for displaced populations.' However, the PAD acknowledges 'approximately 70% of school-aged children in AFE affected by persistent conflicts over last 10 years' and the current FCV risk indicates '4.7 million people forced from their homes' with 'living conditions for IDPs described as dire.'"
ETH_2026_001,Escalating tensions between Ethiopia and Eritrea over sea access and regional alliances,"The project's implementation in Ethiopia faces potential disruption from escalating Ethiopia-Eritrea tensions and military mobilization. The PAD identifies Ethiopia (all regions) as Phase 1 location and acknowledges 'fragility and conflict situations' as a risk. While the current FCV risk indicates military escalation is unlikely to reach large-scale invasion in 2026, proxy clashes and military mobilization could disrupt government capacity, redirect resources from education, and affect project coordination through the Ministry of Education.",0.72,P501017,"PAD identifies 'political and governance (substantial)' risk and notes implementation depends on 'Ministries of Education in participating countries' and 'multisectoral coordination structures.' The project covers 'Phase 1: Ethiopia (all regions)' and acknowledges 'fragility and conflict situations' affecting implementation. The PAD also notes 'macroeconomic (substantial)' risk including 'conflict impacts on economic development,' which could be exacerbated by military mobilization and resource reallocation."
