country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
AFG-2026-09,Taliban Governance Fragility and Political Isolation,"Direct alignment: The realized project risk of 'Persistent High Political and Governance Risk' is substantively connected to documented Taliban governance fragility, including lack of professionalism, declining institutional capacity, funding shortages for state functions, civil society bans, and Afghanistan's isolation from the international system. These governance weaknesses directly undermine project implementation stability and sustainability.",0.95,P178280,643f258d,Implementation Status and Results Report
AFG-2026-10,Friction Between Taliban and UN/Development Actors Over Operational Access,Operational governance risk: The Taliban's restrictions on UN staff access (particularly women staff) since September 2025 and resistance to international oversight create direct implementation barriers for development projects. The shortened UNAMA mandate renewal and uncertainty about operational capacity under Taliban constraints reflect the governance instability affecting project delivery.,0.9,P178280,643f258d,Implementation Status and Results Report
AFG-2026-06,Collapse of Humanitarian Funding Due to U.S. and Donor Aid Cuts,Governance-economy nexus: The collapse of donor funding and Afghanistan's isolation from the international financial system (USD 9.5 billion in reserves frozen) reflects governance fragility that directly impacts project implementation. The Taliban's inability to access international financing and the withdrawal of development assistance create structural constraints on project sustainability and government counterpart capacity.,0.85,P178280,643f258d,Implementation Status and Results Report
AFG-2026-06,Collapse of Humanitarian Funding Due to U.S. and Donor Aid Cuts,"The realized macroeconomic risk is directly connected to the collapse of humanitarian funding. Afghanistan is projected to lose approximately USD 859 million in ODA in 2026 compared to 2023 baseline levels (5% of GNI), with the Trump Administration terminating USD 561.8 million in humanitarian assistance. This represents a fundamental macroeconomic shock that undermines project viability by reducing overall economic resources, donor financing, and government capacity to co-finance or sustain project activities.",0.95,P178280,9c8af2b6,Implementation Status and Results Report
AFG-2026-04,Catastrophic Food Insecurity and Malnutrition Crisis,"The persistent high macroeconomic risk is substantively connected to the food insecurity crisis. With 17.4 million people facing crisis-level food insecurity and over one-third of the population affected, household purchasing power and economic participation have collapsed. This directly constrains beneficiary ability to participate in projects requiring cost-sharing, labor contributions, or economic engagement, while also reducing government revenue for public services and project co-financing.",0.92,P178280,9c8af2b6,Implementation Status and Results Report
AFG-2026-11,Afghanistan-Pakistan Conflict Trade Disruption and Economic Spillover,"The macroeconomic risk is directly amplified by trade disruption from the Pakistan-Afghanistan conflict. The Torkham border closure alone cost USD 90 million to the private sector, and broader trade suspension since October 2025 has further contracted an economy already down 20% since 2021. This conflict-driven economic contraction directly undermines project implementation viability by reducing private sector activity, government revenue, and overall economic dynamism needed to absorb project investments.",0.9,P178280,9c8af2b6,Implementation Status and Results Report
AFG-2026-05,Mass Returnee Crisis Overwhelming Absorptive Capacity,"The macroeconomic risk is compounded by the mass returnee crisis, with 5 million returnees over two years and 90% surviving on less than USD 5 per day. This represents both a demand shock (straining housing, services, and infrastructure) and a supply shock (adding unemployed labor to an already contracted economy). The absorptive capacity crisis directly undermines project viability by overwhelming local markets, reducing employment opportunities, and straining the economic base needed to sustain project benefits.",0.88,P178280,9c8af2b6,Implementation Status and Results Report
AFG-2026-01,Afghanistan-Pakistan Armed Conflict and Cross-Border Escalation,"The macroeconomic risk reflects broader security deterioration from the Pakistan-Afghanistan conflict. Beyond direct trade disruption, the conflict has displaced over 115,000 people, damaged civilian infrastructure including medical facilities, and diverted Taliban resources to military operations. This security-driven economic contraction reduces government capacity for development spending, disrupts supply chains, and creates geographic zones where project implementation becomes operationally unfeasible.",0.85,P178280,9c8af2b6,Implementation Status and Results Report
AFG-2026-09,Taliban Governance Fragility and Political Isolation,"The project's persistent high political and governance risk rating directly reflects the Taliban governance fragility documented in AFG-2026-09. The BTI 2026 assessment of declining institutional capacity, lack of professionalism, shortage of funds for state functions, and Taliban resistance to international oversight (dismissing UNAMA as a 'failure') creates the exact political instability constraining project implementation capacity and delivery.",0.95,P178758,fc574236,Implementation Status and Results Report
AFG-2026-10,Friction Between Taliban and UN/Development Actors Over Operational Access,"The project's implementation constraints are directly connected to Taliban restrictions on UN and development actor operations documented in AFG-2026-10. The Taliban ban on women staff entering UN compounds since September 2025, the shortened UNAMA mandate renewal reflecting uncertainty about operational capacity, and geopolitical divisions complicating international engagement all create the governance friction that manifests as high implementation risk for development projects.",0.92,P178758,fc574236,Implementation Status and Results Report
AFG-2026-06,Collapse of Humanitarian Funding Due to U.S. and Donor Aid Cuts,"The persistent high governance risk rating reflects the institutional fragility created by the collapse of humanitarian funding documented in AFG-2026-06. The loss of approximately USD 859 million in ODA in 2026, elimination of SIGAR oversight, and forced UN reprioritization from 16.8 million to 12.5 million people assisted directly undermine the governance capacity and institutional resources needed for project implementation.",0.88,P178758,fc574236,Implementation Status and Results Report
