related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
GIN-001,Mass Dissolution of Political Parties Consolidates Authoritarian Rule,"Project governance arrangements depend on institutional coordination through the Ministry of Energy, Hydraulics and Hydrocarbons (MEHH) and the Project Steering Committee. The dissolution of political parties and consolidation of authoritarian rule could undermine the political space for sector dialogue and reform advocacy that the project relies upon for performance-based conditions and governance improvements.",0.75,P511453,"The PAD identifies 'Political and Governance (high)' risk, noting that 'Guinea under transitional administration since September 2021 military coup' and that 'Political transition could create uncertainty and delays in decision-making.' The project's mitigation strategy explicitly includes 'continued high-level policy dialogue' and 'reinforced sector dialogue' to manage governance risks. The PAD also notes that 'previous governance disruptions affected EDG management and sector coordination.' Component 3 includes performance-based conditions (PBCs) totaling US$60.0 million linked to 'governance reforms,' which depend on a functioning political and institutional environment for dialogue and reform implementation."
GIN-002,Security Force Violence Against Protesters and Protest Ban Fuel Social Tension,"Project implementation in peri-urban Conakry and rural areas could be disrupted by renewed protest and violent crackdowns, particularly if project-related activities (land acquisition, resettlement, tariff increases, connection regularization) trigger community grievances. The PAD identifies substantial environmental and social risks including land acquisition and economic displacement, and notes that 'community acceptance of smart metering and tariff increases' is a stakeholder risk. In a context of protest bans and security force violence, grievance expression and community engagement could be severely constrained.",0.7,P511453,"The PAD identifies 'Stakeholders (moderate)' risk, noting 'Need for effective stakeholder engagement, particularly for connection regularization and mini-grid deployment. Community acceptance of smart metering and tariff increases.' The project targets 'Conakry (peri-urban areas)' and '26 rural localities' for implementation. The PAD also identifies 'Environmental and Social (substantial)' risks including 'land acquisition and economic displacement' and notes that 'Previous GNEAP-1 had Moderately Unsatisfactory/Unsatisfactory E&S rating due to RAP implementation delays and compensation challenges.' The project budgets US$5.5 million for 'Resettlement Action Plan (RAP) compensation and payments,' indicating anticipated displacement. In a context where protests are banned and security forces have used lethal force against protesters, community grievances related to resettlement or tariff increases could escalate into confrontation."
GIN-003,Enforced Disappearances and Targeted Abductions Create Climate of Terror,"The climate of terror created by enforced disappearances and targeted abductions of civil society leaders, activists, and journalists could deter community participation in project stakeholder engagement, grievance mechanisms, and monitoring activities. Project staff, particularly those engaged in community engagement and grievance redress, could face intimidation or threats, affecting implementation quality and beneficiary trust in project institutions.",0.65,P511453,"The PAD establishes a 'National Grievance Redress Mechanism (GRM) housed within ANAFIC' and 'Project-level grievance mechanisms' to allow 'submission of complaints regarding resettlement, compensation, construction disturbances, connection eligibility, or mini-grid operations.' The PAD also identifies 'Stakeholder Engagement Plan with dedicated strategies for vulnerable groups' and 'periodic satisfaction surveys and iterative consultations.' These mechanisms depend on community members feeling safe to voice concerns and grievances. The PAD notes that the project will involve 'deployment of out-of-area workers in peri-urban and rural areas' and identifies 'Gender-Based Violence (moderate)' risk, suggesting awareness of security and safety concerns for project participants. In a context of enforced disappearances targeting civil society leaders and activists, community members may fear retaliation for engaging with project grievance mechanisms or participating in consultations."
GIN-004,Media Suppression and Press Freedom Deterioration Undermine Information Space,"Project implementation depends on transparent information dissemination to beneficiaries regarding connection procedures, tariff structures, smart metering, and mini-grid operations. Media suppression and the closure of six private media outlets limits the project's ability to conduct public awareness campaigns and reach communities with accurate information about project benefits and procedures. This could undermine community acceptance and increase misinformation about tariff increases and connection regularization.",0.68,P511453,"The PAD identifies 'Stakeholders (moderate)' risk and includes mitigation through 'public awareness campaigns on safe and legal electricity use' and 'community engagement on benefits of formal connections.' The project also targets 'Informal/illegal electricity users (to be regularized with pre-paid meters)' and notes that 'Community acceptance of smart metering and tariff increases' is a key stakeholder concern. The PAD states that the project will conduct 'periodic satisfaction surveys and iterative consultations' to support implementation. In a context where six major private media outlets have been banned and the media regulator aligns with authorities, the project's ability to conduct effective public awareness campaigns and reach communities with transparent information about tariff reforms and connection procedures is significantly constrained."
GIN-005,Flawed Electoral Transition and Upcoming Legislative Elections Raise Legitimacy Risk,"The flawed electoral transition and upcoming legislative elections (May 24, 2026) create political uncertainty that could affect the stability of sector governance arrangements and the government's commitment to energy sector reforms. The dissolution of opposition parties and absence of meaningful electoral competition undermine the legitimacy of government institutions, potentially affecting community trust in government-led initiatives like the electricity access project and the tariff reforms it depends upon.",0.7,P511453,"The PAD identifies 'Political and Governance (high)' risk and notes that 'Constitutional referendum scheduled for September 2025, followed by elections in December 2025. Political transition could create uncertainty and delays in decision-making.' The project's mitigation strategy includes 'continued high-level policy dialogue' and 'establishment of clearer accountability frameworks through performance contracts.' Component 3 includes performance-based conditions linked to 'electricity sector modeling and tariff reform,' which depend on government commitment to reform. The PAD also notes that 'previous governance disruptions affected EDG management and sector coordination,' suggesting that political instability has previously disrupted sector implementation. In a context where the upcoming legislative elections lack meaningful opposition competition and legitimacy is questioned, government commitment to unpopular tariff reforms and sector governance improvements may weaken."
GIN-008,Chronic Food Insecurity and Malnutrition Crisis Among Vulnerable Populations,"The project targets vulnerable populations including 'Low-income households (targeted for subsidized connections and lifeline tariffs)' and 'Rural populations (targeted for mini-grid electrification).' In a context of chronic food insecurity affecting over 21.8% of households and 6.1% of children under five suffering global acute malnutrition, project implementation could be disrupted by beneficiary inability to afford even subsidized connections, or by labor shortages in construction and mini-grid operations due to malnutrition-related health impacts. Community participation in project activities and grievance mechanisms could be undermined by competing survival priorities.",0.62,P511453,"The PAD identifies 'Macroeconomic (moderate)' risk, noting that 'Guinea's economy faces challenges including rising poverty rate (51.4% in 2023)' and that the project targets 'Approximately 1.53 million people (218,585 households and 10,694 SMEs/businesses), including 960,022 people gaining new access to electricity.' The project includes 'viability gap subsidies (60-80%) to ensure affordability' for mini-grid connections and 'lifeline tariffs' for low-income households. The PAD also notes that the project will involve 'deployment of out-of-area workers in peri-urban and rural areas,' suggesting reliance on labor availability. In a context where over 21.8% of households experience food insecurity and more than half the population lives in poverty, beneficiaries may struggle to afford even subsidized connections, and labor availability for construction and operations could be constrained by health impacts of malnutrition."
GIN-009,Intercommunal and Ethnic Tensions Exacerbated by Political Exclusion,"The project's implementation in multiple regions (Kindia, Labé, Mamou, Pita, Dalaba, Conakry, Faranah, Boke, Kissidougou, N'zerekore, Kankan) could be affected by intercommunal and ethnic tensions if project benefits are perceived as unevenly distributed across ethnic lines. The dissolution of ethnically-based opposition parties and exclusion of opposition leaders from elections could translate political grievances into community-level friction that affects project implementation, particularly in areas with strong ethnic identities (e.g., Fulani-majority Labé and Pita regions).",0.6,P511453,"The PAD identifies project locations across multiple regions including 'Labé, Mamou, Pita, Dalaba' (regions with significant Fulani populations) and notes that the project targets '26 rural localities' across 'Faranah, Boke, Kissidougou, N'zerekore, Kankan regions.' The PAD identifies 'Stakeholders (moderate)' risk and includes mitigation through 'Stakeholder Engagement Plan with dedicated strategies for vulnerable groups' and 'periodic satisfaction surveys and iterative consultations.' The project also identifies 'Gender-Based Violence (moderate)' risk and includes 'gender policy development and implementation,' suggesting awareness of social tensions. However, the PAD does not explicitly address ethnic or intercommunal dimensions of stakeholder engagement. In a context where the dissolution of ethnically-based opposition parties has eliminated institutional channels for managing ethnic cleavages, project implementation across ethnically diverse regions could be affected if benefits are perceived as unevenly distributed."
GIN-010,Development Partner Tensions: Governance Conditionalities vs. Mining Engagement,"The project's performance-based conditions (PBCs) linked to governance reforms and tariff restructuring could create friction between the World Bank and the Doumbouya government, particularly if the government prioritizes alignment with Chinese and Russian investors (who operate without political conditions) over World Bank governance conditionalities. This could affect the government's commitment to implementing the reforms that the project depends upon, or could lead to political pressure on the World Bank to relax conditionalities.",0.68,P511453,"The PAD identifies 'Political and Governance (high)' risk and notes that 'previous governance disruptions affected EDG management and sector coordination.' Component 3 includes 'four Performance-Based Conditions (PBCs) totaling US$60.0 million' linked to 'electricity sector modeling and tariff reform' and 'performance-based utility management.' The PAD's mitigation strategy includes 'performance-based conditions linked to governance reforms' and 'continued high-level policy dialogue.' The PAD also notes that the project is 'aligned with mining sector development (Simandou, Alteo),' indicating awareness of the mining sector's importance to the government. The PAD identifies 'Sector Strategies and Policies (substantial)' risk, noting 'Ongoing political transition has disrupted energy sector governance.' In a context where the government is increasingly aligned with Chinese and Russian investors and has consolidated authoritarian rule, the government may resist World Bank governance conditionalities or may deprioritize energy sector reforms in favor of mining-related priorities."
GIN-001,Mass Dissolution of Political Parties Consolidates Authoritarian Rule,"The project's governance coordination structure and implementation depend on stable institutional arrangements that may be disrupted by ongoing political consolidation. The dissolution of opposition parties and elimination of institutional channels for political representation creates uncertainty about the legitimacy and stability of government counterparts (Ministry of Economy and Finance, Ministry of Territorial Administration) who chair project steering committees and make critical decisions about emergency response activation and resource allocation.",0.75,P509503,"The PAD identifies 'Political and Governance (high)' risk, noting 'Political transition with all political demonstrations banned since May 2022. Political unrest and protests may continue.' The project's governance structure relies on a Project Steering Committee chaired by the Ministry of Economy and Finance and a Permanent Inter-Agency Strategic Committee co-chaired by the Minister of Territorial Administration. The PAD acknowledges 'Governance weaknesses including lack of capacity, administrative bottlenecks, delays, corruption risks, and institutional overlaps may hamper CERP implementation.' The PAD also notes 'Uncertainty about election deadline in October 2025' (now superseded by March 2026 party dissolutions and May 2026 legislative elections). The mitigation strategy relies on 'Flexible and responsive WBG posture with close dialogue with authorities,' but does not address risks from fundamental shifts in political legitimacy or institutional capture."
GIN-002,Security Force Violence Against Protesters and Protest Ban Fuel Social Tension,"The project's emergency response operations, particularly cash transfers and supply distribution targeting 500,000 people across all regions, depend on secure access to beneficiaries and staff safety. Renewed protest and violent crackdowns—especially in Conakry (identified as priority location)—could disrupt implementation, prevent staff deployment, compromise beneficiary identification and verification processes, and create security risks for project personnel and implementing partners. The project's reliance on community-based organizations and civil society for citizen engagement may be constrained by the security environment.",0.72,P509503,"The PAD explicitly identifies 'Political and Governance (high)' risk, stating 'Opposition demonstrations have turned violent with civilian deaths.' It notes the project operates in 'Conakry (priority as economy and port hub)' and acknowledges 'Risk of political unrest and violence.' The project design includes 'Community-based organizations and civil society encouraged for response' and establishes a 'Grievance Redress Mechanism,' but these mechanisms may be constrained if civil society space continues to narrow due to security force violence. The PAD's mitigation strategy does not address operational contingencies for staff safety or beneficiary access during periods of active protest and violent crackdown."
