risk_id,title,summary,themes,keywords,locations,severity,time_horizon
AFG-2026-001,Pakistan-Afghanistan Open Military Conflict and Cross-Border Escalation,"Sporadic cross-border clashes between Taliban and Pakistani forces escalated in February 2026 into open war, ending a shaky October 2025 ceasefire, per Pakistan's defense minister (CRS Report, March 2026). Pakistan struck Taliban military facilities in Kabul, Kandahar, and Paktia province on February 27 in the most direct military confrontation between the two governments to date (CFR Global Conflict Tracker, April 2026). By mid-March 2026, OHCHR-cited UN experts reported at least 289 civilian casualties in Afghanistan including 76 killed, over 115,000 displaced, and widespread damage to civilian infrastructure including medical facilities, homes, and markets (OHCHR, March 2026). As of late April 2026, cross-border hostilities continued at lower intensity primarily confined to border provinces, with a fragile China-mediated ceasefire in place but further incidents still being reported (OCHA Afghanistan, May 2026; Al Jazeera, April 2026).","['security', 'displacement', 'humanitarian']","['Pakistan', 'Taliban', 'cross-border conflict', 'airstrikes', 'TTP', 'ceasefire', 'civilian casualties', 'Durand Line']","['Kunar province', 'Nangarhar province', 'Paktika province', 'Kabul', 'Kandahar', 'Khost province', 'Paktia province', 'Spin Boldak']",high,current
AFG-2026-002,ISKP Resurgence Exploiting Security Vacuum from Pakistan-Taliban Conflict,"The escalating conflict between Pakistan and the Afghan Taliban has created significant openings for ISKP, which is exploiting resulting security gaps in eastern Afghanistan to expand its operational presence, including planning attacks, moving fighters, and smuggling weapons (HSToday, March 2026). In January 2026, ISKP claimed a suicide attack on a Chinese restaurant in Kabul that killed at least seven people including a Chinese national, and in February 2026 claimed a bombing at a Shia mosque in Islamabad that killed 36 and wounded approximately 170, directly triggering the Pakistan-Afghanistan military escalation (Al Jazeera, January 2026; HSToday, March 2026). A UN Sanctions Monitoring Team report confirmed that ISKP is resilient and continues to pose a threat both internally in Afghanistan and externally, with frequent claimed attacks and growing propaganda and recruitment capacity (The Soufan Center, December 2025). Taliban counterterrorism operations against ISKP risk being deprioritized as Taliban security forces are drawn into border conflict with Pakistan.","['security', 'governance']","['ISKP', 'ISIS-K', 'terrorism', 'suicide bombing', 'Chinese nationals', 'Kabul', 'eastern Afghanistan', 'counterterrorism']","['Kabul', 'Nangarhar province', 'eastern Afghanistan']",high,current
AFG-2026-003,Taliban Internal Fractures: Kandahar-Haqqani Network Rift,"Deep fractures inside the Taliban leadership between Supreme Leader Hibatullah Akhundzada's Kandahar faction and the Kabul-based Haqqani Network threaten regime stability entering 2026 (Military.com, January 2026). The December 2024 ISKP assassination of senior Taliban minister Khalil Haqqani within a heavily fortified government facility exposed internal security vulnerabilities and potential complicity, raising doubts about the Taliban's ability to maintain cohesion (ORF Online, March 2025). A UN Sanctions Monitoring Team report described rifts between Akhundzada's Kandahar base and the Haqqani Network including on girls' education, while noting the Taliban leadership has so far managed these disagreements and remained obedient to Akhundzada (Security Council Report, February 2026). The absence of Interior Minister Sirajuddin Haqqani from Afghanistan and deployment of Kandahar loyalists to key Kabul strategic locations including Bala Hissar fortress and Kabul International Airport signal deepening intra-Taliban contestation (Amu TV, early 2025).","['governance', 'political', 'security']","['Taliban leadership', 'Haqqani network', 'Akhundzada', 'internal divisions', 'Kandahar faction', 'political fragility', 'Sirajuddin Haqqani']","['Kabul', 'Kandahar']",medium,0-3m
AFG-2026-004,Systematic Gender Apartheid and Codification of Repression via New Criminal Regulation,"On January 7, 2026, the Taliban emir issued the Criminal Procedural Regulations for Courts, which Amnesty International assessed as further entrenching violence and discrimination against women and minority groups, including provisions that normalize domestic violence, restrict women's freedom of movement, recognize slavery, and prescribe corporal punishment (Amnesty International, March 2026). Since September 2025, Taliban security forces have prohibited Afghan women including UN staff from entering UN offices and compounds, severely curtailing the UN's ability to operate in the country as of late January 2026 (OHCHR, March 2026). The UN Special Rapporteur on Afghanistan warned that Taliban policies are systematically restricting women's access to healthcare and that a ban on women's medical education since 2024 is creating a pipeline collapse in health professionals that could amount to femicide (OHCHR, February 2026). UN Human Rights chief Volker Turk stated that the cascade of edicts and laws is having a crushing impact on the Afghan people, particularly women and girls, with conditions described as gender apartheid (OHCHR, March 2026).","['governance', 'social', 'humanitarian']","['gender apartheid', ""women's rights"", 'Taliban decree', 'criminal regulation', 'UN access', 'female education ban', 'healthcare', 'human rights']",['nationwide'],high,current
AFG-2026-005,Catastrophic Humanitarian Funding Collapse Following US and Donor Aid Cuts,"As of mid-2025, the Trump Administration terminated all foreign assistance awards with activities in Afghanistan, per the Special Inspector General for Afghanistan Reconstruction (SIGAR), which itself terminated in January 2026 (CRS Report, March 2026). Afghanistan is projected to lose the equivalent of approximately 5 percent of GNI in ODA cuts in 2026, with an estimated nominal shortfall of USD 859 million versus 2023 levels, making it among the three hardest-hit countries globally (Center for Global Development, 2025). The UN and partners issued a USD 1.71 billion Humanitarian Needs and Response Plan for 2026 to assist 17.5 million people, yet by early March 2026 only approximately 10 percent of this budget had been secured (Global Research, April 2026). Funding cuts have forced the closure of at least 305 nutrition sites and are projected to result in approximately 1,200 additional maternal deaths and 109,000 unintended pregnancies between 2025 and 2028, per earlier UNFPA projections (Refugees International, January 2026).","['humanitarian', 'economy', 'health']","['US aid cuts', 'USAID', 'ODA reduction', 'funding gap', 'humanitarian response', 'World Bank', 'nutrition', 'maternal mortality']",['nationwide'],high,current
AFG-2026-006,Mass Cross-Border Returnee Crisis Overwhelming Absorption Capacity,"Afghanistan is facing one of the world's largest and fastest-growing returnee-related displacement crises, with roughly 5 million people equivalent to 10 percent of the total population returning over the past two years as of December 2025 (IOM Crisis Response Plan 2026, March 2026). In 2025 alone, an estimated 2.78 million Afghans returned, the majority from Iran (1.88 million) and Pakistan (899,000), driven by deportations and tightening migration restrictions (OCHA, December 2025). Large-scale returns are compounding existing internal displacement and placing extraordinary pressure on housing, land, water, education, health services, and labour markets particularly in eastern and southern regions (OCHA, 2026). The Pakistan-Afghanistan border closure since October 2025 and escalating Iran-linked instability are generating new waves of returnees into an already overwhelmed system, with UNHCR projecting over 570,000 Afghans will need resettlement in 2026 (UNHCR, 2026; ACAPS, March 2026).","['displacement', 'humanitarian', 'economy']","['returnees', 'deportations', 'Iran', 'Pakistan', 'IDP', 'UNHCR', 'IOM', 'absorption capacity', 'cross-border returns']","['eastern Afghanistan', 'southern Afghanistan', 'Nangarhar province', 'Nimroz province', 'nationwide']",high,current
AFG-2026-007,Acute Food Insecurity and Child Malnutrition Crisis,"During the 2025-2026 lean season, an estimated 17.4 million people - more than one-third of the population - are projected to face crisis or worse food insecurity (IPC Phase 3+), including 4.7 million experiencing emergency (IPC Phase 4) levels, representing emergency hunger levels rising by more than 50 percent compared to the previous year (OCHA, December 2025). At least 3.7 million children under five are projected to suffer from acute malnutrition in 2026, including 942,000 with severe acute malnutrition, and 1.2 million pregnant and breastfeeding women are also expected to be acutely malnourished (OCHA, 2026). The ongoing drought's impact on food production combined with communicable disease outbreaks are directly driving a worsening nutrition crisis entering its sixth consecutive drought-like year in many regions (IOM, 2026). The Taliban's crackdown on opium production - cutting production by 80 percent - has deprived many Afghan communities of revenue needed to purchase food (CFR, 2026).","['humanitarian', 'health', 'economy']","['food insecurity', 'IPC Phase 4', 'malnutrition', 'acute malnutrition', 'drought', 'WFP', 'lean season', 'opium ban']",['nationwide'],high,current
AFG-2026-008,Recurrent Climate Shocks: Flooding and Earthquake Compounding Fragility,"Between March 25 and April 6, 2026, severe flooding affected over 73,300 people across 165 districts in 31 of Afghanistan's 34 provinces, damaging thousands of homes, critical roads and bridges, and agricultural land; a simultaneous 5.9-magnitude earthquake struck Badakhshan province on April 5, killing at least 14 people in Kabul alone (OCHA Flash Update, April 2026). New flooding incidents were reported on May 1 in Baghlan, Badakhshan, and Takhar provinces, with OCHA reporting that 56,900 people have been confirmed in need of assistance and approximately 7,500 homes damaged in this new wave (OCHA via Hasht-e Subh, May 5, 2026). UN-Habitat reported that an estimated 4.2 million people will need emergency shelter and non-food items in 2026, with recent flash floods significantly worsening this need and 61 health centers affected in five provinces (KabulNow, April 2026). Afghanistan is experiencing a sixth consecutive year of drought-like conditions while simultaneously being struck by climate-driven floods, reflecting the paradox of simultaneous water scarcity and flash flooding driven by climate change (IOM, 2026).","['environment', 'humanitarian', 'displacement']","['floods', 'earthquake', 'climate shocks', 'Badakhshan', 'Baghlan', 'Takhar', 'shelter', 'disaster response', 'drought']","['Baghlan province', 'Badakhshan province', 'Takhar province', 'Nangarhar province', 'Kandahar province', 'Zabul province', 'nationwide']",high,current
AFG-2026-009,Taliban Restrictions Blocking Humanitarian Operations and UN Staff Access,"Since September 2025, Taliban de facto authorities have prohibited Afghan women including UN staff and contractors from entering UN offices and compounds across the country, with the ban remaining in force as of late January 2026, severely curtailing the UN's ability to operate (OHCHR, March 2026). IOM reported that bureaucratic obstacles, threats, and intimidation of humanitarian workers as well as restrictions on female humanitarian staff have significantly increased, hindering the delivery of critical assistance (IOM Crisis Response Plan 2026). The closure of the Pakistan-Afghanistan border since October 2025 has severely affected humanitarian operations, delaying 5,500 tonnes of UN cargo valued at USD 25 million including food and medical supplies (ACAPS, March 2026). UNAMA's Deputy Head of Mission told the UN Security Council in March 2026 that Afghanistan's continued alienation from the international system remains the central issue, as isolation prevents progress on economic issues, security cooperation, counter-terrorism, and human rights (UN Security Council, March 2026).","['humanitarian', 'governance', 'social']","['UN access', 'female staff ban', 'humanitarian operations', 'UNAMA', 'border closure', 'aid delivery', 'Taliban restrictions', 'IOM']","['nationwide', 'Kabul']",high,current
AFG-2026-010,"Economic Stagnation, Frozen Assets, and Aid Dependency Collapse","Afghanistan is still struggling to recover from the seizure of USD 9.5 billion of Central Bank assets by the United States and the European Union, with the asset freeze alongside reductions in foreign aid and international banking limitations strangling the economy (The New Humanitarian, January 2026). Foreign aid declined in 2024 by the equivalent of USD 600 million or 4.23 percent of GDP per the World Bank Afghanistan Development Update published April 2025; the Taliban government spent approximately 60 percent of its operating expenditure on security services and only 1 percent on health, leaving basic services entirely donor-dependent (Afghanistan Analysts Network, May 2025). The World Bank warned of increased downside risks due to aid cuts and predicted only baseline growth of about 2.5 percent as insufficient to improve per capita incomes in a context of surging population and deep structural poverty (ICG, November 2025). Remittances of USD 3.5 billion in 2024 represent the largest buffer against aid shocks but are themselves vulnerable to regional instability and trade route disruptions caused by simultaneous border closures with Pakistan and Iran (ICG, November 2025).","['economy', 'governance', 'humanitarian']","['frozen assets', 'aid cuts', 'economic stagnation', 'World Bank', 'remittances', 'fiscal pressure', 'poverty', 'banking restrictions']",['nationwide'],high,current
