risk_id,title,summary,themes,keywords,severity,time_horizon
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"The briefing describes a shift from peripheral military confrontation to sectarian violence in the capital, raising risks of internal division and weakened social cohesion. Violence between Issa and Afar communities reportedly included coordinated attacks on Afar neighborhoods and the burning of hundreds of homes.","['security', 'social']","['sectarian violence', 'Djibouti City', 'Issa', 'Afar', 'social cohesion', 'burned homes']",high,current
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,The April 2026 elections are flagged as a risk factor that could compound fragility during a period described as unprecedented domestic instability. The briefing also notes risks of transnational spillover alongside the electoral period.,"['political', 'security']","['April 2026 elections', 'fragility', 'domestic instability', 'spillover', 'political tensions']",high,0-3m
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"In October 2025, Djibouti adopted a constitutional revision removing the presidential age limit, clearing the way for President Ismail Omar Guelleh (in power since 1999) to seek a sixth term in 2026. The revision also tightened presidential eligibility requirements and removed the referendum requirement for constitutional adoption, contributing to socio-political instability concerns cited in the briefing.","['political', 'governance']","['constitutional revision', 'age limit removed', 'sixth term', 'eligibility requirements', 'no referendum', 'Guelleh']",high,current
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Although Djibouti is formally multiparty, the ruling Union for a Presidential Majority is described as using authoritarian means to maintain dominance. The briefing states opposition activity is severely constrained and that journalists and activists are regularly harassed or arrested, which can intensify political tensions and social unrest.","['governance', 'political']","['authoritarian means', 'opposition constrained', 'journalists harassed', 'activists arrested', 'Union for a Presidential Majority']",high,current
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The briefing notes persistent erosion of democratic institutions and a weak political foundation from which Djibouti will eventually be forced to manage succession. This is described as heightening transition risks, with public expectations influenced by socio-economic pressures and concerns about inevitable succession, particularly among younger citizens.","['political', 'governance']","['succession', 'transition risks', 'erosion of institutions', 'public expectations', 'youth', 'socio-economic pressures']",high,3-12m
DJI_R6,Insurgent activity by FRUD-armé threatens security forces and territorial stability,"In October 2024, FRUD-armé carried out its first attack since January 2021 on an army post in Tadjourah, killing seven soldiers, and the National Assembly later classified the group as terrorist. The briefing also reports FRUD-armé seized more than a dozen military posts in Tadjoura, Obock, and Dikhil districts, indicating a serious escalation in conflict dynamics.",['security'],"['FRUD-armé', 'Tadjourah', 'army post attack', 'seven soldiers killed', 'terrorist classification', 'seized military posts']",high,current
DJI_R7,Afar grievance and mobilization risk deepening conflict and marginalization dynamics,"An Afar armed group is described as seeking to dismantle the ""entrenched dictatorship"" of President Guelleh. The briefing also states the Afar community comprises approximately 80% of the country’s land area but has been historically marginalized, a combination that can intensify armed mobilization and communal tensions.","['security', 'social']","['Afar armed group', 'marginalization', 'entrenched dictatorship', 'Guelleh', 'communal tensions', 'mobilization']",high,current
DJI_R8,Terrorism and regional conflict exposure linked to al-Shabaab and external deployments,"The briefing notes al-Shabaab has conducted attacks in Djibouti as a neighboring country. Djibouti also maintains 1,800 troops in Somalia as part of the African Union peace force against al-Shabaab, plus a separate 300-strong unit securing Somalia’s president, reflecting continued exposure to regional conflict dynamics.",['security'],"['al-Shabaab', 'attacks in Djibouti', 'troops in Somalia', 'African Union peace force', '1,800 troops', '300-strong unit']",high,current
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"As of April 2025, Djibouti hosts about 33,360 refugees and asylum seekers—over 3% of its population—primarily from Somalia, Ethiopia, and Yemen. The briefing highlights that this takes place despite recurrent droughts and limited resources, which may strain services even as the country maintains an open-door policy and includes refugees in national systems like education and health care.","['humanitarian', 'displacement']","['33,360 refugees', 'over 3% population', 'droughts', 'limited resources', 'open-door policy', 'education and health inclusion']",medium,current
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The briefing indicates that collaboration between development actors and the government remains functional on refugee response, including capacity support. However, it also warns that political constraints on civil society and democratic space risk limiting broader engagement on governance and stabilization priorities.","['governance', 'political']","['civil society constraints', 'democratic space', 'development actors', 'refugee response functional', 'governance engagement', 'stabilization priorities']",medium,current
