risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Congressional Ratification Delay Blocking Project Effectiveness,"The DPF operation is currently awaiting Congressional ratification to be declared effective, creating a governance-related implementation bottleneck. This reflects potential political fragility in the legislative process that could delay or prevent the project from becoming effective.",high,persistent,It is currently awaiting Congressional ratification to be declared effective.,c60db210,P179909,Implementation Status and Results Report,2025-10-15T17:15:12.000Z
Political and Governance Risk Elevation in Stakeholder Assessment,"The Stakeholder risk category has been upgraded from Moderate to Substantial in the current ISR, indicating emerging tensions or political sensitivities affecting stakeholder engagement and project support.",high,worsening,Stakeholders Moderate Moderate Substantial,d740538b,P179909,Implementation Status and Results Report,2025-10-15T17:15:12.000Z
Political and Governance Instability Affecting Project Implementation,The project faces substantial political and governance risks in Honduras that could impede implementation of road corridor rehabilitation and institutional strengthening activities.,high,persistent,Political and Governance Substantial [Risk Rating at Approval],95fd5bc2,P507958,Implementation Status and Results Report,2025-10-14T23:15:12.000Z
Institutional Capacity Constraints in Fragile Governance Context,"Substantial institutional capacity risks are present for implementation and sustainability, likely reflecting governance fragility in Honduras that affects the Borrower's ability to execute project activities and maintain road assets.",high,persistent,Institutional Capacity for Implementation and Sustainability Substantial [Risk Rating at Approval],5d334ded,P507958,Implementation Status and Results Report,2025-10-14T23:15:12.000Z
Environment and Social Risks in Fragile Context,"Substantial environment and social risks are rated, which in an FCV context may include risks related to community tensions, displacement concerns, or social cohesion challenges along the corridor.",high,persistent,Environment and Social Substantial [Risk Rating at Approval],6ba2c930,P507958,Implementation Status and Results Report,2025-10-14T23:15:12.000Z
Land Clearance Delays Affecting Road Construction Timeline,"The international bidding process for CA-4–CA-13 corridor construction cannot commence until land clearance is secured, creating a potential implementation bottleneck. Land clearance in conflict-affected regions often involves displacement and resettlement complexities that could delay project execution.",medium,persistent,The international bidding process for construction works will commence once land clearance is secured.,e091bae1,P181166,Implementation Status and Results Report,2025-09-18T21:15:20.000Z
Resettlement Action Plan Implementation Delays,"The hiring of a consulting firm for Resettlement Action Plan implementation is scheduled for August 2026, well into the project timeline. Resettlement in Honduras' northwestern region may face community resistance or governance challenges that could impede timely implementation.",medium,persistent,"Following their completion, the consulting firm for the implementation of the Resettlement Action Plan is expected to be hired in August 2026.",19b84e83,P181166,Implementation Status and Results Report,2025-09-18T21:15:20.000Z
Political and Governance Fragility Affecting Implementation Capacity,"The project carries a 'Substantial' political and governance risk rating. Honduras faces documented governance fragility that could undermine institutional capacity for project execution, particularly given the need for coordination across multiple municipalities and government agencies.",high,persistent,Political and Governance [Risk Rating] Substantial,992a7860,P181166,Implementation Status and Results Report,2025-09-18T21:15:20.000Z
High Environmental and Social Risk Profile,"The project is rated 'High' for environment and social risks, which in Honduras' context may reflect tensions over land use, indigenous rights, or community displacement related to road construction and landscape management activities in the northwestern region.",high,persistent,Environment and Social [Risk Rating] High,30799bd3,P181166,Implementation Status and Results Report,2025-09-18T21:15:20.000Z
Political instability disrupting cash transfer payments,"Presidential elections in late 2021 caused a pause in cash transfer payments, demonstrating vulnerability of project implementation to political transitions and institutional instability.",high,persistent,"Following a pause in cash transfers payments after the presidential elections in late 2021 and the institutional reform of the social protection system approved in 2022, payments in rural areas resumed in December 2022",10bb8be1,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Institutional fragility affecting program continuity,Multiple restructurings and changes in implementing entity (to Program Red Solidaria created in 2022) indicate institutional instability. Suspension of urban cash transfers since 2022 and inconsistent payment of education cash transfers reflect governance challenges.,high,persistent,"The Project was restructured on April 5, 2023, to change the implementing entity to Program Red Solidaria, an institution created in 2022 to implement social programs for the reduction of poverty.",2cd03d04,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Governance delays in policy approval affecting implementation,"Social Protection Policy remains in draft and under presidential/ministerial review due to complex institutional clearances, blocking key project deliverables and indicating governance fragility.",medium,persistent,"Due to complex institutional clearances, amidst the upcoming elections, the Policy is still in draft and under the ministry's and presidency's review.",96f5e82c,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Inconsistent program implementation affecting vulnerable populations,"Climate emergency exception allowing all rural households to receive transfers in 2022-2023 was not extended in 2024, reverting to selective targeting. Urban cash transfers suspended since 2022 with no resumption timeline, leaving urban beneficiaries without support.",high,worsening,"In 2022 and 2023, an exception was introduced in response to a climate emergency, allowing all rural households in targeted municipalities registered in SIRBHO to receive cash transfers. However, in 2024, this exception was not extended, and the cash transfers reverted to being paid only to those households selected by the current targeting method in SIRBHO.",5efd929a,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Suspension of education cash transfers undermining program objectives,"No education cash transfers provided during 2024, directly undermining school retention outcomes for CCT beneficiary children and indicating program fragmentation due to institutional constraints.",medium,worsening,"However, no education cash transfers were provided during 2024, meaning families did not receive financial support for improving their children's education outcomes. As a result, the indicator is not expected to increase.",f7a888df,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Political and governance risk elevation,"Political and Governance risk rating increased from Substantial to High between approval and current ISR, indicating deteriorating political stability and governance conditions affecting project implementation.",high,worsening,Political and Governance Substantial High Substantial [Risk Category Rating at Approval vs Last Approved Rating],ef2fdcb3,P152057,Implementation Status and Results Report,2025-08-15T15:17:19.000Z
Coordination and Implementation Challenges with Multiple Government Actors,"Project implementation depends on coordination between multiple government entities (SESAL, municipalities, RNP) with varying institutional capacity and potential competing priorities. Weak coordination mechanisms could undermine project execution.",medium,unclear,"Los actores relevantes incluyen PRS, Secretaría de Salud (SESAL), Municipios, Registro Nacional de las Personas y patronatos o similares organizaciones de sociedad civil.",7268956c,P171362,Aide Memoire,2025-07-03T07:45:02.000Z
Dependence on Voluntary Community Leadership in Fragile Settings,"Project relies on volunteer leaders (voluntario líder) in communities to manage mothers' clubs and report data. In fragile contexts, volunteer availability and commitment may be affected by local instability or competing pressures.",medium,unclear,"el voluntario líder que estará a cargo de las sesiones grupales del club de madres y cuidadores en la comunidad, será responsable por garantizar la provisión de información al Comité técnico a través de una app telefónica",5d45349b,P171362,Aide Memoire,2025-07-03T07:45:02.000Z
