country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"The realized project risk of persistent high political and governance fragility directly reflects the constitutional crisis and electoral deadlock documented in SOM-2026-02. The collapse of high-level dialogue in February 2026, parliamentary scuffles over constitutional amendments, and disputes over electoral models create an unstable governance environment that undermines government capacity to sustain social protection systems and implement development projects.",0.92,P171346,65166f52,Implementation Status and Results Report
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"The high political and governance risk rating is substantively connected to federal-state fragmentation documented in SOM-2026-08. Puntland's suspension of cooperation with the federal government, Jubaland tensions, and disputes over power-sharing provisions directly impair the institutional coordination and state capacity required to implement and sustain social protection systems across fragmented administrative structures.",0.88,P171346,65166f52,Implementation Status and Results Report
SOM-2026-09,Media Freedom Suppression and Crackdown on Journalists,"The persistent high governance risk reflects institutional fragility evidenced by media suppression and journalist detention documented in SOM-2026-09. Restrictions on independent reporting, NISA interference in parliamentary coverage, and weaponization of penal code provisions indicate governance dysfunction and institutional weakness that constrains transparency and accountability mechanisms essential for effective project implementation.",0.79,P171346,65166f52,Implementation Status and Results Report
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"The electoral deadlock and constitutional crisis are directly undermining institutional governance capacity. The collapsed high-level dialogue in February 2026, parliamentary dysfunction (scuffles halting sessions), and political maneuvering around term extensions are fragmenting the institutional coherence needed to sustain social protection systems. A government consumed by electoral disputes and constitutional reform battles lacks the political bandwidth and institutional stability to maintain newly transitioned social protection operations independently.",0.85,P171346,36bcaae8,Implementation Status and Results Report
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"Federal-state fragmentation directly constrains institutional capacity for implementation. The suspension of Puntland cooperation with the federal government, Jubaland tensions, and unresolved power-sharing provisions in the provisional constitution create coordination failures that extend to social protection systems. Fragmented governance structures mean social protection programs cannot rely on coherent federal-state institutional frameworks for sustainability, particularly in peripheral areas where state legitimacy is already eroded.",0.8,P171346,36bcaae8,Implementation Status and Results Report
SOM-2026-03,AUSSOM Funding Crisis Threatening Peace Mission Viability,"The AUSSOM funding crisis reflects broader institutional resource constraints affecting all government operations, including social protection systems. The pattern of accumulated arrears, delayed stipends to personnel, and degraded logistical support demonstrates systemic institutional weakness in budget execution and financial management. These same institutional deficiencies will impede the government's ability to independently fund and sustain social protection operations after UN-led implementation ends.",0.75,P171346,36bcaae8,Implementation Status and Results Report
SOM-2026-05,Mass Internal Displacement Driven by Conflict and Climate Shocks,"Mass displacement (4.6 million affected, 141,900 evicted IDPs) overwhelms institutional capacity to deliver and sustain social protection services. The concentration of displacement in Banadir and other urban areas strains already-fragile local government institutions. High rates of forced evictions and the vulnerability of displaced populations (80% women and children) indicate that institutional systems lack the administrative capacity and resources to manage social protection delivery at scale, particularly for mobile and vulnerable populations.",0.78,P171346,36bcaae8,Implementation Status and Results Report
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"The transition to government implementation occurs amid severe political fragmentation and constitutional crisis. The collapse of high-level dialogue in February 2026, parliamentary dysfunction, and disputes over electoral models directly undermine institutional capacity and political stability required for effective government-led cash transfer systems. Newly established government systems lack the political consensus and institutional coherence needed for reliable implementation.",0.85,P171346,6cf63fd7,Implementation Status and Results Report
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"The transition to government implementation assumes functional federal-state coordination that does not exist. Puntland's suspension of cooperation with the federal government, Jubaland's resistance to Mogadishu authority, and ongoing center-periphery tensions mean newly established government systems lack the territorial reach and inter-state coordination necessary for consistent cash transfer delivery across fragmented administrative zones.",0.82,P171346,6cf63fd7,Implementation Status and Results Report
SOM-2026-03,AUSSOM Funding Crisis Threatening Peace Mission Viability,"The transition to government implementation coincides with severe funding constraints affecting the broader security and governance environment. AUSSOM's funding crisis and loss of logistical support directly impact the security environment in which newly established government systems must operate, particularly in areas where al-Shabaab presence requires sustained security provision for cash transfer operations.",0.78,P171346,6cf63fd7,Implementation Status and Results Report
SOM-2026-01,Al-Shabaab Resurgence: Territorial Gains and Threat to Mogadishu,"Al-Shabaab's territorial expansion and encirclement strategy directly threatens the operational environment for newly established government implementation systems. Retaken areas in Middle Shabelle, Lower Shabelle, and Hiraan are priority zones for humanitarian assistance, but government control and capacity to deliver cash transfers in these regions is severely compromised by militant presence and parallel governance structures.",0.8,P171346,6cf63fd7,Implementation Status and Results Report
