risk_id,title,summary,themes,keywords,locations,severity,time_horizon
AFG-2026-01,Afghanistan-Pakistan Armed Conflict and Cross-Border Escalation,"Sporadic cross-border clashes between Taliban and Pakistani forces escalated in February 2026 into what Pakistan's defense minister described as 'open war,' ending a shaky October 2025 ceasefire (Congressional Research Service, March 2026). Pakistani airstrikes struck Kabul, Kandahar, Nangarhar, and Paktika on February 22 and 27, with retaliatory Taliban operations along the Durand Line in Khost, Paktia, Nangarhar, and Kunar provinces capturing several Pakistani border posts (HSToday, March 2026). Since February 26, OHCHR documented at least 289 civilian casualties in Afghanistan including 76 killed, over 115,000 displaced, and damage to civilian infrastructure including medical facilities (OHCHR, March 2026). As of early April, Pakistan and Afghanistan were holding China-mediated preliminary ceasefire talks in Urumqi, but no agreement had been reached (Al Jazeera, April 2026).","['security', 'political', 'humanitarian']","['Pakistan-Afghanistan conflict', 'airstrikes', 'Durand Line', 'TTP', 'cross-border clashes', 'ceasefire', 'civilian casualties']","['Kabul', 'Kandahar', 'Nangarhar', 'Paktika', 'Khost', 'Paktia', 'Kunar', 'nationwide']",high,current
AFG-2026-02,ISKP Terrorist Activity and Exploitation of Security Vacuum,"ISKP conducted a high-profile suicide attack on a Chinese restaurant in Kabul on January 19, 2026, killing at least seven people including a Chinese national, and claimed the attack as retaliation for Chinese policies toward Uyghurs (Al Jazeera, January 2026). The group had also claimed a February 6 Islamabad mosque bombing that killed at least 36 people, directly triggering the Pakistan-Afghanistan military escalation (HSToday, March 2026). Analysts warn that the Taliban-Pakistan confrontation has created significant security gaps in eastern Afghanistan that ISKP is exploiting to expand its operational presence, move fighters, and smuggle weapons (HSToday, March 2026). A UN Sanctions Monitoring report assessed ISKP as 'resilient and continues to pose a threat, both internally in Afghanistan and externally,' with frequent attacks and growing propaganda activity (The Soufan Center, December 2025).","['security', 'political']","['ISKP', 'ISIS-K', 'terrorism', 'Kabul bombing', 'Chinese targets', 'jihadist', 'propaganda', 'eastern Afghanistan']","['Kabul', 'Nangarhar', 'eastern Afghanistan']",high,current
AFG-2026-03,Taliban Gender Apartheid Intensified by New Criminal Regulation,"On January 7, 2026, the Taliban's supreme leader issued the Criminal Procedural Regulations for Courts, a 119-article decree that Amnesty International said would 'further entrench violence and discrimination against women,' criminalizing domestic violence only when causing a broken bone, prescribing prison for women visiting family without permission, and formally recognizing slavery (Amnesty International, March 2026). Since September 2025, Taliban security forces have prohibited Afghan women including UN staff from entering UN offices and compounds; as of late January 2026 the ban remained in force, severely curtailing the UN's ability to operate (OHCHR, March 2026). In January 2026, women civil servants ordered to stay home since 2021 were formally terminated with 'minimal transparency, no due process, and no mitigation measures' (OHCHR, March 2026). UN Human Rights chief Volker Turk warned of a 'crushing impact' on Afghan people, and UN experts have called conditions potentially amounting to 'gender apartheid' under international law (OHCHR, March 2026).","['governance', 'social', 'humanitarian']","['Taliban', 'gender apartheid', ""women's rights"", 'Criminal Regulation', 'UN ban', 'education ban', 'gender-based violence', 'healthcare']",['nationwide'],high,current
AFG-2026-04,Catastrophic Food Insecurity and Malnutrition Crisis,"During the 2025-2026 lean season, an estimated 17.4 million people, more than one-third of the population, are projected to face crisis or worse food insecurity (IPC Phase 3+), including 4.7 million in IPC Phase 4 emergency levels, a deterioration of more than 50 percent over the same period last year (OCHA, 2026 HNRP Summary). At least 3.7 million children under five are projected to suffer from acute malnutrition in 2026 including 942,000 with severe acute malnutrition, and 1.2 million pregnant and breastfeeding women are expected to be acutely malnourished (OCHA, 2026). Following termination of U.S. WFP funding in 2025, WFP now supports only about 1 million people per month, a steep drop from 5.6 million served in winter 2024, directly coinciding with rapid deterioration in food security (Refugees International, January 2026). The ongoing drought has also caused failure of nearly 80 percent of rainfed wheat crops in several regions (OCHA, December 2025).","['humanitarian', 'health', 'economy']","['food insecurity', 'malnutrition', 'IPC Phase 4', 'WFP', 'drought', 'wheat crop failure', 'acute malnutrition', 'lean season']",['nationwide'],high,current
AFG-2026-05,Mass Returnee Crisis Overwhelming Absorptive Capacity,"Over the past two years roughly five million people, nearly 10 percent of the population, have returned to Afghanistan, fleeing deportations and tightening migration restrictions in Iran and Pakistan; in 2025 alone an estimated 2.78 million Afghans returned (OCHA, December 2025). UNHCR reports that nearly 150,000 more Afghans returned from Iran and Pakistan in 2026 alone, adding to this extraordinary caseload, with over 90 percent of returnees struggling to survive on less than five dollars a day (Al Jazeera/UNHCR, February 2026). The surge in U.S.-Iran hostilities and Pakistan's accelerated deportations risk triggering further mass returns from two countries that together shelter an estimated 6.8 million Afghans, potentially compounding the crisis to catastrophic levels (Vatican News, March 2026). Large-scale returns are placing extraordinary pressure on housing, land, water, education, and health services, particularly in eastern and southern regions and urban-adjacent districts (OCHA, 2026).","['displacement', 'humanitarian', 'economy']","['returnees', 'deportations', 'Iran deportations', 'Pakistan deportations', 'displacement', 'reintegration', 'host community', 'IOM DTM']","['eastern Afghanistan', 'southern Afghanistan', 'Kabul', 'nationwide']",high,current
AFG-2026-06,Collapse of Humanitarian Funding Due to U.S. and Donor Aid Cuts,"As of mid-2025, the Trump Administration terminated all foreign assistance awards with activities in Afghanistan per SIGAR, which itself was shuttered in January 2026, eliminating approximately USD 561.8 million in humanitarian assistance (Congressional Research Service, March 2026; Afghanistan Analysts Network, 2026). Afghanistan is projected to lose approximately USD 859 million in ODA in 2026 compared to 2023 baseline levels, equivalent to an estimated 5 percent of GNI, one of the sharpest relative losses globally (Center for Global Development, 2025). The UN has been forced to reprioritize its response from 16.8 million to 12.5 million people assisted, and UN relief chief Tom Fletcher warned that the cuts 'will directly result in deaths' (Afghanistan Analysts Network, April 2026). The Emirate's prioritization of security spending over social services leaves health, nutrition, and education entirely dependent on rapidly shrinking international assistance (Afghanistan Analysts Network, 2026).","['humanitarian', 'economy', 'governance']","['USAID cuts', 'aid reduction', 'ODA loss', 'humanitarian funding gap', 'WFP', 'health system', 'donor withdrawal', 'SIGAR']",['nationwide'],high,current
AFG-2026-07,Collapsing Healthcare System Driven by Taliban Restrictions and Funding Cuts,"A UN Special Rapporteur report found the Taliban systematically restricting access to healthcare for women and girls through limits on freedom of movement, the right to work, and a ban on medical education for women in place since 2024, warning this 'could amount to femicide' (OHCHR, February 2026). By September 2025, at least 1,700 female health workers had lost jobs and over 153 Family Health Houses had closed as a direct result of U.S. funding cuts, dismantling one of the last functioning systems delivering reproductive healthcare in rural areas (Refugees International, January 2026). UNFPA was able to support only 565 of 974 planned midwives in 2025, with no new comprehensive maternal mortality estimates released since this collapse (Refugees International, January 2026). The UN expert warned the combination of Taliban gender policies and international funding cuts is pushing Afghanistan's health system 'toward catastrophe' (OHCHR, February 2026).","['health', 'social', 'humanitarian']","['healthcare collapse', 'women health workers', 'maternal mortality', 'UNFPA', 'midwives', 'medical education ban', 'Family Health Houses', 'reproductive health']","['nationwide', 'rural Afghanistan', 'Nangarhar']",high,current
AFG-2026-08,Compounding Climate and Seismic Shocks Overwhelming Response Capacity,"Between March 26 and April 6, 2026, heavy rainfall and flash floods affected all eight regions of Afghanistan, causing deaths, injuries, and widespread damage to homes, infrastructure, and agricultural land, with multi-purpose cash assistance identified as a key gap in Samangan, Kunduz, and Baghlan provinces (OCHA Flash Update, April 2026). On April 5, a 5.9-magnitude earthquake struck the Hindu Kush region with epicenter in Badakhshan, killing 14 people in Kabul including a returnee family recently arrived from Iran, and strong tremors were felt across multiple provinces (OCHA, April 2026; AP, April 2026). These events compound ongoing drought affecting 12 provinces severely, with 3.4 million people already impacted and below-average rainfall forecast under La Nina conditions (OCHA 2026 HNRP). Recurrent shocks are acting as threat multipliers, pushing already vulnerable communities into life-threatening conditions and straining a humanitarian response already constrained by funding cuts (OCHA, January 2026).","['environment', 'humanitarian', 'displacement']","['floods', 'earthquake', 'Hindu Kush', 'drought', 'La Nina', 'natural disaster', 'Badakhshan', 'climate shock']","['Badakhshan', 'Kabul', 'Samangan', 'Kunduz', 'Baghlan', 'Herat', 'nationwide']",high,current
AFG-2026-09,Taliban Governance Fragility and Political Isolation,"The BTI 2026 report assessed that lack of professionalism, declining institutional capacity, and shortage of funds for soldiers' salaries pose serious threats to Taliban authority, alongside ongoing challenges from ISKP attacks and guerrilla operations by the National Resistance Front in northern Afghanistan (BTI 2026). The Taliban has scored the lowest level of political participation recorded since 2005, with civil society organizations entirely banned and even student gatherings heavily securitized (BTI 2026). Afghanistan's isolation from the international system remains the central obstacle to progress on economic issues, security cooperation, counterterrorism, and human rights, per UNAMA's Deputy Head of Mission to the Security Council (UN Press, March 2026). Taliban spokesperson Zabihullah Mujahid dismissed UNAMA as a 'failure' issuing 'inaccurate reports,' signaling continued resistance to international oversight (Afghanistan International, March 2026).","['governance', 'political']","['Taliban governance', 'political isolation', 'institutional fragility', 'National Resistance Front', 'civil society ban', 'international recognition', 'legitimacy']","['nationwide', 'northern Afghanistan', 'Kabul']",high,current
AFG-2026-10,Friction Between Taliban and UN/Development Actors Over Operational Access,"Since September 2025, Taliban security forces have barred Afghan women including UN staff from entering UN offices and compounds nationwide; as of late January 2026 the ban remained in force, severely curtailing UN operational capacity particularly for protection, health, and nutrition services to women and girls (OHCHR, March 2026). The UN Security Council adopted resolution 2818 on March 16, 2026 extending UNAMA's mandate only until June 17 rather than a full year, with the shortened renewal reflecting deep uncertainty about the mission's ability to operate under Taliban constraints (UN Press, March 2026). The U.S. questioned UNAMA's effectiveness under Taliban restrictions and suggested realigning the mission toward core peace and security benchmarks, potentially threatening the breadth of UNAMA's humanitarian coordination mandate (Security Council Report, March 2026). Russia meanwhile blocked references to Taliban criminal decree provisions in the mandate text, reflecting geopolitical divisions that complicate unified international engagement with the Taliban (Security Council Report, March 2026).","['governance', 'humanitarian', 'political']","['UNAMA mandate', 'Taliban ban on UN women staff', 'humanitarian access', 'Resolution 2818', 'Doha process', 'operational constraints', 'UN engagement']","['nationwide', 'Kabul']",high,current
