related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
GTM-001,Critical 2026 Judicial Appointments at Risk of Elite Capture,"The project's reliance on sustained political commitment and institutional stability within MINFIN is vulnerable to judicial capture that could undermine the rule of law and weaken government capacity to implement PFM reforms. If judicial appointments are co-opted by corrupt elites, the legal framework protecting project implementation, procurement processes, and financial accountability mechanisms could be compromised.",0.65,P510861,"PAD identifies 'Political and Governance (substantial)' risk, noting that 'potential changes in government leadership could disrupt implementation momentum' and 'weak institutional stability within implementing agency.' Mitigation strategy emphasizes need to 'secure strong, sustained commitment from senior government leadership' and 'maintain continuous engagement with dedicated team within MINFIN under clear directive from Minister of Finance.' However, if judicial institutions are captured by corrupt actors as GTM-001 warns, the legal protections and oversight mechanisms that sustain such commitments could be undermined."
GTM-003,Attorney General's Office Weaponized Against Reform Actors and Electoral Bodies,"The project's implementation depends on institutional actors (MINFIN, DTP, PIU staff) operating within a functional legal and governance framework. If the Attorney General's Office continues to weaponize prosecutions against government officials and reform actors, project staff and implementing partners could face politically motivated legal harassment, creating a chilling effect on reform commitment and technical implementation.",0.7,P510861,"PAD identifies 'Institutional Capacity for Implementation and Sustainability (substantial)' risk, including 'potential talent turnover in key positions' and notes that 'DTP has limited experience with donor-funded projects.' The mitigation strategy relies on establishing a PIU with 'qualified personnel' and 'permanent capacity building programs to mitigate impact of talent turnover.' However, if reform-oriented officials and technical staff face prosecution or legal intimidation (as documented in GTM-003 for journalists, human rights defenders, and Indigenous leaders), recruitment and retention of qualified personnel becomes significantly more difficult."
GTM-002,Gang-Driven State of Siege Exposes Prison and Security Vulnerabilities,"The project's ICT infrastructure modernization (Component 2) and establishment of critical government financial systems creates new cybersecurity vulnerabilities during a period of heightened gang-driven violence and state emergency measures. Gang control of prisons and ongoing security crackdowns could create operational disruptions to project implementation, and the state of siege/state of prevention measures could restrict movement of technical staff and disrupt procurement and implementation timelines.",0.68,P510861,"PAD identifies 'Security (substantial)' risk, documenting that 'Guatemala has experienced significant cyberattacks on government entities' including 8,000+ attacks on Tax Administration in 2021, ransomware on Foreign Ministry in 2022, and attacks on Guatecompras and SICOIN in 2023. Component 2 involves 'modernizes IFMIS and peripheral systems, implements data analytics platform, enhances ICT infrastructure' and 'updating core systems (budgeting, accounting, treasury, debt management).' While PAD includes mitigation through ISMS, BCMS, CSIRT, and SOC, GTM-002 notes that 'the state of siege expired on February 16, replaced by a nationwide state of prevention, with joint military-police operations continuing' and that 'structural vulnerabilities' remain. Ongoing emergency measures and gang-driven violence could disrupt the technical implementation and staffing required for these complex systems."
GTM-006,"USAID Closure Disrupts Governance, Justice, and Protection Programs","The project's governance and coordination mechanisms depend on a functional ecosystem of development actors and civil society oversight. USAID's closure has already disrupted governance and justice programs, and the resulting gap in development actor coordination and civil society capacity weakens the external accountability and technical support environment that the project relies on for successful implementation and sustainability.",0.72,P510861,"PAD identifies 'Stakeholders (moderate)' risk, noting 'multiple stakeholders involved in PFM reforms may have divergent interests' and 'limited engagement of civil society and vulnerable groups.' Mitigation includes 'continuous stakeholder involvement throughout implementation' and 'citizen engagement mechanisms including public portals for fiscal data access.' However, GTM-006 documents that 'the dismantling of USAID in 2025 significantly impacted Guatemalan programs related to justice, governance, and human rights' and that 'this creates a significant gap in development actor coordination, weakens civil society oversight of judicial reform processes, and reduces capacity to address the root causes.' The loss of USAID support directly undermines the stakeholder engagement and civil society oversight mechanisms that the project depends on for accountability and sustainability."
GTM-010,Political-Criminal Nexus Instrumentalizing Gang Violence to Influence Reform Agenda,"The project's core objective of enhancing public expenditure accountability and efficiency directly threatens the interests of political-criminal networks that benefit from opaque, unaccountable public finances. If such networks view the Smart PFM reforms as a threat to their control of state resources, they may actively work to disrupt or undermine project implementation through pressure on government officials, interference with implementing agencies, or orchestrated crises designed to destabilize the reform agenda.",0.75,P510861,"PAD identifies 'Political and Governance (substantial)' risk and notes the need to 'secure strong, sustained commitment from senior government leadership' and 'maintain continuous engagement with dedicated team within MINFIN.' However, GTM-010 characterizes the January 2026 gang violence as 'a deliberate operation by political-criminal networks seeking to destabilize the Arévalo government ahead of the critical 2026 judicial appointment cycle' and notes that 'President Arévalo himself publicly accused political-criminal mafias of orchestrating the prison riots and police killings as a message from opponents who fear losing control of a system built on corruption and impunity.' The project's explicit goal of improving fiscal transparency and accountability through data-driven expenditure management directly threatens the opacity that enables political-criminal networks to extract rents from public finances."
GTM-007,Mass Deportations and Remittance Risk Threatening Household Incomes and Social Stability,The project's macroeconomic sustainability depends on Guatemala maintaining sufficient fiscal space and government revenue to fund implementation and sustain reforms. A significant decline in remittances (which account for 19.5% of GDP and drive 47.8% of government net income through VAT) would reduce government revenues and create fiscal pressures that could force reallocation of resources away from PFM modernization or undermine the government's commitment to sustaining reforms.,0.73,P510861,"PAD identifies 'Macroeconomic (moderate)' risk, explicitly noting that 'remittances are major source of household income (19.4% of GDP in Guatemala) and drive VAT collections (47.8% of government net income)' and that 'decline in remittances could reduce VAT collections and create fiscal vulnerabilities.' Mitigation strategy states that 'project aims to enhance productivity of public spending and create fiscal space through improved efficiency.' However, GTM-007 documents that 'US mass deportation policies and the passage of a 1% remittance tax under Trump's One Big Beautiful Bill are expected to reduce remittance flows in 2026' and that 'economists estimate that even a 5% drop in remittances would cut Guatemala's GDP by a full percentage point.' If remittance flows decline as projected, government fiscal space will contract precisely when the project requires sustained investment in PFM modernization."
GTM-012,Integrity of the 2027 Electoral Cycle at Risk from Ongoing Judicial Attacks on Electoral Bodies,"The project's long-term sustainability and impact depend on democratic institutions remaining functional and legitimate. If the 2027 electoral cycle is compromised through judicial manipulation of the Supreme Electoral Tribunal, public trust in government institutions will collapse, undermining the legitimacy of any government that emerges and weakening the political commitment necessary to sustain PFM reforms beyond the project period.",0.68,P510861,"PAD identifies 'Political and Governance (substantial)' risk and emphasizes the need to 'establish incentives that sustain reforms beyond individual tenures.' However, GTM-012 documents that 'the TSE has been severely weakened by judicial attacks orchestrated by the Attorney General's Office, including 44 attempts to strip the interim TSE president of her immunity' and that 'directors of TSE departments are reportedly fearful of making operational decisions related to 2027 election preparations.' If the 2027 elections are compromised, the legitimacy of the government that takes office will be questioned, and any political commitment to sustaining PFM reforms will be undermined by the broader institutional crisis."
GTM-004,Transnational Narco-Trafficking and Mexican Cartel Encroachment on Border Regions,"Project operations in Huehuetenango and San Marcos departments—located in the 'Poppy Triangle' and identified as critical trafficking corridors—face direct exposure to cartel violence, state authority gaps, and armed incursions. Road construction activities, equipment, and personnel could become targets or be exploited by trafficking networks.",0.85,P178573,"The PAD explicitly identifies Huehuetenango and San Marcos as intervention locations within the Highlands priority area. The country risk summary notes these departments are 'particularly exposed to cartel violence and state authority gaps' and are part of the Guatemala-Mexico border flashpoint where Sinaloa Cartel and CJNG are fighting for control. The PAD acknowledges 'weak state presence' in intervention areas and notes that paramilitary structures persist, creating 'ongoing social conflict.' Road construction in these high-trafficking zones could expose project assets, workers, and beneficiaries to cartel interference."
GTM-002,Gang-Driven State of Siege Exposes Prison and Security Vulnerabilities,"Project implementation across rural areas with 'high crime levels and weak state presence' is vulnerable to gang extortion, labor coercion, and disruption of construction activities. The PAD identifies SEA/SH risks and labor influx during construction; gang-controlled territories could prevent safe worker recruitment, movement, and project supervision.",0.8,P178573,"The PAD states that intervention areas are 'characterized by high crime levels and weak state presence.' It identifies 'Labor influx and SEA/SH risks' as a substantial environmental and social risk, and notes 'potential lack of timely and quality technical inputs, supervision, and contract complexity' as fiduciary risks. The country risk notes that extortion complaints reached 25,151 in 2024 with 'the majority of crimes originating from within the prison system through inmates using telecommunications to extort businesses and civilians.' Road construction projects involving labor mobilization and equipment are typical extortion targets in gang-controlled areas."
GTM-011,Escalating Homicide Rate and Extortion Despite Emergency Security Measures,"Project's reliance on community participation, local labor recruitment, and contractor operations in high-homicide and high-extortion zones creates vulnerability to violence-driven disruptions, worker intimidation, and project delays. The PAD's emphasis on 'active community participation' and 'strong and proactive stakeholder management' may be compromised by security threats to community leaders and workers.",0.78,P178573,"The PAD identifies 'Stakeholders (substantial)' risk, noting 'High inherent risk that local communities could object to selection of road sections' and that 'strong and proactive stakeholder management with deep knowledge of local dynamics' is required. However, the country risk indicates homicide rates increased 21% from January-July 2025 and extortion is endemic. The PAD's mitigation strategy relies on 'Community engagement through COMUDES and COCODES' and 'Participatory methodology for prioritization and selection'—mechanisms that could be undermined if community leaders face threats or extortion. The project also plans to hire local labor and establish 'Employment and training opportunities for local populations,' which could be disrupted by gang recruitment pressure or extortion demands on contractors."
