country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","Parliamentary inaction on social protection legislation directly undermines the government's capacity to address the acute cost-of-living crisis (inflation near 35%, soaring food prices, precarious livelihoods) that has already triggered three major labor strikes in 2025 and eroded public trust. Delayed social safety net expansion amid economic hardship compounds state legitimacy deficits and risks further social unrest.",0.85,P501661,a1f25a44,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,The failure to advance social protection legislation delays expansion of safety nets precisely when 35 million Nigerians face acute food insecurity and 3 million children under five are projected to suffer severe acute malnutrition. Weak domestic social protection systems compound the humanitarian crisis created by funding shortfalls and leave vulnerable populations without adequate buffers.,0.8,P501661,a1f25a44,Implementation Status and Results Report
NGA-2026-11,Climate-Induced Displacement and Flood Shocks Compounding Humanitarian Vulnerability,"Parliamentary delays in strengthening social protection frameworks weaken the government's ability to respond to climate-driven displacement shocks (2025 floods affected 3 million people, displaced 896,000). Vulnerable populations affected by overlapping crises (armed violence, displacement, climate shocks) lack adequate social safety nets to build resilience.",0.75,P501661,a1f25a44,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The slow cash transfer rollout directly compounds the acute cost-of-living crisis (inflation near 35%, fuel subsidy removal effects, soaring food prices) documented in NGA-2026-10. The 46% shortfall in shock-responsive cash beneficiaries (8.1M vs. 15M target) leaves vulnerable households without critical relief during macroeconomic adjustment, amplifying economic grievances and eroding state legitimacy at a time when labor strikes and public protests are already undermining trust in governance. This creates conditions for further social unrest.",0.85,P501661,e00576e9,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"The cash transfer shortfall intersects with the humanitarian funding collapse and acute food insecurity crisis affecting 35 million Nigerians. With 3 million children under five at risk of severe acute malnutrition and WFP forced to scale down nutrition programs, the failure to reach 15 million households with shock-responsive cash transfers leaves the poorest populations without a critical safety net during the 2026 lean season, particularly in the BAY states where food insecurity is most severe.",0.8,P501661,e00576e9,Implementation Status and Results Report
NGA-2026-11,Climate-Induced Displacement and Flood Shocks Compounding Humanitarian Vulnerability,"The cash transfer shortfall undermines the ability to support populations affected by climate shocks and displacement. With 896,000 people displaced by 2025 floods and 3 million people impacted across 34 states, the slow rollout of shock-responsive cash transfers leaves climate-displaced and flood-affected households without timely relief, compounding vulnerability in already fragile communities identified in the IOM 2026-2028 Crisis Response Plan.",0.75,P501661,e00576e9,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The project's high political and governance risk directly reflects the fragility documented in NGA-2026-10. The 2023 fuel subsidy removal (core to the project's reform agenda) triggered Nigeria's worst cost-of-living crisis in 30 years, with inflation peaking near 35 percent in 2025. This economic hardship has fueled three nationally significant labor strikes in 2025, eroded public trust in governance, and created political pressure against fiscal consolidation reforms. The project's sustainability depends on government commitment to subsidy removal and fiscal discipline—precisely the reforms that are generating the social unrest undermining state legitimacy and creating political fragility.",0.92,P501661,d31beb82,Implementation Status and Results Report
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","The high political and governance risk rating reflects the institutional fragility documented in NGA-2026-09. The Tinubu administration's centralization of power (suspension of elected officials in Rivers State), alleged coup plot in October 2025, and use of the Cybercrimes Act to suppress dissent indicate a weakening of democratic institutions and checks on executive authority. This political fragility directly undermines the institutional capacity and political consensus required to sustain unpopular economic reforms. Weakened democratic institutions and restricted civil space reduce the government's ability to build broad-based political support for reform sustainability.",0.88,P501661,d31beb82,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"The project's focus on fiscal consolidation and subsidy removal occurs within a context of acute humanitarian crisis (NGA-2026-06), where 35 million Nigerians face acute food insecurity and funding for humanitarian response has collapsed from ~$1 billion to <$200 million. This creates political pressure against the fiscal austerity measures the project requires, as government faces competing demands to address humanitarian needs. The political fragility rating reflects tension between reform sustainability and the political costs of maintaining fiscal discipline while humanitarian conditions deteriorate.",0.75,P501661,d31beb82,Implementation Status and Results Report
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","The project's persistent high political and governance risk directly reflects broader institutional fragility documented in NGA-2026-09. The Tinubu administration's centralization of power, suspension of elected officials (Rivers State), and restrictions on civil space create an unpredictable governance environment that undermines the institutional coordination and political consensus required for power sector reforms. Tariff adjustments and financial sustainability measures require transparent policy dialogue and stakeholder buy-in—conditions compromised by democratic backsliding and elite power struggles that divert executive attention and institutional capacity.",0.85,P164001,8a3fd4cc,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The project's governance risk is directly amplified by NGA-2026-10's documented economic crisis and labor unrest. The 35% inflation, cost-of-living crisis, and multiple nationwide strikes (including the 29-day doctors' strike) reflect eroded state legitimacy and institutional capacity. Power sector tariff reforms—inherently politically sensitive in a context of acute economic hardship—face heightened resistance from labor unions, civil society, and the public. Government's demonstrated inability to manage worker grievances and economic expectations constrains its political will to implement unpopular but necessary tariff adjustments.",0.82,P164001,8a3fd4cc,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"The humanitarian funding collapse and acute food insecurity crisis (NGA-2026-06) indirectly constrains power sector reform implementation by competing for scarce government resources and institutional attention. With 35 million Nigerians facing acute food insecurity and humanitarian funding dropping from ~$1 billion to <$200 million, government prioritization of immediate survival needs over long-term power sector sustainability measures is rational but undermines reform momentum. This creates a governance environment where political will for difficult tariff and financial restructuring decisions is deprioritized.",0.68,P164001,8a3fd4cc,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","Governance capacity constraints and coordination failures among energy sector ministries (FMoP, NERC, BPE, NBET, TCN) directly reflect the broader institutional fragility and state capacity erosion documented in NGA-2026-10. The delayed regulatory assessments and procurement support indicate the same governance dysfunction that has undermined public service delivery across sectors, contributing to loss of state legitimacy and public trust. Energy sector coordination failures compound the economic hardship crisis by delaying critical infrastructure improvements needed to address Nigeria's electricity crisis, which is a material factor in the cost-of-living crisis and labor unrest.",0.75,P164001,da4c36d2,Implementation Status and Results Report
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","The multi-agency coordination failures in energy sector governance (delays across FMoP, NERC, BPE, NBET, TCN) reflect institutional fragmentation consistent with NGA-2026-09's pattern of centralized presidential authority and weakened institutional checks. The inability of key energy sector agencies to coordinate effectively suggests governance structures that prioritize executive control over functional inter-agency coordination, mirroring the broader democratic backsliding and institutional hollowing documented in the political fragility risk.",0.65,P164001,da4c36d2,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The power sector tariff adjustment program faces stakeholder resistance amid Nigeria's severe cost-of-living crisis (inflation near 35% in 2025, soaring food prices, precarious livelihoods). Low public awareness (14% overall, 4% among women) about tariff reforms reflects broader erosion of state legitimacy and citizen trust in governance. Tariff increases, even if economically necessary, risk triggering social unrest similar to the 2025 labor strikes and public protests that have compounded governance challenges. The project's inability to build public buy-in for reforms mirrors the government's broader detachment from citizens' economic realities.",0.78,P164001,d872384e,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"Tariff adjustments in the power sector occur within a context of acute humanitarian vulnerability, where 35 million Nigerians face food insecurity and inflation has driven cost-of-living crisis. Low public awareness about tariff reforms (particularly among women at 4%) suggests vulnerable populations may not understand or support measures that could increase household energy costs during a period of extreme economic stress. This creates risk of social backlash against reforms that, while necessary for sector sustainability, may be perceived as adding to household financial burden during humanitarian emergency.",0.72,P164001,d872384e,Implementation Status and Results Report
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","The governance capacity constraints in regulatory implementation reflect broader institutional fragility documented in the country risk. The persistent delays in NERC regulatory approvals (Fit and Proper regulations, Least Cost Power Development Plan) are consistent with the centralization of power and weakening of institutional autonomy noted in NGA-2026-09. When executive authority concentrates and democratic checks weaken, independent regulatory bodies like NERC lose operational autonomy and decision-making capacity, leading to delayed approvals and incomplete regulatory actions essential for sector reform.",0.72,P164001,b0f6e670,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The governance capacity constraints in power sector regulation are symptomatic of broader state institutional deterioration driven by economic crisis and social unrest. The persistent regulatory delays in a critical infrastructure sector reflect resource constraints, staff attrition, and institutional prioritization challenges that accompany the severe cost-of-living crisis and labor strikes documented in NGA-2026-10. When state legitimacy erodes due to economic hardship, regulatory institutions struggle to attract and retain qualified personnel and face competing demands on limited institutional capacity.",0.68,P164001,b0f6e670,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","Institutional fragility in power sector governance directly undermines service delivery reliability, which compounds Nigeria's acute cost-of-living crisis and erodes state legitimacy. Incomplete TCN unbundling delays sector reforms needed to improve electricity access and affordability—critical factors in a context where inflation has peaked near 35% and precarious informal-sector livelihoods are already destabilized. Power sector dysfunction exacerbates public frustration with governance capacity, contributing to the labor strikes and social unrest documented in 2025.",0.72,P164001,454ccfec,Implementation Status and Results Report
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"Institutional fragility in power sector governance impairs the operational capacity of humanitarian and health systems dependent on reliable electricity. Incomplete TCN unbundling and governance challenges delay critical infrastructure improvements needed to support water, sanitation, health facilities, and food storage systems in conflict-affected regions. This institutional weakness compounds the humanitarian crisis by reducing the effectiveness of already under-funded aid delivery mechanisms in the BAY states and other vulnerable areas.",0.65,P164001,454ccfec,Implementation Status and Results Report
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","Institutional fragility in power sector governance reflects broader patterns of weak institutional checks and governance capacity under the Tinubu administration. Incomplete sector reforms and delayed unbundling of TCN suggest implementation challenges consistent with centralized decision-making and institutional fragmentation documented in political governance. These governance weaknesses undermine the institutional autonomy and technical capacity needed for sector reform, mirroring concerns about democratic backsliding and institutional accountability.",0.58,P164001,454ccfec,Implementation Status and Results Report
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","The government's inability to fully meet disbursement-linked requirements for tariff shortfall funding reflects constrained fiscal capacity amid Nigeria's severe cost-of-living crisis (inflation near 35% in 2025, fuel subsidy removal effects). Economic hardship is eroding state legitimacy and competing fiscal priorities, which directly impacts the government's capacity to honor development partner commitments. This governance tension is symptomatic of broader state fragility driven by economic stress.",0.72,P164001,ba57bfca,Implementation Status and Results Report
