risk_id,title,summary,themes,keywords,locations,severity,time_horizon
ETH_2026_001,Escalating tensions between Ethiopia and Eritrea over sea access and regional alliances,"Ethiopia and Eritrea are embroiled in mounting tensions over Ethiopia's demands for direct access to the Red Sea, which [Prime Minister Abiy described as an ""existential matter""](https://worldview.stratfor.com/article/assessing-risk-ethiopia-eritrea-war-2026). The situation has escalated with [Ethiopian officials accusing Eritrea of supplying weapons to Fano rebels](https://crisisgroup.org/africa/horn-africa/ethiopia) and both countries reportedly mobilizing forces to their border. While [Ethiopia is unlikely to launch a large-scale invasion in 2026](https://worldview.stratfor.com/article/assessing-risk-ethiopia-eritrea-war-2026), the risk of proxy clashes and military escalation remains high, threatening regional stability across the Horn of Africa.","['security', 'political']","['Ethiopia', 'Eritrea', 'sea access', 'border tensions', 'regional conflict']","['Ethiopia', 'Eritrea', 'Red Sea region']",high,current
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"Tigray faces a deepening political crisis following the [TPLF's deregistration from the 2026 elections](https://lawfare.substack.com/p/today-on-lawfare-march-2-2026), leaving the party without peaceful contestation options. The [National Election Board recognized rival party Simret](https://lawfare.substack.com/p/today-on-lawfare-march-2-2026) while excluding the TPLF, prompting severe warnings from Tigrayan leaders who [labeled it a ""clear declaration of war""](https://kulu-media.com/mekelle-immigration-office-service-interruption-feb-2026/). Internal tensions between the TPLF and Tigray Defense Forces have escalated, with [federal authority quickly shrinking](https://cfr.org/global-conflict-tracker/conflict/conflict-ethiopia) in Mekelle and other key cities, raising risks of renewed armed conflict.","['political', 'governance', 'security']","['TPLF', 'Tigray', 'elections', 'political exclusion', 'armed factions']","['Tigray region', 'Mekelle']",high,0-3m
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region remains engulfed in [armed conflict between government forces and Fano militias](https://hrw.org/world-report/2026/country-chapters/ethiopia), with fighting continuing throughout 2025 despite peace agreements with some factions. The [government's military operations have included drone strikes affecting civilians](https://hrw.org/world-report/2026/country-chapters/ethiopia) while [over 4 million children are out of school](https://aljazeera.com/features/2025/3/10/we-just-want-peace-a-pacifist-community-amid-ethiopias-amhara-conflict) and more than 4,000 schools remain closed. Although [one Fano faction signed a peace agreement in December 2025](https://theafricareport.com/401375/ethiopias-amhara-region-fano-faction-sign-breakthrough-agreement/), multiple other factions continue armed resistance, with the insurgency maintaining significant territorial control and popular support across rural areas.","['security', 'humanitarian']","['Fano', 'Amhara', 'insurgency', 'civilian casualties', 'education disruption']","['Amhara region', 'Bahir Dar', 'Gondar']",high,current
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Violence persists in Oromia despite [a peace agreement signed with one OLA faction in December 2024](https://cfr.org/global-conflict-tracker/conflict/conflict-ethiopia), as [attacks against civilians continue](https://addisstandard.com/ethiopia-rights-commission-urges-urgent-federal-oromia-action-after-dozens-killed-in-renewed-attacks-in-oromia-region/). Recent incidents include [over 25 civilians killed in East Arsi Zone in October 2025](https://addisstandard.com/ethiopia-rights-commission-urges-urgent-federal-oromia-action-after-dozens-killed-in-renewed-attacks-in-oromia-region/) and [32 civilians killed in a single day in August](https://martinplaut.com/2025/09/18/fano-amhara-militias-escalate-atrocities-against-oromo-civilians-in-oromia/). The UN reported that [3.2 million children were out of school due to the fighting](https://abcnews.go.com/International/wireStory/executions-torture-abductions-rape-ethiopias-hidden-conflict-129773579), while intercommunal violence between Oromo and Somali communities has [displaced over 288,000 people since July 2025](https://unocha.org/publications/report/ethiopia/ethiopia-renewed-violence-districts-bordering-oromia-and-somali-regions-1-october-2025).","['security', 'humanitarian', 'displacement']","['Oromia', 'OLA', 'civilian casualties', 'intercommunal violence', 'displacement']","['Oromia region', 'East Arsi Zone', 'West Wollega']",high,current
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"Ethiopia faces a massive displacement crisis with [3.3 million people internally displaced](https://hrw.org/world-report/2026/country-chapters/ethiopia) and [4.7 million people forced from their homes](https://reporting.unhcr.org/operational/operations/ethiopia) due to ongoing conflicts and climate impacts. The humanitarian situation has deteriorated significantly, with [living conditions for IDPs described as dire](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2026) and needs remaining high. [IDPs in Tigray staged protests demanding safe returns](https://hrw.org/world-report/2026/country-chapters/ethiopia) while hundreds of thousands remain in precarious conditions in formal and informal camps. The [shrinking humanitarian funding environment](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2026) has reduced assistance, further increasing pressure on national response capacities.","['humanitarian', 'displacement']","['internal displacement', 'IDPs', 'humanitarian crisis', 'funding shortfalls', 'camp conditions']","['Tigray', 'Amhara', 'Oromia', 'Afar']",high,current
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"Ethiopia has witnessed a [systematic assault on press freedom](https://hrw.org/news/2025/09/22/ethiopia-surge-in-arrests-of-journalists-media-workers) with at least [44 journalists abducted or detained in 2025](https://allafrica.com/stories/202603030346.html), including cases of [masked gunmen in military uniforms abducting journalists](https://jurist.org/news/2025/09/ethiopian-officials-continue-to-arrest-journalists-and-media-professionals/). The government has [suspended Deutsche Welle correspondents](https://hrw.org/news/2025/12/15/another-blow-to-media-freedom-in-ethiopia) and enacted [changes to media law increasing executive control](https://hrw.org/news/2025/12/15/another-blow-to-media-freedom-in-ethiopia). [Ethiopia dropped to 145th out of 180 countries in the 2025 World Press Freedom Index](https://capitalethiopia.com/2025/05/06/ethiopia-slips-in-2025-world-press-freedom-index-as-conflict-and-repression-reverse-recent-gains/), with the space for independent media shrinking ahead of the June 2026 elections.","['political', 'governance']","['press freedom', 'journalist arrests', 'media crackdown', 'elections', 'civil society']","['Addis Ababa', 'nationwide']",medium,current
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"Ethiopia faces its [most severe humanitarian funding crisis](https://unocha.org/ethiopia) with [WFP forced to suspend treatment for 650,000 malnourished women and children](https://news.un.org/en/story/2025/04/1162456) by end of April 2025. The agency warned that [3.6 million of the most vulnerable people stand to lose food assistance](https://news.un.org/en/story/2025/04/1162456) unless urgent funding arrives. [Humanitarian operations in Amhara have been disrupted](https://news.un.org/en/story/2025/04/1162456) by access challenges, threatening relief for over 500,000 people. The crisis is exacerbated by [Trump administration's foreign aid freeze](https://aljazeera.com/news/2025/4/22/un-food-agency-cites-funding-gap-as-it-halts-aid-to-650000-in-ethiopia) and reduced international donor support, leaving over 21 million people in need of humanitarian assistance.","['humanitarian', 'economy']","['funding crisis', 'WFP', 'malnutrition', 'aid suspension', 'donor support']",['nationwide'],high,current
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,"Despite the 2022 Pretoria Agreement, [the aftermath of conflict continues to affect northern regions](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2026) with many people remaining displaced. [Eritrean troops continue to commit sexual violence in occupied areas of Tigray](https://hrw.org/world-report/2026/country-chapters/ethiopia) while [Tigrayans continue to be forcibly displaced from Western Tigray](https://hrw.org/world-report/2026/country-chapters/ethiopia). The [referendum on Western Tigray's fate remains pending](https://cfr.org/global-conflict-tracker/conflict/conflict-ethiopia) as of early 2025, creating ongoing territorial disputes. [Tensions between rival political factions](https://hrw.org/world-report/2026/country-chapters/ethiopia) have led to clashes between Tigrayan forces and displaced populations, undermining stabilization efforts.","['security', 'political', 'humanitarian']","['Pretoria Agreement', 'peace implementation', 'Western Tigray', 'Eritrean forces', 'territorial disputes']","['Tigray region', 'Amhara region', 'Afar region']",medium,current
ETH_2026_009,Cross-border spillover effects from Sudan conflict and regional instability,"The [Sudan conflict has driven over 163,000 individuals into Ethiopia](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2025) as of January 2025, with [2025 seeing over 50,000 new refugee arrivals](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2026) mainly from Sudan and South Sudan. Ethiopia's Gambella region has been affected by [cross-border incursions by South Sudanese opposition forces](https://crisisgroup.org/africa/horn-africa/ethiopia) protecting Nuer communities, raising risks of renewed violence. [Thousands of refugees from South Sudan conflicts entered Ethiopia in March](https://hrw.org/world-report/2026/country-chapters/ethiopia), while Ethiopia hosts [over one million refugees](https://crisisresponse.iom.int/response/ethiopia-crisis-response-plan-2026) amid growing political instability and funding shortfalls that undermine protection capacity.","['humanitarian', 'security']","['Sudan conflict', 'refugee influx', 'cross-border violence', 'Gambella', 'South Sudan']","['Gambella region', 'border areas']",medium,current
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"[Insecurity may derail voting in several Ethiopian regions](https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/) with the election potentially sparking [further instability and accusations of illegitimacy](https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/). Major opposition parties may [boycott the elections as they did in 2021](https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/), while the [TPLF's exclusion and deregistration](https://lawfare.substack.com/p/today-on-lawfare-march-2-2026) threatens Tigrayan participation. [Human Rights Watch has warned of government crackdowns on independent media and civil society](https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/), while Ethiopia faces a [severe cost-of-living crisis](https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/) that could fuel recruitment for regional insurgencies ahead of the vote.","['political', 'governance']","['elections', 'legitimacy', 'opposition boycott', 'insecurity', 'cost-of-living']",['nationwide'],medium,0-3m
