risk_id,title,summary,themes,keywords,locations,severity,time_horizon
NGA-2026-01,ISWAP-Boko Haram Insurgency Escalation in Northeast: Multi-Front Coordinated Attacks,"Between 8 and 10 March 2026, ISWAP and affiliated Boko Haram factions executed at least six simultaneous attacks across Borno and Yobe states, targeting Nigerian military forward operating bases (per Ujasuri/Institute for Security Studies, March 2026). Senior analyst Vincent Foucher of France's CNRS assessed the attacks as displaying 'a remarkable level of coordination' unprecedented in recent operational history, indicating ISWAP has rehabilitated its command-and-control structures (per Ujasuri, March 2026). In January 2026, at least eight Nigerian soldiers were killed when Boko Haram insurgents attacked a military formation in Borno State (Reuters, via CFR Global Conflict Tracker, January 2026). ISWAP's use of kinetic drones, dismounted night assaults, IEDs, and feint attacks reflects tactical evolution that has consistently outpaced Nigeria's 'supercamp' counterinsurgency strategy (per Soufan Center, May 2025).",['security'],"['ISWAP', 'Boko Haram', 'Borno', 'Yobe', 'military attacks', 'FOB overrun', 'Lake Chad', 'counterinsurgency']","['Borno State', 'Yobe State', 'Lake Chad Basin', 'Adamawa State']",high,current
NGA-2026-02,"Northwest Banditry, Mass Kidnapping, and Jihadist Convergence","In February 2026, armed groups killed at least 50 people and abducted others in Anka and Bukkuyum areas of Zamfara State, and on 5 February 2026 terrorists attacked Woro, killing more than 100 and kidnapping 176 (ICG CrisisWatch February 2026; Africa Defense Forum, February 2026). A report by SBM Intelligence found that 2,938 people were kidnapped in the Northwest region between July 2024 and June 2025, representing over 60 percent of reported kidnapping incidents nationwide (Human Rights Watch World Report 2026). The Lakurawa group, designated a terrorist organization by Abuja in 2025 and linked to the Islamic State Sahel Province, has expanded operations from Sokoto State into Kebbi State, combining bandit-style extortion with jihadist governance and serving as a conduit linking ISSP and ISWAP operational zones (per Soufan Center, February 2026). Analysts warn that the Northwest may be developing into a second major insurgency theater as jihadist groups recruit bandits and networks converge (per Soufan Center, August 2025).","['security', 'crime']","['banditry', 'kidnapping', 'Lakurawa', 'Zamfara', 'Kebbi', 'Sokoto', 'ISSP', 'crime-terror nexus']","['Zamfara State', 'Katsina State', 'Kebbi State', 'Sokoto State', 'Kaduna State', 'Northwest Nigeria']",high,current
NGA-2026-03,US Military Involvement and Sovereignty Tensions Triggering Domestic Polarization,"On Christmas Day 2025, AFRICOM launched Tomahawk cruise missile strikes in Sokoto State at the request of Nigerian authorities, targeting Lakurawa/ISIS-Sahel positions; a second round of US missile strikes was reported in Sokoto in February 2026 (ACLED, February 2026; AFRICOM/Anadolu Agency, December 2025). The Tinubu government confirmed the strikes as 'structured security cooperation,' but the operation sparked a national sovereignty debate, with influential Islamic cleric Sheikh Ahmad Gumi condemning cooperation and warning of 'imperial tendencies,' while the Sultan of Sokoto issued no statement (CFR, December 2025; Guardian Nigeria, December 2025). US framing of the conflict as a 'Christian genocide' has been rejected by the UN and Nigerian government as factually inaccurate, but risks inflaming ethno-religious divisions in an already polarized country (per ISS Africa/DefenceWeb, February 2026). A Nigeria-US Joint Working Group on counterterrorism was established in January 2026, but analysts warn the terms of cooperation have not been made transparent to the Nigerian public (Al Jazeera, February 2026).","['security', 'political', 'governance']","['US airstrikes', 'AFRICOM', 'sovereignty', 'Lakurawa', 'Sokoto', 'counterterrorism cooperation', 'sectarian narrative', 'Tinubu-Trump']","['Sokoto State', 'Abuja', 'nationwide']",high,current
NGA-2026-04,Farmer-Herder Intercommunal Violence in Middle Belt and North-Central Nigeria,"Suspected herder-farmer violence between 3 and 26 February 2026 killed at least 38 people in Benue and Plateau states (ICG CrisisWatch, February 2026). This follows a pattern from 2025 in which suspected herder-allied assailants killed 52 people in Bokkos LGA, Plateau State in April, and 59 people in Guma LGA, Benue State in June, with the latter figure disputed by residents who documented over 100 killings (Human Rights Watch World Report 2026). IOM DTM data from January 2026 recorded continued new IDP arrivals in Benue State linked to intercommunal violence, including 215 new IDP arrivals in the week of 19-25 January 2026 in Guma LGA alone (IOM DTM, January 2026). The Middle Belt now hosts over 600,000 IDPs due to escalating violence and resource conflicts, per UNHCR (UNHCR 2025 results data).","['security', 'social', 'displacement']","['farmer-herder', 'intercommunal violence', 'Benue', 'Plateau', 'Middle Belt', 'displacement', 'resource conflict', 'killings']","['Benue State', 'Plateau State', 'Nasarawa State', 'Middle Belt', 'North-Central Nigeria']",high,current
NGA-2026-05,Protracted Internal Displacement and Failing IDP Return Policy in Northeast,"As of end-2024, approximately 2.3 million IDPs were recorded in the BAY states (Borno, Adamawa, Yobe), with Borno hosting 1.7 million IDPs and 886,000 returnees (OCHA Nigeria HNRP 2025, January 2025). IOM DTM Emergency Tracking continues to record weekly new displacement flows across Borno, Adamawa, and Yobe states into early 2026, with 10,636 new arrivals in Adamawa State in one week alone (IOM DTM, January 2026). The Borno State government's policy of closing IDP camps, with a 2026 deadline for formal camp shutdowns, is increasingly untenable given the JAS/Boko Haram resurgence, with returnees facing renewed attack risk and limited economic opportunities fueling potential re-recruitment into insurgent ranks (The New Humanitarian, November 2025). UNHCR reports that over 3.5 million IDPs remain displaced nationally, with 46 percent of IDP sites in flood-prone, overcrowded areas (UNHCR Annual Results Report 2024).","['displacement', 'humanitarian']","['IDP', 'displacement', 'Borno', 'camp closure', 'returnees', 'northeast Nigeria', 'BAY states', 'UNHCR', 'IOM DTM']","['Borno State', 'Adamawa State', 'Yobe State', 'BAY states', 'Northeast Nigeria']",high,current
NGA-2026-06,Acute Humanitarian Funding Collapse Amid Escalating Food and Nutrition Crisis,"Nearly 35 million Nigerians are projected to face acute food insecurity during the 2026 lean season, including 5.8 million in the BAY states, with 15,000 people in Borno State at risk of catastrophic hunger (IPC-5) for the first time in nearly a decade (OCHA Nigeria; WFP, January 2026). In 2026, approximately 3 million children under five in Nigeria are projected to suffer from severe acute malnutrition, including 1 million in the BAY states (OCHA Nigeria 2026). WFP reports that 2025 funding shortfalls forced it to scale down nutrition programs affecting more than 300,000 children, causing malnutrition levels in several northern states to deteriorate from 'serious' to 'critical' (WFP, January 2026). Humanitarian funding for Nigeria has dropped sharply from nearly $1 billion a few years ago to less than $200 million expected in 2026, while the government and partners are appealing for $516 million for the BAY states alone (UN News, January 2026; OCHA Nigeria).","['humanitarian', 'health', 'economy']","['food insecurity', 'malnutrition', 'SAM', 'humanitarian funding', 'WFP', 'OCHA', 'BAY states', 'lean season']","['Borno State', 'Adamawa State', 'Yobe State', 'BAY states', 'Northwest Nigeria', 'nationwide']",high,current
NGA-2026-07,Cross-Border Jihadist Spillover: Nigeria-Niger-Benin Tri-Border Area Deterioration,"The security situation in the Nigeria-Niger-Benin tri-border area continued to worsen through February 2026, with an armed group killing at least 34 people in the Arewa Dandi area of Kebbi State on 18 February; local officials attributed the attack to the Lakurawa armed group affiliated with jihadists operating in Mali and Niger (ICG CrisisWatch, February 2026). Niger's withdrawal from the Multinational Joint Task Force (MNJTF) in March 2025 following its 2023 coup has compromised intelligence sharing and disrupted joint military operations across porous borders, creating operational vacuums exploited by jihadist and criminal groups (Soufan Center, May 2025). ACLED assessed in January 2026 that previously distinct conflicts in the Sahel and coastal West Africa are merging into a single interconnected theater of militant competition, with jihadist entrenchment in littoral border regions marked by weakened regional cooperation (ACLED, January 2026). The Islamic State Sahel Province (ISSP) and ISWAP are actively attempting to link their zones of operations through central Niger and northwest Nigeria via Lakurawa (per Soufan Center, February 2026).","['security', 'governance']","['Lakurawa', 'tri-border', 'MNJTF', 'Niger', 'Kebbi', 'cross-border', 'ISSP', 'regional cooperation']","['Kebbi State', 'Sokoto State', 'Niger-Nigeria border', 'Benin-Nigeria border', 'Northwest Nigeria']",high,current
NGA-2026-08,Security Force Conduct: Civilian Casualties in Airstrikes and Accountability Gaps,"Nigerian security forces have been implicated in abuses including airstrikes that have killed civilians, with similar erroneous airstrikes having killed hundreds in previous years during counter-banditry operations without transparent accountability or reparations (Human Rights Watch World Report 2026). In November 2025, the UN Committee on the Elimination of Discrimination against Women (CEDAW) found Nigeria responsible for violations relating to security force conduct (Global Centre for R2P, November 2025). Nigerian military has been deployed in two-thirds of the country's states and is overstretched as Boko Haram, ISWAP, and bandit groups continue to expand, raising concerns about the quality of targeting decisions and civilian protection standards (Global Centre for R2P, 2025). ISR-supported airpower has improved tactical capacity but analysts note it 'treats the symptoms' and not the socioeconomic conditions at the root of violence, while concerns about civilian casualties in Sokoto from the December 2025 US-Nigerian strikes remain unresolved (Al Jazeera, February 2026; ISS Africa, February 2026).","['security', 'governance', 'humanitarian']","['security force abuses', 'airstrikes', 'civilian casualties', 'accountability', 'human rights', 'IHL', 'CEDAW', 'counterinsurgency']","['Sokoto State', 'Borno State', 'Northwest Nigeria', 'nationwide']",high,current
NGA-2026-09,"Political Fragility: Centralization of Power, Democratic Backsliding, and Civil Space Restrictions","In 2025, President Tinubu declared a state of emergency in Rivers State, suspending the governor and elected officials amid an elite power struggle between the governor and a federal minister, a move that divided legal experts and prompted PDP governors to sue the president; the Supreme Court ultimately affirmed the president's authority to suspend elected officials (BusinessDay/ICIR, December 2025). Security agencies arrested at least 16 military officers in October 2025 accused of plotting to overthrow President Tinubu, contributing to the cancellation of the Independence Day military parade; the government stopped short of officially confirming the coup plot (BusinessDay, December 2025). The Cybercrimes Act continues to be used to arrest journalists and social media commentators, and civil liberties concerns including restrictions on dissent and press freedom persist under the Tinubu administration (Human Rights Watch World Report 2026; Freedom House 2025). Massive opposition party defections to the ruling APC throughout 2025 have weakened the political opposition ahead of 2027 elections, raising concerns about democratic consolidation (Punch Nigeria, December 2025).","['political', 'governance']","['Rivers State', 'state of emergency', 'coup attempt', 'Tinubu', 'democratic backsliding', 'Cybercrimes Act', 'press freedom', 'APC defections']","['Rivers State', 'Abuja', 'Lagos State', 'nationwide']",high,current
NGA-2026-10,"Economic Hardship, Social Unrest, and Labor Strikes Undermining State Legitimacy","At least three nationally significant labor strikes shook Nigeria in 2025, including a 29-day nationwide doctors' strike by the Nigerian Association of Resident Doctors (NARD) in November, reflecting deep worker frustration with government inaction under Tinubu (ICIR, December 2025). The persistent effects of the 2023 fuel subsidy removal and currency liberalization contributed to Nigeria's worst cost-of-living crisis in 30 years, with inflation peaking near 35 percent in 2025, soaring food prices, higher electricity tariffs, and precarious informal-sector livelihoods (Human Rights Watch World Report 2025; Freedom House 2025). Economic hardship, inflation, and insecurity have persisted in fueling public protests and eroding trust in governance, with critics highlighting centralization of power, democratic backsliding, and detachment from citizens' realities (Democracy Assessment, Situation Room Nigeria, June 2025). Nigeria is ranked sixth globally for the impact of terrorism according to the 2025 Global Terrorism Index, compounding investor confidence concerns at a time when President Tinubu has proposed a 58.18 trillion naira budget for 2026 reliant on borrowing (Tandfonline/IEP 2025; Toyin Falola Network, December 2025).","['economy', 'social', 'governance']","['inflation', 'cost of living', 'labor strikes', 'fuel subsidy', 'social unrest', 'poverty', 'Tinubu reforms', 'public trust']","['nationwide', 'Abuja', 'Lagos']",high,current
