country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"The realized project risk is directly driven by election dynamics. Country-level electoral disputes and heightened polarization plausibly slow or stall legislative action, including the pending approvals needed from FGS and FMS parliaments for harmonized tax reforms.",0.78,P173731,f3ed4b28,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,Harmonized tax reform requires coordinated approvals and implementation across the federal and member-state levels. FCV risk related to federal-system fragmentation and mistrust plausibly translates into slower intergovernmental agreement and delayed adoption of shared revenue measures and related administrative system roll-out.,0.74,P173731,f3ed4b28,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"The project risk cites delays in approvals by both FGS and FMS parliaments. Escalating federal–member-state confrontation can plausibly impede cooperative decision-making on politically sensitive fiscal measures (like harmonized taxation), especially during an election period when positions harden.",0.62,P173731,f3ed4b28,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The FMFF not being convened reflects (and likely stems from) the same federal-system fragmentation and low-trust intergovernmental relations described at country level. When federal–member state coordination mechanisms stall, it directly impedes agreement on shared fiscal rules and joint policy actions—mirroring the broader governance breakdown dynamics captured in this risk.",0.74,P173731,bbccd364,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Escalating federal–state confrontation can plausibly undermine the willingness/ability of parties to convene and use formal intergovernmental forums like the FMFF. The realized implementation risk—blocked fiscal policy decisions due to the forum not meeting—is consistent with heightened intergovernmental tensions reducing functional cooperation on sensitive, distributive issues such as fiscal frameworks.",0.66,P173731,bbccd364,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Polarization around electoral and constitutional reforms can crowd out or politicize routine intergovernmental coordination, contributing to paralysis in shared decision-making spaces. The FMFF’s non-convening and resulting inability to advance agreed fiscal items is plausibly linked to a broader political environment of mistrust and contested federal authority.",0.6,P173731,bbccd364,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"The two-year withholding of transfers to Jubaland State is a direct manifestation of federal–member state confrontation. Such fiscal coercion and breakdowns in intergovernmental cooperation plausibly stem from, and reinforce, the same tensions described in the country risk, and can directly disrupt implementation of transfer-linked performance conditions.",0.85,P173731,31fc4b90,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"A prolonged breakdown in fiscal transfers reflects fragmentation and mistrust in the federal system, consistent with the country-level risk. While the project issue is fiscal/administrative, it plausibly connects to broader institutional fragility dynamics that weaken coordinated governance and service delivery across federal and state levels.",0.7,P173731,31fc4b90,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"The withholding of Jubaland transfers is plausibly linked to heightened polarization between the Federal Government and federal member states amid disputes over reforms and power centralization. These political disputes can translate into stalled or weaponized intergovernmental fiscal arrangements, affecting project implementation.",0.6,P173731,31fc4b90,Implementation Status and Results Report
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The project’s realized risk is directly driven by a major drought shock that forced activation of the CERC and reoriented implementation toward emergency drought response. This aligns with the country-level FCV risk where drought is a central driver of crisis conditions, including food insecurity and humanitarian needs, plausibly explaining why planned investments were disrupted and reprioritized.",0.85,P170922,b95c38ce,Implementation Status and Results Report
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Drought is a key driver of displacement in Somalia, and displacement in turn disrupts markets, agriculture, and delivery capacity. A drought severe enough to trigger CERC activation plausibly coincides with heightened displacement-related operational challenges, reinforcing the need to divert implementation to immediate crisis response rather than planned activities.",0.6,P170922,b95c38ce,Implementation Status and Results Report
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","The realized project risk is explicitly about drought-induced internal displacement increasing the share of IDP beneficiaries in Mogadishu, Baidoa, and Garowe and putting pressure on urban services and delivery capacity. This aligns directly with the country-level FCV risk describing large-scale displacement driven by drought (and conflict) and its disruptive effects on markets and aid delivery.",0.9,P170922,afd50d01,Implementation Status and Results Report
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The project’s implementation risk is driven by drought-induced displacement, which is a downstream impact of the same drought shocks highlighted in the food insecurity risk. Deteriorating drought conditions plausibly increase migration to target cities, expanding humanitarian needs and straining municipal service delivery relevant to project implementation.",0.7,P170922,afd50d01,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,The realized risk (non-inclusive/fragile coordination across FGS–FMS–municipal counterparts) is directly aligned with the country-level risk of federal system fragmentation and mistrust. The same intergovernmental fragmentation dynamics that create space for insecurity also plausibly undermine inclusive coordination forums and joint implementation alignment.,0.78,P170922,ac346995,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Escalating confrontation between the Federal Government and key federal member states can translate into reduced willingness to participate in shared coordination mechanisms, contested authority over implementation decisions, and uneven municipal engagement—consistent with the reported lack of inclusivity across FGS/FMS/municipal counterparts.",0.7,P170922,ac346995,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Polarization around electoral/constitutional reforms can weaken cooperative intergovernmental relations and incentivize actors to avoid or control coordination platforms. This plausibly contributes to inconsistent inclusion of federal, state, and municipal stakeholders in implementation forums.",0.64,P170922,ac346995,Implementation Status and Results Report
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"While focused on operational access constraints, this risk reflects politicization of coordination and movement across jurisdictions. Similar political constraints and inter-authority frictions can plausibly reduce inclusivity and functionality of coordination forums needed for project implementation across levels of government.",0.52,P170922,ac346995,Implementation Status and Results Report
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The need for dedicated security arrangements for enumerators during nationwide field data collection is plausibly driven by the heightened terrorist threat and increased attack tempo, which raises risks to staff movement, access to communities, and continuity of field operations.",0.78,P171160,aa8f6276,Implementation Status and Results Report
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Persistent conflict intensity (including active operations and airstrikes) implies volatile local security conditions in parts of the country, making it credible that project fieldwork logistics had to incorporate security planning and protection measures for enumerators.",0.7,P171160,aa8f6276,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Institutional and political fragmentation that expands operational space for armed actors can translate into uneven security control and unpredictable access conditions across regions, increasing the likelihood that nationwide data collection requires formal security arrangements and more complex logistics.",0.62,P171160,aa8f6276,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Renewed clashes tied to federal–member state confrontation can elevate localized insecurity and checkpoints/armed presence, which would reasonably necessitate security provisions for enumerator travel and field supervision in affected areas.",0.52,P171160,aa8f6276,Implementation Status and Results Report
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The project’s inability to complete road/canal works due to insecurity is plausibly linked to the broader deterioration in security conditions associated with increased Al‑Shabaab activity, which can restrict contractor access, raise threat levels on transport corridors, and force work stoppages or re-sequencing of field activities.",0.78,P173315,371d1f4a,Implementation Status and Results Report
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Persistent conflict intensity and ongoing military operations in southern areas can directly disrupt implementation timelines for infrastructure works through access constraints, heightened security procedures, and intermittent closures of work sites/roads—consistent with the project’s reported delays due to insecurity.",0.7,P173315,371d1f4a,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Institutional fragmentation and contested authority can weaken local security coordination and predictability for operations (permits, escorts, movement approvals), indirectly increasing implementation delays for civil works in insecure settings—aligning with the project’s need for an extension due to security constraints.",0.62,P173315,371d1f4a,Implementation Status and Results Report
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"Where political dynamics restrict movement and operational access, similar constraints can affect development field teams and contractors, contributing to logistical and security-related delays in completing infrastructure works.",0.48,P173315,371d1f4a,Implementation Status and Results Report
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The project’s road works are experiencing security-related delays, which is plausibly linked to a deteriorating security environment driven by Al‑Shabaab’s resurgence and higher attack tempo. Increased insurgent activity commonly constrains contractor mobility, raises protection requirements, and can trigger work stoppages on road corridors.",0.75,P173315,2e810b71,Implementation Status and Results Report
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Persistent conflict dynamics (including active operations and strikes) can disrupt access to worksites and logistics routes and lead to intermittent closures or heightened security procedures, aligning with the reported security-related delays affecting road rehabilitation timelines.",0.65,P173315,2e810b71,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Institutional and territorial fragmentation can reduce predictable security governance across jurisdictions and create operational space for armed actors, which can translate into uneven access permissions and higher insecurity along project road segments—plausibly contributing to implementation delays.",0.55,P173315,2e810b71,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The project risk—intergovernmental coordination forums not achieving full, simultaneous participation of FGS, FMS, and municipal actors—directly reflects fragmentation and mistrust within the federal system. The same federal cohesion problems described at country level plausibly impede routine joint decision-making and coordinated implementation across tiers of government.",0.78,P170922,40468e85,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Escalating FGS–FMS confrontation plausibly reduces willingness and ability of all sides to participate together in coordination forums, contributing to partial attendance and weaker alignment across levels of government. Political standoffs and security tensions between federal forces and member states are consistent with uneven intergovernmental engagement affecting implementation coordination.",0.7,P170922,40468e85,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Polarization around electoral direction and constitutional reforms can undermine cooperative federal–state relations, making it harder to convene inclusive, functional coordination forums across FGS, FMS, and municipalities. The project’s coordination gaps are plausibly linked to broader political mistrust during contested reforms.",0.64,P170922,40468e85,Implementation Status and Results Report
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"The reported politicization that disrupts operational logic and movement (e.g., between Garowe and Las Anod) is consistent with a wider environment in which cross-jurisdiction collaboration is constrained. This can contribute to incomplete participation in intergovernmental forums, especially where travel, access, or political authorization across administrations is contested.",0.58,P170922,40468e85,Implementation Status and Results Report
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"The project’s reported insecurity and access constraints are plausibly linked to the broader deterioration in security conditions driven by al‑Shabaab’s resurgence and increased attack tempo, which commonly restricts movement, raises operational risks, and slows implementation in affected districts.",0.78,P172434,591be487,Implementation Status and Results Report
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Persistent conflict intensity—including active operations and airstrikes—can directly translate into road insecurity, temporary area closures, and heightened duty-of-care constraints, aligning with the project’s limited access to implementation sites and slower execution.",0.68,P172434,591be487,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Federal fragmentation that expands operational space for armed actors can worsen local security and predictability of access permissions, increasing implementation delays consistent with the project’s insecurity and access limitations.",0.55,P172434,591be487,Implementation Status and Results Report
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"Where movement restrictions and political constraints inhibit travel between key locations, similar access constraints can affect development project supervision, contractor mobility, and delivery of inputs, plausibly contributing to slower implementation in constrained corridors.",0.46,P172434,591be487,Implementation Status and Results Report
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Large-scale displacement can strain local security, disrupt transport routes and markets, and complicate safe access for implementers—dynamics that can contribute to access constraints and slower rollout of activities in displacement-affected areas.",0.41,P172434,591be487,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Puntland’s absence from the federal Fisheries Management and Development Council is consistent with wider fragmentation and mistrust between the Federal Government and key federal member states, which undermines functional intergovernmental coordination mechanisms needed for sector governance and project implementation.",0.72,P178032,ab1091e0,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"The implementation issue (Puntland not participating in a federal–state coordination body) plausibly reflects escalating federal–member state tensions that reduce willingness/ability of member states to engage in federal coordination forums, weakening inclusive project governance arrangements.",0.64,P178032,ab1091e0,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Disputes over federal authority and political direction ahead of elections can heighten polarization between the Federal Government and federal member states, which can translate into reduced participation in joint councils like the FMDC and impede cooperative implementation in shared sectors such as fisheries.",0.56,P178032,ab1091e0,Implementation Status and Results Report
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"The project’s inability to proceed in Puntland because a required Federal Government–Puntland Subsidiary Agreement is not finalized is consistent with heightened federal–member state confrontation. This same intergovernmental tension can directly impede coordination, approvals, and implementation arrangements needed for subnational execution.",0.76,P177627,077d02f8,Implementation Status and Results Report
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The stalled Subsidiary Agreement reflects institutional fragmentation within Somalia’s federal system. Such fragmentation commonly manifests as unclear authority, contested mandates, and delayed intergovernmental processes—mechanisms that plausibly explain why project implementation is blocked pending formal federal–state arrangements.",0.73,P177627,077d02f8,Implementation Status and Results Report
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Broader polarization and disputes over the direction of the federal system can slow or prevent the conclusion of intergovernmental agreements required for implementation. While not specific to Puntland, this political climate plausibly contributes to delays in formalizing federal–state execution arrangements.",0.58,P177627,077d02f8,Implementation Status and Results Report
