country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The realized risk is a governance/legal bottleneck (non-adoption of the Code du Numérique) that blocks regulatory and operational activities. This is plausibly connected to the broader risk environment where constrained civic space and limits on inclusive policy dialogue can weaken the quality, legitimacy, and pace of governance reforms and lawmaking needed to operationalize sector frameworks.",0.62,P174461,1332723e
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Delayed adoption of a major digital/telecom legal framework can reflect institutional and political-economy constraints in a context of restricted democratic contestation and limited checks and balances. Where policy debate and scrutiny are constrained, complex reforms may stall or be deprioritized, contributing to persistent legislative delays that directly affect project implementation.",0.53,P174461,1332723e
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"The non-adoption of the Code du Numérique in October 2025 coincides with a period of heightened political focus and tension around constitutional revision. Such high-stakes political moments can crowd out legislative bandwidth and slow passage of sectoral reforms, plausibly contributing to persistent delays affecting project-dependent regulatory actions.",0.41,P174461,1332723e
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The delayed adoption of the key legal instrument for telecom regulation (Livre Deuxième du Code du Numérique) plausibly reflects broader institutional weakness and degraded rulemaking capacity/credibility. In a context of erosion of democratic institutions and heightened transition uncertainty, legislative and regulatory reforms can stall, reducing regulator effectiveness and delaying activities dependent on an updated framework.",0.55,P174461,53509431
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"A constrained political environment can weaken checks and balances and limit inclusive policy debate, which can translate into slower or more politicized adoption of enabling legislation and reduced regulatory independence. This dynamic is plausibly consistent with the persistent non-adoption of the telecom legal framework needed by the regulator (ARMD).",0.45,P174461,53509431
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Pre-electoral instability and heightened political competition can crowd out or delay parliamentary/government attention to sector reforms, including adoption of pending legislation. Given the October 2025 timing of the aide-memoire and proximity to the 2026 elections, the stalled telecom code adoption is plausibly connected to an increasingly fragile political calendar affecting reform bandwidth.",0.4,P174461,53509431
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"Where civic space is constrained, consultation and external engagement around governance reforms can be narrower, potentially reducing momentum for adoption of regulatory frameworks and weakening implementation ownership. This could contribute to persistent delays in adopting the legal basis needed for effective telecom regulation.",0.35,P174461,53509431
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Zero refugee enrollment in TVET is plausibly linked to broader system and service-delivery strain associated with hosting a large refugee population under tight resource constraints. When national services (including education/training) are stretched, refugee-targeted outreach, intake, documentation support, language/bridging assistance, transport, and stipend/fee mechanisms needed to convert eligibility into actual enrollment can be under-prioritized or poorly funded, resulting in non-implementation of the refugee beneficiary stream.",0.52,P175483,d2ad8bed
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"Achieving refugee enrollment often depends on implementation partnerships with non-state actors (CSOs/NGOs, refugee community organizations) for identification, outreach, case management, and trust-building. Country-level constraints on civil society space could reduce the ability or willingness of such actors to operate at scale or to coordinate openly, weakening last-mile engagement with refugees and plausibly contributing to persistent zero enrollment despite a PDO focus on refugees.",0.58,P175483,d2ad8bed
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Zero refugee participation in work-based learning is plausibly linked to broader refugee-hosting pressures and limited resources/capacity to operationalize inclusion beyond basic service access. Where systems are strained, more implementation-intensive interventions (e.g., employer-linked apprenticeships/internships requiring outreach, case management, documentation/transport support, and employer engagement) are often the first to under-deliver for refugees, even when policy is formally inclusive.",0.62,P175483,22b5f072
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"If civil society space and non-governmental engagement are constrained, the project may have fewer effective partners to identify/referral refugees, build trust with refugee communities, and broker placements with employers—raising the likelihood that refugees are not reached or are deprioritized in implementation, resulting in zero participation in apprenticeships/internships/OJT/WBL.",0.55,P175483,22b5f072
