related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The project explicitly involves opposition-led implementing agencies (FCC and WARDC), creating a governance arrangement that spans the ruling party-opposition divide. Political tensions between SLPP and APC could disrupt inter-agency coordination, delay decision-making within the PSC, or cause implementing agencies to obstruct or deprioritize project activities for political reasons.",The Project was prepared in close collaboration with all IAs including opposition-led FCC and WARDC. Implementation arrangements provide IAs with the highest incentive to perform.,0.85,P507588
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The project's risk assessment directly acknowledges that political tensions and social instability stemming from the 2023 elections and ongoing party-line divisions could disrupt implementation, with social unrest identified as a plausible outcome of economic pressures compounded by political fragility.","Political and Governance risk is High, given fragile institutions, widespread poverty and un(der)employment, which, in the context of high inflation, can result in conditions conducive to social unrest. The 2023 elections resulted in a phase of political uncertainty, which was subsequently mediated. However, political tensions and threats to social stability continued, aggravated by economic challenges and strong divide along party lines.",0.88,P507588
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The project's fiduciary arrangements are vulnerable to executive interference given the limited independence of the Auditor General and Audit Service Sierra Leone from the executive branch, which the PAD explicitly flags as a high financial management risk. Patronage dynamics could also distort procurement and staffing of the WASHIT.","Importantly, limited independence from the executive branch of the auditor general and the Audit Service Sierra Leone (ASSL) poses a high FM risk.",0.87,P507588
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD notes that GoSL faces challenges including unplanned political spending and procedural overrides in public financial management, which could divert project funds or undermine the integrity of financial controls, particularly given the project's reliance on government-managed designated accounts and implementing agency sub-accounts.","GoSL is advancing PFM reforms but faces challenges such as budget deviations, procedural overrides, inefficient investment management, and unplanned political spending.",0.82,P507588
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project relies on civil society organizations and NGOs for community engagement, stakeholder consultation, and use of the Wan Fambul Framework. If CSOs face pressure to remain silent on governance failures or project-related grievances to preserve state contracts, the project's citizen engagement and grievance redress mechanisms could be undermined.","The Project will seek to leverage community and Citizen Engagement (CE) to monitor, contribute to operate, and maintain their WASH facilities and to raise awareness of the benefits of sustaining quality service delivery, create coalitions for improved WASH practices and encourage behavior change to make communities ODF. The Project may hire facilitating partners to support communities in organizing themselves to carry out these tasks. The facilitating partners may use the World Bank-supported Wan Fambul Framework (WFF) to guide their work.",0.72,P507588
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The project's construction activities, civil works, and community engagement in Freetown and the Western Area could be disrupted by episodes of political or communal violence, which the PAD acknowledges as a background risk. Labor influx associated with civil works could also heighten community tensions and GBV risks in an already volatile security environment.",Civil works could induce moderate labor influx. The Project may cause temporary and permanent land acquisition and displacement due to civil works and measures to protect areas such as the WAPNP.,0.74,P507588
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD notes that 62 percent of women in Sierra Leone experience violence and rates the SEA/SH risk as substantial. In a context where state security forces have been implicated in violence against civilians, the project's construction sites and public facilities (schools, health centers) could become sites of heightened GBV and SEA/SH risk, particularly given the labor influx anticipated from civil works.","The risk of SEA/SH is substantial, with 62 percent of women in Sierra Leone experiencing violence. The Project will support women's health, hygiene, and sanitation, contributing to gender equality. An SEA/SH assessment and action plan will be prepared not later than one month after Project effective date, including recruiting a service provider and Gender-Based Violence (GBV) and SEA/SH expert.",0.78,P507588
SLE-005,Border Conflict with Guinea Following Military Incursion,"The project's Phase 2 and Phase 3 plans to expand to secondary cities and rural areas could be complicated if border tensions with Guinea escalate and affect security conditions in border-proximate regions. Additionally, the National Water Resources Master Plan financed under Component 2 involves transboundary aquifers, and the OP 7.50 exception already signals sensitivity around cross-border water governance that could be further complicated by deteriorating bilateral relations.","The Policy for Projects on International Waterways OP 7.50 has been applied to the Project as it supports preparing a National Water Resources Masterplan, which may include surveying water quantity and quality in aquifers, some of which are transboundary. It may also recommend using water resources from transboundary aquifers to increase access to water supply in future operations.",0.65,P507588
SLE-008,Displacement and Weak Asylum System Capacity,"The project targets beneficiaries in Freetown and the Western Area, where rapid and unplanned urbanization—partly driven by internal displacement and migration—complicates beneficiary targeting, land acquisition, and resettlement planning. The PAD acknowledges that urban expansion and settlement in floodplains exacerbate infrastructure risks and that social exclusion of vulnerable groups is a project risk.","Potential social risks include social exclusion, involuntary resettlement, and ensuring clean water access in poor neighborhoods within FCC and WARDC... Urban expansion, hillside deforestation, poor drainage, and settlement in floodplains and coastal areas exacerbate flood impacts.",0.68,P507588
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly acknowledges political polarization as a structural challenge in Sierra Leone and rates political and governance risk as Substantial. Deep ethnic and political divisions could undermine the inter-ministerial coordination required by the project's three-layered institutional arrangement, particularly the National Project Steering Committee chaired by MTA and requiring cooperation across multiple sector ministries and agencies.","The country faces post-conflict attributes of governance challenges and political polarization, as well as high unemployment and poverty levels within the context of inadequate social safety nets.",0.72,P178683
