risk_id,title,summary,themes,keywords,locations,severity,time_horizon
SS-001,Collapse of R-ARCSS Peace Agreement and Return to Full-Scale War,"The 2018 Revitalized Agreement on the Resolution of the Conflict in South Sudan (R-ARCSS) has effectively collapsed following President Kiir's arrest of First Vice President Riek Machar in March 2025 and systematic exclusion of SPLM-IO officials from power-sharing arrangements. The RJMEC monitoring body warned in January 2026 that 'ongoing armed confrontations have heightened fears of total collapse of the permanent ceasefire and a relapse into full-scale conflict,' while the International Crisis Group stated the country had 'returned to war' after the SSPDF launched a major offensive in Jonglei in late January 2026 (Al Jazeera, Feb 2026). The UN Security Council was told in February 2026 that 'South Sudan is on the brink of collapse' by Denmark's representative, with fears the conflict could expand and merge with the war in Sudan (Radio Tamazuj, Jan 2026; UN Press, Feb 2026). President Kiir's unilateral cabinet reshuffles and proposed R-ARCSS amendments to delink elections from constitution-making have further eroded the transitional framework (Amani Africa, Jan 2026).","['political', 'security', 'governance']","['R-ARCSS', 'peace agreement', 'Kiir', 'Machar', 'SPLM-IO', 'ceasefire', 'power-sharing', 'civil war']","['nationwide', 'Juba']",high,current
SS-002,Escalating Military Offensive and Atrocity Risks in Jonglei and Upper Nile States,"The SSPDF, backed by Ugandan forces, launched a major offensive in Jonglei State in late January 2026, conducting aerial bombardments that the UN Commission on Human Rights in South Sudan (CHRSS) reported targeted civilian areas, 'predominantly affecting Nuer communities in opposition-affiliated areas' (Al Jazeera, Feb 2026). The OHCHR warned in January 2026 of inflammatory 'no quarter' rhetoric by senior military commanders that significantly heightened the risk of mass atrocities. In early March 2026, a massacre in Abiemnom County, Ruweng Administrative Area, left 178 civilians dead, the deadliest single incident in months (Peoples Dispatch, Mar 2026). The UN Commission warned that 'escalating atrocity risks' and impunity among commanders required urgent international preventive action (Al Jazeera, Feb 2026).","['security', 'humanitarian', 'social']","['aerial bombardments', 'SSPDF', 'Uganda', 'Jonglei', 'atrocities', 'civilians', 'massacre', 'Abiemnom', 'Nuer']","['Jonglei State', 'Upper Nile State', 'Abiemnom County', 'Ruweng Administrative Area', 'Nasir', 'Walgak', 'Akobo']",high,current
SS-003,Mass Internal Displacement Surge Driven by Renewed Conflict,"Renewed fighting since late December 2025 has triggered a sharp surge in displacement. By late February 2026, the UN estimated 280,000 people had been displaced by fighting and air attacks since late December, with over 235,000 displaced in Jonglei State alone (UN News, Jan 2026; Al Jazeera, Feb 2026). A UN inquiry report found that internal displacement rose by almost 40% in 2025 to 3.2 million people nationwide (The New Humanitarian, Mar 2026). As of mid-2025, IOM's Displacement Tracking Matrix recorded over 1.9 million internally displaced persons, while UNHCR reported 1.9 million IDPs as of October 2025, with South Sudan also hosting nearly 600,000 refugees from Sudan and over 800,000 South Sudanese returnees (IOM DTM 2025; UNHCR Oct 2025 per HRW World Report 2026). The states with the most severe displacement needs are Upper Nile, Unity, Jonglei, and the Abyei Administrative Area (IOM Crisis Response Plan 2026).","['displacement', 'humanitarian', 'security']","['IDP', 'displacement', 'Jonglei', 'UNHCR', 'IOM DTM', 'returnees', 'refugees', 'Upper Nile', 'Unity']","['Jonglei State', 'Upper Nile State', 'Unity State', 'Abyei Administrative Area', 'Lakes State', 'nationwide']",high,current
SS-004,"Politicized Repression of Civil Space, Opposition, and Judiciary","The National Security Service (NSS) has severely curtailed civil and political rights through escalating arrests, detentions, harassment, and surveillance of civil society actors, journalists, and political opponents under the 2024 NSS Act, which permits warrantless arrests (HRW World Report 2026). The government initiated treason, murder, and crimes against humanity charges against First Vice President Riek Machar and senior SPLM-IO figures in September 2025, with proceedings widely criticized for blocking independent journalists and civil society from attending (HRW World Report 2026). The South Sudan Human Rights Defenders Network documented at least 114 cases of censorship, harassment, and arbitrary arrests of civil society actors and journalists between July 2022 and July 2025 (HRW World Report 2026). Opposition figures and analysts note that these actions have forced senior SPLM-IO members into self-exile and eroded any remaining space for credible political dialogue (UN Press, 2025).","['governance', 'political', 'social']","['NSS', 'political prisoners', 'Machar', 'civil society', 'treason', 'arrests', 'impunity', 'judiciary', 'censorship']","['Juba', 'nationwide']",high,current
SS-005,December 2026 Elections at Risk of Collapse or Manipulation,"National elections, already delayed from December 2024 to December 2026, face mounting credibility risks as key transitional prerequisites -- a permanent constitution and national census -- remain unfinished, and the government has proposed amendments to delink elections from these requirements (RJMEC report, Jan 2026; Amani Africa, Jan 2026). The imprisonment of Machar and exclusion of the SPLM-IO from effective political participation undermine the prospects for inclusive polls. A South Sudanese political analyst told The New Humanitarian in March 2026 that 'security concerns around Jonglei are becoming a central obstacle to the 2026 elections, with rising tensions potentially providing justification for delaying the vote.' Most senior opposition figures have been driven into self-exile, with very little progress on election preparations reported by the UN (UN Security Council, 2025).","['political', 'governance']","['elections', 'December 2026', 'constitution', 'census', 'SPLM-IO', 'transitional period', 'election delay', 'R-ARCSS']","['nationwide', 'Juba', 'Jonglei State']",high,0-3m
SS-006,Widespread Intercommunal Violence Across Multiple States,"Intercommunal violence driven by ethnic tensions, cattle raiding, revenge attacks, and competition over natural resources continued to escalate across Warrap, Lakes, Eastern Equatoria, Jonglei, Abyei, and Unity states in 2025 (HRW World Report 2026). OHCHR reported at least 1,854 people killed, 1,693 injured, 423 abducted, and 169 subjected to sexual violence between January and September 2025 due to intercommunal violence and fighting (HRW World Report 2026). The National Salvation Front (NAS), a non-signatory to the peace deal, continued its insurgency in Greater Equatoria and formed a military alliance with the SPLA-IO in September 2025, broadening the geographic scope of armed violence (HRW World Report 2026). IOM's 2026 Crisis Response Plan notes the security situation remains 'extremely fragile' and unrest could occur across the country including in Western and Central Equatoria (IOM Crisis Response Plan 2026).","['security', 'social', 'humanitarian']","['intercommunal violence', 'cattle raiding', 'NAS', 'Equatoria', 'Warrap', 'Lakes', 'ethnic tensions', 'abductions', 'CRSV']","['Warrap State', 'Lakes State', 'Eastern Equatoria', 'Jonglei State', 'Abyei Administrative Area', 'Unity State', 'Western Equatoria', 'Central Equatoria', 'Greater Equatoria']",high,current
SS-007,Humanitarian Access Crisis: Attacks on Aid Workers and Obstruction by Belligerents,"Humanitarian operations have been severely crippled by attacks, looting, and movement restrictions imposed by both government and opposition forces, with observers noting both sides prevent aid from reaching areas where civilians are perceived to support their opponents (Al Jazeera, Feb 2026). WFP suspended activities in Baliet County, Upper Nile State in early February 2026 after repeated attacks on a humanitarian convoy, keeping the suspension until safety could be guaranteed (Al Jazeera, Feb 2026). OCHA reported that humanitarian access deteriorated sharply in January 2026 due to escalating hostilities, forced staff relocations, and direct attacks on humanitarian operations (OCHA, Feb 2026). MSF reported that a hospital in Jonglei was hit by a government air attack, marking the 10th attack on medical facilities in 12 months (Al Jazeera, Feb 2026). The UN and partners are requesting over $1 billion to help 4 million people in 2026, while 2025 funding reached less than 41% of needs (OCHA 2026; Oxfam 2025).","['humanitarian', 'security', 'governance']","['humanitarian access', 'WFP', 'aid attacks', 'MSF', 'medical facilities', 'convoy looting', 'Upper Nile', 'Baliet County', 'OCHA', 'funding shortfall']","['Baliet County', 'Upper Nile State', 'Jonglei State', 'nationwide']",high,current
SS-008,"Acute Food Insecurity and Famine Risk, Exacerbated by USAID Funding Collapse","Approximately 7.7 million people face acute food insecurity during lean months, with the IPC forecasting this could worsen to 7.5 million people in crisis by April 2026; expert findings indicate parts of Luakpiny/Nasir County, Upper Nile State, are at risk of famine (IPC Phase 5) (WFP 2025; IOM Crisis Response Plan 2026). The dismantling of USAID in early 2025 -- the largest single humanitarian donor -- severely impacted South Sudan's emergency response systems; ProPublica reported that USAID funding cuts directly contributed to the country's worst cholera epidemic in its history, with 36,000 infections and over 600 deaths in the first three months alone (ProPublica, Dec 2025). WFP is operating under severe constraints, providing only 50-70% rations to 2.7 million people, with a funding shortfall of $398.9 million over six months (WFP 2025). HRW reports approximately 70% of the population requires food assistance amid conflict, climate shocks, and USAID cuts (HRW World Report 2026).","['humanitarian', 'health', 'economy']","['famine', 'food insecurity', 'USAID', 'WFP', 'cholera', 'IPC Phase 5', 'malnutrition', 'funding cuts', 'Nasir', 'Upper Nile']","['Luakpiny/Nasir County', 'Upper Nile State', 'Jonglei State', 'nationwide']",high,current
SS-009,Oil-Dependent Economy Under Dual Threat of Conflict and Pipeline Vulnerability,"South Sudan derives over 90% of government revenue from oil exports, which transit entirely through Sudan's pipeline network to Port Sudan on the Red Sea -- a structural dependency that renders the economy acutely vulnerable to Sudan's ongoing civil war (World Bank per HRW; Bramston and Associates, Nov 2025). The main Petrodar pipeline was damaged in February 2024 and only partially restored from April 2025, with production remaining well below pre-crisis levels; the IMF reported average inflation at approximately 143% in FY2024/25 and poverty rising to 92% of the population (IMF Staff-Level Agreement, Jun 2025; World Bank Economic Monitor, Mar 2025). Domestic governance compounds the fiscal crisis: NilePet -- the state oil company -- operates as a 'black box' with off-budget revenue flows, and oil sold forward until 2027 limits available fiscal receipts (PeaceRep/The Conversation, Jan 2026). Renewed internal conflict threatening oilfields in northern states risks re-interrupting production and plunging the country back into fiscal collapse (Atlas Institute, Apr 2025).","['economy', 'governance', 'security']","['oil revenue', 'pipeline', 'Port Sudan', 'hyperinflation', 'NilePet', 'fiscal crisis', 'poverty', 'IMF', 'World Bank', 'corruption']","['Upper Nile State', 'Unity State', 'Port Sudan', 'nationwide']",high,current
SS-010,"UNMISS Operational Degradation: Budget Cuts, Aircraft Grounding, and Host Government Friction","Relations between UNMISS and the South Sudanese government have deteriorated sharply. In October 2025, the Ministry of Foreign Affairs demanded UNMISS reduce its international military contingents by 70%, close several bases, and ground intelligence-capable aircraft; South Sudan subsequently grounded four UNMISS-contracted aircraft in December 2025 on allegations of illegal surveillance and smuggling -- allegations UNMISS firmly denied (Sudans Post, Dec 2025; Radio Tamazuj, Dec 2025). Simultaneously, UN-wide austerity measures require UNMISS to cut spending by 15%, entailing repatriation of a quarter of uniformed personnel and closure of field offices, with UN officials warning the mission could exhaust financial resources by March 2026 without intervention (Sudans Post, Jan 2026). The Lowy Institute noted the 15% budget cut is translating into a 25% cut in uniformed peacekeeping personnel, with fewer patrols and reduced civilian protection capacity across South Sudan at a critical juncture (Lowy Institute, 2026). These operational constraints significantly weaken UNMISS's ability to protect civilians and support the peace process.","['security', 'governance', 'humanitarian']","['UNMISS', 'peacekeeping', 'aircraft grounding', 'budget cuts', 'civilian protection', 'host government', 'field offices', 'USAID', 'UN austerity']","['Juba', 'Akobo', 'Jonglei State', 'nationwide']",high,current
