risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Procurement delays affecting emergency project implementation,"Cumbersome and slow procurement procedures are significantly delaying project implementation, with strategic food stock procurement taking 10 weeks in the procurement cycle (3 weeks at CNMP, 7 weeks in signature circuit). This is impacting financial execution and project results.",high,persistent,le dossier relatif au stock stratégique est resté 10 semaines dans le cycle de passation de marchés (dont 3 semaines au niveau de la Commission National de Marché Publics (CNMP) et 7 semaines dans le circuit des signatures),3a7e5709,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Governance coordination challenges between project and national procurement authority,"The project requires urgent discussions with the National Public Procurement Commission (CNMP) to prioritize emergency project procurement files. The Minister committed to accelerating procurement processes, indicating governance friction between project implementation and national authorities.",high,persistent,"la mission a soulevé le défi sur la passation des marchés et la nécessité d'engager des discussions avec le CNMP afin que les dossiers de passation de marchés du projet PURCSA, qui est un projet d'urgence, soient traités en priorité",b3d99852,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Inefficient water distribution due to non-compliance with predefined routes,"Six water tanker trucks deployed to regions are not following predefined routes, resulting in inefficient resource use. This requires urgent discussion with regional prefects to ensure proper utilization and effective water distribution.",medium,new,"les itinéraires prédéfinis ne sont pas respectés, ce qui entraîne une utilisation inefficace des camions",684fd11f,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Delayed operationalization of complaint management mechanism for sexual exploitation and abuse,"The Complaint Management Mechanism (MGP) for sexual exploitation and abuse/sexual harassment (EAS/HS) has not been operationalized. Only 53% of MGP implementation is complete as of September 2024, creating safeguarding gaps before project work activities commence.",high,persistent,la mise en place du MGP a pris un retard considérable et n'a été fait que partiellement (à 53%),bc0a1e44,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Inadequate capacity for gender-based violence prevention and response,"The project lacks a dedicated gender-based violence specialist. The current social specialist is assuming this role, but HEIS consultant indicates additional capacity is needed. This creates implementation gaps for EAS/HS prevention and response in a food security crisis context.",high,persistent,"Bien que la spécialiste sociale actuelle assume ce rôle, le consultant HEIS indique que des capacités supplémentaires sont nécessaires sur ce sujet",bf841a3f,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Delayed environmental and social safeguard documentation for hydraulic infrastructure rehabilitation,Environmental and social screening (ES) and impact assessment (ESIA) documents for hydraulic infrastructure rehabilitation sites were prepared in May/June 2024 but have not been transmitted to the World Bank. This delays project compliance and work commencement.,medium,persistent,"bien que les documents aient été partagés avec l'UGP en mai/juin 2024, ce dernier n'a pas encore transmis ces documents à la Banque mondiale",3498e202,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Coordination failures within project management unit affecting safeguard implementation,"The Project Management Unit (UGP) coordination is delaying transmission of environmental and social documents prepared by the E&S team to the World Bank. Some instruments prepared in May-June have not been sent, causing unnecessary delays in safeguard compliance.",medium,persistent,"la mission a aussi noté du retard au niveau de la Coordination de l'UGP, dans la transmission à la Banque des documents préparés par l'équipe E&S du projet",021af581,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Insufficient monitoring and reporting of environmental and social compliance,The second quarter environmental and social (E&S) report was not submitted to the World Bank. Regular and timely E&S reporting is necessary to ensure compliance with the Environmental and Social Framework (PESF) and project requirements.,medium,persistent,le rapport E&S pour le deuxième trimestre n'a pas été soumis à la Banque,f74f4225,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Delayed mid-term review due to insufficient project results,"The project's mid-term review, initially planned for the current mission, has been postponed due to lack of project results and realizations. This indicates significant implementation delays affecting project trajectory and potential restructuring needs.",high,worsening,"la RMP du projet, bien qu'initialement prévu pour la mission en cours, a dû être reporté pour faute de résultats/réalisations du Projet",fb78a64f,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
Low project disbursement rate threatening project completion,"Project disbursement rate is only 15.2% as of October 2024, one year before project closure (December 2025). This very low rate necessitates doubled efforts and close monitoring to ensure results before project end, with risk of project failure.",high,persistent,"Le niveau de décaissements du projet dans le système Client Connection de la Banque mondiale, à la date d'octobre 2024, est à 15.2%, qui est très bas à un an de la date de clôture du projet",545a4b67,P178988,Aide Memoire,2025-01-27T06:40:03.000Z
