related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
SOM-2026-01,Al-Shabaab Resurgence: Territorial Gains and Threat to Mogadishu,"Project implementation and beneficiary access are vulnerable to al-Shabaab territorial expansion and violence. The PAD explicitly acknowledges that al-Shabaab poses security threats and that the volatile security situation can restrict access to project sites for cash delivery and monitoring. Al-Shabaab's recent territorial gains in Middle Shabelle, Lower Shabelle, and Hiraan—areas where the project operates—directly threaten project operations and beneficiary reach.",0.95,P507443,"PAD states: 'Al-Shabaab and other armed actors pose security threats' and 'volatile security situation; ongoing anti-terror campaign can restrict access to project sites for cash delivery and/or monitoring.' The project operates 'nationwide' and in 'Federal Member States (FMS) - all,' including areas affected by al-Shabaab resurgence. PAD notes 'Conflict and insecurity risks are substantial across the country and high in certain parts. Security situation limits access to project locations.' Project only operates 'in locations where security situation is not expected to create risks to successfully delivering cash assistance,' but this determination may become outdated as al-Shabaab expands territorial control."
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"Project governance and coordination mechanisms depend on functional FGS-FMS relationships that are deteriorating due to electoral deadlock and constitutional disputes. The PAD's mitigation strategy relies on 'engagement with FGS, FMS' and the project providing 'an operational platform for promoting FGS-FMS dialogue.' However, the current constitutional crisis and electoral maneuvering by President Mohamud are severely straining these relationships, potentially undermining the SPP Governance Committee and Executive Committee that oversee project implementation.",0.85,P507443,"PAD identifies 'Complex relationship between FGS, FMS, and Somaliland; volatile security situation' as a political and governance risk and notes 'Rising political brinksmanship between FGS and FMS.' Project governance relies on 'SPP Governance Committee (chaired by Federal Minister of Labor and Social Affairs)' and 'Executive Committee (chaired by Director General of MoLSA)' with 'FMS Ministers and Directors General.' The PAD states the project 'provides operational platform for promoting FGS-FMS dialogue around poverty alleviation and building bridges for collaboration in service delivery,' but this dialogue mechanism is at risk if constitutional disputes escalate and FMS reject federal authority."
SOM-2026-04,"Severe Drought, Food Insecurity, and Humanitarian Catastrophe","The project's cash transfer and economic inclusion components are vulnerable to severe drought and food insecurity that may overwhelm targeting systems, reduce program effectiveness, and create competing demands on limited government capacity. The PAD acknowledges macroeconomic risks from 'recurrent droughts and floods damaging volatile economy' and notes that 'inflationary pressures, exchange rate instability' could 'negatively affect household purchasing power and effectiveness of cash transfer interventions.' Current drought conditions (worst in 40 years, 6.5 million facing hunger) may render cash transfer values inadequate and disrupt beneficiary identification and enrollment.",0.9,P507443,"PAD identifies macroeconomic risk: 'Risk of recurrent droughts and floods damaging volatile economy' and 'Inflationary pressures, exchange rate instability, and disruption of remittance flows could negatively affect household purchasing power and effectiveness of cash transfer interventions.' Project targets 'climate-vulnerable areas' and includes 'Shock Responsive Cash Transfers' with 'predetermined climate/food security triggers,' but the current severity (6.5 million in hunger, 2 million in Emergency Phase 4) may exceed the project's adaptive capacity. PAD notes 'Rapid urbanization driven by instability and climate shocks' and Component 1 'Targets urban districts with high immigration and climate vulnerability,' indicating project areas are experiencing acute climate stress."
SOM-2026-05,Mass Internal Displacement Driven by Conflict and Climate Shocks,"Project targeting, beneficiary identification, and service delivery are vulnerable to mass displacement. The PAD acknowledges that 'Rapid urbanization driven by instability and climate shocks' is occurring and that Component 1 'prioritizes districts with high immigration' and H&N CCT 'prioritizes areas hosting displaced populations.' However, with 4.6 million people affected by drought and nearly 500,000 displaced since September 2025, the Unified Social Registry (USR) may become outdated, beneficiary verification may fail, and displaced populations may be excluded or misidentified. The PAD notes 'potential beneficiary inclusion and exclusion errors' as a fiduciary risk.",0.88,P507443,"PAD states project operates in 'Select urban districts with high immigration and climate vulnerability' and acknowledges 'Rapid urbanization fueled by instability and climate shocks leading to highest concentrations of poverty in urban areas.' Component 1 'prioritizes districts with high immigration driven partly by displacement due to droughts and floods.' H&N CCT 'district selection prioritizes areas hosting displaced populations.' However, PAD also identifies fiduciary risk of 'Potential beneficiary inclusion and exclusion errors' and notes that the USR registration of '2 million accessible households (~12 million individuals)' may not capture highly mobile displaced populations. PAD mentions 'IDP camps' in context of 'gatekeeping' challenges for humanitarian aid access, suggesting displacement creates implementation barriers."
SOM-2026-07,Somalia-UAE Diplomatic Rupture and Security Cooperation Vacuum,"The project's implementation capacity is indirectly vulnerable to the security cooperation vacuum created by Somalia's rupture with the UAE. The PAD notes that 'Security situation limits access to project locations' and relies on 'Security firms contracted for implementation support.' The UAE rupture has disrupted security force salaries and training support, potentially weakening the security environment in which the project operates and reducing the capacity of Somali security forces to provide protection for project staff, beneficiaries, and facilitation centers.",0.7,P507443,PAD identifies 'Security/Other (substantial)' risk and states 'Conflict and insecurity risks are substantial across the country and high in certain parts. Security situation limits access to project locations for World Bank implementation support and poses risks for frontline implementation agencies (government and UN) and beneficiaries.' Mitigation includes 'Security firms contracted for implementation support' and 'Security Risk Assessment and Management Plan required as effectiveness condition.' The project's reliance on security arrangements and the capacity of Somali security forces to maintain order in project areas is vulnerable to the disruption of security cooperation and funding that the UAE rupture has caused.
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"Project implementation depends on functional FGS-FMS coordination that is being undermined by federal-state fragmentation. The PAD's governance structure assumes cooperation between FGS and FMS through the SPP Governance Committee and Executive Committee. However, the current political crisis—with Puntland having suspended cooperation with FGS in 2023 and Jubaland resisting federal authority—threatens the coordination mechanisms essential for nationwide implementation. The project's nationwide scope and reliance on FMS participation make it vulnerable to further fragmentation.",0.85,P507443,"PAD identifies political and governance risk: 'Complex relationship between FGS, FMS, and Somaliland' and 'Rising political brinksmanship between FGS and FMS.' Project governance includes 'SPP Governance Committee (chaired by Federal Minister of Labor and Social Affairs)' with 'FMS Ministers and Directors General' and 'Executive Committee (chaired by Director General of MoLSA)' also including FMS representatives. PAD states project 'provides operational platform for promoting FGS-FMS dialogue around poverty alleviation and building bridges for collaboration in service delivery,' but this assumes willingness to cooperate. Project operates 'nationwide' and in 'Federal Member States (FMS) - all,' making it vulnerable to FMS non-cooperation or withdrawal from coordination mechanisms."
SOM-2026-10,Health System Collapse Amid Disease Outbreaks and Malnutrition Surge,"The project's health and nutrition conditional cash transfer component (H&N CCT) is vulnerable to health system collapse and disease outbreaks. The PAD notes that Component 2.2 provides CCTs to 'pregnant women and mothers of children 0-2 years' linked to 'health awareness sessions and growth monitoring at Baxnaano Facilitation Centers.' However, the current health system crisis—with 35% of facilities projected to close by mid-2026, widespread disease outbreaks (diphtheria, measles, malaria, cholera), and severe malnutrition—threatens the health service delivery infrastructure on which the H&N CCT conditionalities depend. Beneficiaries may be unable to access health services required to receive transfers.",0.75,P507443,"PAD Component 2.2 describes 'Health & Nutrition CCT' providing 'US$30/quarter' to 'pregnant women and mothers of children 0-2 years' with 'conditionalities' linked to 'health awareness sessions and growth monitoring at Baxnaano Facilitation Centers.' PAD acknowledges 'Potential attacks on facilitation centers and beneficiaries' as an E&S risk. However, PAD does not explicitly address the risk that health facilities required for CCT conditionalities may not be functional. The project's reliance on health service delivery is implicit in the design of the H&N CCT, which conditions transfers on health-related behaviors that require functioning health services."
SOM-2026-11,Humanitarian Access Constraints and Aid Worker Security,"Project implementation and beneficiary access are vulnerable to humanitarian access constraints and aid worker security risks. The PAD acknowledges that 'Security situation limits access to project locations for World Bank implementation support and poses risks for frontline implementation agencies (government and UN) and beneficiaries.' The current humanitarian access crisis—with 139 access incidents recorded between January-September 2025, al-Shabaab checkpoints and IEDs, and informal taxation—directly threatens the project's ability to deliver cash transfers, conduct monitoring, and reach beneficiaries in priority areas such as Shabelle River corridor, Hiraan, and Galgaduud.",0.9,P507443,"PAD identifies 'Security/Other (substantial)' risk and states 'Security situation limits access to project locations for World Bank implementation support and poses risks for frontline implementation agencies (government and UN) and beneficiaries.' Mitigation includes 'Project only operates in locations where security situation is not expected to create risks to successfully delivering cash assistance' and 'Risk mitigated using digital transfers.' However, PAD also notes 'Continuation of operating modality established under SNHCP,' suggesting reliance on existing access arrangements that may be disrupted. Project includes 'TPM arrangements designed to operate within security constraints' and 'leverages WFP and UN agency presence in insecure areas,' but these partnerships are themselves vulnerable to access constraints."
SOM-2026-03,AUSSOM Funding Crisis Threatening Peace Mission Viability,"Project implementation is indirectly vulnerable to AUSSOM funding crisis and potential mission collapse. The PAD acknowledges that 'Security situation limits access to project locations' and relies on security arrangements that depend on the broader security environment maintained by AUSSOM and Somali security forces. AUSSOM's funding crisis and potential collapse would further degrade the security environment, reduce the capacity of Somali forces to provide protection, and increase the risks to project staff, beneficiaries, and facilitation centers. The project's mitigation strategy of using 'Security firms contracted for implementation support' may become insufficient if the broader security environment deteriorates.",0.65,P507443,"PAD identifies 'Security/Other (substantial)' risk and states 'Conflict and insecurity risks are substantial across the country and high in certain parts. Security situation limits access to project locations for World Bank implementation support and poses risks for frontline implementation agencies (government and UN) and beneficiaries.' Mitigation includes 'Security firms contracted for implementation support' and 'Security Risk Assessment and Management Plan required as effectiveness condition.' However, PAD does not explicitly address the risk that the broader security environment—maintained by AUSSOM and Somali security forces—may deteriorate due to funding constraints, which would undermine the project's security arrangements."
SOM-2026-06,Islamic State-Somalia's Growing Global Remit and Puntland Threat,"Project implementation in Puntland is vulnerable to IS-S threat and the security vacuum created by Somalia's cancellation of UAE agreements. The PAD notes the project operates in 'Federal Member States (FMS) - all,' which includes Puntland. IS-S operates from strongholds in Puntland's Cal Miskaad and Al-Madow mountain ranges and has grown to 1,000-1,600 fighters. The cancellation of UAE security agreements has disrupted salary support for Puntland security forces, potentially weakening the security environment in which the project operates. Puntland's rejection of federal authority further complicates project coordination and implementation.",0.7,P507443,"PAD states project operates 'nationwide' and in 'Federal Member States (FMS) - all,' including Puntland. PAD acknowledges 'Al-Shabaab and other armed actors pose security threats' and identifies 'Conflict and insecurity risks are substantial across the country and high in certain parts.' However, PAD does not specifically address IS-S threat in Puntland. The project's vulnerability to IS-S is implicit in the acknowledgment of 'armed actors' and 'insecurity risks' in FMS areas. Puntland's suspension of cooperation with FGS (noted in country risk SOM-2026-08) further complicates the project's ability to coordinate implementation in Puntland."
SOM-2026-12,Somaliland Recognition Dispute and Regional Geopolitical Polarization,"Project implementation in Somaliland is vulnerable to geopolitical polarization and the Somaliland recognition dispute. The PAD allocates US$9.5 million for Somaliland activities and notes 'Complex relationship between FGS, FMS, and Somaliland.' The Israel recognition of Somaliland and the resulting diplomatic crisis have deepened FGS-Somaliland tensions and regional polarization. This may complicate the project's ability to coordinate between FGS and Somaliland, affect the legitimacy of FGS-led initiatives in Somaliland, and create political obstacles to implementation. The PAD notes 'Survey not conducted in Somaliland at this time,' suggesting existing coordination challenges.",0.75,P507443,"PAD allocates 'US$9.5 million reserved' for Somaliland and notes 'Component 1: Connecting Youth and Women to Better Jobs Today' includes '3,000 youth in Somaliland' and 'US$4.5 million for Somaliland.' Component 3.1 includes 'US$3 million for Somaliland' and 'Supports Somaliland MoLSAF capacity.' Component 3.3 includes 'US$2 million for Somaliland' and 'hybrid PIU in MoLSAF (Somaliland).' However, PAD also notes 'Survey not conducted in Somaliland at this time,' indicating existing implementation challenges. PAD identifies 'Complex relationship between FGS, FMS, and Somaliland' as a political and governance risk, and the current geopolitical crisis over Somaliland recognition may exacerbate these tensions."
SOM-2026-01,Al-Shabaab Resurgence: Territorial Gains and Threat to Mogadishu,"Al-Shabaab's territorial expansion and encirclement of Mogadishu directly threatens project implementation access, staff safety, and beneficiary reach in conflict-affected districts. The PAD explicitly identifies security as a high risk, noting that 'districts across Somalia experience violence and security incidents impacting access to locations and safety of staff and project stakeholders.' Al-Shabaab's control of areas in Middle Shabelle, Lower Shabelle, and Hiraan—regions where emergency assistance and essential services are intended to be delivered—could severely disrupt or prevent CERP activation and implementation in these zones.",0.95,P509224,"PAD states: 'Districts across Somalia experience violence and security incidents affecting access to locations and safety of staff and project stakeholders, complicating project implementation and monitoring.' Security risk is rated 'High.' The project's national scope and intention to cover Federal Member States nationwide means it must operate in areas currently experiencing active al-Shabaab operations. The PAD notes the project relies on 'coordination with implementing partners, security authorities, and local communities' and 'remote monitoring tools,' indicating awareness that direct access is compromised. The project's emergency livelihood support and essential services components depend on field presence and logistics that al-Shabaab territorial control would obstruct."
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,"The electoral deadlock and constitutional crisis risk threatens the governance arrangements and institutional coordination mechanisms that the CERP depends upon for activation and implementation. The PAD identifies 'Political and Governance' as a high risk, specifically citing 'legacy of state fragmentation and civil war, incomplete constitutional review (especially allocation of powers between federal and state governments).' The project's steering committee structure—which requires inclusion of Federal Member States and coordination across federal MDAs—could be paralyzed or rendered ineffective if the constitutional crisis deepens and federal-state relations deteriorate further, as the risk summary indicates is occurring.",0.9,P509224,"PAD identifies Political and Governance risk as 'high' due to 'incomplete constitutional review (especially allocation of powers between federal and state governments) and continued insurgency. Political contestation on core constitutional matters and resource sharing complicates institutional setup and service delivery.' The project's mitigation strategy relies on 'Inclusion of affected Federal Member States in the project steering committee upon CERP activation; regular communication and inclusive, transparent decision-making processes.' However, if the constitutional crisis prevents agreement on federal-state power allocation (as the country risk indicates is happening), the steering committee's ability to function and make activation decisions could be severely compromised. The PAD notes that 'Political contestation on core constitutional matters and resource sharing complicates institutional setup and service delivery.'"
SOM-2026-04,"Severe Drought, Food Insecurity, and Humanitarian Catastrophe","The severe drought and humanitarian catastrophe directly align with the CERP's activation trigger and beneficiary base, but the scale and severity of the crisis—with 6.5 million people facing high levels of hunger and 2 million in Emergency Phase 4—may overwhelm the project's capacity and fiscal envelope. The PAD notes that 'Emergency response costs estimated at $129 million/year against severely constrained fiscal space,' and the CERP draws from 'undisbursed balances of host IDA projects via Rapid Response Option, up to 10% of undisbursed balances per fiscal year.' The current drought crisis may require activation at a scale that exhausts available funding and implementing partner capacity, leaving critical gaps in coverage.",0.85,P509224,"The PAD explicitly identifies the project as designed to respond to 'an eligible crisis disaster in Somalia' and notes that 'Emergency response costs estimated at $129 million/year against severely constrained fiscal space.' The project's financing mechanism relies on 'undisbursed balances of host IDA projects via Rapid Response Option, up to 10% of undisbursed balances per fiscal year,' which may be insufficient given the scale of the current drought (6.5 million people in high hunger, 1.85 million children under five facing acute malnutrition). The PAD identifies 'Macroeconomic' risk as 'substantial,' citing 'Low revenue mobilization (domestic revenue only 3% of GDP)' and 'heavy reliance on external financing in context of declining ODA.' The project's beneficiary target of '600,000 to 1.8 million people directly benefitting per activation' may fall short of the 6.5 million facing crisis-level food insecurity."
SOM-2026-05,Mass Internal Displacement Driven by Conflict and Climate Shocks,"The massive displacement (nearly 4 million IDPs, with 4.6 million affected by drought since September 2025) directly impacts the CERP's ability to target and reach beneficiaries effectively. The PAD identifies displaced persons as an explicit vulnerable group and notes that the Unified Social Registry (USR) is used for beneficiary identification. However, the scale of displacement—with over 141,900 IDPs evicted from temporary shelters between January and August 2025 alone—creates a highly fluid and difficult-to-track beneficiary population. Forced evictions and ongoing displacement may render beneficiary lists outdated and prevent effective cash transfer delivery and service provision.",0.88,P509224,"The PAD explicitly lists 'Displaced persons (internally displaced)' as a vulnerable group and states that the project uses the 'Unified Social Registry' for 'beneficiary identification to avoid parallel systems.' However, the PAD also notes that 'Large volumes of humanitarian assistance channeled outside government systems' reflects institutional capacity constraints. The country risk indicates that 'between January and August 2025, over 141,900 IDPs were evicted from temporary shelters' and 'close to half a million having abandoned their homes since September 2025 in search of water and food,' creating a highly mobile and difficult-to-track population. The PAD's mitigation strategy of using the USR assumes a relatively stable beneficiary base, but the displacement dynamics described in the country risk suggest the registry may become rapidly outdated, undermining targeting accuracy and delivery effectiveness."
SOM-2026-08,Federal-State Fragmentation Enabling Al-Shabaab Exploitation,"Federal-state fragmentation directly undermines the CERP's institutional coordination model, which depends on a functioning steering committee with Federal Member State participation and cooperation. The PAD identifies Political and Governance risk as 'high' and notes that 'Political contestation on core constitutional matters and resource sharing complicates institutional setup and service delivery.' The country risk indicates that Puntland suspended cooperation with the federal government in 2023 and that Jubaland is also in discord with Mogadishu. If key FMS refuse to participate in the steering committee or coordinate on CERP activation, the project's national coverage objective and inclusive decision-making model will be compromised.",0.92,P509224,"The PAD's mitigation strategy for Political and Governance risk explicitly relies on 'Inclusion of affected Federal Member States in the project steering committee upon CERP activation; regular communication and inclusive, transparent decision-making processes.' However, the PAD also identifies as a risk factor 'incomplete constitutional review (especially allocation of powers between federal and state governments)' and notes that 'Political contestation on core constitutional matters and resource sharing complicates institutional setup and service delivery.' The country risk indicates that Puntland 'suspended cooperation with the federal government in 2023' and that President Mohamud's 'constitutional reform agenda, new political party formation by presidential decree, and electoral maneuvering are widely perceived as centralizing power, spinning Somalia toward further fragmentation.' If FMS refuse to participate in the steering committee or coordinate on CERP implementation, the project's ability to function as designed will be severely compromised."
SOM-2026-11,Humanitarian Access Constraints and Aid Worker Security,"Humanitarian access constraints and aid worker security threats directly impact the CERP's ability to deliver emergency assistance and essential services. The PAD notes that the project relies on 'implementing partners with greater access in conflict-affected areas' and uses 'remote monitoring tools,' but the country risk indicates that 'Between January and September 2025, OCHA recorded 139 humanitarian access incidents in Somalia, including interference in aid delivery and violence against personnel, with severe restrictions persisting along the Shabelle River corridor, Hiraan, and Galgaduud.' These are priority areas for emergency response, and access constraints will directly limit the project's reach and effectiveness.",0.93,P509224,"The PAD identifies Security risk as 'High' and notes that 'Districts across Somalia experience violence and security incidents impacting access to locations and safety of staff and project stakeholders, complicating project implementation and monitoring.' The project's mitigation strategy includes 'Coordination with implementing partners, security authorities, and local communities; remote monitoring tools; careful management of project visibility.' However, the country risk indicates that 'Unpredictable movement due to al-Shabaab checkpoints, ambushes, IEDs, hostilities, and informal taxation has increased operational costs and delayed aid delivery to the most vulnerable populations.' The PAD's reliance on implementing partners assumes they will have sufficient access, but the access incidents documented in the country risk (139 incidents in 9 months, with restrictions in priority response areas) suggest that even partner access will be severely constrained, limiting the project's ability to deliver cash transfers and essential services."
SOM-2026-03,AUSSOM Funding Crisis Threatening Peace Mission Viability,"The AUSSOM funding crisis and degradation of security force capacity indirectly threatens CERP implementation by reducing the security environment and government capacity to coordinate emergency response. The PAD notes that the project depends on 'coordination with security authorities' and that 'Security Advisory Group at portfolio level' provides oversight. If AUSSOM collapses or is severely degraded due to funding shortfalls, the security environment will deteriorate further, making it more difficult for the government and implementing partners to access beneficiaries and deliver assistance. The country risk indicates that 'Troop-contributing countries have gone extended periods without receiving stipends, threatening morale, operational readiness, and mission cohesion,' which will reduce the government's ability to provide security for humanitarian operations.",0.75,P509224,"The PAD identifies Security risk as 'High' and notes that the project's mitigation strategy includes 'Coordination with implementing partners, security authorities, and local communities' and a 'Security Advisory Group at portfolio level.' The PAD also references 'African Union Support and Stabilization Mission in Somalia (AUSSOM)' in the abbreviations section, indicating awareness of the AU mission's role in the security environment. However, the PAD does not explicitly address the risk that AUSSOM funding shortfalls could degrade the security environment and reduce government capacity to coordinate emergency response. The country risk indicates that AUSSOM faces an 'existential funding crisis' with 'no funding pledged for 2026' and that 'Troop-contributing countries have gone extended periods without receiving stipends, threatening morale, operational readiness, and mission cohesion.' This will reduce the security environment and government capacity to support CERP implementation."
SOM-2026-10,Health System Collapse Amid Disease Outbreaks and Malnutrition Surge,"The health system collapse and disease outbreaks directly impact the CERP's ability to deliver essential health and nutrition services as part of its emergency response. The PAD identifies the project's component as including 'Provision of Essential Services/Supplies – procurement and distribution of emergency water and sanitation, health and nutrition, livestock protection, relief supplies, and non-food items.' However, the country risk indicates that 'Somalia's already fragile health system is projected to lose at least 35% of functioning facilities by mid-2026 due to funding cuts and conflict disruption' and that 'In Puntland, approximately 79 supplementary feeding sites have closed and 182 health facilities face staff and supply shortages due to funding shortfalls.' This will severely limit the project's ability to deliver health and nutrition services, as the implementing partner network and health facility infrastructure will be degraded.",0.8,P509224,"The PAD identifies the CERP's emergency assistance component as including 'Provision of Essential Services/Supplies – procurement and distribution of emergency water and sanitation, health and nutrition, livestock protection, relief supplies, and non-food items.' The project's beneficiary target includes vulnerable groups such as 'Households affected by climate shocks (drought, flooding), Food insecure populations,' which are experiencing malnutrition and disease outbreaks. However, the PAD does not explicitly address the risk that health system collapse will limit the project's ability to deliver health and nutrition services. The country risk indicates that 'By November 2025, the country had recorded 3,375 diphtheria cases and 139 deaths, 11,599 measles cases, 11,952 malaria cases, and 8,846 cases of AWD/cholera' and that 'approximately 79 supplementary feeding sites have closed and 182 health facilities face staff and supply shortages due to funding shortfalls.' This will reduce the project's ability to deliver health and nutrition services through the health facility network."
SOM-2026-01,Al-Shabaab Resurgence: Territorial Gains and Threat to Mogadishu,"Project implementation in hard-to-reach rural areas and districts with weak state presence is directly vulnerable to al-Shabaab territorial control and operational disruption. The project's explicit focus on expanding state presence into areas currently controlled or contested by al-Shabaab creates acute security risks for project personnel, beneficiary access, and institutional strengthening activities.",0.95,P508408,"PAD states project 'specifically targets hard-to-reach and rural areas along the stabilization continuum' and that 'Al-Shabab controls large swaths of rural areas.' Approximately 10% of target districts have 'no state presence or access.' Project requires 'regular travel by project personnel to fragile districts' and aims to support 'District Peace and Stabilization Committees (DPSCs) for conflict early warning and mediation.' The PAD identifies 'Al-Shabab territorial control' as a security risk and notes the project 'explicitly addresses Al-Shabaab co-optation of local elders through legitimate state-building incentives.' However, al-Shabaab's February 2025 Shabelle Offensive has reversed government territorial gains in Middle Shabelle, Lower Shabelle, and Hiraan—regions where the project operates."
SOM-2026-02,2026 Electoral Deadlock and Constitutional Crisis Risk,Project governance structures and inter-governmental coordination mechanisms are vulnerable to disruption by the escalating political crisis between FGS and FMS over electoral modalities and constitutional reform. The Project Steering Committee and Technical Working Group depend on political consensus and inter-state cooperation that is actively fracturing ahead of May 2026 elections.,0.9,P508408,"PAD identifies 'ongoing political disputes between FGS and FMS about core state powers and functions; upcoming elections in 2026; intra- and inter-state tensions' as a substantial political and governance risk. Project coordination relies on 'Project Steering Committee (PSC) chaired by Minister of MoIFAR, co-chaired by rotating FMS MoI Minister' and 'Technical Working Group (TWG) chaired by DG of MoIFAR with FMS/Somaliland DGs as co-chairs.' The PAD notes risk of 'elite capture and patronage undermining inclusive processes.' Given that the country risk assessment documents 'high-level dialogue between the federal government and opposition blocs collapsed in February 2026' and 'scuffles on January 28, 2026 halted a parliamentary session,' the project's dependence on FGS-FMS cooperation through PSC/TWG structures faces acute disruption risk."
