risk_id,title,summary,themes,keywords,severity,time_horizon
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","Nearly 6.5 million people are facing severe hunger as worsening drought, conflict, and global aid cuts intensify the humanitarian crisis. By the end of March, 6.5 million people are projected to face crisis or worse levels of food insecurity.","['humanitarian', 'environment', 'social']","['severe hunger', 'food insecurity', 'drought', 'conflict', 'aid cuts', 'crisis levels']",high,0-3m
SOM-002,Humanitarian response funding shortfalls threaten interruption of lifesaving assistance,"The 2025 Humanitarian Response Plan has received only 24% of required funding. WFP warns its emergency food and nutrition assistance is at imminent risk of stopping without immediate new commitments, with resources expected to be depleted within weeks.","['humanitarian', 'economy']","['funding shortfall', 'Humanitarian Response Plan', '24% funded', 'WFP', 'assistance stopping', 'nutrition assistance']",high,0-3m
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Conflict and drought displaced nearly a quarter of a million people in 2025, raising total displacement to almost 4 million. Drought and conflict displaced about 278,000 people between July and December, disrupting agricultural production, market access, and aid delivery.","['displacement', 'humanitarian', 'economy']","['displacement', '4 million', '278,000', 'agricultural disruption', 'market access', 'aid delivery']",high,current
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Talks between the federal government and the opposition-aligned Somali Future Council resumed in late February 2026 amid continuing disagreements over the country’s electoral direction as the government’s term nears its final months. Efforts to amend the provisional constitution, establish a new electoral system, and centralize executive power are deepening mistrust between federal member states and the Federal Government.","['political', 'governance', 'social']","['electoral dispute', 'constitutional amendments', 'one-person one-vote', 'indirect system', 'centralization', 'mistrust']",high,3-12m
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Fighting between federal troops and Jubaland forces in December 2024 and mid-2025 killed dozens and forced hundreds of government soldiers to flee into Kenya. Jubaland and Puntland leaders have coordinated politically against the president’s reforms, underscoring escalating federal-member-state tensions.","['security', 'political']","['federal troops', 'Jubaland forces', 'killed dozens', 'fled into Kenya', 'Puntland alliance', 'reforms standoff']",high,current
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Since January 2025, al Shabaab has re-entered large swaths of territory in central Somalia previously captured by Somali security forces, enabling it to relink support zones in central and southern Somalia for the first time since 2022. The group launched around 50% more attacks per month in 2025 compared to its 2024 average in Hiraan and Middle Shabelle.",['security'],"['al Shabaab', 'territorial re-entry', 'central Somalia', 'relink support zones', '50% more attacks', 'Hiraan', 'Middle Shabelle']",high,current
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,Continued fragmentation within the federal system is assessed to create space for Al-Shabaab to maneuver both militarily and ideologically. Governance disputes and mistrust between the Federal Government and key federal member states coincide with a heightened terrorist threat.,"['governance', 'security', 'political']","['federal fragmentation', 'governance disputes', 'mistrust', 'operational space', 'ideological maneuver', 'terrorist pressure']",high,3-12m
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Somali Danab Special Forces and Jubaland State security forces conducted a targeted operation around Jamaame in Lower Juba, reporting 14 militants killed. U.S. Africa Command also conducted airstrikes targeting al-Shabaab in February 2026 near southern Somalia, indicating continuing active conflict dynamics.",['security'],"['Danab Special Forces', 'Jubaland', 'Jamaame', 'Lower Juba', 'AFRICOM', 'airstrikes', 'Kismayo vicinity']",medium,current
SOM-009,Cancellation of UAE security and defense agreements may disrupt security cooperation arrangements,"In January 2026, the Federal Government of Somalia announced cancellation of all bilateral security and defense agreements with the UAE, citing national sovereignty concerns. This shift creates uncertainty around prior bilateral security and defense arrangements at a time of elevated security threats.","['security', 'political']","['UAE', 'security agreements cancelled', 'defense agreements', 'national sovereignty', 'bilateral cooperation', 'uncertainty']",medium,current
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"Politics is reported to be blocking basic operational logic, with humanitarian teams in northern Somalia inhibited from traveling between Garowe and Las Anod. These constraints add to operational risks for development and humanitarian partnerships amid fracturing federal cohesion ahead of elections.","['humanitarian', 'governance', 'political']","['humanitarian access', 'movement restrictions', 'Garowe', 'Las Anod', 'operational constraints', 'political tensions']",high,current
