related_country_risk_id,related_country_risk_title,susceptibility_summary,confidence,PROJ_ID_IB,evidence_quote
PAK-2026-011,Internal Displacement from Border Conflict and Military Operations,"The project's implementation in Punjab could be disrupted by internal displacement flows from conflict-affected areas in KP and Balochistan. The PAD identifies informal settlers (katchi abadis residents) as a vulnerable group requiring targeted engagement, and the project includes first land registration in notified informal settlements. Displacement from border conflict and military operations could overwhelm project capacity to conduct systematic registration and dispute resolution in pilot areas, and could create new informal settlement populations requiring project support.",0.55,P172945,"PAD identifies 5,379 katchi abadis with 4,354 notified in Punjab, with residents facing tenure insecurity and high exposure to climate hazards. Project includes 'first land registration in notified informal settlements (katchi abadis)' as a core component. PAD notes 'residents of katchi abadis identified as vulnerable group requiring targeted engagement and support.' However, PAD does not explicitly address displacement from conflict zones as a risk factor affecting informal settlement populations or project implementation capacity."
PAK-2026-002,TTP Insurgency and Militant Escalation in Khyber Pakhtunkhwa,"While Punjab is not classified as a fragile or conflict-affected state in the PAD, the project's reliance on field-based cadastral surveys and systematic registration activities could face disruption if TTP violence escalates into Punjab or if security restrictions imposed in KP spread to Punjab. The PAD identifies 'safety of surveyors' as a concern identified during multi-stakeholder consultations, suggesting awareness of security risks to field operations. Escalating TTP drone technology and tactical innovation could pose risks to project staff conducting surveys in peri-urban areas.",0.45,P172945,"PAD states: 'Multi-stakeholder consultations identified safety of surveyors as concern during land registration.' Project includes 'systematic registration of peri-urban and urban properties' across 36 districts in Punjab. However, PAD does not explicitly assess TTP-related security risks to Punjab operations or provide mitigation measures specific to militant threats to surveyor safety."
PAK-2026-005,Political Repression and Hybrid Civil-Military Governance Consolidation,"The project's governance structure and implementation depend on sustained political ownership and coordination across multiple government tiers. The PAD identifies 'political and governance' risk as substantial, noting that 'project requires long-term political ownership in complex political context with multiple actors at various government tiers' and that 'groups benefiting from inefficiency of existing systems may resist changes.' The current hybrid civil-military governance model and political tensions between federal and provincial governments (particularly KP) could undermine the Project Steering Committee's effectiveness and create pressure on the Punjab provincial government to prioritize political objectives over project implementation.",0.6,P172945,"PAD identifies 'Political and Governance (substantial)' risk: 'Project requires long-term political ownership in complex political context with multiple actors at various government tiers; groups benefiting from inefficiency of existing systems may resist changes and lobby against project activities.' Mitigation relies on 'Strong engagement with senior bureaucrats and policymakers' and 'Project Steering Committee to institutionalize engagement.' However, PAD does not address risks from federal-provincial political tensions or military-civilian governance dynamics that could affect provincial-level project coordination."
PAK-2026-007,Fiscal Fragility and IMF Program Pressures,"The project's sustainability and implementation timeline are vulnerable to fiscal pressures and IMF program conditionality. The PAD identifies 'macroeconomic (substantial)' risk, noting that 'fiscal and monetary tightening expected to resume' and that 'public debt remains elevated.' The project's mitigation strategy assumes 'IMF Extended Fund Facility program remains on track,' but current FCV risks show IMF is proposing additional taxation measures that Pakistani authorities have not agreed to, creating uncertainty about program continuation. Fiscal constraints could delay government counterpart funding, staff hiring, and capacity building activities essential for project implementation.",0.65,P172945,"PAD identifies 'Macroeconomic (substantial)' risk: 'Fiscal and monetary tightening expected to resume in FY22; public debt remains elevated; Pakistan's exposure to debt-related shocks; external imbalances and higher domestic inflation; outlook assumes IMF Extended Fund Facility program remains on track.' Mitigation assumes 'project supports revenue enhancement which is essential for provincial financing of resilient infrastructure.' However, PAD does not address risks from IMF conditionality disputes or potential program interruption affecting government capacity to fund project activities."
PAK-2026-012,Development Actor Sensitivities: Security Constraints and Reform Friction,"The project's implementation could face friction from security constraints on development actors and reform resistance. The PAD identifies 'stakeholders (moderate)' risk, noting 'multiple stakeholders with diverse interests' and 'resistance from groups benefiting from current inefficiencies.' The current FCV context shows 'security restrictions on civil society, media, and development actors in Balochistan and KP - including bans on demonstrations and disruptions to mobile communications during operations.' While Punjab is not directly affected, spillover of such restrictions or broader government security priorities could constrain the project's public awareness campaigns, stakeholder engagement activities, and grievance redress mechanisms that depend on open communication and civil society participation.",0.5,P172945,"PAD identifies 'Stakeholders (moderate)' risk: 'Multiple stakeholders with diverse interests; need for buy-in from development authorities, housing agencies, tax authorities, and private sector; resistance from groups benefiting from current inefficiencies.' Mitigation includes 'Comprehensive stakeholder engagement plan; public awareness campaigns; communications strategy.' Project includes 'public awareness campaigns' and engagement 'through public displays and community consultations.' However, PAD does not address risks from security-driven restrictions on public engagement, media access, or civil society participation that could undermine stakeholder engagement strategy."
PAK-2026-006,Forced Deportation of Afghan Refugees and Protection Risks,"The project's beneficiary targeting and implementation could be affected by large-scale Afghan refugee deportations and displacement flows into Punjab. The PAD identifies 38.5 million beneficiaries including vulnerable groups in urban and rural areas, but does not account for potential influx of deported Afghan refugees or internally displaced persons who may settle in informal areas (katchi abadis) targeted by the project. The project's focus on 'identification of land for development, including land for housing programs' and 'first land registration in notified informal settlements' could face pressure from competing claims by newly displaced populations, complicating dispute resolution and systematic registration activities.",0.5,P172945,"PAD identifies beneficiaries as '38.5 million people including 2.51 million households (16.1 million people) in urban areas and 3.48 million households (22.4 million people) in rural areas; women, vulnerable groups, landowners, property developers, investors, government agencies.' Project includes 'first land registration in notified informal settlements (katchi abadis)' and addresses 'widespread land disputes' and 'multiple claimants.' However, PAD does not address risks from refugee deportations or displacement flows that could create new informal settlement populations or complicate land registration in katchi abadis."
PAK-2026-003,Balochistan Separatist Insurgency Surges to 13-Year High,"While the project is located in Punjab, the broader security deterioration in Balochistan creates indirect risks to project implementation through: (1) potential spillover of security restrictions or military operations into Punjab; (2) impact on government capacity and resource allocation as security priorities consume fiscal and institutional resources; (3) potential displacement of populations from Balochistan into Punjab informal settlements; (4) reduced investor confidence affecting the 'property developers, investors' identified as project beneficiaries. The PAD notes the project supports 'identification of land for development, including land for housing programs' and 'Naya Pakistan Housing Program,' but does not assess how deteriorating national security could affect housing investment and land development activities.",0.45,P172945,"PAD identifies beneficiaries including 'property developers, investors, government agencies' and includes component on 'Land for Housing: Preparation of inventory of state lands; digitalization and geo-referencing of public lands; development of state lands management procedures and strategies; identification of suitable public lands for housing programs including Naya Pakistan Housing Program.' However, PAD does not address risks from national security deterioration, displacement from other provinces, or reduced investor confidence affecting housing and land development activities."
PAK-2026-007,Fiscal Fragility and IMF Program Pressures,"The project's implementation and sustainability depend on continued government fiscal capacity and IMF program continuation. Escalating fiscal pressures, including IMF demands for additional taxation (Rs. 400 billion) and withdrawal of subsidies, combined with declining FDI (down 43% in first half FY2026), may constrain Punjab's ability to co-finance infrastructure components, meet counterpart funding obligations, or sustain institutional capacity investments required under Window-2 and Window-3.",0.75,P173663,"The PAD identifies macroeconomic risk as 'substantial,' noting that 'fiscal and monetary tightening expected in FY22; elevated public debt; external imbalances; higher domestic inflation; IMF Extended Fund Facility program continuation assumed.' The project's mitigation strategy relies on 'disbursements triggered only after verification of DLI achievement,' but does not address the risk that fiscal constraints may prevent Punjab from meeting its counterpart funding commitments or sustaining the institutional capacity investments (HUDD, PHATA, UU staffing and systems) required for long-term program success."
PAK-2026-002,TTP Insurgency and Militant Escalation in Khyber Pakhtunkhwa,"While the project is geographically located in Punjab, the PAD identifies coordination with multiple agencies and local governments as essential for implementation. Escalating TTP violence in KP (311 terror-related deaths in Q1 2026, 38% of national fatalities) and the documented shift to drone technology and urban spillover may disrupt coordination mechanisms, restrict mobility of project staff conducting beneficiary verification and site supervision, and create security constraints on inter-provincial coordination meetings and technical missions required for program management.",0.65,P173663,"The PAD states that the program requires 'coordination with WASAs, Development Authorities, Local Governments, and federal agencies' through a 'Program Steering Committee (PSC) chaired by Chairman Planning and Development' and 'Program Management Committee (PMC) for operational oversight.' The PAD also notes that 'coordination challenges with multiple agencies' are a technical design risk. The escalation of TTP violence, particularly the adoption of drone technology and 'early signs' of spillover into Punjab and Islamabad (per country risk PAK-2026-009), could disrupt these coordination mechanisms and restrict the mobility required for inter-agency coordination."
PAK-2026-005,Political Repression and Hybrid Civil-Military Governance Consolidation,"The project's institutional strengthening components (Window-2 and Window-3) depend on sustained political commitment to housing policy reform and transparent governance procedures. The PAD identifies 'political and governance' risk as 'moderate,' noting that 'national elections in 2023 may affect continuity of government policies and consistency in applying agreed PAHP criteria and procedures.' Current political tensions—including PTI marginalization, Imran Khan's imprisonment, and KP provincial government conflict with federal authorities—may undermine policy continuity, create pressure to deviate from transparent beneficiary selection criteria, or introduce political interference in the Operations Manual and DLI verification processes.",0.7,P173663,"The PAD identifies political and governance risk as 'moderate,' with mitigation relying on 'Operations Manual to document rules, criteria, and procedures; verification protocols to ensure application per requisite standards.' However, the PAD does not address the risk that political instability and civil-military tensions could pressure implementing agencies to deviate from transparent procedures. The PAD also notes that 'elite capture in beneficiary selection' is an environmental and social risk, which could be exacerbated by political interference. The current political context (PAK-2026-005) describes 'systematic marginalisation of the opposition PTI' and 'selective use of accountability bodies for political purposes,' suggesting that transparent governance procedures may face political pressure."
