risk_id,title,summary,themes,keywords,locations,severity,time_horizon
SLE-2026-01,Guinea-Sierra Leone Border Incident and Unresolved Demarcation,"In February 2026, Guinean forces detained 16 Sierra Leonean army and police officers in the Falaba District, with each side presenting conflicting accounts of the incident: Guinea alleged a sovereignty violation while Freetown maintained its personnel were constructing a border post within sovereign territory (Washington Post, Feb 25, 2026; APAnews, Feb 26, 2026). The detained officers were released by February 27, 2026, and President Bio attended an emergency summit in Conakry on March 16 with Guinean and Liberian leaders, all pledging to resolve border disputes through dialogue and establishing joint technical commissions on border delimitation (BSS/AFP, Mar 17, 2026; ICG CrisisWatch, Mar 2026). The underlying border demarcation remains unresolved along a frontier spanning over 700 km through resource-rich and artisanally mined zones, and heightened military presence risks disrupting cross-border livelihoods and creating space for illicit networks (African Security Analysis, Feb 2026). The incident underscores the fragility of Mano River Union border governance and the risk of renewed friction.","['security', 'political', 'governance']","['border dispute', 'Guinea', 'Falaba District', 'Mano River Union', 'military detention', 'border demarcation', 'diplomatic tensions']","['Falaba District', 'Conakry', 'Guinea-Sierra Leone border']",medium,0-3m
SLE-2026-02,Political Repression and Suppression of Opposition Dissent,"Prominent opposition APC figure and entertainer Zainab Sheriff was arrested in February 2026 following a speech at an APC rally on January 31, repeatedly denied bail across six hearings, and sentenced on April 14, 2026 to four years and two months in prison under the Public Order Act 1965 for incitement (FrontPageAfrica, Apr 14, 2026; Africa Press, Apr 14, 2026). APC Secretary-General Lansana Dumbuya was also remanded in connection with the same rally (Sierra Leone Telegraph, Mar 6, 2026). Civil society organizations, Amnesty International, and the Media Foundation for West Africa expressed deep concern that the charges are politically motivated and that the Public Order Act 1965 is susceptible to political abuse, setting a chilling precedent for free expression ahead of the 2028 elections (MFWA, cited in AllAfrica, Apr 17, 2026). The case has generated nationwide debate about judicial independence and the boundaries of democratic dissent.","['political', 'governance', 'social']","['Zainab Sheriff', 'APC', 'political detention', 'incitement charges', 'Public Order Act', 'free speech', 'judicial independence']","['Freetown', 'nationwide']",high,current
SLE-2026-03,Stalled Electoral Reforms and SLPP-APC Political Standoff,"Sierra Leone's Agreement for National Unity (ANU) reform process remains deeply contested, with the SLPP formally rejecting proposals for parliamentary oversight of the Electoral Commission for Sierra Leone (ECSL) in an April 21, 2026 press statement, arguing that such oversight would compromise constitutional independence (Sarah Kallay, Apr 21, 2026). The appointment of a new Chief Electoral Commissioner was condemned by the APC as a 'direct assault' on the ANU and made without cross-party consensus (Sierra Leone Telegraph, Feb 28, 2026). The ISS warns that Sierra Leone risks another disputed election without urgent reforms, and the APC previously returned to parliament following mediated talks only after claiming 'major wins,' though progress on the eight agreed reform points remains uncertain (ISS Africa, Dec 2026; Sierra Leone Monitor, Apr 2026). The UK, Germany, and ECOWAS have publicly called on both parties to implement the eight-point unity agreement, indicating growing international concern over the slow pace of reform.","['political', 'governance']","['electoral reform', 'ECSL', 'APC', 'SLPP', 'Agreement for National Unity', 'constitutional amendment', 'ECOWAS', '2028 elections']","['Freetown', 'nationwide']",high,0-3m
SLE-2026-04,National Security and Intelligence Act 2026: Civil Liberties and Governance Risks,"Sierra Leone's Parliament passed the National Security and Central Intelligence Bill 2025 into law in early 2026, establishing a new State Protection Service (SPS) and a 'War Cabinet' structure that critics argue runs parallel to the constitutionally recognized Cabinet (Sierraloaded, May 2026; Sierra Leone Telegraph, May 9, 2026). Legal analysts and civil society warn that the Act explicitly bars Freedom of Information requests on security matters, could authorize warrantless surveillance of political critics, and institutionalizes a military role at the highest decision-making level without adequate parliamentary oversight (Sierra Leone Telegraph, May 9, 2026; Sierra Leone Press, Mar 29, 2026). Reporters Without Borders also noted that a related anti-terrorism bill exposes journalists to heavy prison sentences in the name of national security (RSF, May 2025). The legislation raises risks of democratic backsliding and could create friction with international development partners who condition support on governance standards.","['governance', 'security', 'political']","['National Security Act', 'War Cabinet', 'civil liberties', 'intelligence oversight', 'democratic backsliding', 'State Protection Service', 'press freedom']","['Freetown', 'nationwide']",high,current
SLE-2026-05,Cocaine Transshipment Hub Status and Organized Crime Penetration of State Institutions,"In early May 2026, Spanish authorities intercepted the vessel MV Arconian carrying 35-40 tonnes of cocaine after it departed Freetown on April 22, 2026, in what was described as a record Atlantic seizure valued at approximately $700 million, prompting an open letter from APC Opposition Leader Abdulai Kargbo to President Bio demanding accountability (Sierra Leone Telegraph, May 5, 2026; Africanews, May 12, 2026). Europe's most wanted drug trafficker Jos Leijdekkers ('Bolle Jos'), sentenced in absentia in Rotterdam to 24 years for cocaine trafficking, has been confirmed as residing in Sierra Leone with reported ties to senior officials; Dutch special forces reportedly attempted to arrest him in Sierra Leone at least twice but were called off at the last minute (NL Times, May 21, 2026; Africanews, May 12, 2026). The ENACT Organized Crime Index documents that Sierra Leone has emerged as a key cocaine logistics hub with criminal networks infiltrating Freetown Port, Lungi Airport, and law enforcement, enabled by pervasive corruption and high-level protection (ENACT/Africa, 2025-2026). The U.S. State Department has separately flagged drug trafficking and money laundering as prevalent, with corruption compromising access to public services (Bureau of International Narcotics and Law Enforcement Affairs, cited in Sierra Leone Telegraph).","['crime', 'governance', 'security']","['cocaine trafficking', 'Bolle Jos', 'MV Arconian', 'drug seizure', 'organized crime', 'state capture', 'Freetown Port', 'transnational crime']","['Freetown', 'Freetown Port', 'Lungi Airport']",high,current
SLE-2026-06,Sierra Leone Ship Registry Exploited for Russian Sanctions Evasion,"Sierra Leone's ship registry has become a significant flagging hub for Russian-linked and sanctioned vessels; of 156 tankers and gas carriers broadcasting AIS signals under the Sierra Leone flag within a recent 60-day window, 93 were sanctioned by the U.S., EU, or UK in connection with Russia (Windward AI, early 2026). The ISS confirmed that Sierra Leone's registry has seen exponential increases in registered tonnage linked to Russia's shadow fleet, and Germany identified at least one previously Zimbabwe-flagged sanctioned tanker (Range Vale) that subsequently transferred to Sierra Leone's flag (ISS Africa, Mar 2026; Africa Defense Forum, May 2026). Commentary in Sierra Leone notes the country is simultaneously voting to support Ukraine at the UN while facilitating Russian-linked maritime operations, sending contradictory signals to Western development partners (Sierra Leone Telegraph, Apr 29, 2026). Countries perceived as enabling sanctions evasion face risks of enhanced port state inspections, insurance restrictions, and diplomatic pressure that could constrain legitimate trade and access to financial systems.","['governance', 'security', 'economy']","['Russia shadow fleet', 'ship registry', 'sanctions evasion', 'flag of convenience', 'maritime security', 'reputational risk', 'Western sanctions']","['nationwide', 'Freetown Port']",medium,0-3m
SLE-2026-07,Macroeconomic Fragility Amplified by Middle East Conflict Spillovers,"After inflation fell to a multi-decade low of 4.3% in December 2025, it rebounded to 8.1% in February 2026, reflecting a 14% pump price increase in January; it is projected to average 10.4% in 2026 as Middle East conflict pushes up freight, fertilizer, and oil costs, triggering a further 12% domestic pump price increase in March 2026 (World Bank Sierra Leone Overview, 2026). Sierra Leone's Finance Minister attended the IMF/World Bank Spring Meetings in April 2026 seeking urgent international backing, warning that the Middle East crisis poses a significant threat to hard-won macroeconomic gains, particularly through disruptions to commodity prices, energy markets, food imports, and fiscal stability (Washington Today, Apr 15, 2026). The BTI 2026 Country Report notes that growth estimates of 4.0-4.5% annually face substantial uncertainties driven by inflationary pressures, food insecurity, and political instability, while the economy remains heavily dependent on iron ore exports and foreign donors (BTI 2026). Rising prices risk exacerbating social tensions in a country where extreme poverty affects approximately 25% of the population.","['economy', 'social', 'humanitarian']","['inflation', 'fuel prices', 'food insecurity', 'Middle East shock', 'IMF', 'World Bank', 'macroeconomic instability', 'poverty']",['nationwide'],medium,0-3m
SLE-2026-08,Institutional Fragility: Removal of Auditor-General and Anti-Corruption Oversight Erosion,"In December 2024, Parliament voted to remove respected Auditor-General Lara Taylor-Pearce and her deputy at Audit Service Sierra Leone (ASSL), following a contested tribunal process; Freedom House noted this reflected a score decline in accountability, as the auditor-general had overseen exposure of significant financial malfeasance (Freedom House, Freedom in the World 2025). Critics, including international and domestic experts, questioned the tribunal's credibility, and opposition lawmakers argued the vote threshold was improper, raising concerns about the government's tolerance for independent oversight (Freedom House 2025). The BTI 2026 notes that systemic corruption, lack of accountability, and weak rule of law have created an increasingly challenging socioeconomic environment, with the three branches of government characterized by political patronage, nepotism, and reform gridlock (BTI 2026, Country Report). This pattern of removing independent oversight figures risks creating friction with development partners, including the World Bank and IMF, who condition disbursements on public financial management standards.","['governance', 'economy', 'political']","['auditor-general', 'anti-corruption', 'accountability', 'public financial management', 'Audit Service Sierra Leone', 'institutional erosion', 'donor conditionality']","['Freetown', 'nationwide']",medium,current
SLE-2026-09,Contested Constitutional Review and Risk of Pre-Election Instability,"The ongoing constitutional review process, driven by the Tripartite Committee's 80 recommendations following the disputed 2023 elections, has stalled on key provisions including electoral system design and census methodology, with SLPP and APC holding irreconcilable positions (ISS Africa, Dec 2025; BTI 2026). The APC accuses the government of postponing the population census to December 2026 in order to delay electoral demarcation that may not favor the SLPP, while the SLPP favors proportional representation that the APC argues would redraw the electoral map ahead of the 2028 elections (ISS Africa, Dec 2025). The Cross-Party Committee found no common ground on the 2023 election results, and the BTI estimates that roughly half the electorate considers the current government illegitimate, a deeply destabilizing condition (BTI 2026, ECOI). With international guarantors ECOWAS, UNOWAS, and the Commonwealth monitoring progress, failure to implement agreed electoral reforms by end-2026 deadlines risks a renewed political crisis.","['political', 'governance', 'social']","['constitutional review', 'electoral reform', 'census', '2028 elections', 'legitimacy crisis', 'proportional representation', 'ECOWAS guarantors']","['Freetown', 'nationwide']",high,3-12m
SLE-2026-10,"Illicit Mining, Resource Governance, and Cross-Border Smuggling","Sierra Leone serves as a significant source of illicitly trafficked gold and diamonds, with artisanal and small-scale gold mining predominantly bypassing formal channels and most of the gold trafficked to Guinea and Liberia; gold mining licences are frequently granted through corrupt practices, fueling land conflicts between businesses and local communities (ENACT Organized Crime Index, 2025-2026). Diamond smuggling remains prevalent, with Lebanese actors exploiting financial and political networks to under-report exports via Lungi Airport, while illegal granite mining led by Chinese actors exacerbates deforestation (ENACT, 2025-2026). State-embedded actors are implicated in illicit gold and diamond smuggling, and forest rangers and local chiefs exploit their authority to enable unlicensed mining and logging (ENACT, 2025-2026). These dynamics undermine legitimate revenue generation, contribute to environmental degradation, and sustain patronage networks that complicate governance reform efforts supported by the World Bank and other development actors.","['crime', 'economy', 'environment']","['artisanal mining', 'gold smuggling', 'diamond trafficking', 'resource governance', 'illicit financial flows', 'corruption', 'cross-border smuggling']","['nationwide', 'Kambia District', 'Lungi Airport']",medium,current
SLE-2026-11,Shrinking Civic Space and Pressure on Media Freedom,"Sierra Leone's civic and media space faces mounting pressure: the National Security and Intelligence Act 2026 explicitly bars Freedom of Information requests on security matters and could authorize surveillance of critics, while a related anti-terrorism law passed in 2025 exposes journalists to heavy prison sentences in the name of national security (RSF, May 2025; Sierra Leone Telegraph, May 9, 2026). The 2024 Freedom House report noted that student protests have been violently dispersed by security forces in recent years, and police have been used to hamper journalists' work; meanwhile, reports indicate limited space for discussion of sensitive political topics (Freedom House, Freedom in the World 2024). The conviction of Zainab Sheriff under the 1965 Public Order Act, widely criticized as an outdated tool for political abuse, has drawn condemnation from civil society and Amnesty International, adding to a pattern of selective enforcement against opposition voices (MFWA, AllAfrica, Apr 2026). These trends risk undermining the operating environment for civil society organizations that partner with the World Bank, UN agencies, and international NGOs.","['governance', 'social', 'political']","['press freedom', 'civic space', 'civil society', 'Public Order Act', 'surveillance', 'anti-terrorism law', 'Amnesty International', 'political repression']","['Freetown', 'nationwide']",medium,current
SLE-2026-12,Context: Legacies of 2023 Coup Attempt and Ongoing Political Polarization,"**Context (Nov 2023 - Feb 2026):** In November 2023, armed individuals attacked Wilberforce Barracks and Pademba Road Prison in Freetown, resulting in over 20 deaths and approximately 2,000 prison escapes; the government accused APC-linked elements of orchestrating the coup attempt, and former President Ernest Bai Koroma was charged with treason before being released to Nigeria for medical treatment under an ECOWAS-brokered agreement in January 2024 (BTI 2026; Freedom House 2025). The Cross-Party Committee on Electoral Systems found no common ground on the disputed 2023 election results, meaning roughly half the electorate considers the government illegitimate - the most severe legitimacy deficit since the end of the civil war (BTI 2026). The SLPP and APC's competing interests continually impair collaboration on governance priorities, and the three branches of government are characterized by political patronage, nepotism, and reform gridlock, leaving institutions ill-equipped to manage current FCV risks (BTI 2026). This polarized environment is the structural backdrop against which all current risks operate.","['political', 'governance', 'security']","['2023 coup attempt', 'Ernest Bai Koroma', 'political polarization', 'legitimacy crisis', 'SLPP', 'APC', 'institutional weakness', 'Freetown']","['Freetown', 'nationwide']",high,3-12m
